Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,266.0,266.0,264.0,266.0,135.316772,1485000
2005-09-30,270.0,270.0,266.0,270.0,137.351608,1867500
2005-10-03,270.0,270.0,268.0,270.0,137.351608,1260000
2005-10-04,270.0,270.0,268.0,270.0,137.351608,3387500
2005-10-05,274.0,274.0,270.0,274.0,139.386459,7060000
2005-10-06,274.0,274.0,272.0,274.0,139.386459,4700000
2005-10-07,274.0,274.0,270.0,274.0,139.386459,5270000
2005-10-10,282.0,282.0,274.0,282.0,143.45611599999998,8675000
2005-10-11,288.0,288.0,282.0,288.0,146.508392,9600000
2005-10-12,294.0,294.0,288.0,294.0,149.560684,6965000
2005-10-13,304.0,308.0,294.0,304.0,154.647797,9387500
2005-10-14,310.0,314.0,306.0,310.0,157.700043,7195000
2005-10-18,314.0,316.0,308.0,314.0,159.734863,4527500
2005-10-19,312.0,314.0,310.0,312.0,158.717422,4587500
2005-10-21,310.0,312.0,310.0,310.0,157.700043,2520000
2005-10-24,310.0,310.0,306.0,310.0,157.700043,4650000
2005-10-26,308.0,308.0,294.0,308.0,156.682556,6477500
2005-10-27,308.0,308.0,300.0,308.0,156.682556,1362500
2005-10-28,308.0,308.0,306.0,308.0,156.682556,3752500
2005-10-31,306.0,308.0,306.0,306.0,155.665161,3025000
2005-11-01,310.0,310.0,306.0,310.0,157.700043,5625000
2005-11-10,312.0,312.0,306.0,312.0,158.717422,4117500
2005-11-11,310.0,312.0,306.0,310.0,157.700043,2232500
2005-11-14,304.0,310.0,302.0,304.0,154.647797,2450000
2005-11-15,304.0,304.0,304.0,304.0,154.647797,3862500
2005-11-16,304.0,304.0,302.0,304.0,154.647797,4087500
2005-11-17,300.0,304.0,298.0,300.0,152.612961,3760000
2005-11-18,306.0,306.0,298.0,306.0,155.665161,6630000
2005-11-21,308.0,308.0,306.0,308.0,156.682556,7162500
2005-11-22,308.0,310.0,306.0,308.0,156.682556,6575000
2005-11-23,308.0,308.0,302.0,308.0,156.682556,4460000
2005-11-24,308.0,308.0,306.0,308.0,156.682556,4342500
2005-11-25,308.0,308.0,302.0,308.0,156.682556,3937500
2005-11-28,310.0,310.0,308.0,310.0,157.700043,7097500
2005-11-29,312.0,312.0,310.0,312.0,158.717422,7067500
2005-11-30,318.0,318.0,310.0,318.0,161.769684,12415000
2005-12-01,316.0,318.0,312.0,316.0,160.752274,4317500
2005-12-02,320.0,320.0,310.0,320.0,162.787079,9060000
2005-12-05,320.0,320.0,316.0,320.0,162.787079,5355000
2005-12-06,318.0,320.0,314.0,318.0,161.769684,4612500
2005-12-07,322.0,322.0,314.0,322.0,163.804504,8560000
2005-12-08,322.0,322.0,320.0,322.0,163.804504,5830000
2005-12-09,322.0,322.0,320.0,322.0,163.804504,5320000
2005-12-12,330.0,330.0,322.0,330.0,167.874191,10340000
2005-12-13,330.0,330.0,324.0,330.0,167.874191,4930000
2005-12-14,322.0,330.0,318.0,322.0,163.804504,4337500
2005-12-15,322.0,322.0,320.0,322.0,163.804504,3000000
2005-12-16,320.0,322.0,320.0,320.0,162.787079,2715000
2005-12-19,300.0,320.0,298.0,300.0,152.612961,4872500
2005-12-20,296.0,300.0,294.0,296.0,150.578094,4265000
2005-12-21,294.0,294.0,292.0,294.0,149.560684,2380000
2005-12-22,294.0,296.0,292.0,294.0,149.560684,5392500
2005-12-23,294.0,296.0,294.0,294.0,149.560684,4515000
2005-12-27,302.0,302.0,296.0,302.0,153.630325,5787500
2005-12-28,300.0,302.0,298.0,300.0,152.612961,5812500
2005-12-29,296.0,300.0,282.0,296.0,150.578094,10520000
2006-01-02,296.0,296.0,292.0,296.0,150.578094,812500
2006-01-03,300.0,300.0,292.0,300.0,152.612961,5727500
2006-01-04,306.0,306.0,300.0,306.0,155.665161,6827500
2006-01-05,306.0,306.0,300.0,306.0,155.665161,4380000
2006-01-06,304.0,304.0,296.0,304.0,154.647797,1005000
2006-01-09,310.0,310.0,300.0,310.0,157.700043,8515000
2006-01-11,308.0,310.0,300.0,308.0,156.682556,4105000
2006-01-12,304.0,308.0,300.0,304.0,154.647797,3320000
2006-01-13,308.0,308.0,302.0,308.0,156.682556,6000000
2006-01-16,308.0,308.0,306.0,308.0,156.682556,5250000
2006-01-17,306.0,308.0,304.0,306.0,155.665161,1152500
2006-01-18,306.0,306.0,302.0,306.0,155.665161,3647500
2006-01-19,306.0,306.0,304.0,306.0,155.665161,3705000
2006-01-20,306.0,306.0,304.0,306.0,155.665161,3380000
2006-01-23,308.0,308.0,306.0,308.0,156.682556,5867500
2006-01-24,310.0,310.0,306.0,310.0,157.700043,5782500
