Date,Open,High,Low,Close,Adj Close,Volume
2007-12-18,140.0,178.0,140.0,178.0,162.971542,481805500
2007-12-19,190.0,200.0,181.0,190.0,173.958374,199766000
2007-12-26,190.0,204.0,190.0,200.0,183.114105,214873500
2007-12-27,200.0,210.0,200.0,205.0,187.691956,75149500
2007-12-28,205.0,205.0,195.0,200.0,183.114105,20591000
2008-01-02,200.0,205.0,195.0,200.0,183.114105,27253500
2008-01-03,200.0,200.0,195.0,200.0,183.114105,6647500
2008-01-04,210.0,220.0,200.0,210.0,192.269791,178100000
2008-01-07,205.0,225.0,205.0,220.0,201.425507,282250000
2008-01-08,220.0,240.0,220.0,235.0,215.15905800000002,432287500
2008-01-09,235.0,245.0,230.0,235.0,215.15905800000002,258355500
2008-01-14,230.0,240.0,220.0,230.0,210.581223,188021000
2008-01-15,220.0,230.0,215.0,220.0,201.425507,124916500
2008-01-16,215.0,220.0,210.0,215.0,196.847656,72960500
2008-01-17,225.0,230.0,215.0,225.0,206.003342,214200500
2008-01-18,225.0,225.0,215.0,225.0,206.003342,72655000
2008-01-21,220.0,230.0,215.0,220.0,201.425507,125704500
2008-01-22,205.0,215.0,195.0,205.0,187.691956,106103000
2008-01-23,215.0,220.0,205.0,215.0,196.847656,236271500
2008-01-24,215.0,220.0,210.0,215.0,196.847656,153608000
2008-01-25,220.0,225.0,210.0,220.0,201.425507,135582000
2008-01-28,210.0,220.0,200.0,210.0,192.269791,162059500
2008-01-29,210.0,215.0,200.0,210.0,192.269791,195556500
2008-01-30,215.0,215.0,205.0,215.0,196.847656,56676000
2008-01-31,205.0,215.0,205.0,205.0,187.691956,31783000
2008-02-01,215.0,215.0,205.0,215.0,196.847656,49642000
2008-02-04,210.0,215.0,205.0,210.0,192.269791,36800500
2008-02-05,205.0,225.0,205.0,220.0,201.425507,212116500
2008-02-06,220.0,220.0,210.0,215.0,196.847656,54545500
2008-02-11,205.0,215.0,205.0,205.0,187.691956,24488500
2008-02-12,210.0,215.0,205.0,210.0,192.269791,34951000
2008-02-13,225.0,230.0,215.0,225.0,206.003342,192207000
2008-02-14,230.0,235.0,225.0,230.0,210.581223,148313000
2008-02-15,225.0,230.0,220.0,230.0,210.581223,72939500
2008-02-18,225.0,230.0,220.0,225.0,206.003342,40906500
2008-02-19,220.0,225.0,215.0,220.0,201.425507,23819000
2008-02-20,210.0,225.0,210.0,210.0,192.269791,147722500
2008-02-21,215.0,230.0,215.0,230.0,210.581223,162347000
2008-02-22,225.0,230.0,220.0,225.0,206.003342,34464000
2008-02-25,225.0,225.0,215.0,225.0,206.003342,21575000
2008-02-26,220.0,225.0,215.0,220.0,201.425507,48247000
2008-02-27,220.0,225.0,215.0,220.0,201.425507,43086500
2008-02-28,220.0,220.0,210.0,220.0,201.425507,26745000
2008-02-29,210.0,215.0,205.0,210.0,192.269791,20909000
2008-03-03,205.0,205.0,195.0,205.0,187.691956,45258000
2008-03-04,200.0,205.0,190.0,200.0,183.114105,30014000
2008-03-05,195.0,195.0,185.0,195.0,178.53624,40007000
2008-03-06,195.0,195.0,190.0,195.0,178.53624,19286000
2008-03-10,190.0,190.0,180.0,190.0,173.958374,19545500
2008-03-11,184.0,186.0,179.0,184.0,168.464966,2183000
2008-03-12,183.0,190.0,182.0,183.0,167.54939299999998,5041500
2008-03-13,182.0,182.0,170.0,172.0,157.478119,3888500
2008-03-14,170.0,170.0,153.0,153.0,140.082291,4425500
2008-03-17,145.0,145.0,129.0,138.0,126.348724,13154000
2008-03-18,135.0,142.0,131.0,142.0,130.010986,4704500
2008-03-19,150.0,150.0,135.0,138.0,126.348724,5076500
2008-03-24,140.0,142.0,139.0,140.0,128.179871,1822000
2008-03-25,144.0,164.0,141.0,164.0,150.153534,6621000
2008-03-26,163.0,183.0,158.0,174.0,159.30925,12668500
2008-03-27,171.0,172.0,160.0,171.0,156.56256100000002,1305000
2008-03-28,172.0,174.0,168.0,172.0,157.478119,4374500
2008-03-31,165.0,173.0,165.0,165.0,151.069122,783500
2008-04-01,165.0,168.0,151.0,165.0,151.069122,1491500
2008-04-02,152.0,165.0,151.0,152.0,139.16670200000002,3171000
2008-04-03,150.0,154.0,138.0,142.0,130.010986,2410000
2008-04-04,142.0,146.0,138.0,141.0,129.095428,1946000
2008-04-07,144.0,144.0,138.0,143.0,130.926575,2479000
2008-04-08,138.0,143.0,137.0,138.0,126.348724,984500
2008-04-09,139.0,139.0,123.0,129.0,118.108574,7337500
2008-04-10,132.0,132.0,121.0,132.0,120.855286,9231500
2008-04-11,138.0,139.0,130.0,138.0,126.348724,9032000
2008-04-14,130.0,134.0,118.0,122.0,111.6996,23503500
2008-04-15,125.0,128.0,116.0,125.0,114.446304,41448000
2008-04-16,130.0,132.0,126.0,130.0,119.02416200000002,18415500
2008-04-17,132.0,132.0,123.0,123.0,112.61515800000001,21083500
2008-04-18,128.0,128.0,123.0,128.0,117.193024,4585500
2008-04-21,125.0,129.0,123.0,125.0,114.446304,8629500
2008-04-22,125.0,125.0,119.0,125.0,114.446304,23693500
2008-04-23,121.0,124.0,117.0,121.0,110.784019,16389500
2008-04-24,119.0,121.0,116.0,119.0,108.952881,7605500
2008-04-25,117.0,119.0,110.0,117.0,107.12175,6436000
2008-04-28,115.0,115.0,112.0,115.0,105.29061100000001,3579000
2008-04-29,115.0,115.0,113.0,115.0,105.29061100000001,2687500
2008-04-30,114.0,114.0,110.0,114.0,104.375023,6673000
2008-05-05,122.0,127.0,121.0,125.0,114.446304,12245000
2008-05-06,125.0,125.0,122.0,123.0,112.61515800000001,10148000
2008-05-07,123.0,123.0,119.0,123.0,112.61515800000001,7137500
2008-05-08,120.0,123.0,117.0,123.0,112.61515800000001,9853500
2008-05-09,122.0,123.0,120.0,123.0,112.61515800000001,6291500
2008-05-12,122.0,123.0,120.0,123.0,112.61515800000001,5929000
2008-05-13,123.0,123.0,121.0,123.0,112.61515800000001,4589500
2008-05-14,123.0,123.0,121.0,123.0,112.61515800000001,5555000
2008-05-15,123.0,128.0,122.0,126.0,115.361877,15896000
2008-05-16,126.0,134.0,125.0,131.0,119.939728,31445000
2008-05-21,133.0,134.0,129.0,132.0,120.855286,12978000
2008-05-22,130.0,130.0,126.0,129.0,118.108574,16619500
2008-05-23,129.0,130.0,125.0,127.0,116.27744299999999,14787000
2008-05-26,127.0,130.0,126.0,127.0,116.27744299999999,14970000
2008-05-27,127.0,129.0,125.0,126.0,115.361877,17430000
2008-05-28,126.0,127.0,125.0,127.0,116.27744299999999,12565500
2008-05-29,128.0,128.0,126.0,127.0,116.27744299999999,11080500
2008-05-30,127.0,127.0,123.0,125.0,114.446304,16638000
2008-06-02,125.0,126.0,121.0,124.0,113.530731,8856500
2008-06-03,122.0,123.0,121.0,122.0,111.6996,11581500
2008-06-04,121.0,123.0,120.0,121.0,110.784019,12371000
2008-06-05,124.0,125.0,119.0,124.0,113.530731,15212500
2008-06-06,122.0,125.0,121.0,122.0,111.6996,6346000
2008-06-09,120.0,123.0,118.0,120.0,109.868454,15174000
2008-06-10,120.0,121.0,116.0,120.0,109.868454,12713000
2008-06-11,120.0,120.0,118.0,120.0,109.868454,15307500
2008-06-12,120.0,120.0,118.0,120.0,109.868454,18021000
2008-06-13,120.0,120.0,118.0,118.0,108.03730800000001,17910000
2008-06-16,115.0,120.0,115.0,115.0,105.29061100000001,31745000
2008-06-17,115.0,119.0,114.0,115.0,105.29061100000001,20506500
2008-06-18,115.0,115.0,102.0,102.0,93.388184,41324000
2008-06-19,107.0,112.0,97.0,107.0,97.966042,86630000
2008-06-20,110.0,112.0,107.0,110.0,100.712753,11021000
2008-06-23,107.0,120.0,105.0,118.0,108.03730800000001,83783000
2008-06-24,121.0,124.0,119.0,121.0,110.784019,47288500
2008-06-25,122.0,125.0,120.0,122.0,111.6996,61218500
2008-06-26,122.0,123.0,120.0,122.0,111.6996,22498000
2008-06-27,120.0,122.0,118.0,120.0,109.868454,27596000
2008-06-30,119.0,120.0,119.0,119.0,108.952881,666000
2008-07-01,118.0,127.0,118.0,125.0,114.446304,56921500
2008-07-02,124.0,128.0,123.0,124.0,113.530731,45420000
2008-07-03,119.0,124.0,115.0,119.0,108.952881,10347000
2008-07-04,121.0,121.0,118.0,121.0,110.784019,4783500
2008-07-07,121.0,123.0,119.0,121.0,110.784019,17469500
2008-07-08,117.0,120.0,116.0,117.0,107.12175,5075000
2008-07-09,116.0,120.0,116.0,116.0,106.206177,2412500
2008-07-10,118.0,118.0,115.0,118.0,108.03730800000001,2806500
2008-07-11,117.0,118.0,116.0,117.0,107.12175,7729000
2008-07-14,121.0,123.0,116.0,121.0,110.784019,38816000
2008-07-15,118.0,120.0,117.0,118.0,108.03730800000001,4356500
2008-07-16,118.0,119.0,116.0,118.0,108.03730800000001,3067500
2008-07-17,115.0,117.0,115.0,115.0,105.29061100000001,4726500
2008-07-18,115.0,116.0,114.0,115.0,105.29061100000001,3678500
2008-07-21,115.0,116.0,112.0,115.0,105.29061100000001,802000
2008-07-22,117.0,118.0,115.0,117.0,107.12175,14687500
2008-07-23,118.0,122.0,114.0,118.0,108.03730800000001,29485500
2008-07-24,120.0,127.0,118.0,120.0,109.868454,61665000
2008-07-25,121.0,123.0,118.0,121.0,110.784019,8080500
2008-07-28,124.0,124.0,121.0,124.0,113.530731,13329500
2008-07-29,124.0,125.0,120.0,124.0,113.530731,17109000
2008-07-31,122.0,124.0,122.0,122.0,111.6996,5401500
2008-08-01,120.0,122.0,119.0,120.0,109.868454,11763500
2008-08-04,119.0,120.0,118.0,119.0,108.952881,291000
2008-08-05,119.0,123.0,116.0,119.0,108.952881,12770500
2008-08-06,118.0,119.0,116.0,118.0,108.03730800000001,14709500
2008-08-07,116.0,118.0,114.0,116.0,106.206177,11518500
2008-08-08,115.0,117.0,114.0,115.0,105.29061100000001,6642000
2008-08-11,113.0,116.0,112.0,113.0,103.45945,4988000
2008-08-12,112.0,112.0,110.0,112.0,102.54388399999999,3814500
2008-08-13,109.0,112.0,107.0,109.0,99.797173,4648000
2008-08-14,110.0,112.0,109.0,110.0,100.712753,300500
2008-08-15,108.0,109.0,108.0,108.0,98.88160699999999,1465000
2008-08-19,106.0,108.0,106.0,106.0,97.050461,736500
2008-08-20,106.0,106.0,104.0,106.0,97.050461,25085000
2008-08-21,106.0,115.0,102.0,113.0,103.45945,13953500
2008-08-22,114.0,117.0,108.0,114.0,104.375023,33828500
2008-08-25,114.0,115.0,110.0,114.0,104.375023,2826500
2008-08-26,116.0,116.0,110.0,116.0,106.206177,6335000
2008-08-27,115.0,119.0,110.0,115.0,105.29061100000001,10688000
2008-08-28,114.0,116.0,113.0,114.0,104.375023,198500
2008-08-29,115.0,115.0,113.0,115.0,105.29061100000001,1633000
2008-09-01,112.0,112.0,112.0,112.0,102.54388399999999,100000
2008-09-02,114.0,116.0,112.0,114.0,104.375023,6663000
2008-09-03,111.0,114.0,110.0,111.0,101.628326,2905000
2008-09-04,111.0,111.0,110.0,111.0,101.628326,1387500
2008-09-05,109.0,109.0,95.0,96.0,87.894768,23520500
2008-09-08,97.0,99.0,97.0,97.0,88.810326,2820500
2008-09-09,96.0,98.0,90.0,96.0,87.894768,2273500
2008-09-10,87.0,92.0,86.0,87.0,79.654625,1001500
