Date,Open,High,Low,Close,Adj Close,Volume
2001-11-01,145.0,145.0,120.0,120.0,120.0,0
2001-11-02,120.0,120.0,120.0,120.0,120.0,2500
2001-11-05,140.0,140.0,140.0,140.0,140.0,2500
2001-11-06,135.0,135.0,125.0,125.0,125.0,0
2001-11-07,130.0,140.0,130.0,140.0,140.0,30000
2001-11-08,130.0,135.0,130.0,135.0,135.0,28000
2001-11-09,135.0,135.0,135.0,135.0,135.0,0
2001-11-12,145.0,145.0,115.0,115.0,115.0,0
2001-11-13,135.0,135.0,135.0,135.0,135.0,5000
2001-11-14,145.0,145.0,145.0,145.0,145.0,500
2001-11-15,140.0,140.0,125.0,125.0,125.0,0
2001-11-16,135.0,135.0,135.0,135.0,135.0,10000
2001-11-19,135.0,135.0,130.0,130.0,130.0,21500
2001-11-20,135.0,135.0,125.0,130.0,130.0,180500
2001-11-21,135.0,135.0,130.0,130.0,130.0,50500
2001-11-22,135.0,150.0,135.0,145.0,145.0,323500
2001-11-23,150.0,155.0,145.0,150.0,150.0,338500
2001-11-26,150.0,150.0,140.0,140.0,140.0,66500
2001-11-27,135.0,150.0,135.0,150.0,150.0,3000
2001-11-28,140.0,140.0,140.0,140.0,140.0,38000
2001-11-29,150.0,150.0,145.0,150.0,150.0,384000
2001-11-30,145.0,145.0,145.0,145.0,145.0,50000
2001-12-03,140.0,140.0,140.0,140.0,140.0,24500
2001-12-04,145.0,145.0,140.0,140.0,140.0,89000
2001-12-05,145.0,165.0,145.0,165.0,165.0,1587500
2001-12-06,165.0,180.0,160.0,160.0,160.0,701500
2001-12-07,165.0,165.0,165.0,165.0,165.0,5000
2001-12-10,160.0,160.0,160.0,160.0,160.0,20000
2001-12-11,150.0,165.0,145.0,165.0,165.0,425000
2001-12-12,165.0,165.0,165.0,165.0,165.0,50000
2001-12-13,160.0,160.0,160.0,160.0,160.0,260000
2001-12-14,160.0,160.0,160.0,160.0,160.0,0
2001-12-17,160.0,160.0,160.0,160.0,160.0,0
2001-12-18,160.0,160.0,160.0,160.0,160.0,0
2001-12-19,165.0,165.0,165.0,165.0,165.0,500
2001-12-20,160.0,160.0,160.0,160.0,160.0,200000
2001-12-21,165.0,165.0,145.0,145.0,145.0,0
2001-12-24,145.0,145.0,145.0,145.0,145.0,0
2001-12-25,145.0,145.0,145.0,145.0,145.0,0
2001-12-26,160.0,160.0,160.0,160.0,160.0,75000
2001-12-27,165.0,165.0,150.0,150.0,150.0,0
2001-12-28,165.0,165.0,150.0,150.0,150.0,0
2001-12-31,150.0,150.0,150.0,150.0,150.0,0
2002-01-01,150.0,150.0,150.0,150.0,150.0,0
2002-01-02,160.0,160.0,160.0,160.0,160.0,32500
2002-01-03,160.0,160.0,160.0,160.0,160.0,0
2002-01-04,155.0,155.0,155.0,155.0,155.0,5000
2002-01-07,155.0,155.0,155.0,155.0,155.0,195000
2002-01-08,155.0,155.0,155.0,155.0,155.0,5000
2002-01-09,160.0,160.0,160.0,160.0,160.0,9000
2002-01-10,165.0,165.0,165.0,165.0,165.0,10000
2002-01-11,170.0,170.0,170.0,170.0,170.0,16500
2002-01-14,170.0,170.0,170.0,170.0,170.0,2500
2002-01-15,170.0,175.0,170.0,175.0,175.0,26500
2002-01-16,170.0,180.0,170.0,170.0,170.0,261500
2002-01-17,165.0,165.0,165.0,165.0,165.0,439500
2002-01-18,175.0,200.0,175.0,180.0,180.0,334500
2002-01-21,195.0,195.0,175.0,180.0,180.0,28000
2002-01-22,175.0,175.0,175.0,175.0,175.0,25000
2002-01-23,175.0,180.0,175.0,175.0,175.0,21500
2002-01-24,175.0,175.0,175.0,175.0,175.0,15500
2002-01-25,190.0,190.0,170.0,170.0,170.0,0
2002-01-28,185.0,185.0,165.0,165.0,165.0,0
2002-01-29,170.0,170.0,170.0,170.0,170.0,4000
2002-01-30,175.0,180.0,175.0,175.0,175.0,53000
2002-01-31,175.0,175.0,175.0,175.0,175.0,0
2002-02-01,160.0,180.0,160.0,180.0,180.0,40000
2002-02-04,180.0,180.0,140.0,140.0,140.0,0
2002-02-05,155.0,170.0,155.0,170.0,170.0,80000
2002-02-06,160.0,160.0,160.0,160.0,160.0,1000
2002-02-07,165.0,175.0,165.0,175.0,175.0,65000
2002-02-08,165.0,165.0,165.0,165.0,165.0,5000
2002-02-11,170.0,170.0,150.0,150.0,150.0,0
2002-02-12,150.0,150.0,150.0,150.0,150.0,0
2002-02-13,170.0,170.0,150.0,150.0,150.0,0
2002-02-14,165.0,165.0,150.0,150.0,150.0,0
2002-02-15,170.0,170.0,150.0,150.0,150.0,0
2002-02-18,170.0,180.0,170.0,170.0,170.0,165000
2002-02-19,165.0,170.0,165.0,170.0,170.0,50500
2002-02-20,185.0,185.0,165.0,165.0,165.0,0
2002-02-21,185.0,185.0,165.0,165.0,165.0,0
2002-02-22,165.0,165.0,165.0,165.0,165.0,0
2002-02-25,185.0,185.0,165.0,165.0,165.0,0
2002-02-26,170.0,180.0,170.0,180.0,180.0,50500
2002-02-27,170.0,170.0,170.0,170.0,170.0,508500
2002-02-28,170.0,170.0,170.0,170.0,170.0,520000
2002-03-01,170.0,170.0,170.0,170.0,170.0,500000
2002-03-04,170.0,170.0,170.0,170.0,170.0,126000
2002-03-05,175.0,175.0,175.0,175.0,175.0,5000
2002-03-06,170.0,175.0,170.0,175.0,175.0,37000
2002-03-07,175.0,175.0,175.0,175.0,175.0,31000
2002-03-08,170.0,170.0,170.0,170.0,170.0,47000
2002-03-11,175.0,175.0,175.0,175.0,175.0,25000
2002-03-12,170.0,170.0,170.0,170.0,170.0,256000
2002-03-13,170.0,170.0,170.0,170.0,170.0,40000
2002-03-14,175.0,175.0,170.0,170.0,170.0,0
2002-03-15,170.0,170.0,170.0,170.0,170.0,0
2002-03-18,170.0,170.0,170.0,170.0,170.0,13000
2002-03-19,180.0,180.0,180.0,180.0,180.0,20000
2002-03-20,170.0,175.0,170.0,175.0,175.0,22500
2002-03-21,175.0,180.0,175.0,175.0,175.0,59500
2002-03-22,175.0,175.0,170.0,170.0,170.0,510000
2002-03-25,175.0,175.0,175.0,175.0,175.0,45000
2002-03-26,180.0,180.0,175.0,175.0,175.0,0
2002-03-27,175.0,175.0,175.0,175.0,175.0,50000
2002-03-28,180.0,180.0,175.0,175.0,175.0,0
2002-03-29,175.0,175.0,175.0,175.0,175.0,0
2002-04-01,180.0,180.0,175.0,175.0,175.0,0
2002-04-02,180.0,190.0,180.0,190.0,190.0,348500
2002-04-03,200.0,200.0,175.0,175.0,175.0,0
2002-04-04,190.0,190.0,175.0,175.0,175.0,0
2002-04-05,190.0,190.0,180.0,180.0,180.0,0
2002-04-08,190.0,190.0,175.0,175.0,175.0,0
2002-04-09,180.0,180.0,180.0,180.0,180.0,5000
2002-04-10,190.0,190.0,175.0,175.0,175.0,0
2002-04-11,190.0,190.0,175.0,175.0,175.0,0
2002-04-12,190.0,200.0,190.0,200.0,200.0,33000
2002-04-15,200.0,200.0,185.0,195.0,195.0,254000
2002-04-16,180.0,180.0,180.0,180.0,180.0,35000
2002-04-17,180.0,180.0,180.0,180.0,180.0,50500
2002-04-18,175.0,180.0,175.0,180.0,180.0,50000
2002-04-19,190.0,190.0,175.0,175.0,175.0,0
2002-04-22,195.0,195.0,175.0,175.0,175.0,0
2002-04-23,185.0,185.0,180.0,180.0,180.0,0
2002-04-24,190.0,195.0,185.0,190.0,190.0,39500
2002-04-25,195.0,195.0,180.0,180.0,180.0,0
2002-04-26,195.0,195.0,180.0,180.0,180.0,0
2002-04-29,190.0,190.0,175.0,175.0,175.0,0
2002-04-30,175.0,200.0,175.0,200.0,200.0,12500
2002-05-01,180.0,180.0,180.0,180.0,180.0,13000
2002-05-02,180.0,185.0,180.0,185.0,185.0,10500
2002-05-03,185.0,185.0,180.0,180.0,180.0,0
2002-05-06,195.0,195.0,185.0,185.0,185.0,0
2002-05-07,180.0,180.0,180.0,180.0,180.0,10500
2002-05-08,195.0,195.0,180.0,180.0,180.0,0
2002-05-09,180.0,180.0,180.0,180.0,180.0,0
2002-05-10,195.0,195.0,175.0,175.0,175.0,0
2002-05-13,175.0,175.0,175.0,175.0,175.0,19500
2002-05-14,180.0,180.0,175.0,175.0,175.0,502500
2002-05-15,190.0,190.0,170.0,170.0,170.0,0
2002-05-16,185.0,185.0,175.0,175.0,175.0,0
2002-05-17,180.0,180.0,180.0,180.0,180.0,500
2002-05-20,180.0,180.0,175.0,175.0,175.0,35000
2002-05-21,175.0,180.0,175.0,180.0,180.0,217500
2002-05-22,175.0,175.0,175.0,175.0,175.0,5000
2002-05-23,175.0,175.0,175.0,175.0,175.0,223000
2002-05-24,185.0,185.0,180.0,180.0,180.0,0
2002-05-27,195.0,195.0,175.0,175.0,175.0,0
2002-05-28,175.0,175.0,175.0,175.0,175.0,20000
2002-05-29,200.0,200.0,175.0,175.0,175.0,0
