Date,Open,High,Low,Close,Adj Close,Volume
2016-05-12,112.0,120.0,94.0,94.0,94.0,88788200
2016-05-13,94.0,100.0,86.0,98.0,98.0,17552800
2016-05-16,98.0,107.0,90.0,105.0,105.0,17017900
2016-05-17,105.0,108.0,102.0,106.0,106.0,12024700
2016-05-18,106.0,106.0,103.0,106.0,106.0,4312500
2016-05-19,106.0,106.0,103.0,103.0,103.0,4315800
2016-05-20,103.0,103.0,102.0,102.0,102.0,5522800
2016-05-23,102.0,105.0,100.0,105.0,105.0,4932800
2016-05-24,105.0,105.0,103.0,105.0,105.0,1303400
2016-05-25,103.0,105.0,103.0,104.0,104.0,1171400
2016-05-26,104.0,105.0,102.0,105.0,105.0,947800
2016-05-27,103.0,105.0,103.0,103.0,103.0,668300
2016-05-30,103.0,103.0,102.0,103.0,103.0,997100
2016-05-31,103.0,104.0,103.0,104.0,104.0,339800
2016-06-01,104.0,104.0,102.0,103.0,103.0,548100
2016-06-02,103.0,104.0,102.0,104.0,104.0,635900
2016-06-03,103.0,108.0,102.0,105.0,105.0,616700
2016-06-06,103.0,104.0,103.0,104.0,104.0,190300
2016-06-07,104.0,104.0,102.0,103.0,103.0,509100
2016-06-08,103.0,104.0,102.0,103.0,103.0,866500
2016-06-09,104.0,104.0,102.0,102.0,102.0,184600
2016-06-10,103.0,103.0,100.0,103.0,103.0,1226700
2016-06-13,103.0,103.0,100.0,102.0,102.0,1065000
2016-06-14,102.0,102.0,96.0,100.0,100.0,1383300
2016-06-15,100.0,100.0,96.0,97.0,97.0,1862300
2016-06-16,97.0,100.0,95.0,100.0,100.0,709700
2016-06-17,99.0,99.0,97.0,98.0,98.0,66900
2016-06-20,98.0,100.0,97.0,100.0,100.0,180000
2016-06-21,98.0,98.0,95.0,97.0,97.0,2685400
2016-06-22,96.0,98.0,94.0,96.0,96.0,1191700
2016-06-23,96.0,97.0,96.0,96.0,96.0,55600
2016-06-24,97.0,98.0,95.0,98.0,98.0,701300
2016-06-27,97.0,103.0,96.0,103.0,103.0,1647200
2016-06-28,99.0,103.0,99.0,101.0,101.0,440000
2016-06-29,100.0,100.0,99.0,99.0,99.0,18400
2016-06-30,101.0,101.0,101.0,101.0,101.0,100
2016-07-01,101.0,101.0,100.0,100.0,100.0,10100
2016-07-11,100.0,100.0,97.0,100.0,100.0,5600
2016-07-12,98.0,100.0,94.0,97.0,97.0,187100
2016-07-13,97.0,103.0,95.0,97.0,97.0,79000
2016-07-14,100.0,100.0,98.0,98.0,98.0,35700
2016-07-15,98.0,100.0,95.0,98.0,98.0,44600
2016-07-18,98.0,98.0,97.0,97.0,97.0,122500
2016-07-19,98.0,98.0,96.0,97.0,97.0,19800
2016-07-20,98.0,98.0,95.0,95.0,95.0,238100
2016-07-21,95.0,96.0,92.0,95.0,95.0,386200
2016-07-22,95.0,99.0,95.0,95.0,95.0,184900
2016-07-25,95.0,96.0,94.0,94.0,94.0,178200
2016-07-26,94.0,97.0,94.0,95.0,95.0,87200
2016-07-27,94.0,95.0,93.0,94.0,94.0,255600
2016-07-28,94.0,95.0,94.0,95.0,95.0,800
2016-07-29,95.0,95.0,93.0,94.0,94.0,14200
2016-08-01,94.0,94.0,92.0,92.0,92.0,241600
2016-08-02,95.0,97.0,93.0,94.0,94.0,342800
2016-08-03,93.0,94.0,90.0,93.0,93.0,160700
2016-08-04,93.0,93.0,93.0,93.0,93.0,9900
2016-08-05,95.0,95.0,92.0,92.0,92.0,1255900
2016-08-08,95.0,95.0,90.0,93.0,93.0,185700
2016-08-09,94.0,94.0,92.0,94.0,94.0,87700
2016-08-10,93.0,95.0,92.0,94.0,94.0,168000
2016-08-11,95.0,96.0,93.0,93.0,93.0,88100
2016-08-12,94.0,94.0,93.0,94.0,94.0,191800
2016-08-15,94.0,96.0,93.0,95.0,95.0,413600
2016-08-16,96.0,103.0,94.0,94.0,94.0,1056600
2016-08-18,97.0,98.0,92.0,93.0,93.0,353000
2016-08-19,93.0,97.0,92.0,93.0,93.0,101400
2016-08-22,96.0,96.0,93.0,94.0,94.0,63500
2016-08-23,93.0,96.0,92.0,95.0,95.0,167800
2016-08-24,94.0,105.0,93.0,95.0,95.0,4095000
2016-08-25,98.0,98.0,94.0,95.0,95.0,323000
2016-08-26,93.0,98.0,92.0,94.0,94.0,52900
2016-08-29,94.0,97.0,94.0,96.0,96.0,30700
2016-08-30,97.0,103.0,93.0,96.0,96.0,3382100
2016-08-31,98.0,98.0,93.0,95.0,95.0,90200
2016-09-01,95.0,95.0,87.0,95.0,95.0,66200
2016-09-02,93.0,93.0,90.0,93.0,93.0,38100
2016-09-05,94.0,94.0,93.0,93.0,93.0,12700
2016-09-06,91.0,92.0,90.0,92.0,92.0,65700
2016-09-07,94.0,94.0,90.0,91.0,91.0,7200
2016-09-08,94.0,94.0,82.0,91.0,91.0,275200
2016-09-09,86.0,92.0,86.0,92.0,92.0,15500
2016-09-13,90.0,91.0,88.0,88.0,88.0,58000
2016-09-14,92.0,93.0,80.0,84.0,84.0,126100
2016-09-15,85.0,89.0,84.0,88.0,88.0,12700
