Date,Open,High,Low,Close,Adj Close,Volume
2016-12-19,150.0,175.0,150.0,175.0,175.0,13822100
2016-12-20,175.0,236.0,175.0,236.0,236.0,21835800
2016-12-21,236.0,294.0,236.0,294.0,294.0,17664500
2016-12-22,308.0,366.0,300.0,362.0,362.0,31188300
2016-12-23,372.0,408.0,350.0,354.0,354.0,52796300
2016-12-27,352.0,380.0,342.0,380.0,380.0,24989200
2016-12-28,382.0,390.0,376.0,390.0,390.0,21186300
2016-12-29,390.0,390.0,378.0,390.0,390.0,20592600
2016-12-30,390.0,390.0,382.0,390.0,390.0,22593000
2017-01-02,390.0,390.0,390.0,390.0,390.0,0
2017-01-03,388.0,388.0,380.0,384.0,384.0,15406000
2017-01-04,384.0,390.0,380.0,386.0,386.0,15244300
2017-01-05,386.0,388.0,382.0,386.0,386.0,14907300
2017-01-06,386.0,396.0,384.0,392.0,392.0,17561400
2017-01-09,392.0,394.0,388.0,388.0,388.0,16182800
2017-01-10,388.0,388.0,382.0,384.0,384.0,15375400
2017-01-11,384.0,386.0,382.0,384.0,384.0,15688100
2017-01-12,384.0,388.0,382.0,384.0,384.0,13492100
2017-01-13,382.0,382.0,374.0,382.0,382.0,13160700
2017-01-16,382.0,384.0,380.0,382.0,382.0,13190700
2017-01-17,382.0,384.0,378.0,380.0,380.0,13406500
2017-01-18,380.0,388.0,378.0,384.0,384.0,63524600
2017-01-19,384.0,386.0,380.0,382.0,382.0,13055700
2017-01-20,382.0,382.0,378.0,380.0,380.0,13308000
2017-01-23,380.0,384.0,378.0,380.0,380.0,69703800
2017-01-24,380.0,386.0,378.0,382.0,382.0,14031000
2017-01-25,386.0,386.0,382.0,382.0,382.0,13654600
2017-01-26,382.0,384.0,382.0,382.0,382.0,13560300
2017-01-27,382.0,384.0,378.0,380.0,380.0,13039900
2017-01-30,380.0,380.0,376.0,378.0,378.0,13289300
2017-01-31,380.0,380.0,376.0,380.0,380.0,13372800
2017-02-01,380.0,382.0,380.0,382.0,382.0,10981300
2017-02-02,382.0,384.0,380.0,380.0,380.0,11951500
2017-02-03,380.0,382.0,380.0,380.0,380.0,13181000
2017-02-06,380.0,382.0,376.0,378.0,378.0,14649800
2017-02-07,378.0,378.0,374.0,376.0,376.0,11676000
2017-02-08,376.0,378.0,374.0,374.0,374.0,10241900
2017-02-09,374.0,376.0,372.0,374.0,374.0,13149400
2017-02-10,374.0,376.0,372.0,376.0,376.0,10339400
2017-02-13,376.0,378.0,374.0,376.0,376.0,12632700
2017-02-14,376.0,376.0,374.0,374.0,374.0,10251400
2017-02-15,374.0,374.0,374.0,374.0,374.0,0
2017-02-16,374.0,374.0,366.0,368.0,368.0,12766500
2017-02-17,368.0,368.0,364.0,364.0,364.0,10097700
2017-02-20,364.0,366.0,362.0,364.0,364.0,11708100
2017-02-21,364.0,364.0,360.0,360.0,360.0,10623200
2017-02-22,360.0,360.0,358.0,358.0,358.0,11086600
2017-02-23,358.0,358.0,356.0,356.0,356.0,10264700
2017-02-24,356.0,358.0,356.0,358.0,358.0,10528800
2017-02-27,358.0,358.0,356.0,358.0,358.0,10350000
2017-02-28,358.0,362.0,358.0,360.0,360.0,10366900
2017-03-01,360.0,364.0,360.0,362.0,362.0,10556000
2017-03-02,362.0,366.0,362.0,366.0,366.0,10164400
2017-03-03,366.0,368.0,362.0,362.0,362.0,10215400
2017-03-06,362.0,366.0,360.0,362.0,362.0,11274100
2017-03-07,362.0,362.0,358.0,358.0,358.0,10430300
2017-03-08,358.0,360.0,356.0,356.0,356.0,10544900
2017-03-09,352.0,356.0,352.0,352.0,352.0,8868700
2017-03-10,352.0,352.0,348.0,348.0,348.0,10311700
2017-03-13,348.0,352.0,336.0,352.0,352.0,11574500
2017-03-14,352.0,360.0,352.0,360.0,360.0,10457500
2017-03-15,360.0,360.0,358.0,358.0,358.0,10337300
2017-03-16,358.0,362.0,356.0,362.0,362.0,10783000
2017-03-17,362.0,362.0,360.0,360.0,360.0,10555600
2017-03-20,360.0,360.0,356.0,360.0,360.0,10729200
2017-03-21,360.0,362.0,358.0,362.0,362.0,10466100
2017-03-22,362.0,362.0,360.0,362.0,362.0,10356500
2017-03-23,362.0,364.0,360.0,364.0,364.0,10875600
2017-03-24,364.0,364.0,362.0,362.0,362.0,10305800
2017-03-27,360.0,360.0,356.0,360.0,360.0,10309200
2017-03-29,360.0,366.0,360.0,366.0,366.0,11462300
