Date,Open,High,Low,Close,Adj Close,Volume
2001-07-19,75.0,97.5,72.5,85.0,52.382824,19806000
2001-07-20,77.5,87.5,75.0,85.0,52.382824,2708000
2001-07-23,77.5,77.5,75.0,75.0,46.220135,88000
2001-07-24,75.0,76.25,72.5,72.5,44.67947,618000
2001-07-25,70.0,71.25,62.5,62.5,38.516785,290000
2001-07-26,61.25,65.0,60.0,60.0,36.976112,126000
2001-07-27,57.5,63.75,57.5,57.5,35.435444,640000
2001-07-30,52.5,52.5,52.5,52.5,32.354099,70000
2001-07-31,50.0,50.0,50.0,50.0,30.813429,40000
2001-08-01,45.0,50.0,45.0,50.0,30.813429,258000
2001-08-02,48.75,50.0,48.75,50.0,30.813429,26000
2001-08-03,50.0,71.25,50.0,70.0,43.138798,3666000
2001-08-06,76.25,87.5,72.5,73.75,45.449806,6096000
2001-08-07,72.5,78.75,68.75,71.25,43.909126,5264000
2001-08-08,68.75,71.25,48.75,50.0,30.813429,10282000
2001-08-09,51.25,53.75,47.5,51.25,31.583759000000004,4110000
2001-08-10,52.5,52.5,45.0,48.75,30.043090999999997,5398000
2001-08-13,46.25,48.75,46.25,48.75,30.043090999999997,258000
2001-08-14,47.5,47.5,46.25,47.5,29.272755,308000
2001-08-15,46.25,48.75,46.25,48.75,30.043090999999997,578000
2001-08-16,46.25,47.5,46.25,46.25,28.50242,184000
2001-08-20,46.25,47.5,45.0,45.0,27.732084000000004,810000
2001-08-21,43.75,46.25,42.5,46.25,28.50242,670000
2001-08-22,42.5,46.25,42.5,46.25,28.50242,168000
2001-08-23,43.75,46.25,43.75,43.75,26.961746,256000
2001-08-24,43.75,43.75,43.75,43.75,26.961746,70000
2001-08-27,43.75,43.75,43.75,43.75,26.961746,104000
2001-08-28,43.75,51.25,43.75,51.25,31.583759000000004,1774000
2001-08-29,52.5,57.5,52.5,56.25,34.665104,4884000
2001-08-30,56.25,57.5,50.0,50.0,30.813429,1710000
2001-08-31,50.0,57.5,48.75,55.0,33.894768,6422000
2001-09-03,56.25,57.5,55.0,57.5,35.435444,4170000
2001-09-04,58.75,58.75,53.75,57.5,35.435444,3374000
2001-09-05,55.0,55.0,43.75,45.0,27.732084000000004,5638000
2001-09-06,45.0,46.25,43.75,45.0,27.732084000000004,3272000
2001-09-07,45.0,45.0,43.75,43.75,26.961746,1192000
2001-09-10,43.75,45.0,43.75,45.0,27.732084000000004,178000
2001-09-11,43.75,45.0,42.5,42.5,26.191412,1034000
2001-09-12,40.0,42.5,40.0,42.5,26.191412,912000
2001-09-13,42.5,42.5,42.5,42.5,26.191412,220000
2001-09-14,41.25,41.25,40.0,40.0,24.650742,336000
2001-09-17,37.5,37.5,36.25,36.25,22.339735,130000
2001-09-18,37.5,38.75,37.5,37.5,23.110067,208000
2001-09-19,38.75,40.0,38.75,38.75,23.880404000000002,36000
2001-09-20,38.75,38.75,37.5,37.5,23.110067,80000
2001-09-21,37.5,37.5,36.25,36.25,22.339735,0
2001-09-25,37.5,37.5,36.25,36.25,22.339735,156000
2001-09-26,35.0,35.0,33.75,33.75,20.799061,350000
2001-09-27,32.5,33.75,31.25,32.5,20.028728,414000
2001-10-01,32.5,32.5,32.5,32.5,20.028728,108000
2001-10-02,32.5,32.5,32.5,32.5,20.028728,300000
2001-10-03,31.25,32.5,31.25,32.5,20.028728,576000
2001-10-04,35.0,35.0,35.0,35.0,21.569399,60000
2001-10-05,31.25,31.25,31.25,31.25,19.258392,6000
2001-10-08,32.5,33.75,32.5,32.5,20.028728,80000
2001-10-09,32.5,32.5,32.5,32.5,20.028728,20000
2001-10-10,32.5,32.5,31.25,31.25,19.258392,170000
2001-10-11,31.25,31.25,31.25,31.25,19.258392,210000
2001-10-12,31.25,31.25,31.25,31.25,19.258392,82000
2001-10-16,35.0,35.0,31.25,31.25,19.258392,0
2001-10-17,31.25,31.25,31.25,31.25,19.258392,240000
2001-10-18,31.25,31.25,31.25,31.25,19.258392,60000
2001-10-19,33.75,33.75,33.75,33.75,20.799061,2000
2001-10-22,33.75,33.75,31.25,31.25,19.258392,0
2001-10-23,33.75,33.75,31.25,31.25,19.258392,0
2001-10-24,32.5,32.5,32.5,32.5,20.028728,4000
2001-10-25,32.5,32.5,32.5,32.5,20.028728,70000
2001-10-26,32.5,32.5,32.5,32.5,20.028728,140000
2001-10-29,31.25,31.25,31.25,31.25,19.258392,20000
2001-10-30,31.25,31.25,31.25,31.25,19.258392,110000
2001-10-31,31.25,32.5,31.25,31.25,19.258392,460000
2001-11-01,31.25,31.25,31.25,31.25,19.258392,420000
2001-11-02,31.25,32.5,31.25,31.25,19.258392,98000
2001-11-05,31.25,31.25,31.25,31.25,19.258392,350000
2001-11-06,32.5,32.5,31.25,31.25,19.258392,0
2001-11-07,31.25,31.25,31.25,31.25,19.258392,506000
2001-11-08,31.25,31.25,31.25,31.25,19.258392,40000
2001-11-12,31.25,31.25,30.0,30.0,18.488056,22000
2001-11-13,30.0,30.0,30.0,30.0,18.488056,114000
2001-11-14,32.5,32.5,31.25,31.25,19.258392,52000
2001-11-15,32.5,32.5,32.5,32.5,20.028728,62000
2001-11-16,33.75,33.75,32.5,32.5,20.028728,0
2001-11-19,31.25,31.25,31.25,31.25,19.258392,80000
2001-11-20,31.25,31.25,25.0,25.0,15.406714000000001,0
2001-11-21,31.25,31.25,25.0,25.0,15.406714000000001,0
2001-11-23,31.25,31.25,30.0,30.0,18.488056,294000
2001-11-26,31.25,31.25,27.5,27.5,16.947384,0
2001-11-27,30.0,31.25,30.0,31.25,19.258392,212000
2001-11-28,33.75,33.75,25.0,25.0,15.406714000000001,0
2001-11-29,31.25,31.25,31.25,31.25,19.258392,64000
2001-11-30,31.25,31.25,31.25,31.25,19.258392,40000
2001-12-03,31.25,31.25,31.25,31.25,19.258392,260000
2001-12-04,31.25,31.25,31.25,31.25,19.258392,80000
2001-12-05,31.25,32.5,31.25,31.25,19.258392,150000
2001-12-06,32.5,32.5,31.25,31.25,19.258392,238000
2001-12-07,30.0,30.0,30.0,30.0,18.488056,40000
2001-12-10,32.5,32.5,30.0,30.0,18.488056,0
2001-12-11,31.25,31.25,31.25,31.25,19.258392,40000
2001-12-12,31.25,31.25,31.25,31.25,19.258392,20000
2001-12-13,31.25,31.25,31.25,31.25,19.258392,90000
2001-12-19,33.75,33.75,30.0,30.0,18.488056,0
2001-12-20,31.25,31.25,30.0,30.0,18.488056,0
2001-12-21,31.25,31.25,30.0,30.0,18.488056,0
2001-12-26,33.75,33.75,30.0,30.0,18.488056,0
2001-12-27,30.0,30.0,30.0,30.0,18.488056,60000
2001-12-28,33.75,33.75,30.0,30.0,18.488056,0
2002-01-02,33.75,33.75,30.0,30.0,18.488056,0
2002-01-04,30.0,30.0,30.0,30.0,18.488056,68000
2002-01-07,31.25,31.25,30.0,30.0,18.488056,0
2002-01-08,31.25,31.25,30.0,30.0,18.488056,0
2002-01-09,30.0,30.0,30.0,30.0,18.488056,220000
2002-01-10,31.25,31.25,31.25,31.25,19.258392,90000
2002-01-11,30.0,30.0,30.0,30.0,18.488056,142000
2002-01-14,30.0,30.0,30.0,30.0,18.488056,40000
2002-01-15,31.25,31.25,30.0,30.0,18.488056,940000
2002-01-16,31.25,31.25,31.25,31.25,19.258392,20000
2002-01-17,32.5,35.0,32.5,32.5,20.028728,218000
2002-01-18,35.0,35.0,32.5,32.5,20.028728,0
2002-01-21,32.5,33.75,32.5,33.75,20.799061,108000
2002-01-22,33.75,35.0,33.75,33.75,20.799061,114000
2002-01-23,35.0,35.0,35.0,35.0,21.569399,60000
2002-01-24,30.0,36.25,30.0,36.25,22.339735,1110000
2002-01-25,36.25,46.25,36.25,46.25,28.50242,1190000
2002-01-28,46.25,50.0,46.25,50.0,30.813429,680000
2002-01-29,46.25,46.25,46.25,46.25,28.50242,2000
2002-01-30,47.5,47.5,42.5,42.5,26.191412,0
2002-02-01,33.75,45.0,33.75,45.0,27.732084000000004,32000
2002-02-04,47.5,47.5,32.5,32.5,20.028728,0
2002-02-05,46.25,46.25,37.5,37.5,23.110067,0
2002-02-06,46.25,46.25,35.0,35.0,21.569399,0
2002-02-07,43.75,43.75,35.0,35.0,21.569399,0
2002-02-08,43.75,43.75,35.0,35.0,21.569399,0
2002-02-11,45.0,45.0,31.25,31.25,19.258392,0
2002-02-13,43.75,43.75,32.5,32.5,20.028728,0
2002-02-14,43.75,43.75,32.5,32.5,20.028728,0
2002-02-15,43.75,43.75,32.5,32.5,20.028728,0
2002-02-18,45.0,45.0,33.75,33.75,20.799061,0
2002-02-19,31.25,41.25,31.25,41.25,25.421076,22000
2002-02-20,41.25,41.25,32.5,32.5,20.028728,0
2002-02-21,33.75,33.75,33.75,33.75,20.799061,2000
2002-02-25,36.25,36.25,32.5,32.5,20.028728,0
2002-02-26,32.5,32.5,32.5,32.5,20.028728,20000
2002-02-28,41.25,41.25,31.25,31.25,19.258392,0
2002-03-04,30.0,38.75,30.0,38.75,23.880404000000002,60000
2002-03-05,45.0,45.0,32.5,32.5,20.028728,0
