Date,Open,High,Low,Close,Adj Close,Volume
2018-10-31,198.0,198.0,108.0,108.0,108.0,403307700
2018-11-01,112.0,117.0,106.0,111.0,111.0,87264300
2018-11-02,113.0,149.0,109.0,149.0,149.0,270684100
2018-11-05,147.0,147.0,117.0,120.0,120.0,187002100
2018-11-06,121.0,129.0,117.0,121.0,121.0,98711100
2018-11-07,122.0,124.0,118.0,119.0,119.0,37401500
2018-11-08,120.0,123.0,117.0,117.0,117.0,58162200
2018-11-09,117.0,119.0,110.0,111.0,111.0,36129800
2018-11-12,112.0,118.0,108.0,110.0,110.0,42876900
2018-11-13,111.0,117.0,108.0,115.0,115.0,71074700
2018-11-14,113.0,120.0,111.0,113.0,113.0,31534400
2018-11-15,114.0,115.0,110.0,113.0,113.0,19227300
2018-11-16,111.0,113.0,110.0,111.0,111.0,10731800
2018-11-19,112.0,112.0,109.0,110.0,110.0,10340100
2018-11-20,110.0,110.0,110.0,110.0,110.0,0
2018-11-21,110.0,110.0,103.0,107.0,107.0,18988700
2018-11-22,108.0,110.0,103.0,104.0,104.0,22710000
2018-11-23,102.0,107.0,102.0,106.0,106.0,15178500
2018-11-26,104.0,107.0,99.0,102.0,102.0,16068200
2018-11-27,103.0,103.0,100.0,100.0,100.0,11645000
2018-11-28,99.0,110.0,96.0,104.0,104.0,40013600
2018-11-29,105.0,107.0,103.0,103.0,103.0,45456700
2018-11-30,102.0,105.0,102.0,104.0,104.0,4588900
2018-12-03,104.0,105.0,101.0,104.0,104.0,6386700
2018-12-04,101.0,108.0,101.0,105.0,105.0,9377200
2018-12-05,106.0,106.0,102.0,104.0,104.0,5862100
2018-12-06,106.0,106.0,102.0,104.0,104.0,21914800
2018-12-07,104.0,104.0,101.0,101.0,101.0,4475500
2018-12-10,102.0,103.0,98.0,98.0,98.0,9289500
2018-12-11,98.0,102.0,96.0,100.0,100.0,8087300
2018-12-12,99.0,102.0,98.0,100.0,100.0,6897000
2018-12-13,100.0,102.0,99.0,100.0,100.0,3961300
2018-12-14,100.0,104.0,99.0,102.0,102.0,24064400
2018-12-17,105.0,105.0,100.0,100.0,100.0,1029800
2018-12-18,100.0,100.0,99.0,99.0,99.0,1874500
2018-12-19,99.0,100.0,98.0,99.0,99.0,1826900
2018-12-20,100.0,102.0,97.0,99.0,99.0,7023400
2018-12-21,99.0,100.0,98.0,98.0,98.0,1649500
2018-12-24,98.0,98.0,98.0,98.0,98.0,0
2018-12-25,98.0,98.0,98.0,98.0,98.0,0
2018-12-26,96.0,98.0,95.0,95.0,95.0,3231900
2018-12-27,90.0,97.0,90.0,94.0,94.0,2967800
2018-12-28,95.0,97.0,94.0,94.0,94.0,3279100
2018-12-31,94.0,94.0,94.0,94.0,94.0,0
2019-01-01,94.0,94.0,94.0,94.0,94.0,0
2019-01-02,94.0,100.0,92.0,96.0,96.0,14391300
2019-01-03,96.0,98.0,94.0,96.0,96.0,3063700
2019-01-04,98.0,98.0,95.0,95.0,95.0,2026000
2019-01-07,95.0,98.0,95.0,96.0,96.0,3698400
2019-01-08,96.0,100.0,96.0,99.0,99.0,2747900
2019-01-09,99.0,100.0,98.0,99.0,99.0,1454500
2019-01-10,99.0,99.0,96.0,97.0,97.0,3177300
2019-01-11,99.0,99.0,96.0,97.0,97.0,1924600
2019-01-14,97.0,99.0,96.0,97.0,97.0,2002100
2019-01-15,98.0,98.0,96.0,97.0,97.0,1524400
2019-01-16,97.0,100.0,97.0,100.0,100.0,2139900
2019-01-17,100.0,102.0,99.0,99.0,99.0,2796200
2019-01-18,99.0,99.0,97.0,98.0,98.0,2504400
2019-01-21,98.0,102.0,98.0,100.0,100.0,7305300
2019-01-22,101.0,101.0,98.0,100.0,100.0,1558800
2019-01-23,99.0,100.0,98.0,99.0,99.0,1157700
2019-01-24,100.0,100.0,98.0,98.0,98.0,695500
2019-01-25,98.0,103.0,98.0,101.0,101.0,11498200
2019-01-28,102.0,102.0,99.0,99.0,99.0,2259400
2019-01-29,99.0,100.0,98.0,98.0,98.0,1168400
2019-01-30,100.0,100.0,97.0,97.0,97.0,1178900
2019-01-31,98.0,100.0,97.0,99.0,99.0,2126600
2019-02-01,99.0,100.0,97.0,99.0,99.0,2540400
2019-02-04,99.0,133.0,98.0,133.0,133.0,111427000
2019-02-05,133.0,133.0,133.0,133.0,133.0,0
2019-02-06,136.0,144.0,113.0,113.0,113.0,66259300
2019-02-07,116.0,152.0,113.0,152.0,152.0,98679000
2019-02-08,154.0,185.0,143.0,149.0,149.0,74429500
2019-02-11,149.0,155.0,141.0,145.0,145.0,9262600
2019-02-12,146.0,164.0,137.0,146.0,146.0,26977200
2019-02-13,146.0,158.0,142.0,145.0,145.0,10803200
2019-02-14,148.0,167.0,143.0,159.0,159.0,59813100
2019-02-15,159.0,167.0,154.0,162.0,162.0,13110400
2019-02-18,155.0,170.0,155.0,159.0,159.0,5705700
2019-02-19,157.0,166.0,150.0,162.0,162.0,10463600
2019-02-20,160.0,167.0,159.0,163.0,163.0,23827300
2019-02-21,162.0,162.0,158.0,160.0,160.0,1938200
2019-02-22,160.0,164.0,158.0,162.0,162.0,1780900
2019-02-25,165.0,173.0,160.0,167.0,167.0,12776800
2019-02-26,171.0,171.0,160.0,163.0,163.0,45545000
2019-02-27,167.0,167.0,150.0,154.0,154.0,3769400
2019-02-28,158.0,158.0,144.0,145.0,145.0,3587400
2019-03-01,145.0,152.0,142.0,146.0,146.0,1057900
2019-03-04,150.0,170.0,147.0,156.0,156.0,10682900
2019-03-05,161.0,161.0,154.0,156.0,156.0,12089600
2019-03-06,160.0,160.0,151.0,153.0,153.0,655400
2019-03-07,153.0,153.0,153.0,153.0,153.0,0
2019-03-08,157.0,157.0,146.0,146.0,146.0,703200
2019-03-11,151.0,165.0,143.0,156.0,156.0,3598100
2019-03-12,159.0,169.0,154.0,163.0,163.0,9506900
2019-03-13,162.0,166.0,157.0,159.0,159.0,1227900
2019-03-14,152.0,165.0,152.0,158.0,158.0,2064400
2019-03-15,160.0,165.0,159.0,159.0,159.0,924400
2019-03-18,155.0,166.0,155.0,163.0,163.0,5413200
2019-03-19,159.0,167.0,159.0,161.0,161.0,303400
2019-03-20,160.0,216.0,160.0,216.0,216.0,42892300
2019-03-21,220.0,270.0,208.0,270.0,270.0,37904900
2019-03-22,278.0,336.0,276.0,332.0,332.0,33301000
2019-03-25,326.0,360.0,304.0,318.0,318.0,18962900
2019-03-26,314.0,328.0,288.0,302.0,302.0,4004200
2019-03-27,296.0,356.0,282.0,352.0,352.0,134157000
2019-03-28,358.0,444.0,330.0,342.0,342.0,349502700
2019-03-29,342.0,354.0,256.0,256.0,256.0,47364900
2019-04-01,240.0,240.0,192.0,192.0,192.0,4251200
2019-04-02,190.0,248.0,137.0,246.0,246.0,84199500
2019-04-03,246.0,246.0,246.0,246.0,246.0,0
2019-04-04,252.0,306.0,185.0,185.0,185.0,2031326300
