Date,Open,High,Low,Close,Adj Close,Volume
2001-05-03,120.0,120.0,112.5,112.5,77.402962,0
2001-05-04,117.5,117.5,117.5,117.5,80.843094,20000
2001-05-08,117.5,117.5,117.5,117.5,80.843094,87000
2001-05-09,117.5,122.5,117.5,117.5,80.843094,526000
2001-05-10,122.5,122.5,115.0,115.0,79.123039,107000
2001-05-11,117.5,122.5,117.5,117.5,80.843094,355000
2001-05-14,117.5,127.5,117.5,125.0,86.00329599999999,940000
2001-05-15,127.5,132.5,127.5,132.5,91.163498,347000
2001-05-16,132.5,142.5,132.5,137.5,94.60363000000001,883000
2001-05-17,140.0,145.0,130.0,130.0,89.443428,604000
2001-05-18,135.0,137.5,130.0,130.0,89.443428,741000
2001-05-21,122.5,125.0,122.5,125.0,86.00329599999999,60000
2001-05-22,122.5,125.0,122.5,125.0,86.00329599999999,179000
2001-05-23,125.0,132.5,125.0,130.0,89.443428,168000
2001-05-25,130.0,130.0,130.0,130.0,89.443428,107000
2001-05-28,125.0,125.0,122.5,122.5,84.283226,0
2001-05-29,132.5,140.0,132.5,132.5,91.163498,603000
2001-05-30,137.5,137.5,130.0,132.5,91.163498,115000
2001-05-31,132.5,132.5,132.5,132.5,91.163498,25000
2001-06-01,127.5,127.5,127.5,127.5,87.723366,20000
2001-06-05,122.5,125.0,120.0,122.5,84.283226,188000
2001-06-06,127.5,127.5,127.5,127.5,87.723366,61000
2001-06-07,125.0,125.0,122.5,122.5,84.283226,205000
2001-06-08,120.0,120.0,120.0,120.0,82.563164,12000
2001-06-11,127.5,132.5,125.0,132.5,91.163498,158000
2001-06-12,132.5,132.5,125.0,125.0,86.00329599999999,0
2001-06-13,130.0,132.5,125.0,132.5,91.163498,115000
2001-06-14,132.5,132.5,127.5,127.5,87.723366,0
2001-06-15,132.5,135.0,132.5,132.5,91.163498,68000
2001-06-18,135.0,135.0,127.5,127.5,87.723366,0
2001-06-19,130.0,130.0,130.0,130.0,89.443428,52000
2001-06-20,135.0,135.0,132.5,135.0,92.88356,87000
2001-06-21,132.5,135.0,130.0,132.5,91.163498,630000
2001-06-22,135.0,137.5,132.5,132.5,91.163498,566000
2001-06-25,135.0,137.5,135.0,135.0,92.88356,126000
2001-06-26,137.5,137.5,135.0,137.5,94.60363000000001,47000
2001-06-27,135.0,137.5,135.0,135.0,92.88356,302000
2001-06-28,132.5,132.5,130.0,130.0,89.443428,102000
2001-06-29,135.0,135.0,135.0,135.0,92.88356,100000
2001-07-02,135.0,135.0,130.0,130.0,89.443428,0
2001-07-03,132.5,147.5,132.5,145.0,99.763824,5455000
2001-07-04,142.5,145.0,137.5,137.5,94.60363000000001,885000
2001-07-05,137.5,142.5,137.5,137.5,94.60363000000001,510000
2001-07-06,140.0,145.0,140.0,145.0,99.763824,1088000
2001-07-09,142.5,142.5,140.0,140.0,96.32369200000001,159000
2001-07-10,142.5,142.5,140.0,142.5,98.043755,762000
2001-07-11,142.5,145.0,140.0,140.0,96.32369200000001,140000
2001-07-12,142.5,145.0,140.0,142.5,98.043755,84000
2001-07-13,142.5,145.0,140.0,140.0,96.32369200000001,275000
2001-07-16,145.0,145.0,142.5,142.5,98.043755,425000
2001-07-17,142.5,142.5,140.0,140.0,96.32369200000001,86000
2001-07-18,142.5,145.0,142.5,142.5,98.043755,211000
2001-07-19,145.0,145.0,142.5,142.5,98.043755,388000
2001-07-20,142.5,142.5,140.0,142.5,98.043755,441000
2001-07-23,140.0,147.5,140.0,142.5,98.043755,124000
2001-07-24,142.5,142.5,140.0,140.0,96.32369200000001,902000
2001-07-25,137.5,142.5,137.5,140.0,96.32369200000001,219000
2001-07-26,140.0,140.0,140.0,140.0,96.32369200000001,40000
2001-07-27,137.5,137.5,137.5,137.5,94.60363000000001,20000
2001-07-30,135.0,135.0,135.0,135.0,92.88356,51000
2001-07-31,135.0,135.0,135.0,135.0,92.88356,149000
2001-08-01,135.0,135.0,130.0,130.0,89.443428,100000
2001-08-02,130.0,130.0,130.0,130.0,89.443428,30000
2001-08-03,135.0,135.0,130.0,130.0,89.443428,0
2001-08-06,132.5,132.5,132.5,132.5,91.163498,30000
2001-08-07,132.5,132.5,130.0,130.0,89.443428,0
2001-08-08,137.5,137.5,135.0,135.0,92.88356,32000
2001-08-09,132.5,132.5,130.0,130.0,89.443428,26000
2001-08-10,135.0,135.0,132.5,132.5,91.163498,23000
2001-08-13,135.0,135.0,135.0,135.0,92.88356,5000
2001-08-14,135.0,135.0,135.0,135.0,92.88356,17000
2001-08-15,132.5,132.5,132.5,132.5,91.163498,20000
2001-08-16,122.5,135.0,122.5,130.0,89.443428,7000
2001-08-20,130.0,130.0,130.0,130.0,89.443428,28000
2001-08-21,132.5,132.5,132.5,132.5,91.163498,21000
2001-08-22,135.0,135.0,130.0,130.0,89.443428,0
2001-08-23,132.5,132.5,130.0,130.0,89.443428,61000
2001-08-24,132.5,132.5,127.5,127.5,87.723366,0
2001-08-27,130.0,130.0,125.0,125.0,86.00329599999999,0
2001-08-28,125.0,127.5,125.0,127.5,87.723366,26000
2001-08-29,127.5,130.0,127.5,130.0,89.443428,178000
2001-08-30,127.5,127.5,122.5,122.5,84.283226,115000
2001-08-31,122.5,127.5,122.5,127.5,87.723366,65000
2001-09-03,127.5,127.5,122.5,122.5,84.283226,0
2001-09-04,120.0,120.0,120.0,120.0,82.563164,20000
2001-09-05,117.5,117.5,117.5,117.5,80.843094,25000
2001-09-06,125.0,125.0,125.0,125.0,86.00329599999999,4000
2001-09-07,127.5,130.0,125.0,125.0,86.00329599999999,340000
2001-09-10,127.5,127.5,125.0,125.0,86.00329599999999,27000
2001-09-11,127.5,135.0,127.5,127.5,87.723366,1072000
2001-09-12,125.0,125.0,120.0,120.0,82.563164,190000
2001-09-13,125.0,127.5,125.0,125.0,86.00329599999999,131000
2001-09-14,120.0,120.0,120.0,120.0,82.563164,30000
2001-09-17,115.0,115.0,112.5,112.5,77.402962,212000
2001-09-18,115.0,117.5,115.0,117.5,80.843094,25000
2001-09-19,117.5,117.5,117.5,117.5,80.843094,2000
2001-09-20,117.5,117.5,115.0,115.0,79.123039,30000
2001-09-21,115.0,115.0,105.0,107.5,73.96283000000001,1019000
2001-09-25,110.0,110.0,105.0,105.0,72.242767,0
2001-09-26,100.0,102.5,100.0,102.5,70.522697,30000
2001-09-27,102.5,105.0,102.5,105.0,72.242767,23000
2001-10-01,105.0,105.0,100.0,100.0,68.802635,30000
2001-10-02,100.0,100.0,100.0,100.0,68.802635,10000
2001-10-03,97.5,97.5,97.5,97.5,67.082565,5000
2001-10-04,100.0,100.0,97.5,97.5,67.082565,40000
2001-10-05,105.0,105.0,97.5,97.5,67.082565,0
2001-10-08,90.0,90.0,90.0,90.0,61.922371,141000
2001-10-09,102.5,102.5,92.5,92.5,63.642441000000005,0
2001-10-10,92.5,92.5,92.5,92.5,63.642441000000005,20000
2001-10-11,105.0,105.0,92.5,92.5,63.642441000000005,0
2001-10-12,102.5,102.5,97.5,97.5,67.082565,0
2001-10-16,102.5,102.5,90.0,90.0,61.922371,0
2001-10-17,105.0,105.0,92.5,92.5,63.642441000000005,0
2001-10-18,92.5,100.0,92.5,92.5,63.642441000000005,60000
2001-10-19,100.0,100.0,100.0,100.0,68.802635,35000
2001-10-22,100.0,100.0,95.0,95.0,65.362503,0
2001-10-23,102.5,102.5,95.0,95.0,65.362503,0
2001-10-24,100.0,100.0,100.0,100.0,68.802635,10000
2001-10-25,97.5,97.5,97.5,97.5,67.082565,5000
2001-10-26,100.0,100.0,92.5,92.5,63.642441000000005,0
2001-10-29,100.0,100.0,95.0,95.0,65.362503,0
2001-10-30,102.5,102.5,92.5,92.5,63.642441000000005,0
2001-10-31,97.5,97.5,90.0,90.0,61.922371,0
2001-11-01,95.0,95.0,95.0,95.0,65.362503,2000
