Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,660.0,825.0,650.0,825.0,825.0,55100
2018-09-25,990.0,1030.0,990.0,1030.0,1030.0,5480900
2018-09-26,1100.0,1285.0,1100.0,1230.0,1230.0,12874000
2018-09-27,1240.0,1300.0,1165.0,1230.0,1230.0,3285000
2018-09-28,1230.0,1265.0,1215.0,1230.0,1230.0,4365300
2018-10-01,1230.0,1230.0,1100.0,1200.0,1200.0,1239100
2018-10-02,1195.0,1195.0,1035.0,1040.0,1040.0,1304500
2018-10-03,1020.0,1020.0,780.0,1015.0,1015.0,8574400
2018-10-04,1010.0,1010.0,865.0,930.0,930.0,1366700
2018-10-05,920.0,920.0,780.0,780.0,780.0,1370500
2018-10-08,780.0,780.0,600.0,650.0,650.0,3024500
2018-10-09,645.0,810.0,505.0,810.0,810.0,4280400
2018-10-10,840.0,1010.0,840.0,970.0,970.0,2448400
2018-10-11,950.0,1080.0,895.0,975.0,975.0,2056300
2018-10-12,1000.0,1000.0,905.0,930.0,930.0,1005800
2018-10-15,925.0,970.0,805.0,805.0,805.0,1097300
2018-10-16,805.0,1005.0,805.0,1005.0,1005.0,1071800
2018-10-17,1010.0,1160.0,1010.0,1130.0,1130.0,2983900
2018-10-18,1130.0,1195.0,1015.0,1145.0,1145.0,1965000
2018-10-19,1145.0,1170.0,1080.0,1080.0,1080.0,2002900
2018-10-22,1080.0,1115.0,1030.0,1030.0,1030.0,700700
2018-10-23,1030.0,1050.0,980.0,990.0,990.0,406800
2018-10-24,990.0,1180.0,945.0,990.0,990.0,1348000
2018-10-25,990.0,1135.0,980.0,1055.0,1055.0,989700
2018-10-26,1080.0,1100.0,1055.0,1055.0,1055.0,430600
2018-10-29,1055.0,1055.0,980.0,1050.0,1050.0,313700
2018-10-30,1045.0,1045.0,965.0,965.0,965.0,655500
2018-10-31,945.0,965.0,900.0,945.0,945.0,198500
2018-11-01,950.0,975.0,810.0,940.0,940.0,826700
2018-11-02,940.0,940.0,855.0,940.0,940.0,152500
