Date,Open,High,Low,Close,Adj Close,Volume
2014-07-11,187.0,187.0,149.0,187.0,187.0,2324700
2014-07-14,252.0,252.0,252.0,252.0,252.0,371700
2014-07-15,304.0,315.0,260.0,304.0,304.0,21220000
2014-07-16,302.0,306.0,299.0,302.0,302.0,13327200
2014-07-17,295.0,308.0,295.0,295.0,295.0,4202900
2014-07-18,287.0,299.0,287.0,287.0,287.0,482800
2014-07-21,233.0,287.0,230.0,233.0,233.0,769900
2014-07-22,205.0,250.0,202.0,205.0,205.0,534700
2014-07-23,191.0,206.0,190.0,191.0,191.0,399300
2014-07-24,196.0,196.0,188.0,196.0,196.0,2771600
2014-07-25,195.0,196.0,183.0,195.0,195.0,7391100
2014-08-04,198.0,205.0,190.0,198.0,198.0,125600
2014-08-05,195.0,200.0,195.0,195.0,195.0,71000
2014-08-06,200.0,200.0,183.0,200.0,200.0,323300
2014-08-07,209.0,210.0,197.0,209.0,209.0,5377500
2014-08-08,217.0,217.0,207.0,217.0,217.0,13584200
2014-08-11,212.0,220.0,211.0,212.0,212.0,6253600
2014-08-12,218.0,220.0,207.0,218.0,218.0,22302900
2014-08-13,224.0,227.0,219.0,224.0,224.0,15139800
2014-08-14,229.0,230.0,220.0,229.0,229.0,16757400
2014-08-15,235.0,246.0,228.0,235.0,235.0,29287000
2014-08-18,233.0,243.0,233.0,233.0,233.0,587000
2014-08-19,233.0,235.0,222.0,233.0,233.0,10167800
2014-08-20,241.0,243.0,233.0,241.0,241.0,28821200
2014-08-21,250.0,250.0,239.0,250.0,250.0,23348200
2014-08-22,249.0,252.0,245.0,249.0,249.0,10796700
2014-08-25,240.0,253.0,240.0,240.0,240.0,18693100
2014-08-26,240.0,245.0,232.0,240.0,240.0,13961900
2014-08-27,254.0,254.0,232.0,254.0,254.0,50204600
2014-08-28,263.0,266.0,254.0,263.0,263.0,26173700
2014-08-29,264.0,271.0,263.0,264.0,264.0,19803200
2014-09-01,262.0,271.0,255.0,262.0,262.0,40719500
2014-09-02,275.0,277.0,261.0,275.0,275.0,65005900
2014-09-03,260.0,276.0,252.0,260.0,260.0,45876100
2014-09-04,243.0,261.0,242.0,243.0,243.0,43209800
2014-09-05,245.0,250.0,243.0,245.0,245.0,655500
2014-09-08,241.0,250.0,233.0,241.0,241.0,36536700
2014-09-09,226.0,245.0,226.0,226.0,226.0,1531600
