Date,Open,High,Low,Close,Adj Close,Volume
2008-02-06,450.0,550.0,440.0,515.0,425.001404,804916500
2008-02-11,500.0,530.0,440.0,460.0,379.612946,230770500
2008-02-12,470.0,485.0,465.0,470.0,387.865417,117528000
2008-02-13,460.0,480.0,460.0,460.0,379.612946,36434500
2008-02-14,465.0,475.0,455.0,465.0,383.739166,48411000
2008-02-15,460.0,465.0,450.0,460.0,379.612946,26927000
2008-02-18,450.0,470.0,450.0,450.0,371.36044300000003,20821500
2008-02-19,460.0,470.0,445.0,460.0,379.612946,71238000
2008-02-20,445.0,460.0,445.0,445.0,367.234283,38151500
2008-02-21,450.0,465.0,450.0,450.0,371.36044300000003,51403500
2008-02-22,450.0,455.0,445.0,450.0,371.36044300000003,21344000
2008-02-25,450.0,455.0,445.0,450.0,371.36044300000003,23843500
2008-02-26,445.0,455.0,440.0,445.0,367.234283,22164500
2008-02-27,440.0,445.0,430.0,440.0,363.108002,25102000
2008-02-28,430.0,440.0,430.0,430.0,354.85556,12727000
2008-02-29,430.0,455.0,425.0,430.0,354.85556,74868000
2008-03-03,415.0,425.0,415.0,415.0,342.476868,27871000
2008-03-04,415.0,425.0,400.0,415.0,342.476868,36450000
2008-03-05,415.0,415.0,405.0,415.0,342.476868,14520500
2008-03-06,410.0,420.0,410.0,410.0,338.35064700000004,13967000
2008-03-10,390.0,410.0,390.0,390.0,321.84576400000003,24186000
2008-03-11,385.0,390.0,370.0,385.0,317.719513,27782500
2008-03-12,380.0,400.0,380.0,380.0,313.593323,21161500
2008-03-13,375.0,385.0,355.0,355.0,292.962158,20664500
2008-03-14,360.0,370.0,325.0,330.0,272.331024,24269000
2008-03-17,320.0,320.0,285.0,290.0,239.321243,34958500
2008-03-18,295.0,305.0,260.0,305.0,251.69988999999998,47785000
2008-03-19,315.0,320.0,285.0,290.0,239.321243,42292500
2008-03-24,290.0,300.0,285.0,290.0,239.321243,14034000
2008-03-25,310.0,315.0,295.0,310.0,255.826111,46392500
2008-03-26,310.0,410.0,300.0,405.0,334.224487,220427000
2008-03-27,390.0,405.0,365.0,390.0,321.84576400000003,144702000
2008-03-28,395.0,405.0,385.0,395.0,325.971985,161718500
2008-03-31,395.0,395.0,365.0,370.0,305.34078999999997,27855000
2008-04-01,370.0,380.0,335.0,350.0,288.835938,43330500
2008-04-02,355.0,365.0,325.0,335.0,276.457214,27746000
2008-04-03,325.0,335.0,305.0,305.0,251.69988999999998,48058000
2008-04-04,305.0,320.0,300.0,305.0,251.69988999999998,52183500
2008-04-07,305.0,315.0,300.0,310.0,255.826111,27197500
2008-04-08,300.0,310.0,295.0,300.0,247.57363900000001,13948500
2008-04-09,290.0,305.0,280.0,290.0,239.321243,22464000
2008-04-10,295.0,300.0,285.0,295.0,243.44741800000003,13182500
2008-04-11,295.0,330.0,295.0,320.0,264.078522,49237500
2008-04-14,310.0,310.0,300.0,310.0,255.826111,16127500
2008-04-15,315.0,330.0,305.0,315.0,259.95239300000003,45012500
2008-04-16,330.0,335.0,320.0,330.0,272.331024,48636000
2008-04-17,320.0,340.0,320.0,320.0,264.078522,43522500
2008-04-18,335.0,345.0,320.0,335.0,276.457214,52863000
2008-04-21,330.0,340.0,325.0,330.0,272.331024,21500000
2008-04-22,325.0,325.0,315.0,325.0,268.204773,19026500
2008-04-23,330.0,330.0,320.0,330.0,272.331024,7223500
2008-04-24,315.0,335.0,315.0,315.0,259.95239300000003,12633500
2008-04-25,315.0,320.0,305.0,315.0,259.95239300000003,11883500
2008-04-28,310.0,315.0,305.0,310.0,255.826111,6644000
2008-04-29,315.0,320.0,315.0,320.0,264.078522,9559000
2008-04-30,315.0,320.0,310.0,310.0,255.826111,6557500
2008-05-05,325.0,330.0,320.0,325.0,268.204773,15647500
2008-05-06,320.0,325.0,310.0,320.0,264.078522,14069000
2008-05-07,320.0,335.0,310.0,325.0,268.204773,45171500
2008-05-08,325.0,370.0,315.0,360.0,297.08837900000003,134191000
2008-05-09,365.0,385.0,350.0,355.0,292.962158,149999000
2008-05-12,355.0,370.0,350.0,360.0,297.08837900000003,25390000
2008-05-13,365.0,370.0,355.0,360.0,297.08837900000003,17197500
2008-05-14,360.0,370.0,355.0,360.0,297.08837900000003,25268000
2008-05-15,365.0,380.0,355.0,365.0,301.214661,58879500
2008-05-16,365.0,370.0,355.0,365.0,301.214661,19671500
2008-05-21,360.0,385.0,355.0,380.0,313.593323,108906000
2008-05-22,365.0,385.0,365.0,375.0,309.467041,45140000
2008-05-23,385.0,445.0,385.0,395.0,325.971985,502289500
2008-05-26,395.0,410.0,390.0,400.0,330.09814500000005,74930500
2008-05-27,405.0,420.0,395.0,400.0,330.09814500000005,65500500
2008-05-28,410.0,410.0,395.0,400.0,330.09814500000005,18188500
2008-05-29,400.0,410.0,395.0,400.0,330.09814500000005,17366000
2008-05-30,400.0,400.0,380.0,385.0,317.719513,17409000
2008-06-02,380.0,395.0,375.0,380.0,313.593323,9288500
2008-06-03,370.0,380.0,360.0,370.0,305.34078999999997,13429500
2008-06-04,370.0,395.0,370.0,370.0,305.34078999999997,59109500
2008-06-05,380.0,385.0,370.0,380.0,313.593323,21335500
2008-06-06,375.0,390.0,370.0,375.0,309.467041,14540000
2008-06-09,375.0,375.0,355.0,375.0,311.744873,11666000
2008-06-10,375.0,375.0,360.0,360.0,299.275085,14222000
2008-06-11,365.0,370.0,360.0,365.0,303.431732,5933500
2008-06-12,365.0,365.0,355.0,365.0,303.431732,9595500
2008-06-13,360.0,365.0,350.0,360.0,299.275085,6119500
2008-06-16,355.0,360.0,350.0,355.0,295.1185,3015500
2008-06-17,345.0,355.0,345.0,345.0,286.805267,7862500
2008-06-18,345.0,355.0,340.0,345.0,286.805267,13801500
2008-06-19,345.0,350.0,335.0,345.0,286.805267,6990000
2008-06-20,345.0,345.0,340.0,345.0,286.805267,3925000
2008-06-23,335.0,375.0,330.0,375.0,311.744873,42687000
2008-06-24,375.0,385.0,350.0,355.0,295.1185,42835000
2008-06-25,355.0,365.0,350.0,355.0,295.1185,5697500
2008-06-26,350.0,360.0,350.0,350.0,290.96191400000004,3582000
2008-06-27,345.0,350.0,340.0,345.0,286.805267,7985500
2008-06-30,345.0,350.0,345.0,345.0,286.805267,3483500
2008-07-01,350.0,350.0,345.0,350.0,290.96191400000004,6133000
2008-07-02,350.0,355.0,345.0,350.0,290.96191400000004,4883000
2008-07-03,350.0,350.0,325.0,330.0,274.33551,8750000
2008-07-04,340.0,340.0,330.0,340.0,282.648773,8332500
2008-07-07,330.0,350.0,330.0,330.0,274.33551,12803500
2008-07-08,320.0,335.0,320.0,320.0,266.022278,16881000
2008-07-09,325.0,330.0,320.0,325.0,270.178894,6844500
2008-07-10,325.0,335.0,315.0,325.0,270.178894,12282500
2008-07-11,325.0,330.0,320.0,325.0,270.178894,4215500
2008-07-14,325.0,330.0,320.0,325.0,270.178894,2085000
2008-07-15,320.0,325.0,315.0,320.0,266.022278,2968500
2008-07-16,315.0,325.0,310.0,315.0,261.865753,7537500
2008-07-17,315.0,330.0,310.0,315.0,261.865753,20920500
2008-07-18,305.0,315.0,300.0,305.0,253.55252099999998,21138500
2008-07-21,305.0,315.0,305.0,305.0,253.55252099999998,4658000
2008-07-22,310.0,310.0,305.0,310.0,257.709106,7528000
2008-07-23,315.0,320.0,305.0,315.0,261.865753,8390000
2008-07-24,315.0,315.0,305.0,315.0,261.865753,4710000
2008-07-25,320.0,330.0,310.0,320.0,266.022278,24495000
2008-07-28,320.0,325.0,315.0,320.0,266.022278,9168000
2008-07-29,320.0,320.0,315.0,320.0,266.022278,2342500
2008-07-31,330.0,340.0,320.0,330.0,274.33551,28296000
2008-08-01,325.0,335.0,320.0,325.0,270.178894,8003000
2008-08-04,315.0,325.0,315.0,315.0,261.865753,2995000
2008-08-05,310.0,315.0,300.0,310.0,257.709106,7189000
2008-08-06,310.0,315.0,305.0,310.0,257.709106,3379500
2008-08-07,305.0,310.0,300.0,305.0,253.55252099999998,2742500
2008-08-08,310.0,315.0,305.0,310.0,257.709106,8025000
2008-08-11,300.0,310.0,295.0,300.0,249.39590499999997,5575500
2008-08-12,300.0,300.0,275.0,275.0,228.61296099999998,6936000
2008-08-13,275.0,285.0,270.0,275.0,228.61296099999998,6200500
2008-08-14,290.0,290.0,280.0,290.0,241.08276400000003,4785500
2008-08-15,280.0,285.0,275.0,280.0,232.769531,4061500
2008-08-19,270.0,280.0,270.0,270.0,224.45628399999998,1928500
2008-08-20,280.0,285.0,275.0,280.0,232.769531,3565000
2008-08-21,285.0,295.0,280.0,285.0,236.926071,7014000
2008-08-22,285.0,290.0,280.0,285.0,236.926071,7711000
2008-08-25,285.0,285.0,280.0,285.0,236.926071,2611000
2008-08-26,285.0,285.0,275.0,285.0,236.926071,4025500
2008-08-27,290.0,295.0,285.0,290.0,241.08276400000003,15465500
2008-08-28,290.0,300.0,285.0,290.0,241.08276400000003,12984500
2008-08-29,285.0,290.0,285.0,285.0,236.926071,2790500
2008-09-01,285.0,290.0,285.0,285.0,236.926071,2827500
2008-09-02,290.0,295.0,285.0,290.0,241.08276400000003,17797500
2008-09-03,285.0,290.0,280.0,285.0,236.926071,3418500
2008-09-04,270.0,280.0,270.0,270.0,224.45628399999998,5944000
2008-09-05,270.0,270.0,260.0,270.0,224.45628399999998,3743000
2008-09-08,265.0,275.0,260.0,265.0,220.299728,3396000
2008-09-09,265.0,265.0,230.0,230.0,191.203537,17046500
2008-09-10,220.0,220.0,190.0,200.0,166.263916,14640500
2008-09-11,195.0,215.0,195.0,195.0,162.107346,15613000
2008-09-12,203.0,206.0,194.0,203.0,168.75788899999998,16849000
2008-09-15,200.0,205.0,180.0,185.0,153.794128,9294000
2008-09-16,176.0,179.0,150.0,176.0,146.312271,18381500
2008-09-17,177.0,186.0,177.0,177.0,147.1436,18761000
2008-09-18,170.0,185.0,170.0,180.0,149.637543,21115000
2008-09-19,190.0,200.0,184.0,190.0,157.95076,35526500
2008-09-22,193.0,201.0,190.0,193.0,160.444702,28039000
2008-09-23,191.0,197.0,190.0,191.0,158.782074,7884500
2008-09-24,193.0,207.0,191.0,205.0,170.420532,41446000
2008-09-25,205.0,220.0,200.0,205.0,170.420532,40143500
2008-09-26,200.0,210.0,195.0,200.0,166.263916,5845500
2008-10-06,190.0,190.0,150.0,155.0,128.854553,9882000
2008-10-07,151.0,159.0,140.0,151.0,125.529274,14687000
2008-10-08,150.0,150.0,129.0,131.0,108.902878,7042000
2008-10-13,140.0,142.0,118.0,140.0,116.38476599999998,35921000
2008-10-14,154.0,154.0,150.0,154.0,128.023239,10624000
2008-10-15,153.0,168.0,150.0,153.0,127.191902,29064500
2008-10-16,140.0,150.0,138.0,150.0,124.697952,19700500
2008-10-17,150.0,154.0,144.0,150.0,124.697952,11900000
2008-10-20,147.0,161.0,145.0,160.0,133.011139,20750500
2008-10-21,161.0,165.0,157.0,161.0,133.842484,17232000
2008-10-22,160.0,160.0,153.0,160.0,133.011139,14489000
2008-10-23,157.0,157.0,150.0,157.0,130.517197,9770000
2008-10-24,157.0,157.0,142.0,143.0,118.878716,11314000
2008-10-27,132.0,140.0,129.0,132.0,109.734192,12648500
2008-10-28,120.0,143.0,120.0,141.0,117.21608700000002,17658500
2008-10-29,142.0,150.0,140.0,142.0,118.047394,13321000
2008-10-30,151.0,154.0,144.0,151.0,125.529274,31069500
2008-10-31,153.0,156.0,147.0,153.0,127.191902,27272000
2008-11-03,162.0,169.0,154.0,162.0,134.673798,44682500
2008-11-04,162.0,162.0,149.0,151.0,125.529274,16056500
2008-11-05,155.0,158.0,143.0,144.0,119.71003700000001,14150500
2008-11-06,134.0,138.0,130.0,134.0,111.39683500000001,4683500
2008-11-07,128.0,144.0,124.0,144.0,119.71003700000001,5722000
2008-11-10,150.0,150.0,139.0,142.0,118.047394,7860000
2008-11-11,139.0,142.0,138.0,139.0,115.553444,1431500
2008-11-12,140.0,143.0,136.0,140.0,116.38476599999998,646500
2008-11-13,131.0,137.0,129.0,131.0,108.902878,5798500
2008-11-14,130.0,136.0,128.0,130.0,108.071556,3920500
2008-11-17,127.0,131.0,126.0,127.0,105.577606,4541000
2008-11-18,125.0,125.0,120.0,125.0,103.914963,3382000
2008-11-19,125.0,125.0,117.0,117.0,97.264412,13337000
2008-11-20,110.0,114.0,109.0,110.0,91.44516,3889000
2008-11-21,106.0,114.0,106.0,112.0,93.107803,2084000
2008-11-24,112.0,120.0,112.0,112.0,93.107803,1815000
