Date,Open,High,Low,Close,Adj Close,Volume
2001-02-08,455.0,470.0,445.0,465.0,462.299988,327500
2001-02-09,460.0,465.0,455.0,455.0,452.358063,159000
2001-02-12,450.0,455.0,450.0,455.0,452.358063,102500
2001-02-13,455.0,455.0,455.0,455.0,452.358063,147500
2001-02-14,455.0,455.0,430.0,430.0,427.50323499999996,112500
2001-02-15,430.0,435.0,420.0,430.0,427.50323499999996,147000
2001-02-16,430.0,435.0,430.0,435.0,432.47418200000004,212500
2001-02-19,430.0,435.0,430.0,435.0,432.47418200000004,142500
2001-02-20,435.0,440.0,435.0,435.0,432.47418200000004,110000
2001-02-21,435.0,435.0,425.0,425.0,422.532257,187500
2001-02-22,425.0,425.0,400.0,400.0,397.677429,227000
2001-02-23,430.0,430.0,430.0,430.0,427.50323499999996,25000
2001-02-26,425.0,430.0,405.0,405.0,402.648376,177500
2001-02-27,420.0,425.0,400.0,400.0,397.677429,110000
2001-02-28,405.0,405.0,385.0,400.0,397.677429,180000
2001-03-01,400.0,400.0,400.0,400.0,397.677429,130000
2001-03-02,400.0,405.0,400.0,405.0,402.648376,112500
2001-03-06,405.0,410.0,405.0,410.0,407.619354,93000
2001-03-07,410.0,420.0,380.0,390.0,387.735474,307500
2001-03-08,390.0,390.0,370.0,375.0,372.822571,561000
2001-03-09,375.0,385.0,375.0,385.0,382.764526,136500
2001-03-12,385.0,385.0,350.0,385.0,382.764526,75000
2001-03-13,385.0,385.0,375.0,380.0,377.79354900000004,87000
2001-03-15,400.0,405.0,395.0,400.0,397.677429,100500
2001-03-16,400.0,400.0,395.0,400.0,397.677429,47500
2001-03-19,395.0,395.0,350.0,395.0,392.70645099999996,73500
2001-03-20,395.0,395.0,360.0,385.0,382.764526,77500
2001-03-21,385.0,385.0,380.0,385.0,382.764526,86000
2001-03-22,385.0,385.0,370.0,370.0,367.851624,30500
2001-03-23,370.0,370.0,350.0,355.0,352.938721,65000
2001-03-27,360.0,365.0,355.0,360.0,357.909668,63500
2001-03-28,360.0,365.0,360.0,365.0,362.880646,29500
2001-03-29,360.0,360.0,360.0,360.0,357.909668,47500
2001-03-30,360.0,360.0,360.0,360.0,357.909668,27000
2001-04-02,360.0,360.0,360.0,360.0,357.909668,28000
2001-04-03,360.0,360.0,360.0,360.0,357.909668,55000
2001-04-04,355.0,360.0,355.0,360.0,357.909668,48000
2001-04-05,360.0,360.0,360.0,360.0,357.909668,5000
2001-04-06,350.0,350.0,240.0,240.0,238.606445,0
2001-04-09,360.0,360.0,335.0,335.0,333.05484,8000
2001-04-10,345.0,380.0,335.0,380.0,377.79354900000004,327500
2001-04-11,370.0,380.0,370.0,375.0,372.822571,3500
2001-04-12,365.0,365.0,350.0,350.0,347.96774300000004,0
2001-04-16,375.0,375.0,370.0,375.0,372.822571,47500
2001-04-17,375.0,375.0,370.0,375.0,372.822571,43000
2001-04-18,350.0,350.0,350.0,350.0,347.96774300000004,16500
2001-04-19,350.0,350.0,350.0,350.0,347.96774300000004,35000
2001-04-20,340.0,340.0,340.0,340.0,338.025818,17500
2001-04-24,335.0,335.0,335.0,335.0,333.05484,12500
2001-04-25,230.0,230.0,230.0,230.0,228.66452,15000
2001-04-26,230.0,230.0,230.0,230.0,228.66452,15000
2001-04-27,285.0,285.0,280.0,280.0,278.37420699999996,1000
2001-04-30,265.0,265.0,240.0,240.0,238.606445,12500
2001-05-01,240.0,240.0,205.0,205.0,203.809677,88000
2001-05-02,200.0,215.0,200.0,205.0,203.809677,117000
2001-05-03,210.0,210.0,200.0,200.0,198.83871499999998,166000
2001-05-04,200.0,200.0,195.0,200.0,198.83871499999998,93000
2001-05-08,180.0,180.0,165.0,165.0,164.041931,302000
2001-05-09,165.0,165.0,135.0,135.0,134.216125,1886000
2001-05-10,140.0,165.0,140.0,150.0,149.129028,1390500
2001-05-11,150.0,175.0,150.0,170.0,169.012909,2722000
2001-05-14,170.0,210.0,170.0,200.0,198.83871499999998,5093000
2001-05-15,200.0,240.0,200.0,225.0,223.69354199999998,4248000
2001-05-16,235.0,235.0,200.0,200.0,198.83871499999998,662000
