Date,Open,High,Low,Close,Adj Close,Volume
2002-01-18,200.0,210.0,140.0,160.0,132.885956,28823500
2002-01-21,165.0,170.0,145.0,145.0,120.427902,15148000
2002-01-22,145.0,145.0,135.0,145.0,120.427902,575000
2002-01-23,140.0,145.0,135.0,140.0,116.275208,248500
2002-01-24,140.0,140.0,135.0,135.0,112.12253600000001,349000
2002-01-25,135.0,135.0,135.0,135.0,112.12253600000001,362500
2002-01-28,135.0,145.0,135.0,145.0,120.427902,5713500
2002-01-29,140.0,140.0,140.0,140.0,116.275208,177500
2002-01-30,140.0,140.0,140.0,140.0,116.275208,161500
2002-02-01,145.0,145.0,135.0,145.0,120.427902,7186000
2002-02-04,140.0,140.0,140.0,140.0,116.275208,675000
2002-02-05,140.0,140.0,140.0,140.0,116.275208,267500
2002-02-06,140.0,140.0,140.0,140.0,116.275208,561000
2002-02-07,140.0,140.0,135.0,135.0,112.12253600000001,400000
2002-02-08,140.0,140.0,135.0,140.0,116.275208,405500
2002-02-11,145.0,145.0,135.0,135.0,112.12253600000001,0
2002-02-13,140.0,140.0,140.0,140.0,116.275208,590000
2002-02-14,140.0,140.0,140.0,140.0,116.275208,150000
2002-02-15,140.0,140.0,140.0,140.0,116.275208,292000
2002-02-18,140.0,140.0,140.0,140.0,116.275208,667500
2002-02-19,140.0,140.0,140.0,140.0,116.275208,714000
2002-02-20,140.0,140.0,140.0,140.0,116.275208,724500
2002-02-21,140.0,150.0,140.0,140.0,116.275208,734000
2002-02-25,135.0,135.0,135.0,135.0,112.12253600000001,50000
2002-02-26,140.0,140.0,140.0,140.0,116.275208,95000
2002-02-27,135.0,135.0,135.0,135.0,112.12253600000001,25000
2002-02-28,135.0,140.0,135.0,140.0,116.275208,385000
2002-03-01,140.0,140.0,140.0,140.0,116.275208,198500
2002-03-04,140.0,145.0,140.0,140.0,116.275208,407000
2002-03-05,140.0,140.0,135.0,135.0,112.12253600000001,321000
2002-03-06,140.0,140.0,140.0,140.0,116.275208,76000
2002-03-07,140.0,140.0,140.0,140.0,116.275208,349000
2002-03-08,140.0,140.0,140.0,140.0,116.275208,366500
2002-03-11,140.0,145.0,140.0,140.0,116.275208,347500
2002-03-12,140.0,140.0,140.0,140.0,116.275208,325500
2002-03-13,140.0,140.0,140.0,140.0,116.275208,271500
2002-03-14,140.0,140.0,140.0,140.0,116.275208,345500
2002-03-18,135.0,140.0,135.0,140.0,116.275208,225000
2002-03-19,140.0,140.0,140.0,140.0,116.275208,364500
2002-03-20,135.0,140.0,135.0,140.0,116.275208,379000
2002-03-21,140.0,140.0,140.0,140.0,116.275208,355500
2002-03-22,135.0,135.0,135.0,135.0,112.12253600000001,1058500
2002-03-25,135.0,135.0,130.0,135.0,112.12253600000001,2334000
2002-03-26,135.0,135.0,120.0,125.0,103.817162,3092500
2002-03-27,125.0,125.0,125.0,125.0,103.817162,332500
2002-03-28,125.0,125.0,125.0,125.0,103.817162,396500
2002-04-01,125.0,125.0,125.0,125.0,103.817162,225000
2002-04-02,125.0,125.0,125.0,125.0,103.817162,267500
2002-04-03,125.0,125.0,120.0,120.0,99.664459,405000
2002-04-04,120.0,120.0,120.0,120.0,99.664459,311000
2002-04-05,120.0,125.0,120.0,120.0,99.664459,304000
2002-04-08,125.0,130.0,125.0,125.0,103.817162,1878000
2002-04-09,130.0,130.0,125.0,125.0,103.817162,424000
2002-04-10,130.0,130.0,125.0,130.0,107.969826,380000
2002-04-11,125.0,125.0,125.0,125.0,103.817162,315000
