Date,Open,High,Low,Close,Adj Close,Volume
2010-07-07,520.0,520.0,400.0,520.0,520.0,4971500
2010-07-08,650.0,650.0,580.0,650.0,650.0,10479000
2010-07-09,500.0,750.0,495.0,500.0,500.0,4376500
2010-07-12,520.0,520.0,400.0,420.0,420.0,2034500
2010-07-13,385.0,420.0,380.0,385.0,385.0,433000
2010-07-14,370.0,395.0,365.0,370.0,370.0,316500
2010-07-15,360.0,370.0,355.0,360.0,360.0,712500
2010-07-16,355.0,355.0,350.0,355.0,355.0,397000
2010-07-19,410.0,420.0,350.0,410.0,410.0,1241000
2010-07-20,375.0,415.0,375.0,375.0,375.0,175500
2010-07-21,385.0,395.0,370.0,385.0,385.0,331000
2010-07-22,395.0,400.0,380.0,395.0,395.0,196000
2010-07-23,395.0,395.0,380.0,395.0,395.0,287000
2010-07-26,390.0,390.0,380.0,390.0,390.0,128000
2010-07-27,405.0,405.0,375.0,405.0,405.0,633000
2010-07-28,425.0,460.0,370.0,425.0,425.0,3291500
2010-07-29,415.0,430.0,415.0,415.0,415.0,335500
2010-07-30,410.0,415.0,410.0,410.0,410.0,79000
2010-08-02,425.0,435.0,405.0,425.0,425.0,221500
2010-08-03,430.0,435.0,420.0,430.0,430.0,1274000
2010-08-04,415.0,490.0,415.0,415.0,415.0,6710500
2010-08-05,425.0,425.0,415.0,425.0,425.0,522500
2010-08-09,410.0,420.0,395.0,410.0,410.0,68500
2010-08-10,415.0,420.0,410.0,415.0,415.0,274500
2010-08-11,410.0,415.0,405.0,410.0,410.0,377500
2010-08-12,415.0,415.0,400.0,415.0,415.0,880000
2010-08-13,435.0,440.0,420.0,435.0,435.0,1249000
2010-08-16,425.0,445.0,425.0,425.0,425.0,444500
2010-08-18,460.0,460.0,425.0,460.0,460.0,1457000
2010-08-19,570.0,570.0,460.0,570.0,570.0,11852000
2010-08-20,470.0,590.0,465.0,470.0,470.0,44924000
2010-08-23,460.0,470.0,455.0,460.0,460.0,715000
2010-08-24,465.0,480.0,455.0,465.0,465.0,449000
2010-08-25,470.0,480.0,460.0,470.0,470.0,400500
2010-08-26,470.0,495.0,465.0,470.0,470.0,2314500
2010-08-27,450.0,475.0,450.0,450.0,450.0,406500
2010-08-30,460.0,465.0,435.0,460.0,460.0,157000
2010-08-31,445.0,450.0,435.0,445.0,445.0,264500
2010-09-01,450.0,455.0,440.0,450.0,450.0,39500
2010-09-02,450.0,450.0,435.0,450.0,450.0,355000
2010-09-03,450.0,450.0,435.0,450.0,450.0,310000
2010-09-06,455.0,460.0,440.0,455.0,455.0,265000
2010-09-07,450.0,455.0,440.0,450.0,450.0,604000
2010-09-16,450.0,450.0,440.0,450.0,450.0,102000
2010-09-17,440.0,450.0,435.0,440.0,440.0,234000
2010-09-20,445.0,445.0,435.0,445.0,445.0,316000
2010-09-21,440.0,440.0,430.0,440.0,440.0,114500
2010-09-22,435.0,435.0,425.0,435.0,435.0,111500
2010-09-23,430.0,435.0,410.0,430.0,430.0,227500
2010-09-24,430.0,430.0,410.0,430.0,430.0,290500
2010-09-27,415.0,420.0,410.0,415.0,415.0,60500
2010-09-28,420.0,425.0,410.0,420.0,420.0,66000
2010-09-29,420.0,420.0,405.0,420.0,420.0,409000
2010-09-30,425.0,425.0,405.0,425.0,425.0,228000
2010-10-01,425.0,425.0,415.0,425.0,425.0,16500
2010-10-04,430.0,430.0,415.0,430.0,430.0,227000
2010-10-05,445.0,460.0,430.0,445.0,445.0,1722000
2010-10-06,445.0,475.0,445.0,445.0,445.0,1302500
2010-10-07,435.0,460.0,435.0,435.0,435.0,275000
2010-10-08,420.0,435.0,400.0,420.0,420.0,1196000
2010-10-11,405.0,420.0,400.0,405.0,405.0,303500
2010-10-12,410.0,415.0,390.0,410.0,410.0,410000
2010-10-13,405.0,405.0,390.0,405.0,405.0,266000
2010-10-14,405.0,410.0,395.0,405.0,405.0,137500
2010-10-15,405.0,405.0,390.0,405.0,405.0,69500
2010-10-18,410.0,410.0,390.0,410.0,410.0,147000
2010-10-19,415.0,415.0,405.0,415.0,415.0,117000
2010-10-20,430.0,440.0,405.0,430.0,430.0,762500
2010-10-21,430.0,430.0,415.0,430.0,430.0,98500
2010-10-22,430.0,430.0,420.0,430.0,430.0,12000
2010-10-25,430.0,430.0,425.0,430.0,430.0,17500
2010-10-26,425.0,425.0,420.0,425.0,425.0,78500
2010-10-27,435.0,435.0,425.0,435.0,435.0,181500
2010-10-28,435.0,435.0,420.0,435.0,435.0,11500
2010-10-29,430.0,440.0,420.0,430.0,430.0,100000
2010-11-01,430.0,430.0,420.0,430.0,430.0,51500
2010-11-02,430.0,430.0,425.0,430.0,430.0,29500
2010-11-03,430.0,435.0,430.0,430.0,430.0,12000
2010-11-04,430.0,430.0,420.0,430.0,430.0,35500
2010-11-05,430.0,435.0,420.0,430.0,430.0,89000
2010-11-08,430.0,435.0,420.0,430.0,430.0,579500
2010-11-09,425.0,435.0,420.0,425.0,425.0,70500
2010-11-10,425.0,425.0,410.0,425.0,425.0,182500
2010-11-11,420.0,420.0,410.0,420.0,420.0,91500
2010-11-12,420.0,420.0,405.0,420.0,420.0,80500
2010-11-15,420.0,420.0,410.0,420.0,420.0,107500
2010-11-16,420.0,420.0,410.0,420.0,420.0,95500
2010-11-18,425.0,425.0,410.0,425.0,425.0,72000
2010-11-19,425.0,425.0,410.0,425.0,425.0,97000
2010-11-22,420.0,420.0,410.0,420.0,420.0,25000
2010-11-23,410.0,420.0,405.0,410.0,410.0,246500
2010-11-24,415.0,415.0,405.0,415.0,415.0,27500
2010-11-25,415.0,415.0,400.0,415.0,415.0,2500
2010-11-26,415.0,415.0,405.0,415.0,415.0,26000
2010-11-29,435.0,435.0,400.0,435.0,435.0,210500
2010-11-30,500.0,530.0,415.0,500.0,500.0,108972500
2010-12-01,445.0,560.0,435.0,445.0,445.0,128142500
2010-12-02,445.0,450.0,410.0,445.0,445.0,7008000
2010-12-03,440.0,455.0,435.0,440.0,440.0,1691000
2010-12-06,420.0,435.0,420.0,420.0,420.0,601000
2010-12-08,435.0,450.0,420.0,435.0,435.0,1254000
2010-12-09,455.0,455.0,425.0,455.0,455.0,1273500
2010-12-10,435.0,530.0,430.0,435.0,435.0,107832500
2010-12-13,430.0,445.0,420.0,430.0,430.0,689500
2010-12-14,420.0,425.0,410.0,420.0,420.0,627500
2010-12-15,410.0,430.0,405.0,410.0,410.0,530500
2010-12-16,400.0,410.0,395.0,400.0,400.0,440000
2010-12-17,395.0,395.0,385.0,395.0,395.0,306000
2010-12-20,390.0,400.0,380.0,390.0,390.0,389000
2010-12-21,395.0,395.0,380.0,395.0,395.0,218000
2010-12-22,390.0,400.0,380.0,390.0,390.0,305000
2010-12-23,380.0,395.0,370.0,380.0,380.0,553500
2010-12-27,370.0,375.0,365.0,370.0,370.0,575000
2010-12-28,360.0,370.0,360.0,360.0,360.0,335000
2010-12-29,385.0,385.0,360.0,385.0,385.0,895500
2010-12-30,420.0,420.0,380.0,420.0,420.0,495000
2011-01-03,405.0,420.0,390.0,405.0,405.0,792000
2011-01-04,415.0,415.0,390.0,415.0,415.0,613000
2011-01-05,405.0,420.0,400.0,405.0,405.0,1113500
2011-01-06,405.0,410.0,395.0,405.0,405.0,442500
2011-01-07,400.0,400.0,390.0,400.0,400.0,224500
2011-01-10,375.0,400.0,375.0,375.0,375.0,1252000
2011-01-11,385.0,385.0,365.0,385.0,385.0,616500
2011-01-12,385.0,385.0,370.0,385.0,385.0,76000
2011-01-13,385.0,385.0,370.0,385.0,385.0,350000
2011-01-14,385.0,385.0,370.0,385.0,385.0,168000
2011-01-17,385.0,385.0,375.0,385.0,385.0,78500
2011-01-18,395.0,400.0,375.0,395.0,395.0,714500
2011-01-19,390.0,390.0,380.0,390.0,390.0,341000
2011-01-20,385.0,385.0,375.0,385.0,385.0,176500
2011-01-21,385.0,385.0,365.0,385.0,385.0,595000
2011-01-24,380.0,380.0,365.0,380.0,380.0,535000
2011-01-25,385.0,395.0,365.0,385.0,385.0,382000
2011-01-26,390.0,390.0,375.0,390.0,390.0,150500
2011-01-27,390.0,395.0,375.0,390.0,390.0,110500
2011-01-28,390.0,390.0,380.0,390.0,390.0,144500
2011-01-31,385.0,385.0,375.0,385.0,385.0,629000
2011-02-01,390.0,390.0,380.0,390.0,390.0,206500
2011-02-02,410.0,410.0,380.0,410.0,410.0,670500
2011-02-04,395.0,405.0,390.0,395.0,395.0,179000
2011-02-07,400.0,405.0,390.0,400.0,400.0,218500
2011-02-08,400.0,405.0,385.0,400.0,400.0,191000
2011-02-09,395.0,395.0,390.0,395.0,395.0,37000
2011-02-10,395.0,395.0,385.0,395.0,395.0,92000
2011-02-11,395.0,395.0,385.0,395.0,395.0,273000
2011-02-14,400.0,400.0,385.0,400.0,400.0,113500
2011-02-16,410.0,410.0,390.0,410.0,410.0,427500
2011-02-17,410.0,415.0,400.0,410.0,410.0,49000
2011-02-18,415.0,420.0,400.0,415.0,415.0,240000
2011-02-21,410.0,415.0,405.0,410.0,410.0,28000
2011-02-22,415.0,420.0,400.0,415.0,415.0,204500
