Date,Open,High,Low,Close,Adj Close,Volume
2002-05-03,170.0,170.0,150.0,150.0,49.375862,0
2002-05-06,72.5,83.75,72.5,77.5,25.510862,202000
2002-05-07,77.5,83.75,77.5,78.75,25.922329,194000
2002-05-08,83.75,85.0,80.0,80.0,26.333794,196000
2002-05-10,77.5,83.75,77.5,78.75,25.922329,180000
2002-05-13,76.25,86.25,76.25,86.25,28.391121000000002,400000
2002-05-14,82.5,86.25,82.5,86.25,28.391121000000002,304000
2002-05-15,87.5,87.5,82.5,82.5,27.156725,196000
2002-05-16,76.25,76.25,76.25,76.25,25.099398,40000
2002-05-17,75.0,75.0,75.0,75.0,24.687931,100000
2002-05-20,162.5,162.5,147.5,147.5,48.552933,0
2002-05-21,73.75,73.75,73.75,73.75,24.276466,230000
2002-05-22,73.75,73.75,73.75,73.75,24.276466,200000
2002-05-23,147.5,147.5,140.0,140.0,46.084140999999995,0
2002-05-24,72.5,72.5,72.5,72.5,23.865,200000
2002-05-27,157.5,157.5,140.0,140.0,46.084140999999995,0
2002-05-28,152.5,152.5,137.5,137.5,45.261208,0
2002-05-29,157.5,157.5,145.0,145.0,47.73,0
2002-05-30,72.5,72.5,72.5,72.5,23.865,100000
2002-05-31,157.5,157.5,145.0,145.0,47.73,0
2002-06-03,157.5,157.5,132.5,132.5,43.615345,0
2002-06-04,155.0,155.0,140.0,140.0,46.084140999999995,0
2002-06-05,71.25,76.25,71.25,76.25,25.099398,110000
2002-06-06,155.0,155.0,137.5,137.5,45.261208,0
2002-06-07,152.5,152.5,140.0,140.0,46.084140999999995,0
2002-06-10,152.5,152.5,140.0,140.0,46.084140999999995,0
2002-06-11,152.5,152.5,130.0,130.0,42.792415999999996,0
2002-06-12,152.5,152.5,132.5,132.5,43.615345,0
2002-06-13,66.25,71.25,66.25,71.25,23.453535000000002,90000
2002-06-14,152.5,152.5,132.5,132.5,43.615345,0
2002-06-17,152.5,152.5,140.0,140.0,46.084140999999995,0
2002-06-18,152.5,152.5,140.0,140.0,46.084140999999995,0
2002-06-19,66.25,68.75,66.25,68.75,22.630604,260000
2002-06-20,140.0,140.0,135.0,135.0,44.438278000000004,0
2002-06-21,67.5,67.5,67.5,67.5,22.219139000000002,20000
2002-06-24,142.5,142.5,132.5,132.5,43.615345,0
2002-06-25,140.0,140.0,132.5,132.5,43.615345,0
2002-06-26,68.75,68.75,68.75,68.75,22.630604,100000
2002-06-27,142.5,142.5,132.5,132.5,43.615345,0
2002-06-28,142.5,142.5,132.5,132.5,43.615345,0
2002-07-01,71.25,71.25,71.25,71.25,23.453535000000002,2000
2002-07-02,145.0,145.0,132.5,132.5,43.615345,0
2002-07-03,155.0,155.0,130.0,130.0,42.792415999999996,0
2002-07-04,62.5,63.75,62.5,63.75,20.984742999999998,140000
2002-07-05,137.5,137.5,125.0,125.0,41.146553000000004,0
2002-07-08,135.0,135.0,115.0,115.0,37.854832,0
2002-07-09,130.0,130.0,125.0,125.0,41.146553000000004,0
2002-07-10,62.5,62.5,62.5,62.5,20.573276999999997,40000
2002-07-11,127.5,127.5,120.0,120.0,39.500690000000006,0
2002-07-12,127.5,127.5,117.5,117.5,38.677757,0
2002-07-15,127.5,127.5,115.0,115.0,37.854832,0
2002-07-16,127.5,127.5,112.5,112.5,37.031898,0
2002-07-17,62.5,62.5,62.5,62.5,20.573276999999997,4000
2002-07-18,132.5,132.5,125.0,125.0,41.146553000000004,0
2002-07-19,62.5,62.5,62.5,62.5,20.573276999999997,100000
2002-07-22,62.5,62.5,62.5,62.5,20.573276999999997,60000
2002-07-23,58.75,66.25,58.75,66.25,21.807673,16000
2002-07-24,62.5,65.0,57.5,62.5,20.573276999999997,322000
2002-07-25,58.75,58.75,56.25,56.25,18.515949,200000
2002-07-26,58.75,58.75,56.25,56.25,18.515949,230000
2002-07-29,135.0,135.0,117.5,117.5,38.677757,0
2002-07-30,125.0,125.0,117.5,117.5,38.677757,0
2002-07-31,58.75,58.75,58.75,58.75,19.338879000000002,100000
2002-08-01,122.5,122.5,112.5,112.5,37.031898,0
2002-08-02,122.5,122.5,115.0,115.0,37.854832,0
2002-08-05,55.0,56.25,55.0,55.0,18.104483,220000
2002-08-06,53.75,53.75,52.5,52.5,17.281553,224000
2002-08-07,117.5,117.5,107.5,107.5,35.386036,0
2002-08-08,122.5,122.5,110.0,110.0,36.208965,0
2002-08-09,53.75,53.75,53.75,53.75,17.693018,20000
2002-08-12,125.0,125.0,112.5,112.5,37.031898,0
2002-08-13,56.25,56.25,56.25,56.25,18.515949,10000
2002-08-14,56.25,56.25,55.0,55.0,18.104483,110000
2002-08-15,55.0,55.0,55.0,55.0,18.104483,100000
2002-08-16,55.0,55.0,55.0,55.0,18.104483,90000
2002-08-19,122.5,122.5,107.5,107.5,35.386036,0
2002-08-20,55.0,55.0,55.0,55.0,18.104483,110000
2002-08-21,130.0,130.0,100.0,100.0,32.917244000000004,0
2002-08-22,117.5,117.5,110.0,110.0,36.208965,0
2002-08-26,55.0,55.0,55.0,55.0,18.104483,100000
2002-08-27,115.0,115.0,102.5,102.5,33.740173,0
2002-08-28,112.5,112.5,97.5,97.5,32.094311,0
2002-08-29,110.0,110.0,97.5,97.5,32.094311,0
2002-08-30,112.5,112.5,92.5,92.5,30.448448,0
2002-09-02,110.0,110.0,95.0,95.0,31.271380999999998,0
2002-09-03,110.0,110.0,90.0,90.0,29.625519,0
2002-09-04,107.5,107.5,90.0,90.0,29.625519,0
2002-09-05,50.0,56.25,50.0,56.25,18.515949,42000
2002-09-06,112.5,112.5,87.5,87.5,28.802585999999998,0
2002-09-09,112.5,112.5,112.5,112.5,37.031898,0
2002-09-10,110.0,110.0,110.0,110.0,36.208965,0
2002-09-11,112.5,112.5,112.5,112.5,37.031898,0
2002-09-12,112.5,112.5,112.5,112.5,37.031898,0
2002-09-13,120.0,120.0,120.0,120.0,39.500690000000006,0
2002-09-17,112.5,112.5,87.5,87.5,28.802585999999998,0
2002-09-18,112.5,112.5,87.5,87.5,28.802585999999998,0
2002-09-19,145.0,145.0,145.0,145.0,47.73,0
2002-09-20,135.0,135.0,135.0,135.0,44.438278000000004,0
2002-09-24,125.0,125.0,125.0,125.0,41.146553000000004,0
2002-09-25,142.5,142.5,142.5,142.5,46.907070000000004,0
2002-09-26,132.5,132.5,75.0,75.0,24.687931,0
2002-09-27,132.5,132.5,132.5,132.5,43.615345,0
2002-09-30,125.0,125.0,125.0,125.0,41.146553000000004,0
2002-10-01,50.0,56.25,50.0,56.25,18.515949,56000
2002-10-02,110.0,110.0,100.0,100.0,32.917244000000004,0
2002-10-03,110.0,110.0,110.0,110.0,36.208965,0
2002-10-07,110.0,110.0,110.0,110.0,36.208965,0
2002-10-08,117.5,117.5,95.0,95.0,31.271380999999998,0
2002-10-09,112.5,112.5,112.5,112.5,37.031898,0
2002-10-10,127.5,127.5,127.5,127.5,41.969485999999996,0
2002-10-11,95.0,95.0,95.0,95.0,31.271380999999998,0
2002-10-14,100.0,100.0,100.0,100.0,32.917244000000004,0
2002-10-15,110.0,110.0,110.0,110.0,36.208965,0
2002-10-16,135.0,135.0,135.0,135.0,44.438278000000004,0
2002-10-17,125.0,125.0,125.0,125.0,41.146553000000004,0
2002-10-21,120.0,120.0,120.0,120.0,39.500690000000006,0
2002-10-22,125.0,125.0,125.0,125.0,41.146553000000004,0
2002-10-23,125.0,125.0,87.5,87.5,28.802585999999998,0
2002-10-24,125.0,125.0,125.0,125.0,41.146553000000004,0
2002-10-25,125.0,125.0,125.0,125.0,41.146553000000004,0
2002-10-29,112.5,112.5,112.5,112.5,37.031898,0
2002-10-30,112.5,112.5,112.5,112.5,37.031898,0
2002-10-31,112.5,112.5,112.5,112.5,37.031898,0
2002-11-01,112.5,112.5,112.5,112.5,37.031898,0
2002-11-05,115.0,115.0,115.0,115.0,37.854832,0
2002-11-06,112.5,112.5,100.0,100.0,32.917244000000004,0
2002-11-07,125.0,125.0,125.0,125.0,41.146553000000004,0
2002-11-08,112.5,112.5,112.5,112.5,37.031898,0
2002-11-11,110.0,110.0,110.0,110.0,36.208965,0
2002-11-13,122.5,122.5,122.5,122.5,40.32362,0
2002-11-14,125.0,125.0,125.0,125.0,41.146553000000004,0
2002-11-15,112.5,112.5,112.5,112.5,37.031898,0
2002-11-20,105.0,105.0,80.0,80.0,26.333794,0
2002-11-21,112.5,112.5,75.0,75.0,24.687931,0
2002-11-22,112.5,112.5,77.5,77.5,25.510862,0
2002-11-25,112.5,112.5,87.5,87.5,28.802585999999998,0
2002-11-26,110.0,110.0,87.5,87.5,28.802585999999998,0
2002-11-27,43.75,45.0,42.5,45.0,14.812759,618000
2002-11-28,40.0,40.0,37.5,38.75,12.755431,866000
2002-11-29,36.25,36.25,30.0,30.0,9.875173,1520000
2002-12-03,75.0,75.0,60.0,60.0,19.750345000000003,0
2002-12-04,75.0,75.0,65.0,65.0,21.396207999999998,0
2002-12-12,77.5,77.5,42.5,42.5,13.989828,0
2002-12-13,28.75,28.75,25.0,25.0,8.229311000000001,160000
2002-12-16,70.0,70.0,42.5,42.5,13.989828,0
2002-12-17,70.0,70.0,52.5,52.5,17.281553,0
2002-12-18,25.0,25.0,25.0,25.0,8.229311000000001,40000
2002-12-19,31.25,31.25,31.25,31.25,10.286638,10000
2002-12-20,31.25,31.25,31.25,31.25,10.286638,10000
2002-12-23,67.5,67.5,50.0,50.0,16.458622000000002,0
2002-12-27,26.25,35.0,26.25,35.0,11.521035000000001,180000
2003-01-02,67.5,67.5,50.0,50.0,16.458622000000002,0
2003-01-03,70.0,70.0,52.5,52.5,17.281553,0
2003-01-06,70.0,70.0,55.0,55.0,18.104483,0
2003-01-07,70.0,70.0,52.5,52.5,17.281553,0
2003-01-08,70.0,70.0,50.0,50.0,16.458622000000002,0
2003-01-09,70.0,70.0,55.0,55.0,18.104483,0
2003-01-10,70.0,70.0,50.0,50.0,16.458622000000002,0
2003-01-13,25.0,25.0,25.0,25.0,8.229311000000001,20000
2003-01-14,25.0,25.0,25.0,25.0,8.229311000000001,808000
2003-01-15,50.0,50.0,45.0,45.0,14.812759,0
2003-01-16,25.0,25.0,25.0,25.0,8.229311000000001,66000
2003-01-17,25.0,25.0,25.0,25.0,8.229311000000001,60000
2003-01-20,55.0,55.0,47.5,47.5,15.635691,0
2003-01-21,55.0,55.0,50.0,50.0,16.458622000000002,0
2003-01-22,52.5,52.5,50.0,50.0,16.458622000000002,0
2003-01-23,26.25,26.25,26.25,26.25,8.640777,280000
2003-01-24,55.0,55.0,47.5,47.5,15.635691,0
2003-01-27,55.0,55.0,50.0,50.0,16.458622000000002,0
2003-01-28,55.0,55.0,50.0,50.0,16.458622000000002,0
2003-01-29,26.25,26.25,26.25,26.25,8.640777,180000
2003-01-30,65.0,65.0,52.5,52.5,17.281553,0
2003-01-31,55.0,55.0,50.0,50.0,16.458622000000002,0
2003-02-03,70.0,70.0,50.0,50.0,16.458622000000002,0
2003-02-04,27.5,28.75,26.25,26.25,8.640777,250000
2003-02-05,55.0,55.0,50.0,50.0,16.458622000000002,0
2003-02-06,60.0,60.0,50.0,50.0,16.458622000000002,0
2003-02-07,57.5,57.5,50.0,50.0,16.458622000000002,0
2003-02-10,57.5,57.5,50.0,50.0,16.458622000000002,0
2003-02-11,57.5,57.5,57.5,57.5,18.927416,0
2003-02-13,60.0,60.0,45.0,45.0,14.812759,0
2003-02-14,60.0,60.0,45.0,45.0,14.812759,0
2003-02-17,60.0,60.0,47.5,47.5,15.635691,0
2003-02-18,60.0,60.0,47.5,47.5,15.635691,0
2003-02-19,22.5,27.5,22.5,27.5,9.052241,44000
2003-02-20,55.0,55.0,50.0,50.0,16.458622000000002,0
2003-02-21,55.0,55.0,45.0,45.0,14.812759,0
2003-02-24,55.0,55.0,47.5,47.5,15.635691,0
2003-02-25,27.5,27.5,27.5,27.5,9.052241,100000
2003-02-26,57.5,57.5,50.0,50.0,16.458622000000002,0
2003-02-27,28.75,28.75,28.75,28.75,9.463708,60000
2003-02-28,26.25,26.25,26.25,26.25,8.640777,40000
2003-03-04,57.5,57.5,52.5,52.5,17.281553,0
2003-03-05,28.75,28.75,28.75,28.75,9.463708,20000
2003-03-06,28.75,32.5,28.75,32.5,10.698103999999999,300000
2003-03-07,65.0,65.0,57.5,57.5,18.927416,0
2003-03-10,30.0,30.0,30.0,30.0,9.875173,4000
2003-03-11,60.0,60.0,52.5,52.5,17.281553,0
2003-03-12,60.0,60.0,52.5,52.5,17.281553,0
2003-03-13,26.25,32.5,26.25,32.5,10.698103999999999,386000
2003-03-14,65.0,65.0,55.0,55.0,18.104483,0
2003-03-17,28.75,28.75,28.75,28.75,9.463708,100000
2003-03-18,62.5,62.5,52.5,52.5,17.281553,0
2003-03-19,62.5,62.5,52.5,52.5,17.281553,0
2003-03-20,62.5,62.5,52.5,52.5,17.281553,0
2003-03-21,65.0,65.0,52.5,52.5,17.281553,0
2003-03-24,62.5,62.5,52.5,52.5,17.281553,0
2003-03-25,62.5,62.5,52.5,52.5,17.281553,0
2003-03-26,62.5,62.5,55.0,55.0,18.104483,0
2003-03-27,62.5,62.5,52.5,52.5,17.281553,0
2003-03-28,65.0,65.0,52.5,52.5,17.281553,0
2003-03-31,65.0,65.0,52.5,52.5,17.281553,0
2003-04-01,65.0,65.0,52.5,52.5,17.281553,0
2003-04-03,62.5,62.5,52.5,52.5,17.281553,0
2003-04-04,65.0,65.0,52.5,52.5,17.281553,0
2003-04-07,65.0,65.0,55.0,55.0,18.104483,0
2003-04-08,65.0,65.0,52.5,52.5,17.281553,0
2003-04-09,65.0,65.0,52.5,52.5,17.281553,0
2003-04-10,65.0,65.0,52.5,52.5,17.281553,0
2003-04-11,26.25,26.25,26.25,26.25,8.640777,40000
2003-04-14,62.5,62.5,52.5,52.5,17.281553,0
2003-04-15,26.25,26.25,26.25,26.25,8.640777,30000
2003-04-16,62.5,62.5,52.5,52.5,17.281553,0
2003-04-17,60.0,60.0,52.5,52.5,17.281553,0
2003-04-21,60.0,60.0,52.5,52.5,17.281553,0
2003-04-22,60.0,60.0,52.5,52.5,17.281553,0
2003-04-23,60.0,60.0,52.5,52.5,17.281553,0
2003-04-24,28.75,28.75,28.75,28.75,9.463708,54000
2003-04-25,27.5,27.5,27.5,27.5,9.052241,2000
2003-04-28,57.5,57.5,52.5,52.5,17.281553,0
2003-04-29,57.5,57.5,52.5,52.5,17.281553,0
2003-04-30,28.75,30.0,27.5,30.0,9.875173,110000
2003-05-01,31.25,31.25,31.25,31.25,10.286638,40000
2003-05-02,30.0,30.0,30.0,30.0,9.875173,120000
2003-05-05,30.0,30.0,30.0,30.0,9.875173,20000
2003-05-06,31.25,32.5,31.25,31.25,10.286638,708000
2003-05-07,30.0,32.5,30.0,32.5,10.698103999999999,260000
2003-05-08,67.5,67.5,60.0,60.0,19.750345000000003,0
2003-05-09,35.0,35.0,35.0,35.0,11.521035000000001,2000
2003-05-12,31.25,31.25,31.25,31.25,10.286638,10000
2003-05-13,31.25,31.25,31.25,31.25,10.286638,60000
2003-05-14,65.0,65.0,60.0,60.0,19.750345000000003,0
2003-05-19,31.25,31.25,31.25,31.25,10.286638,42000
2003-05-20,65.0,65.0,62.5,62.5,20.573276999999997,0
2003-05-21,65.0,65.0,62.5,62.5,20.573276999999997,0
2003-05-22,67.5,67.5,62.5,62.5,20.573276999999997,0
2003-05-23,67.5,67.5,62.5,62.5,20.573276999999997,0
2003-05-26,33.75,35.0,33.75,35.0,11.521035000000001,118000
2003-05-27,36.25,38.75,36.25,38.75,12.755431,280000
2003-05-28,80.0,80.0,70.0,70.0,23.042070000000002,0
2003-05-29,77.5,77.5,72.5,72.5,23.865,0
2003-06-02,80.0,80.0,75.0,75.0,24.687931,0
2003-06-03,80.0,80.0,75.0,75.0,24.687931,0
2003-06-04,38.75,40.0,38.75,40.0,13.166897,160000
2003-06-05,41.25,42.5,41.25,41.25,13.578362,328000
2003-06-06,87.5,87.5,77.5,77.5,25.510862,0
2003-06-09,90.0,90.0,75.0,75.0,24.687931,0
2003-06-10,82.5,82.5,77.5,77.5,25.510862,0
2003-06-11,82.5,82.5,75.0,75.0,24.687931,0
2003-06-12,82.5,82.5,75.0,75.0,24.687931,0
2003-06-13,90.0,90.0,72.5,72.5,23.865,0
2003-06-16,87.5,87.5,72.5,72.5,23.865,0
2003-06-17,37.5,37.5,35.0,35.0,11.521035000000001,204000
2003-06-18,33.75,43.75,33.75,43.75,14.401292999999999,42000
2003-06-19,36.25,36.25,36.25,36.25,11.9325,2000
2003-06-20,35.0,35.0,35.0,35.0,11.521035000000001,56000
2003-06-23,80.0,80.0,70.0,70.0,23.042070000000002,0
2003-06-24,38.75,38.75,38.75,38.75,12.755431,120000
2003-06-25,77.5,77.5,70.0,70.0,23.042070000000002,0
2003-06-26,35.0,37.5,35.0,37.5,12.343966,986000
2003-06-27,35.0,35.0,35.0,35.0,11.521035000000001,14000
2003-06-30,80.0,80.0,67.5,67.5,22.219139000000002,0
2003-07-01,80.0,80.0,67.5,67.5,22.219139000000002,0
2003-07-02,80.0,80.0,67.5,67.5,22.219139000000002,0
2003-07-03,75.0,75.0,67.5,67.5,22.219139000000002,0
2003-07-04,75.0,75.0,67.5,67.5,22.219139000000002,0
2003-07-07,77.5,77.5,67.5,67.5,22.219139000000002,0
