Date,Open,High,Low,Close,Adj Close,Volume
2017-12-18,238.0,238.0,238.0,238.0,238.0,191900
2017-12-19,296.0,296.0,296.0,296.0,296.0,304300
2017-12-20,370.0,370.0,370.0,370.0,370.0,218900
2017-12-21,462.0,462.0,400.0,458.0,458.0,71456000
2017-12-22,458.0,570.0,450.0,555.0,555.0,28918900
2017-12-25,555.0,555.0,555.0,555.0,555.0,0
2017-12-26,555.0,555.0,555.0,555.0,555.0,0
2017-12-27,570.0,690.0,570.0,690.0,690.0,12796700
2017-12-28,720.0,860.0,720.0,860.0,860.0,25059700
2017-12-29,900.0,1030.0,690.0,820.0,820.0,65391000
2018-01-01,820.0,820.0,820.0,820.0,820.0,0
2018-01-02,820.0,900.0,680.0,715.0,715.0,14887300
2018-01-03,710.0,790.0,660.0,750.0,750.0,14469200
2018-01-04,750.0,790.0,750.0,770.0,770.0,12194600
2018-01-05,770.0,775.0,700.0,725.0,725.0,4891000
2018-01-08,725.0,740.0,700.0,710.0,710.0,2043700
2018-01-09,710.0,885.0,695.0,885.0,885.0,14098000
2018-01-10,900.0,925.0,800.0,815.0,815.0,14393700
2018-01-11,815.0,815.0,795.0,800.0,800.0,1686300
2018-01-12,805.0,915.0,790.0,865.0,865.0,4261200
2018-01-15,850.0,870.0,840.0,860.0,860.0,1388000
2018-01-16,845.0,1075.0,840.0,1075.0,1075.0,15508100
2018-01-17,1090.0,1100.0,980.0,1020.0,1020.0,1939600
2018-01-18,1030.0,1045.0,1010.0,1020.0,1020.0,821000
2018-01-19,1020.0,1040.0,990.0,1000.0,1000.0,620000
2018-01-22,1035.0,1035.0,995.0,1000.0,1000.0,696200
2018-01-23,1020.0,1035.0,1000.0,1020.0,1020.0,507200
2018-01-24,1035.0,1090.0,1010.0,1060.0,1060.0,1194200
2018-01-25,1050.0,1060.0,1025.0,1045.0,1045.0,376500
2018-01-26,1065.0,1065.0,1000.0,1010.0,1010.0,416600
2018-01-29,1010.0,1030.0,980.0,1000.0,1000.0,434400
2018-01-30,1000.0,1020.0,990.0,1000.0,1000.0,137000
2018-01-31,1000.0,1070.0,985.0,990.0,990.0,144600
2018-02-01,990.0,1015.0,990.0,995.0,995.0,138100
2018-02-02,985.0,990.0,920.0,975.0,975.0,168200
2018-02-05,975.0,975.0,925.0,965.0,965.0,61800
2018-02-06,950.0,965.0,850.0,965.0,965.0,171800
2018-02-07,970.0,970.0,915.0,950.0,950.0,50200
2018-02-08,960.0,1010.0,950.0,1010.0,1010.0,111900
2018-02-09,1000.0,1000.0,985.0,990.0,990.0,79500
2018-02-12,940.0,1000.0,940.0,1000.0,1000.0,38200
2018-02-13,955.0,995.0,950.0,955.0,955.0,48600
2018-02-14,990.0,990.0,865.0,890.0,890.0,807700
2018-02-15,900.0,955.0,900.0,940.0,940.0,5400
2018-02-16,940.0,940.0,940.0,940.0,940.0,0
2018-02-19,940.0,975.0,900.0,935.0,935.0,88100
2018-02-20,935.0,970.0,930.0,940.0,940.0,405500
2018-02-21,975.0,975.0,895.0,900.0,900.0,689700
2018-02-22,950.0,950.0,900.0,915.0,915.0,5700
2018-02-23,915.0,915.0,845.0,895.0,895.0,72700
2018-02-26,895.0,910.0,805.0,870.0,870.0,30500
2018-02-27,870.0,895.0,830.0,890.0,890.0,24200
2018-02-28,890.0,890.0,815.0,880.0,880.0,27800
2018-03-01,850.0,880.0,790.0,795.0,795.0,1275400
2018-03-02,790.0,820.0,790.0,800.0,800.0,37000
2018-03-05,800.0,800.0,705.0,710.0,710.0,553800
2018-03-06,705.0,730.0,705.0,720.0,720.0,80700
2018-03-07,700.0,715.0,635.0,680.0,680.0,1834300
2018-03-08,680.0,680.0,615.0,635.0,635.0,529900
2018-03-09,665.0,670.0,575.0,600.0,600.0,824000
2018-03-12,600.0,655.0,570.0,640.0,640.0,235500
2018-03-13,620.0,665.0,595.0,605.0,605.0,973500
2018-03-14,610.0,610.0,595.0,595.0,595.0,208600
2018-03-15,585.0,740.0,585.0,740.0,740.0,2908500
2018-03-16,750.0,925.0,750.0,920.0,920.0,14334800
2018-03-19,930.0,930.0,750.0,750.0,750.0,4476100
2018-03-20,750.0,770.0,705.0,725.0,725.0,1595400
2018-03-21,730.0,730.0,720.0,725.0,725.0,209700
2018-03-22,725.0,725.0,710.0,720.0,720.0,341700
2018-03-23,700.0,725.0,660.0,720.0,720.0,691100
2018-03-26,700.0,700.0,690.0,695.0,695.0,86600
2018-03-27,695.0,695.0,675.0,685.0,685.0,138700
2018-03-28,670.0,690.0,655.0,655.0,655.0,3281600
2018-03-29,655.0,795.0,650.0,745.0,745.0,1681400
2018-03-30,745.0,745.0,745.0,745.0,745.0,0
2018-04-02,735.0,750.0,720.0,735.0,735.0,287300
2018-04-03,700.0,760.0,690.0,740.0,740.0,1141100
2018-04-04,720.0,740.0,720.0,740.0,740.0,141800
2018-04-05,720.0,745.0,720.0,740.0,740.0,76400
2018-04-06,720.0,740.0,720.0,735.0,735.0,53100
2018-04-09,740.0,875.0,710.0,850.0,850.0,1157100
2018-04-10,850.0,850.0,810.0,820.0,820.0,393500
2018-04-11,810.0,820.0,810.0,820.0,820.0,58400
2018-04-12,810.0,815.0,800.0,805.0,805.0,159200
2018-04-13,805.0,815.0,795.0,815.0,815.0,129000
2018-04-16,815.0,815.0,815.0,815.0,815.0,0
2018-04-17,815.0,815.0,815.0,815.0,815.0,0
2018-04-18,830.0,830.0,800.0,810.0,810.0,142000
2018-04-19,810.0,810.0,810.0,810.0,810.0,0
2018-04-20,810.0,810.0,810.0,810.0,810.0,0
2018-04-23,800.0,800.0,725.0,725.0,725.0,31200
2018-04-24,775.0,775.0,700.0,750.0,750.0,67200
2018-04-25,750.0,750.0,750.0,750.0,750.0,0
2018-04-26,750.0,750.0,750.0,750.0,750.0,0
2018-04-27,750.0,750.0,750.0,750.0,750.0,0
2018-04-30,740.0,840.0,730.0,800.0,800.0,72100
2018-05-01,800.0,800.0,800.0,800.0,800.0,0
2018-05-02,800.0,800.0,800.0,800.0,800.0,0
2018-05-03,750.0,765.0,740.0,740.0,740.0,50800
2018-05-04,785.0,785.0,715.0,750.0,750.0,1300
2018-05-07,775.0,775.0,775.0,775.0,775.0,100
2018-05-08,725.0,770.0,720.0,770.0,770.0,18300
2018-05-09,740.0,740.0,715.0,720.0,720.0,3600
2018-05-10,720.0,720.0,720.0,720.0,720.0,0
2018-05-11,770.0,770.0,700.0,700.0,700.0,7900
2018-05-14,700.0,750.0,700.0,700.0,700.0,3200
2018-05-15,700.0,720.0,690.0,720.0,720.0,2300
2018-05-16,705.0,720.0,690.0,690.0,690.0,121000
2018-05-17,690.0,695.0,690.0,695.0,695.0,1900
2018-05-18,695.0,695.0,670.0,675.0,675.0,42800
2018-05-21,675.0,680.0,645.0,675.0,675.0,234600
2018-05-22,650.0,695.0,650.0,685.0,685.0,378300
2018-05-23,685.0,730.0,660.0,660.0,660.0,1039500
2018-05-24,665.0,825.0,650.0,825.0,825.0,3144300
2018-05-25,840.0,850.0,780.0,790.0,790.0,723600
2018-05-28,790.0,805.0,750.0,755.0,755.0,116800
2018-05-29,755.0,755.0,755.0,755.0,755.0,0
2018-05-30,715.0,750.0,715.0,750.0,750.0,14500
2018-05-31,750.0,900.0,710.0,830.0,830.0,2825900
2018-06-01,830.0,830.0,830.0,830.0,830.0,0
2018-06-04,830.0,830.0,795.0,795.0,795.0,120600
2018-06-05,810.0,810.0,775.0,780.0,780.0,6379700
2018-06-06,780.0,800.0,780.0,800.0,800.0,20600
2018-06-07,780.0,790.0,765.0,775.0,775.0,112400
2018-06-08,785.0,785.0,750.0,750.0,750.0,19700
2018-06-11,750.0,750.0,750.0,750.0,750.0,0
2018-06-12,750.0,750.0,750.0,750.0,750.0,0
2018-06-13,750.0,750.0,750.0,750.0,750.0,0
2018-06-14,750.0,750.0,750.0,750.0,750.0,0
2018-06-15,750.0,750.0,750.0,750.0,750.0,0
2018-06-18,750.0,750.0,750.0,750.0,750.0,0
2018-06-19,750.0,750.0,750.0,750.0,750.0,0
2018-06-20,750.0,750.0,710.0,735.0,735.0,158900
2018-06-21,735.0,735.0,715.0,730.0,730.0,47600
2018-06-22,720.0,750.0,715.0,750.0,750.0,38700
2018-06-25,730.0,770.0,730.0,770.0,770.0,3300
2018-06-26,740.0,775.0,740.0,775.0,775.0,3700
2018-06-27,775.0,810.0,775.0,805.0,805.0,54900
