Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,600.0,685.0,560.0,685.0,618.416504,23297400
2017-06-20,800.0,855.0,750.0,855.0,771.892212,8322000
2017-06-21,940.0,1000.0,645.0,655.0,591.332581,21357500
2017-06-22,655.0,655.0,530.0,535.0,482.99685700000003,5468500
2017-06-23,535.0,535.0,535.0,535.0,482.99685700000003,0
2017-06-26,535.0,535.0,535.0,535.0,482.99685700000003,0
2017-06-27,535.0,535.0,535.0,535.0,482.99685700000003,0
2017-06-28,535.0,535.0,535.0,535.0,482.99685700000003,0
2017-06-29,535.0,535.0,535.0,535.0,482.99685700000003,0
2017-06-30,535.0,535.0,535.0,535.0,482.99685700000003,0
2017-07-03,540.0,560.0,486.0,496.0,447.78772000000004,2435500
2017-07-04,496.0,505.0,446.0,446.0,402.647858,2559700
2017-07-05,444.0,555.0,440.0,555.0,501.052795,12835600
2017-07-06,570.0,690.0,500.0,680.0,613.902527,26677800
2017-07-07,680.0,715.0,640.0,665.0,600.3605349999999,14901000
2017-07-10,695.0,745.0,625.0,625.0,564.248657,7489200
2017-07-11,625.0,655.0,610.0,615.0,555.2207030000001,2385600
2017-07-12,615.0,660.0,585.0,585.0,528.1367190000001,5148300
2017-07-13,585.0,610.0,570.0,570.0,514.594788,674100
2017-07-14,590.0,590.0,530.0,535.0,482.99685700000003,593700
2017-07-17,545.0,585.0,530.0,535.0,482.99685700000003,1664600
2017-07-18,555.0,585.0,535.0,565.0,510.08081100000004,2158500
2017-07-19,565.0,650.0,545.0,605.0,546.192688,7789800
2017-07-20,610.0,635.0,590.0,605.0,546.192688,1606400
2017-07-21,610.0,610.0,570.0,595.0,537.164734,1050700
2017-07-24,595.0,595.0,530.0,540.0,487.51086399999997,2386300
2017-07-25,545.0,545.0,515.0,525.0,473.968872,1746400
2017-07-26,535.0,550.0,510.0,510.0,460.42690999999996,398500
2017-07-27,515.0,575.0,500.0,545.0,492.02484100000004,2364400
2017-07-28,545.0,550.0,530.0,530.0,478.48287999999997,420800
2017-07-31,530.0,550.0,525.0,530.0,478.48287999999997,763600
2017-08-01,530.0,555.0,525.0,530.0,478.48287999999997,487500
2017-08-02,520.0,535.0,520.0,520.0,469.454895,507200
2017-08-03,530.0,530.0,515.0,520.0,469.454895,215000
2017-08-04,520.0,520.0,500.0,510.0,460.42690999999996,776000
2017-08-07,510.0,515.0,500.0,505.0,455.91290300000003,567700
2017-08-08,505.0,520.0,484.0,484.0,436.954163,1432100
2017-08-09,492.0,505.0,480.0,484.0,436.954163,1643900
2017-08-10,484.0,505.0,480.0,480.0,433.342957,1043600
2017-08-11,482.0,484.0,470.0,478.0,431.537384,349300
2017-08-14,482.0,500.0,480.0,482.0,435.14859,777700
2017-08-15,486.0,498.0,482.0,488.0,440.565338,215500
2017-08-16,492.0,496.0,480.0,482.0,435.14859,422200
2017-08-17,482.0,482.0,482.0,482.0,435.14859,0
2017-08-18,482.0,490.0,480.0,488.0,440.565338,319700
2017-08-21,484.0,515.0,480.0,484.0,436.954163,1437300
2017-08-22,482.0,486.0,480.0,486.0,438.759766,475100
2017-08-23,488.0,500.0,482.0,486.0,438.759766,903800
2017-08-24,492.0,496.0,480.0,484.0,436.954163,555700
2017-08-25,482.0,520.0,482.0,484.0,436.954163,3376700
2017-08-28,492.0,492.0,484.0,484.0,436.954163,315000
2017-08-29,488.0,488.0,480.0,480.0,433.342957,430000
2017-08-30,480.0,484.0,472.0,472.0,426.12060499999995,298200
2017-08-31,474.0,474.0,456.0,458.0,413.48141499999997,350900
2017-09-01,458.0,458.0,458.0,458.0,413.48141499999997,0
2017-09-04,460.0,468.0,456.0,464.0,418.898224,209400
2017-09-05,464.0,480.0,460.0,480.0,433.342957,631700
