Date,Open,High,Low,Close,Adj Close,Volume
2018-10-05,284.0,284.0,284.0,284.0,284.0,10400
2018-10-08,354.0,354.0,354.0,354.0,354.0,3200
2018-10-09,442.0,442.0,442.0,442.0,442.0,60100
2018-10-10,500.0,550.0,500.0,550.0,550.0,101897200
2018-10-11,565.0,565.0,414.0,414.0,414.0,41286100
2018-10-12,400.0,422.0,350.0,420.0,420.0,26259300
2018-10-15,410.0,426.0,398.0,400.0,400.0,7869400
2018-10-16,400.0,440.0,396.0,398.0,398.0,19777400
2018-10-17,400.0,402.0,392.0,396.0,396.0,1163500
2018-10-18,400.0,400.0,392.0,392.0,392.0,1997800
2018-10-19,394.0,396.0,388.0,396.0,396.0,2540400
2018-10-22,396.0,408.0,396.0,398.0,398.0,3605300
2018-10-23,396.0,398.0,388.0,388.0,388.0,2840500
2018-10-24,388.0,392.0,384.0,384.0,384.0,955800
2018-10-25,386.0,480.0,384.0,480.0,480.0,101150000
2018-10-26,482.0,525.0,396.0,396.0,396.0,59838600
2018-10-29,400.0,402.0,380.0,388.0,388.0,8734500
2018-10-30,388.0,388.0,374.0,376.0,376.0,6225100
2018-10-31,376.0,376.0,358.0,358.0,358.0,6574200
2018-11-01,354.0,446.0,350.0,446.0,446.0,84490500
2018-11-02,446.0,462.0,446.0,458.0,458.0,51482700
2018-11-05,462.0,494.0,458.0,482.0,482.0,38121600
2018-11-06,482.0,520.0,476.0,498.0,498.0,55252100
2018-11-07,498.0,500.0,466.0,494.0,494.0,18368800
2018-11-08,492.0,496.0,486.0,486.0,486.0,1642000
2018-11-09,482.0,484.0,478.0,478.0,478.0,536100
2018-11-12,480.0,498.0,472.0,472.0,472.0,10333800
2018-11-13,478.0,515.0,470.0,498.0,498.0,38180000
2018-11-14,498.0,505.0,468.0,470.0,470.0,19750200
2018-11-15,470.0,585.0,470.0,585.0,585.0,59462900
2018-11-16,585.0,635.0,505.0,540.0,540.0,75281900
2018-11-19,550.0,585.0,535.0,535.0,535.0,17412000
2018-11-20,535.0,535.0,535.0,535.0,535.0,0
2018-11-21,535.0,565.0,525.0,525.0,525.0,6091500
2018-11-22,525.0,595.0,510.0,585.0,585.0,29184500
2018-11-23,585.0,680.0,515.0,535.0,535.0,65885500
2018-11-26,535.0,615.0,535.0,560.0,560.0,60317500
2018-11-27,565.0,585.0,448.0,450.0,450.0,43480800
2018-11-28,450.0,480.0,446.0,450.0,450.0,26451900
2018-11-29,450.0,466.0,446.0,446.0,446.0,7884900
2018-11-30,448.0,456.0,424.0,424.0,424.0,11627200
2018-12-03,424.0,458.0,418.0,454.0,454.0,54730700
2018-12-04,454.0,462.0,440.0,450.0,450.0,18580200
2018-12-05,450.0,458.0,444.0,446.0,446.0,7176700
2018-12-06,446.0,466.0,442.0,446.0,446.0,73141100
2018-12-07,446.0,456.0,442.0,442.0,442.0,7740200
2018-12-10,442.0,520.0,440.0,505.0,505.0,100379700
2018-12-11,505.0,600.0,505.0,600.0,600.0,126621300
2018-12-12,605.0,730.0,600.0,710.0,710.0,168447600
2018-12-13,730.0,785.0,690.0,705.0,705.0,236015300
2018-12-14,705.0,750.0,695.0,705.0,705.0,60543900
2018-12-17,710.0,725.0,700.0,705.0,705.0,21006300
2018-12-18,710.0,720.0,695.0,705.0,705.0,17341800
2018-12-19,700.0,715.0,685.0,715.0,715.0,36550700
2018-12-20,715.0,720.0,700.0,700.0,700.0,11748900
2018-12-21,700.0,710.0,525.0,525.0,525.0,25571500
2018-12-24,525.0,525.0,525.0,525.0,525.0,0
2018-12-25,525.0,525.0,525.0,525.0,525.0,0
2018-12-26,530.0,550.0,505.0,515.0,515.0,16704500
2018-12-27,515.0,630.0,515.0,585.0,585.0,89805200
2018-12-28,595.0,690.0,545.0,555.0,555.0,109082200
2018-12-31,555.0,555.0,555.0,555.0,555.0,0
2019-01-01,555.0,555.0,555.0,555.0,555.0,0
2019-01-02,545.0,600.0,418.0,418.0,418.0,156860500
2019-01-03,418.0,432.0,370.0,412.0,412.0,114902500
2019-01-04,412.0,428.0,398.0,408.0,408.0,58680000
2019-01-07,410.0,416.0,360.0,366.0,366.0,117852200
2019-01-08,368.0,376.0,296.0,310.0,310.0,206573800
2019-01-09,312.0,322.0,294.0,300.0,300.0,232151300
2019-01-10,302.0,306.0,246.0,258.0,258.0,264725300
2019-01-11,258.0,268.0,242.0,262.0,262.0,143953700
2019-01-14,264.0,274.0,216.0,220.0,220.0,366431100
2019-01-15,222.0,224.0,206.0,222.0,222.0,108912500
2019-01-16,222.0,228.0,216.0,224.0,224.0,118058800
2019-01-17,224.0,232.0,208.0,210.0,210.0,167934900
2019-01-18,212.0,214.0,208.0,208.0,208.0,35591600
2019-01-21,210.0,214.0,200.0,200.0,200.0,31521800
2019-01-22,200.0,204.0,184.0,185.0,185.0,45142700
2019-01-23,185.0,187.0,171.0,174.0,174.0,36526900
2019-01-24,174.0,176.0,172.0,176.0,176.0,12574600
2019-01-25,177.0,214.0,174.0,206.0,206.0,105345400
2019-01-28,210.0,230.0,208.0,224.0,224.0,105837100
2019-01-29,224.0,230.0,204.0,210.0,210.0,53881000
2019-01-30,210.0,212.0,202.0,204.0,204.0,15663200
2019-01-31,206.0,208.0,195.0,202.0,202.0,18938700
2019-02-01,202.0,224.0,202.0,210.0,210.0,39709000
2019-02-04,212.0,216.0,206.0,208.0,208.0,18996900
2019-02-05,208.0,208.0,208.0,208.0,208.0,0
2019-02-06,210.0,210.0,204.0,206.0,206.0,25488700
2019-02-07,208.0,210.0,200.0,200.0,200.0,27537400
2019-02-08,202.0,206.0,200.0,200.0,200.0,26607100
2019-02-11,202.0,202.0,196.0,197.0,197.0,11995500
2019-02-12,197.0,208.0,177.0,208.0,208.0,47327200
2019-02-13,210.0,216.0,192.0,196.0,196.0,22966800
2019-02-14,196.0,200.0,189.0,189.0,189.0,22419600
2019-02-15,190.0,196.0,180.0,183.0,183.0,23663900
2019-02-18,183.0,190.0,183.0,186.0,186.0,23755900
2019-02-19,186.0,190.0,184.0,185.0,185.0,22944900
2019-02-20,188.0,194.0,184.0,184.0,184.0,23969000
2019-02-21,184.0,188.0,182.0,186.0,186.0,24326000
2019-02-22,187.0,204.0,186.0,198.0,198.0,37509700
2019-02-25,199.0,202.0,188.0,188.0,188.0,27492400
2019-02-26,188.0,194.0,186.0,188.0,188.0,20133700
2019-02-27,188.0,190.0,180.0,184.0,184.0,23726300
2019-02-28,184.0,189.0,181.0,184.0,184.0,18895100
2019-03-01,186.0,189.0,183.0,183.0,183.0,14670100
2019-03-04,183.0,185.0,183.0,183.0,183.0,19026100
2019-03-05,184.0,192.0,182.0,185.0,185.0,27318900
2019-03-06,187.0,188.0,183.0,184.0,184.0,20226600
2019-03-07,184.0,184.0,184.0,184.0,184.0,0
2019-03-08,185.0,187.0,181.0,182.0,182.0,22465400
2019-03-11,185.0,185.0,179.0,181.0,181.0,19368200
2019-03-12,180.0,183.0,179.0,179.0,179.0,19626700
2019-03-13,178.0,179.0,174.0,175.0,175.0,19708600
2019-03-14,176.0,179.0,174.0,175.0,175.0,18795900
2019-03-15,175.0,178.0,175.0,176.0,176.0,19543900
2019-03-18,176.0,177.0,175.0,176.0,176.0,17721700
2019-03-19,177.0,178.0,174.0,175.0,175.0,18392300
2019-03-20,175.0,176.0,172.0,175.0,175.0,18685500
2019-03-21,174.0,180.0,174.0,175.0,175.0,19624800
2019-03-22,174.0,177.0,174.0,176.0,176.0,17341500
2019-03-25,175.0,188.0,175.0,181.0,181.0,34843100
2019-03-26,182.0,208.0,182.0,204.0,204.0,78051400
2019-03-27,208.0,212.0,190.0,192.0,192.0,43935300
2019-03-28,189.0,190.0,176.0,177.0,177.0,27475200
2019-03-29,181.0,181.0,175.0,177.0,177.0,22977100
2019-04-01,176.0,183.0,176.0,176.0,176.0,20386100
2019-04-02,176.0,179.0,171.0,173.0,173.0,20853000
2019-04-03,173.0,173.0,173.0,173.0,173.0,0
2019-04-04,173.0,176.0,172.0,173.0,173.0,19016100
