Date,Open,High,Low,Close,Adj Close,Volume
2013-11-08,375.0,410.0,375.0,410.0,410.0,437000
2013-11-11,500.0,510.0,470.0,500.0,500.0,274825000
2013-11-12,510.0,580.0,500.0,520.0,520.0,223303500
2013-11-13,520.0,550.0,485.0,500.0,500.0,108351000
2013-11-14,500.0,540.0,480.0,490.0,490.0,176852500
2013-11-15,495.0,510.0,450.0,455.0,455.0,156902500
2013-11-18,460.0,485.0,455.0,475.0,475.0,83318000
2013-11-19,480.0,500.0,480.0,495.0,495.0,80896500
2013-11-20,495.0,510.0,465.0,465.0,465.0,110605000
2013-11-21,470.0,480.0,460.0,465.0,465.0,99449500
2013-11-22,470.0,470.0,455.0,455.0,455.0,61084000
2013-11-25,460.0,470.0,455.0,455.0,455.0,66790000
2013-11-26,455.0,455.0,425.0,430.0,430.0,60824500
2013-11-27,430.0,440.0,425.0,440.0,440.0,35389000
2013-11-28,440.0,465.0,420.0,420.0,420.0,138833500
2013-11-29,420.0,425.0,400.0,400.0,400.0,67177000
2013-12-02,400.0,400.0,390.0,400.0,400.0,22454000
2013-12-03,400.0,420.0,400.0,420.0,420.0,36961000
2013-12-04,415.0,435.0,410.0,435.0,435.0,33528500
2013-12-05,435.0,445.0,430.0,430.0,430.0,32711500
2013-12-06,430.0,430.0,400.0,405.0,405.0,14740000
2013-12-09,405.0,425.0,355.0,360.0,360.0,101380000
2013-12-10,355.0,375.0,340.0,345.0,345.0,52037500
2013-12-11,345.0,355.0,340.0,350.0,350.0,15256500
2013-12-12,350.0,355.0,340.0,350.0,350.0,8693000
2013-12-13,345.0,355.0,335.0,335.0,335.0,35048500
2013-12-16,330.0,340.0,270.0,280.0,280.0,40229500
2013-12-17,275.0,295.0,270.0,285.0,285.0,6412000
2013-12-18,285.0,295.0,285.0,295.0,295.0,5503000
2013-12-19,300.0,310.0,300.0,305.0,305.0,8584500
2013-12-20,310.0,315.0,300.0,305.0,305.0,4378500
2013-12-23,305.0,305.0,295.0,295.0,295.0,5506500
2013-12-24,300.0,305.0,300.0,300.0,300.0,5753500
2013-12-27,305.0,310.0,300.0,300.0,300.0,5983500
2013-12-30,305.0,310.0,290.0,290.0,290.0,10696500
2014-01-02,295.0,295.0,275.0,295.0,295.0,25930500
2014-01-03,290.0,305.0,280.0,300.0,300.0,38943500
2014-01-06,305.0,325.0,305.0,319.0,319.0,5143100
2014-01-07,320.0,322.0,316.0,318.0,318.0,4087500
2014-01-08,319.0,320.0,315.0,317.0,317.0,3319700
2014-01-09,318.0,321.0,315.0,321.0,321.0,2918400
2014-01-10,322.0,323.0,319.0,321.0,321.0,2285300
2014-01-13,322.0,322.0,317.0,321.0,321.0,1929000
2014-01-15,319.0,321.0,318.0,321.0,321.0,1190000
2014-01-16,321.0,322.0,319.0,321.0,321.0,1133600
2014-01-17,320.0,321.0,319.0,321.0,321.0,988900
2014-01-20,320.0,321.0,319.0,320.0,320.0,1011900
