Date,Open,High,Low,Close,Adj Close,Volume
2002-04-22,77.5,77.5,77.5,77.5,4.531048,30000
2002-04-23,92.5,92.5,75.0,75.0,4.384886,0
2002-04-24,90.0,90.0,75.0,75.0,4.384886,0
2002-04-25,90.0,90.0,90.0,90.0,5.261863,5000
2002-04-26,85.0,85.0,80.0,80.0,4.677211,0
2002-04-29,87.5,87.5,77.5,77.5,4.531048,0
2002-04-30,90.0,90.0,75.0,75.0,4.384886,0
2002-05-01,80.0,80.0,80.0,80.0,4.677211,35000
2002-05-02,85.0,85.0,75.0,75.0,4.384886,0
2002-05-03,82.5,82.5,77.5,77.5,4.531048,0
2002-05-06,85.0,85.0,77.5,77.5,4.531048,0
2002-05-07,82.5,82.5,77.5,77.5,4.531048,0
2002-05-08,85.0,85.0,75.0,75.0,4.384886,0
2002-05-09,75.0,75.0,75.0,75.0,4.384886,0
2002-05-10,90.0,90.0,75.0,75.0,4.384886,0
2002-05-13,87.5,87.5,80.0,80.0,4.677211,0
2002-05-14,87.5,87.5,77.5,77.5,4.531048,0
2002-05-15,85.0,85.0,77.5,77.5,4.531048,0
2002-05-16,90.0,90.0,77.5,77.5,4.531048,0
2002-05-17,85.0,85.0,77.5,77.5,4.531048,0
2002-05-20,80.0,80.0,80.0,80.0,4.677211,30000
2002-05-21,80.0,80.0,80.0,80.0,4.677211,175000
2002-05-22,80.0,80.0,80.0,80.0,4.677211,70000
2002-05-23,87.5,87.5,80.0,80.0,4.677211,0
2002-05-24,87.5,87.5,80.0,80.0,4.677211,0
2002-05-27,85.0,85.0,85.0,85.0,4.969537,35000
2002-05-28,85.0,85.0,85.0,85.0,4.969537,25000
2002-05-29,87.5,87.5,80.0,80.0,4.677211,0
2002-05-30,87.5,87.5,80.0,80.0,4.677211,0
2002-05-31,87.5,87.5,80.0,80.0,4.677211,0
2002-06-03,85.0,85.0,80.0,80.0,4.677211,0
2002-06-04,85.0,85.0,85.0,85.0,4.969537,10000
2002-06-05,87.5,87.5,80.0,80.0,4.677211,0
2002-06-06,87.5,87.5,75.0,75.0,4.384886,0
2002-06-07,87.5,87.5,75.0,75.0,4.384886,0
2002-06-10,85.0,85.0,80.0,80.0,4.677211,0
2002-06-11,85.0,85.0,80.0,80.0,4.677211,0
2002-06-12,85.0,85.0,80.0,80.0,4.677211,0
2002-06-13,87.5,92.5,87.5,90.0,5.261863,130000
2002-06-14,95.0,95.0,92.5,92.5,5.408025,200000
2002-06-17,92.5,92.5,92.5,92.5,5.408025,100000
2002-06-18,90.0,90.0,90.0,90.0,5.261863,250000
2002-06-19,90.0,90.0,87.5,87.5,5.1157,0
2002-06-20,87.5,87.5,87.5,87.5,5.1157,250000
2002-06-21,90.0,90.0,85.0,85.0,4.969537,0
2002-06-24,90.0,90.0,85.0,85.0,4.969537,0
2002-06-25,87.5,87.5,85.0,85.0,4.969537,0
2002-06-26,85.0,85.0,85.0,85.0,4.969537,15000
2002-06-27,85.0,85.0,82.5,82.5,4.823373999999999,0
2002-06-28,85.0,85.0,82.5,82.5,4.823373999999999,0
2002-07-01,82.5,87.5,82.5,87.5,5.1157,150000
2002-07-02,85.0,85.0,82.5,82.5,4.823373999999999,0
2002-07-03,85.0,85.0,80.0,80.0,4.677211,0
2002-07-04,80.0,80.0,75.0,75.0,4.384886,35000
2002-07-05,75.0,82.5,75.0,82.5,4.823373999999999,205000
2002-07-08,85.0,85.0,85.0,85.0,4.969537,25000
2002-07-09,82.5,82.5,82.5,82.5,4.823373999999999,45000
2002-07-10,82.5,82.5,80.0,80.0,4.677211,0
2002-07-11,82.5,82.5,80.0,80.0,4.677211,0
2002-07-12,82.5,82.5,82.5,82.5,4.823373999999999,100000
2002-07-15,85.0,85.0,80.0,80.0,4.677211,0
2002-07-16,85.0,85.0,80.0,80.0,4.677211,0
2002-07-17,80.0,80.0,80.0,80.0,4.677211,40000
2002-07-18,82.5,82.5,77.5,77.5,4.531048,0
2002-07-19,82.5,82.5,77.5,77.5,4.531048,0
2002-07-22,82.5,82.5,77.5,77.5,4.531048,0
2002-07-23,80.0,80.0,77.5,77.5,4.531048,0
2002-07-24,82.5,82.5,77.5,77.5,4.531048,0
2002-07-25,82.5,82.5,77.5,77.5,4.531048,0
