Date,Open,High,Low,Close,Adj Close,Volume
2002-03-25,185.0,205.0,185.0,205.0,205.0,3000
2002-03-26,185.0,185.0,180.0,180.0,180.0,1000
2002-03-27,170.0,180.0,165.0,170.0,170.0,54500
2002-03-28,175.0,175.0,175.0,175.0,175.0,5000
2002-04-01,180.0,180.0,165.0,165.0,165.0,0
2002-04-02,180.0,180.0,165.0,165.0,165.0,0
2002-04-03,175.0,175.0,160.0,160.0,160.0,0
2002-04-04,175.0,175.0,175.0,175.0,175.0,12000
2002-04-05,180.0,180.0,175.0,175.0,175.0,32500
2002-04-08,185.0,185.0,185.0,185.0,185.0,22500
2002-04-09,185.0,190.0,185.0,190.0,190.0,25000
2002-04-10,175.0,175.0,175.0,175.0,175.0,2500
2002-04-11,185.0,185.0,180.0,180.0,180.0,112500
2002-04-12,185.0,185.0,185.0,185.0,185.0,50000
2002-04-15,200.0,200.0,185.0,185.0,185.0,35000
2002-04-16,185.0,185.0,180.0,180.0,180.0,50000
2002-04-17,185.0,195.0,185.0,195.0,195.0,75000
2002-04-18,185.0,185.0,185.0,185.0,185.0,20000
2002-04-19,175.0,180.0,175.0,180.0,180.0,32500
2002-04-22,190.0,195.0,185.0,185.0,185.0,133000
2002-04-23,190.0,190.0,175.0,175.0,175.0,0
2002-04-24,185.0,190.0,185.0,190.0,190.0,87500
2002-04-25,190.0,195.0,190.0,190.0,190.0,38000
2002-04-26,200.0,210.0,200.0,200.0,200.0,224500
2002-04-29,205.0,210.0,200.0,200.0,200.0,90500
2002-04-30,200.0,200.0,200.0,200.0,200.0,25000
2002-05-01,200.0,205.0,200.0,205.0,205.0,133000
2002-05-02,210.0,225.0,205.0,210.0,210.0,50000
2002-05-03,200.0,200.0,200.0,200.0,200.0,35000
2002-05-06,225.0,225.0,225.0,225.0,225.0,500
2002-05-07,215.0,215.0,200.0,200.0,200.0,0
2002-05-08,210.0,210.0,205.0,205.0,205.0,0
2002-05-10,215.0,215.0,210.0,210.0,210.0,30000
2002-05-13,200.0,200.0,190.0,190.0,190.0,40500
2002-05-14,190.0,200.0,190.0,200.0,200.0,25500
2002-05-15,200.0,200.0,195.0,195.0,195.0,47500
2002-05-16,195.0,195.0,195.0,195.0,195.0,12500
2002-05-17,195.0,195.0,185.0,185.0,185.0,25500
2002-05-20,185.0,185.0,185.0,185.0,185.0,2000
2002-05-21,195.0,195.0,190.0,190.0,190.0,11500
2002-05-22,185.0,185.0,180.0,180.0,180.0,58500
2002-05-23,175.0,175.0,175.0,175.0,175.0,6000
2002-05-24,175.0,175.0,175.0,175.0,175.0,20000
2002-05-27,180.0,180.0,180.0,180.0,180.0,26000
2002-05-28,190.0,190.0,180.0,180.0,180.0,0
2002-05-29,185.0,185.0,185.0,185.0,185.0,52500
2002-05-30,185.0,185.0,180.0,180.0,180.0,17500
2002-05-31,190.0,190.0,180.0,180.0,180.0,0
2002-06-03,180.0,190.0,180.0,180.0,180.0,215000
2002-06-04,185.0,185.0,175.0,175.0,175.0,0
2002-06-05,180.0,180.0,175.0,180.0,180.0,83500
2002-06-06,185.0,190.0,180.0,190.0,190.0,147500
2002-06-07,190.0,190.0,180.0,180.0,180.0,0
2002-06-10,180.0,190.0,180.0,180.0,180.0,47500
2002-06-11,185.0,190.0,185.0,190.0,190.0,40000
2002-06-12,190.0,190.0,190.0,190.0,190.0,25000
2002-06-13,190.0,190.0,180.0,180.0,180.0,0
2002-06-14,190.0,190.0,180.0,180.0,180.0,0
2002-06-17,190.0,190.0,180.0,180.0,180.0,0
2002-06-18,180.0,180.0,180.0,180.0,180.0,10000
2002-06-19,175.0,175.0,175.0,175.0,175.0,5000
2002-06-20,175.0,185.0,175.0,185.0,185.0,5500
2002-06-21,185.0,185.0,170.0,170.0,170.0,0
2002-06-24,185.0,185.0,165.0,165.0,165.0,0
2002-06-25,190.0,190.0,165.0,165.0,165.0,0
2002-06-26,175.0,180.0,175.0,180.0,180.0,56500
2002-06-27,180.0,180.0,165.0,165.0,165.0,0
2002-06-28,180.0,180.0,165.0,165.0,165.0,0
2002-07-01,180.0,180.0,160.0,160.0,160.0,0
2002-07-02,170.0,170.0,170.0,170.0,170.0,42000
2002-07-03,180.0,180.0,150.0,150.0,150.0,0
2002-07-04,180.0,180.0,125.0,125.0,125.0,0
2002-07-05,185.0,185.0,130.0,130.0,130.0,0
2002-07-08,175.0,175.0,150.0,150.0,150.0,0
2002-07-09,180.0,180.0,140.0,140.0,140.0,0
2002-07-10,160.0,160.0,160.0,160.0,160.0,5500
2002-07-11,175.0,175.0,155.0,155.0,155.0,0
2002-07-12,175.0,175.0,135.0,135.0,135.0,0
2002-07-15,170.0,170.0,140.0,140.0,140.0,0
2002-07-16,170.0,170.0,120.0,120.0,120.0,0
2002-07-17,120.0,150.0,120.0,150.0,150.0,3000
2002-07-18,140.0,140.0,140.0,140.0,140.0,1000
2002-07-19,175.0,175.0,140.0,140.0,140.0,0
2002-07-22,175.0,175.0,140.0,140.0,140.0,0
2002-07-23,170.0,170.0,135.0,135.0,135.0,0
2002-07-24,170.0,170.0,110.0,110.0,110.0,0
2002-07-25,150.0,150.0,150.0,150.0,150.0,5000
2002-07-26,165.0,165.0,135.0,135.0,135.0,0
2002-07-30,175.0,175.0,115.0,115.0,115.0,0
2002-07-31,170.0,170.0,125.0,125.0,125.0,0
2002-08-01,170.0,170.0,130.0,130.0,130.0,0
2002-08-02,170.0,170.0,130.0,130.0,130.0,0
2002-08-05,170.0,170.0,130.0,130.0,130.0,0
2002-08-06,125.0,125.0,125.0,125.0,125.0,25000
2002-08-15,165.0,165.0,120.0,120.0,120.0,0
2002-08-20,125.0,125.0,125.0,125.0,125.0,50000
2002-08-21,155.0,155.0,155.0,155.0,155.0,5000
2002-08-22,155.0,155.0,120.0,120.0,120.0,0
2002-08-23,200.0,200.0,200.0,200.0,200.0,0
2002-08-26,195.0,195.0,195.0,195.0,195.0,0
2002-08-27,200.0,200.0,200.0,200.0,200.0,0
2002-08-29,200.0,200.0,200.0,200.0,200.0,0
2002-08-30,160.0,160.0,160.0,160.0,160.0,0
2002-09-02,190.0,190.0,190.0,190.0,190.0,0
2002-09-03,195.0,195.0,110.0,110.0,110.0,0
2002-09-04,105.0,105.0,105.0,105.0,105.0,0
2002-09-06,105.0,105.0,105.0,105.0,105.0,0
2002-09-09,160.0,160.0,105.0,105.0,105.0,0
2002-09-10,200.0,200.0,105.0,105.0,105.0,0
2002-09-11,200.0,200.0,105.0,105.0,105.0,0
2002-09-12,105.0,105.0,105.0,105.0,105.0,0
2002-09-13,110.0,110.0,110.0,110.0,110.0,5000
2002-09-16,105.0,105.0,105.0,105.0,105.0,0
2002-09-17,105.0,105.0,105.0,105.0,105.0,0
2002-09-18,110.0,110.0,110.0,110.0,110.0,0
2002-09-19,110.0,110.0,110.0,110.0,110.0,0
2002-09-20,105.0,105.0,105.0,105.0,105.0,0
2002-09-23,110.0,110.0,110.0,110.0,110.0,0
2002-09-24,105.0,105.0,105.0,105.0,105.0,0
2002-09-25,105.0,105.0,105.0,105.0,105.0,0
2002-09-26,105.0,105.0,105.0,105.0,105.0,0
2002-09-27,105.0,125.0,105.0,105.0,105.0,97500
2002-09-30,115.0,115.0,100.0,100.0,100.0,0
2002-10-01,115.0,115.0,110.0,110.0,110.0,40000
2002-10-02,115.0,115.0,105.0,105.0,105.0,0
2002-10-03,115.0,115.0,105.0,105.0,105.0,0
2002-10-07,110.0,110.0,100.0,100.0,100.0,0
2002-10-08,110.0,110.0,100.0,100.0,100.0,0
2002-10-09,105.0,105.0,105.0,105.0,105.0,7500
2002-10-10,105.0,105.0,100.0,100.0,100.0,32500
2002-10-11,110.0,110.0,100.0,100.0,100.0,0
2002-10-14,100.0,100.0,100.0,100.0,100.0,35000
2002-10-15,80.0,80.0,80.0,80.0,80.0,1000
2002-10-16,110.0,110.0,80.0,80.0,80.0,0
2002-10-17,75.0,75.0,75.0,75.0,75.0,0
2002-10-21,85.0,85.0,85.0,85.0,85.0,0
2002-10-23,85.0,85.0,85.0,85.0,85.0,0
2002-10-24,70.0,70.0,70.0,70.0,70.0,0
2002-10-25,55.0,55.0,55.0,55.0,55.0,0
2002-10-28,45.0,45.0,45.0,45.0,45.0,0
2002-10-29,100.0,100.0,100.0,100.0,100.0,12500
2002-10-30,120.0,120.0,85.0,85.0,85.0,0
2002-10-31,110.0,110.0,90.0,90.0,90.0,0
2002-11-01,110.0,110.0,90.0,90.0,90.0,0
2002-11-04,115.0,115.0,85.0,85.0,85.0,0
2002-11-05,110.0,110.0,110.0,110.0,110.0,18500
2002-11-06,120.0,120.0,85.0,85.0,85.0,0
2002-11-07,115.0,115.0,95.0,95.0,95.0,0
2002-11-13,125.0,125.0,80.0,80.0,80.0,0
2002-11-14,125.0,125.0,125.0,125.0,125.0,0
2002-11-15,125.0,125.0,125.0,125.0,125.0,0
2002-11-18,80.0,80.0,80.0,80.0,80.0,10000
2002-11-19,110.0,110.0,80.0,80.0,80.0,0
2002-11-20,110.0,110.0,80.0,80.0,80.0,0
2002-11-21,80.0,80.0,80.0,80.0,80.0,10000
2002-11-22,90.0,90.0,90.0,90.0,90.0,3500
2002-11-25,110.0,110.0,80.0,80.0,80.0,0
2002-11-26,120.0,120.0,80.0,80.0,80.0,0
2002-11-27,110.0,110.0,75.0,75.0,75.0,0
2002-11-28,110.0,110.0,85.0,85.0,85.0,0
2002-12-03,120.0,120.0,75.0,75.0,75.0,0
2002-12-12,110.0,110.0,70.0,70.0,70.0,0
2002-12-16,125.0,125.0,60.0,60.0,60.0,0
2002-12-17,120.0,120.0,70.0,70.0,70.0,0
2002-12-19,100.0,100.0,70.0,70.0,70.0,0
2002-12-23,115.0,115.0,70.0,70.0,70.0,0
2002-12-27,110.0,110.0,75.0,75.0,75.0,0
2003-01-02,135.0,135.0,60.0,60.0,60.0,0
2003-01-06,115.0,115.0,70.0,70.0,70.0,0
2003-01-07,70.0,75.0,70.0,75.0,75.0,6000
2003-01-08,90.0,90.0,75.0,75.0,75.0,0
2003-01-09,85.0,85.0,70.0,70.0,70.0,0
2003-01-10,75.0,75.0,75.0,75.0,75.0,0
2003-01-13,70.0,70.0,70.0,70.0,70.0,1500
2003-01-14,90.0,90.0,70.0,70.0,70.0,0
2003-01-15,90.0,90.0,70.0,70.0,70.0,0
2003-01-16,90.0,90.0,65.0,65.0,65.0,0
2003-01-17,55.0,55.0,55.0,55.0,55.0,0
2003-01-20,90.0,90.0,70.0,70.0,70.0,0
2003-01-22,90.0,90.0,70.0,70.0,70.0,0
2003-01-23,90.0,90.0,65.0,65.0,65.0,0
2003-01-24,65.0,65.0,65.0,65.0,65.0,0
2003-01-27,70.0,70.0,70.0,70.0,70.0,220000
2003-01-28,60.0,60.0,60.0,60.0,60.0,30500
2003-01-29,65.0,65.0,65.0,65.0,65.0,0
2003-01-30,90.0,90.0,65.0,65.0,65.0,0
2003-01-31,65.0,65.0,65.0,65.0,65.0,0
2003-02-03,65.0,65.0,65.0,65.0,65.0,500
2003-02-04,85.0,85.0,65.0,65.0,65.0,0
2003-02-07,65.0,65.0,65.0,65.0,65.0,12500
2003-02-10,65.0,65.0,65.0,65.0,65.0,0
2003-02-11,70.0,70.0,70.0,70.0,70.0,25000
2003-02-13,65.0,65.0,65.0,65.0,65.0,0
2003-02-14,100.0,100.0,70.0,70.0,70.0,0
2003-02-17,100.0,100.0,65.0,65.0,65.0,0
2003-02-18,100.0,100.0,65.0,65.0,65.0,0
2003-02-19,90.0,90.0,65.0,65.0,65.0,0
2003-02-20,100.0,100.0,65.0,65.0,65.0,0
2003-02-21,100.0,100.0,65.0,65.0,65.0,0
2003-02-24,90.0,90.0,65.0,65.0,65.0,0
2003-02-25,100.0,100.0,65.0,65.0,65.0,0
2003-02-26,90.0,90.0,65.0,65.0,65.0,0
2003-02-27,70.0,70.0,70.0,70.0,70.0,1000
2003-02-28,95.0,95.0,95.0,95.0,95.0,500
2003-03-04,80.0,80.0,80.0,80.0,80.0,30500
2003-03-05,90.0,90.0,70.0,70.0,70.0,0
2003-03-06,80.0,80.0,80.0,80.0,80.0,10000
2003-03-07,100.0,100.0,85.0,85.0,85.0,35500
2003-03-10,95.0,95.0,80.0,80.0,80.0,0
2003-03-11,90.0,90.0,80.0,80.0,80.0,0
2003-03-12,85.0,85.0,85.0,85.0,85.0,13500
2003-03-13,90.0,90.0,80.0,80.0,80.0,0
2003-03-14,100.0,100.0,80.0,80.0,80.0,0
2003-03-17,80.0,80.0,80.0,80.0,80.0,2500
2003-03-18,90.0,90.0,80.0,80.0,80.0,0
2003-03-19,85.0,85.0,85.0,85.0,85.0,1500
2003-03-20,100.0,100.0,80.0,80.0,80.0,0
2003-03-21,100.0,100.0,80.0,80.0,80.0,0
2003-03-24,100.0,100.0,80.0,80.0,80.0,0
2003-03-25,100.0,100.0,80.0,80.0,80.0,0
2003-03-26,100.0,100.0,80.0,80.0,80.0,0
