Date,Open,High,Low,Close,Adj Close,Volume
2018-11-28,428.0,428.0,428.0,428.0,428.0,38300
2018-11-29,535.0,535.0,535.0,535.0,535.0,376400
2018-11-30,665.0,665.0,660.0,660.0,660.0,9334000
2018-12-03,600.0,760.0,535.0,760.0,760.0,19685100
2018-12-04,760.0,790.0,725.0,740.0,740.0,4263200
2018-12-05,730.0,745.0,690.0,715.0,715.0,2540500
2018-12-06,730.0,730.0,705.0,720.0,720.0,1718400
2018-12-07,720.0,735.0,700.0,705.0,705.0,1797200
2018-12-10,700.0,705.0,530.0,705.0,705.0,3536600
2018-12-11,695.0,700.0,615.0,615.0,615.0,816100
2018-12-12,620.0,660.0,620.0,635.0,635.0,1135200
2018-12-13,630.0,680.0,630.0,665.0,665.0,2728500
2018-12-14,660.0,675.0,645.0,645.0,645.0,1992900
2018-12-17,640.0,655.0,635.0,655.0,655.0,2723100
2018-12-18,655.0,785.0,650.0,770.0,770.0,7497100
2018-12-19,770.0,810.0,700.0,700.0,700.0,4425800
2018-12-20,700.0,740.0,640.0,720.0,720.0,4804900
2018-12-21,725.0,780.0,710.0,710.0,710.0,2734300
2018-12-24,710.0,710.0,710.0,710.0,710.0,0
2018-12-25,710.0,710.0,710.0,710.0,710.0,0
2018-12-26,745.0,745.0,705.0,705.0,705.0,266700
2018-12-27,705.0,720.0,700.0,700.0,700.0,231700
2018-12-28,710.0,720.0,705.0,710.0,710.0,128900
2018-12-31,710.0,710.0,710.0,710.0,710.0,0
2019-01-01,710.0,710.0,710.0,710.0,710.0,0
2019-01-02,710.0,715.0,705.0,710.0,710.0,145100
2019-01-03,710.0,715.0,705.0,705.0,705.0,141700
2019-01-04,710.0,710.0,700.0,700.0,700.0,87900
2019-01-07,700.0,710.0,700.0,700.0,700.0,90600
2019-01-08,705.0,710.0,695.0,700.0,700.0,1994800
2019-01-09,710.0,710.0,700.0,700.0,700.0,63200
2019-01-10,700.0,710.0,690.0,695.0,695.0,331400
2019-01-11,710.0,710.0,700.0,700.0,700.0,151300
2019-01-14,700.0,700.0,695.0,700.0,700.0,80300
2019-01-15,710.0,710.0,695.0,695.0,695.0,113200
2019-01-16,700.0,700.0,695.0,695.0,695.0,28500
2019-01-17,695.0,695.0,695.0,695.0,695.0,0
2019-01-18,695.0,695.0,695.0,695.0,695.0,0
2019-01-21,700.0,700.0,695.0,695.0,695.0,60300
2019-01-22,700.0,700.0,695.0,695.0,695.0,49600
2019-01-23,700.0,700.0,690.0,695.0,695.0,68400
2019-01-24,695.0,700.0,695.0,695.0,695.0,56800
2019-01-25,700.0,700.0,695.0,695.0,695.0,27100
2019-01-28,700.0,700.0,690.0,700.0,700.0,55100
2019-01-29,700.0,700.0,700.0,700.0,700.0,0
2019-01-30,695.0,695.0,695.0,695.0,695.0,8600
2019-01-31,695.0,695.0,695.0,695.0,695.0,6800
2019-02-01,695.0,695.0,685.0,690.0,690.0,85500
2019-02-04,690.0,690.0,680.0,680.0,680.0,357000
2019-02-05,680.0,680.0,680.0,680.0,680.0,0
2019-02-06,685.0,690.0,670.0,685.0,685.0,420800
2019-02-07,680.0,690.0,680.0,685.0,685.0,6100
2019-02-08,685.0,685.0,680.0,680.0,680.0,29500
2019-02-11,680.0,690.0,680.0,690.0,690.0,265400
2019-02-12,695.0,705.0,695.0,695.0,695.0,8100
2019-02-13,695.0,695.0,690.0,690.0,690.0,252800
2019-02-14,690.0,690.0,580.0,585.0,585.0,1585000
2019-02-15,590.0,660.0,540.0,660.0,660.0,1639000
2019-02-18,660.0,660.0,630.0,630.0,630.0,202700
2019-02-19,640.0,675.0,635.0,665.0,665.0,1000600
2019-02-20,665.0,665.0,645.0,660.0,660.0,228800
2019-02-21,650.0,660.0,650.0,650.0,650.0,89800
2019-02-22,650.0,650.0,645.0,645.0,645.0,28200
2019-02-25,645.0,645.0,635.0,635.0,635.0,61400
2019-02-26,645.0,645.0,625.0,625.0,625.0,154500
2019-02-27,630.0,655.0,625.0,655.0,655.0,89300
2019-02-28,635.0,655.0,625.0,655.0,655.0,136200
2019-03-01,635.0,655.0,630.0,630.0,630.0,32300
2019-03-04,630.0,635.0,630.0,635.0,635.0,7300
2019-03-05,635.0,635.0,635.0,635.0,635.0,4700
2019-03-06,640.0,640.0,635.0,640.0,640.0,55900
2019-03-07,640.0,640.0,640.0,640.0,640.0,0
2019-03-08,640.0,640.0,635.0,635.0,635.0,105500
2019-03-11,635.0,635.0,635.0,635.0,635.0,5200
2019-03-12,635.0,640.0,630.0,630.0,630.0,480000
2019-03-13,640.0,640.0,630.0,630.0,630.0,2700
2019-03-14,635.0,650.0,635.0,645.0,645.0,249700
2019-03-15,640.0,650.0,625.0,625.0,625.0,60600
2019-03-18,630.0,640.0,625.0,635.0,635.0,619800
2019-03-19,635.0,635.0,635.0,635.0,635.0,0
2019-03-20,635.0,655.0,635.0,655.0,655.0,515800
2019-03-21,660.0,675.0,655.0,665.0,665.0,78800
2019-03-22,680.0,685.0,590.0,650.0,650.0,526400
2019-03-25,650.0,650.0,630.0,630.0,630.0,86700
2019-03-26,610.0,610.0,545.0,595.0,595.0,7336300
2019-03-27,610.0,705.0,550.0,700.0,700.0,5782100
2019-03-28,700.0,710.0,675.0,690.0,690.0,1157500
2019-03-29,705.0,705.0,695.0,695.0,695.0,827700
2019-04-01,700.0,750.0,700.0,700.0,700.0,1456400
2019-04-02,700.0,705.0,700.0,700.0,700.0,174000
2019-04-03,700.0,700.0,700.0,700.0,700.0,0
2019-04-04,700.0,710.0,695.0,700.0,700.0,406700
2019-04-05,690.0,695.0,685.0,685.0,685.0,34100
2019-04-08,685.0,695.0,670.0,670.0,670.0,708600
