Date,Open,High,Low,Close,Adj Close,Volume
2016-02-11,90.0,93.0,74.5,77.0,47.991985,81774000
2016-02-12,77.0,78.0,70.5,75.0,46.745441,32800000
2016-02-15,75.0,76.0,74.0,74.5,46.433807,2661000
2016-02-16,74.5,75.5,73.5,74.0,46.122173,9820000
2016-02-17,75.0,75.0,73.5,74.5,46.433807,9422000
2016-02-18,75.0,78.0,75.0,76.5,47.680351,17180000
2016-02-19,77.0,77.0,75.0,75.0,46.745441,3800000
2016-02-22,75.0,76.0,75.0,75.0,46.745441,4662000
2016-02-23,74.5,75.0,73.5,73.5,45.810532,7591000
2016-02-24,73.5,76.0,73.0,73.0,45.498894,10585000
2016-02-25,73.0,73.5,72.5,73.5,45.810532,5186000
2016-02-26,73.5,73.5,73.0,73.0,45.498894,4888000
2016-02-29,73.0,73.0,72.0,72.5,45.187259999999995,504000
2016-03-01,72.5,75.0,72.5,72.5,45.187259999999995,977000
2016-03-02,72.0,72.5,72.0,72.0,44.875626000000004,1924000
2016-03-03,73.0,73.0,71.0,71.0,44.25235,3055000
2016-03-04,72.0,72.0,71.0,71.0,44.25235,2259000
2016-03-07,79.5,79.5,70.5,71.5,44.563992,3999000
2016-03-08,71.5,73.5,71.0,73.5,45.810532,4632000
2016-03-10,73.5,74.0,72.0,73.5,45.810532,2202000
2016-03-15,73.5,73.5,72.0,72.5,45.187259999999995,547000
2016-03-16,72.5,73.5,72.0,72.0,44.875626000000004,298000
2016-03-17,71.5,72.5,71.5,72.5,45.187259999999995,402000
2016-03-18,71.0,72.5,71.0,72.0,44.875626000000004,15000
2016-03-21,72.5,72.5,71.0,71.0,44.25235,482000
2016-03-22,72.0,72.5,71.0,72.0,44.875626000000004,1145000
2016-03-23,71.0,72.5,70.5,70.5,43.940715999999995,407000
2016-03-24,71.5,71.5,70.5,71.0,44.25235,268000
2016-03-28,71.5,71.5,70.5,70.5,43.940715999999995,47000
2016-03-29,71.0,71.5,63.5,63.5,39.577808000000005,894000
2016-03-30,63.5,72.0,62.0,72.0,44.875626000000004,1064000
2016-03-31,68.0,74.0,68.0,74.0,46.122173,4622000
2016-04-01,74.0,74.0,74.0,74.0,46.122173,0
2016-04-04,73.0,73.0,70.0,70.0,43.629082000000004,292000
2016-04-05,70.0,70.0,70.0,70.0,43.629082000000004,17000
2016-04-06,70.0,71.5,70.0,71.5,44.563992,58000
2016-04-07,71.0,71.0,71.0,71.0,44.25235,73000
2016-04-08,69.5,70.0,69.5,70.0,43.629082000000004,135000
2016-04-12,70.0,70.0,70.0,70.0,43.629082000000004,2000
2016-04-19,70.0,70.0,70.0,70.0,43.629082000000004,0
2016-04-20,72.5,74.5,71.0,74.0,46.122173,1921000
2016-04-21,74.5,79.5,74.5,79.0,49.238533000000004,44974000
2016-04-22,84.0,84.0,80.0,82.0,51.108345,32227000
2016-04-25,82.0,82.5,81.5,82.0,51.108345,3008000
2016-04-26,82.0,86.5,82.0,84.5,52.666534,28925000
2016-04-27,84.5,92.5,84.5,87.5,54.53635,34610000
2016-04-28,87.5,87.5,86.5,86.5,53.913078000000006,3053000
2016-04-29,86.5,88.5,83.0,88.5,55.159622,24734000
2016-05-02,88.5,93.5,87.5,87.5,54.53635,36305000
2016-05-03,87.5,87.5,85.5,87.0,54.224712,4200000
2016-05-04,87.0,87.0,82.5,85.5,56.60821899999999,3082000
2016-05-09,85.5,86.0,81.5,82.0,54.29091999999999,9208000
2016-05-10,80.0,81.5,80.0,81.5,53.959881,9149000
2016-05-11,79.5,80.5,78.5,79.5,52.635712,8544000
2016-05-12,79.5,81.5,79.5,81.0,53.628838,11213000
2016-05-13,81.0,81.0,79.5,79.5,52.635712,4320000
2016-05-16,79.5,79.5,78.0,79.5,52.635712,5589000
2016-05-17,79.5,80.0,79.5,80.0,52.966755000000006,7097000
2016-05-18,80.0,82.5,79.5,82.5,54.621964,29982000
2016-05-19,82.5,82.5,81.0,81.5,53.959881,438000
2016-05-20,81.0,82.0,80.0,80.0,52.966755000000006,3310000
2016-05-23,80.0,80.0,79.0,80.0,52.966755000000006,511000
2016-05-24,79.0,84.5,79.0,82.0,54.29091999999999,43261000
2016-05-25,82.0,86.0,82.0,84.0,55.615089000000005,34002000
2016-05-26,84.0,85.0,83.5,85.0,56.277172,5618000
2016-05-27,85.5,85.5,84.0,85.0,56.277172,1556000
2016-05-30,84.5,84.5,84.5,84.5,55.946132999999996,681000
2016-05-31,84.0,89.0,84.0,89.0,58.925509999999996,8522000
2016-06-01,88.5,88.5,87.5,87.5,57.932384,1715000
2016-06-02,87.0,87.0,85.5,85.5,56.60821899999999,3250000
2016-06-03,85.0,85.0,85.0,85.0,56.277172,26000
2016-06-06,84.5,85.5,84.5,85.0,56.277172,256000
2016-06-07,85.0,85.0,83.0,84.0,55.615089000000005,13388000
2016-06-08,83.5,84.0,82.5,84.0,55.615089000000005,49617000
2016-06-09,83.5,85.5,83.5,85.0,56.277172,18700000
2016-06-10,85.0,85.0,84.5,84.5,55.946132999999996,1023000
2016-06-13,84.5,85.0,84.0,85.0,56.277172,5359000
2016-06-14,85.0,86.0,84.0,86.0,56.939262,3719000
2016-06-15,86.0,87.0,86.0,87.0,57.601344999999995,2350000
2016-06-16,85.0,85.0,85.0,85.0,56.277172,5000
2016-06-17,85.0,85.0,85.0,85.0,56.277172,228000
2016-06-20,85.0,88.0,85.0,86.0,56.939262,23089000
2016-06-21,86.0,89.0,86.0,88.5,58.594471,37554000
2016-06-22,88.0,88.0,87.5,87.5,57.932384,800000
2016-06-23,87.5,87.5,85.5,85.5,56.60821899999999,2433000
2016-06-24,85.0,86.5,85.0,85.5,56.60821899999999,637000
2016-06-27,85.5,85.5,84.5,84.5,55.946132999999996,1725000
2016-06-28,84.0,85.0,84.0,85.0,56.277172,140000
2016-06-29,85.0,85.0,85.0,85.0,56.277172,0
2016-06-30,84.0,89.0,84.0,89.0,58.925509999999996,18336000
