Date,Open,High,Low,Close,Adj Close,Volume
2017-04-28,21.0,35.599998,21.0,35.599998,35.599998,5055500
2017-05-02,48.0,48.0,48.0,48.0,48.0,5434500
2017-05-03,51.200001,60.0,51.200001,60.0,60.0,12190500
2017-05-04,64.0,74.800003,64.0,74.800003,74.800003,22941500
2017-05-05,76.400002,93.199997,76.400002,93.199997,93.199997,5111500
2017-05-08,100.0,116.0,90.0,116.0,116.0,237868500
2017-05-09,116.0,116.0,116.0,116.0,116.0,0
2017-05-10,120.0,140.0,88.400002,116.0,116.0,34470500
2017-05-12,116.0,118.0,100.0,108.0,108.0,4767500
2017-05-15,108.0,112.0,101.0,105.0,105.0,15899500
2017-05-16,105.0,130.0,102.0,129.0,129.0,24291500
2017-05-17,129.0,150.0,128.0,136.0,136.0,176684000
2017-05-18,136.0,147.0,129.0,132.0,132.0,165685000
2017-05-19,132.0,151.0,132.0,149.0,149.0,28379500
2017-05-22,152.0,170.0,152.0,165.0,165.0,247368000
2017-05-23,165.0,167.0,158.0,161.0,161.0,52533500
2017-05-24,162.0,169.0,162.0,166.0,166.0,168478000
2017-05-26,167.0,167.0,162.0,164.0,164.0,34043500
2017-05-29,164.0,164.0,150.0,160.0,160.0,249655500
2017-05-30,159.0,162.0,159.0,160.0,160.0,28035500
2017-05-31,160.0,162.0,158.0,159.0,159.0,39865000
2017-06-01,159.0,159.0,159.0,159.0,159.0,0
2017-06-02,158.0,172.0,152.0,155.0,155.0,96277500
2017-06-05,155.0,155.0,140.0,146.0,146.0,158852000
2017-06-06,149.0,182.0,141.0,181.0,181.0,63181000
2017-06-07,180.0,180.0,159.0,162.0,162.0,5980500
2017-06-08,160.0,173.0,150.0,166.0,166.0,135159000
2017-06-09,166.0,179.0,159.0,162.0,162.0,66484500
2017-06-12,162.0,193.0,154.0,189.0,189.0,189179000
2017-06-13,186.0,236.0,173.0,236.0,236.0,62267500
2017-06-14,243.0,287.0,206.0,287.0,287.0,44734500
2017-06-15,280.0,340.0,268.0,279.0,279.0,111586500
