Date,Open,High,Low,Close,Adj Close,Volume
2002-08-05,525.0,525.0,475.0,475.0,367.763275,0
2002-08-06,450.0,525.0,450.0,525.0,406.47515899999996,1500
2002-08-07,450.0,525.0,450.0,525.0,406.47515899999996,1000
2002-08-08,525.0,525.0,500.0,500.0,387.11920200000003,23000
2002-08-09,500.0,500.0,500.0,500.0,387.11920200000003,10000
2002-08-12,475.0,475.0,450.0,450.0,348.407288,85500
2002-08-13,460.0,465.0,450.0,465.0,360.02087400000005,66000
2002-08-14,450.0,465.0,450.0,465.0,360.02087400000005,63500
2002-08-15,460.0,460.0,445.0,450.0,348.407288,169000
2002-08-16,450.0,450.0,450.0,450.0,348.407288,1500
2002-08-19,450.0,450.0,425.0,425.0,329.051361,0
2002-08-20,450.0,450.0,450.0,450.0,348.407288,10000
2002-08-21,450.0,450.0,440.0,450.0,348.407288,12000
2002-08-22,450.0,450.0,435.0,435.0,336.793732,0
2002-08-26,450.0,450.0,435.0,435.0,336.793732,0
2002-08-27,470.0,475.0,470.0,475.0,367.763275,1500
2002-08-28,475.0,475.0,410.0,410.0,317.437744,0
2002-08-29,470.0,470.0,410.0,410.0,317.437744,0
2002-08-30,465.0,465.0,420.0,420.0,325.18014500000004,0
2002-09-02,475.0,475.0,455.0,455.0,352.278503,0
2002-09-03,465.0,465.0,410.0,410.0,317.437744,0
2002-09-04,550.0,550.0,440.0,450.0,348.407288,17000
2002-09-05,460.0,460.0,460.0,460.0,356.149658,1000
2002-09-06,455.0,455.0,410.0,410.0,317.437744,0
2002-09-09,405.0,405.0,400.0,400.0,309.695374,79500
2002-09-10,425.0,450.0,400.0,410.0,317.437744,326000
2002-09-11,410.0,410.0,400.0,400.0,309.695374,0
2002-09-12,400.0,400.0,400.0,400.0,309.695374,36000
2002-09-13,400.0,400.0,375.0,375.0,290.33941699999997,0
2002-09-16,400.0,400.0,400.0,400.0,309.695374,10000
2002-09-17,450.0,450.0,400.0,415.0,321.30896,519000
2002-09-18,400.0,400.0,400.0,400.0,309.695374,47500
2002-09-19,400.0,400.0,375.0,375.0,290.33941699999997,0
2002-09-20,375.0,400.0,375.0,400.0,309.695374,14500
2002-09-23,400.0,400.0,375.0,375.0,290.33941699999997,0
2002-09-24,400.0,400.0,380.0,380.0,294.210602,0
2002-09-25,400.0,400.0,375.0,375.0,290.33941699999997,0
2002-09-26,400.0,400.0,380.0,380.0,294.210602,0
2002-09-27,400.0,400.0,390.0,390.0,301.95297200000005,0
2002-09-30,395.0,395.0,350.0,350.0,270.98349,0
2002-10-01,400.0,400.0,350.0,350.0,270.98349,0
2002-10-02,400.0,400.0,370.0,370.0,286.468231,0
2002-10-03,400.0,400.0,350.0,350.0,270.98349,0
2002-10-07,400.0,400.0,350.0,350.0,270.98349,0
2002-10-08,400.0,400.0,360.0,360.0,278.725861,0
2002-10-09,400.0,400.0,360.0,360.0,278.725861,0
2002-10-10,400.0,400.0,350.0,350.0,270.98349,0
2002-10-11,445.0,445.0,445.0,445.0,344.53607200000005,500
2002-10-14,445.0,445.0,350.0,350.0,270.98349,0
2002-10-15,330.0,350.0,320.0,345.0,267.112274,325000
2002-10-16,350.0,350.0,345.0,345.0,267.112274,115000
2002-10-17,350.0,350.0,345.0,345.0,267.112274,733000
2002-10-18,355.0,355.0,350.0,350.0,270.98349,52000
2002-10-21,340.0,340.0,300.0,305.0,236.14271499999998,3441500
2002-10-22,310.0,310.0,285.0,295.0,228.40036,614500
2002-10-23,295.0,300.0,290.0,300.0,232.27152999999998,112000
2002-10-24,300.0,320.0,300.0,305.0,236.14271499999998,711000
2002-10-25,315.0,340.0,315.0,335.0,259.369843,1199500
2002-10-28,330.0,340.0,325.0,330.0,255.49865699999998,308000
2002-10-29,340.0,340.0,330.0,335.0,259.369843,348000
2002-10-30,330.0,335.0,330.0,335.0,259.369843,2412500
2002-10-31,340.0,345.0,330.0,330.0,255.49865699999998,188500
2002-11-01,345.0,345.0,335.0,335.0,259.369843,316000
2002-11-04,340.0,340.0,335.0,335.0,259.369843,67500
2002-11-05,340.0,340.0,330.0,330.0,255.49865699999998,60000
2002-11-06,330.0,330.0,330.0,330.0,255.49865699999998,5000
2002-11-07,330.0,340.0,330.0,340.0,263.241028,95000
2002-11-08,340.0,340.0,325.0,325.0,251.627487,0
2002-11-11,340.0,340.0,325.0,325.0,251.627487,0
2002-11-12,340.0,340.0,325.0,325.0,251.627487,0
2002-11-13,320.0,345.0,320.0,345.0,267.112274,11000
2002-11-14,335.0,335.0,320.0,335.0,259.369843,35000
2002-11-15,335.0,335.0,335.0,335.0,259.369843,10000
2002-11-18,330.0,330.0,330.0,330.0,255.49865699999998,5000
2002-11-19,335.0,335.0,320.0,320.0,247.756302,0
2002-11-20,325.0,325.0,325.0,325.0,251.627487,5000
2002-11-21,325.0,330.0,325.0,330.0,255.49865699999998,10000
2002-11-22,335.0,335.0,335.0,335.0,259.369843,10000
2002-11-25,340.0,340.0,335.0,335.0,259.369843,25500
2002-11-26,330.0,330.0,330.0,330.0,255.49865699999998,3000
2002-11-27,335.0,335.0,335.0,335.0,259.369843,10000
2002-11-28,335.0,335.0,330.0,330.0,255.49865699999998,13000
2002-11-29,330.0,330.0,330.0,330.0,255.49865699999998,5000
2002-12-03,325.0,345.0,325.0,345.0,267.112274,7500
2002-12-04,330.0,330.0,330.0,330.0,255.49865699999998,45000
2002-12-11,330.0,330.0,330.0,330.0,255.49865699999998,4500
2002-12-12,330.0,330.0,320.0,320.0,247.756302,0
2002-12-13,320.0,335.0,320.0,335.0,259.369843,22500
2002-12-16,320.0,320.0,315.0,315.0,243.88513199999997,232500
2002-12-17,310.0,335.0,310.0,335.0,259.369843,377500
2002-12-18,335.0,345.0,335.0,345.0,267.112274,75000
2002-12-19,345.0,355.0,345.0,355.0,274.854645,106500
2002-12-20,345.0,360.0,345.0,360.0,278.725861,68000
2002-12-23,355.0,370.0,355.0,370.0,286.468231,160000
2002-12-27,360.0,360.0,350.0,360.0,278.725861,55000
2003-01-02,375.0,375.0,335.0,335.0,259.369843,0
2003-01-03,360.0,360.0,340.0,340.0,263.241028,0
2003-01-06,360.0,360.0,335.0,335.0,259.369843,43500
2003-01-07,350.0,350.0,330.0,330.0,255.49865699999998,0
2003-01-08,335.0,335.0,335.0,335.0,259.369843,25000
2003-01-09,345.0,345.0,330.0,330.0,255.49865699999998,0
2003-01-10,350.0,350.0,320.0,320.0,247.756302,0
2003-01-13,335.0,355.0,335.0,355.0,274.854645,290000
2003-01-14,355.0,355.0,355.0,355.0,274.854645,12500
2003-01-15,355.0,360.0,355.0,355.0,274.854645,125000
2003-01-16,350.0,355.0,350.0,355.0,274.854645,27500
2003-01-17,360.0,360.0,355.0,360.0,278.725861,72000
2003-01-20,360.0,360.0,355.0,355.0,274.854645,10500
2003-01-21,360.0,360.0,360.0,360.0,278.725861,1500
2003-01-22,365.0,365.0,360.0,360.0,278.725861,17500
2003-01-23,360.0,360.0,355.0,360.0,278.725861,17000
2003-01-24,360.0,360.0,360.0,360.0,278.725861,2000
2003-01-27,355.0,355.0,325.0,325.0,251.627487,0
2003-01-28,355.0,355.0,325.0,325.0,251.627487,0
2003-01-29,365.0,365.0,300.0,300.0,232.27152999999998,0
2003-01-30,350.0,350.0,290.0,290.0,224.52916000000002,0
2003-01-31,360.0,360.0,285.0,285.0,220.65792799999997,0
2003-02-03,360.0,360.0,350.0,350.0,270.98349,0
2003-02-04,350.0,350.0,350.0,350.0,270.98349,5000
2003-02-05,345.0,350.0,345.0,350.0,270.98349,35000
2003-02-06,345.0,350.0,345.0,350.0,270.98349,63000
2003-02-07,350.0,355.0,350.0,355.0,274.854645,17500
2003-02-10,355.0,355.0,355.0,355.0,274.854645,150000
2003-02-11,360.0,385.0,360.0,380.0,294.210602,240000
2003-02-13,395.0,405.0,390.0,400.0,309.695374,132500
2003-02-14,400.0,400.0,395.0,395.0,305.824127,42000
2003-02-17,395.0,400.0,395.0,400.0,309.695374,20500
2003-02-18,400.0,410.0,400.0,410.0,317.437744,79000
2003-02-19,415.0,455.0,415.0,455.0,352.278503,358000
2003-02-20,450.0,495.0,450.0,470.0,363.89205899999996,341000
2003-02-21,465.0,470.0,465.0,465.0,360.02087400000005,14500
2003-02-24,450.0,470.0,450.0,470.0,363.89205899999996,7500
2003-02-25,470.0,470.0,430.0,430.0,332.92245499999996,0
2003-02-26,425.0,455.0,420.0,455.0,352.278503,38000
2003-02-27,455.0,470.0,455.0,470.0,363.89205899999996,141500
2003-02-28,480.0,530.0,480.0,525.0,406.47515899999996,865500
2003-03-04,525.0,525.0,500.0,525.0,406.47515899999996,207500
2003-03-05,500.0,500.0,500.0,500.0,387.11920200000003,47500
2003-03-06,500.0,525.0,500.0,525.0,406.47515899999996,6500
2003-03-07,500.0,500.0,475.0,475.0,367.763275,7500
2003-03-10,500.0,500.0,490.0,490.0,379.376831,7500
2003-03-11,490.0,490.0,460.0,460.0,356.149658,0
2003-03-12,500.0,500.0,475.0,500.0,387.11920200000003,7500
2003-03-13,500.0,500.0,475.0,475.0,367.763275,0
2003-03-14,475.0,500.0,475.0,500.0,387.11920200000003,2000
2003-03-17,475.0,500.0,475.0,500.0,387.11920200000003,20500
2003-03-18,500.0,500.0,475.0,475.0,367.763275,9500
2003-03-19,480.0,490.0,480.0,490.0,379.376831,16500
2003-03-20,490.0,495.0,490.0,495.0,383.248016,11500
2003-03-21,495.0,495.0,475.0,475.0,367.763275,0
2003-03-24,500.0,525.0,500.0,510.0,394.861603,119000
2003-03-25,500.0,500.0,500.0,500.0,387.11920200000003,8000
2003-03-26,500.0,500.0,500.0,500.0,387.11920200000003,9500
2003-03-27,525.0,525.0,525.0,525.0,406.47515899999996,1000
2003-03-28,500.0,525.0,500.0,525.0,406.47515899999996,3000
2003-03-31,500.0,525.0,500.0,525.0,406.47515899999996,3500
2003-04-01,525.0,525.0,525.0,525.0,406.47515899999996,2500
2003-04-03,525.0,550.0,525.0,550.0,425.831085,196000
2003-04-04,525.0,550.0,525.0,525.0,406.47515899999996,77500
2003-04-07,525.0,550.0,525.0,550.0,425.831085,31500
2003-04-08,525.0,525.0,500.0,500.0,387.11920200000003,0
2003-04-09,550.0,550.0,550.0,550.0,425.831085,17500
2003-04-10,525.0,525.0,525.0,525.0,406.47515899999996,14000
