Date,Open,High,Low,Close,Adj Close,Volume
2000-12-14,135.0,160.0,135.0,160.0,160.0,56842500
2000-12-15,165.0,205.0,165.0,200.0,200.0,67078500
2000-12-18,215.0,220.0,170.0,190.0,190.0,60666000
2000-12-19,195.0,235.0,190.0,235.0,235.0,17569000
2000-12-20,235.0,265.0,200.0,200.0,200.0,44076500
2000-12-21,210.0,210.0,195.0,195.0,195.0,255000
2000-12-22,195.0,245.0,195.0,240.0,240.0,14268000
2001-01-02,240.0,240.0,230.0,240.0,240.0,33000
2001-01-03,235.0,250.0,235.0,250.0,250.0,389000
2001-01-04,260.0,305.0,260.0,300.0,300.0,10138000
2001-01-05,305.0,345.0,305.0,345.0,345.0,2321000
2001-01-08,355.0,385.0,355.0,380.0,380.0,12713500
2001-01-09,385.0,400.0,310.0,350.0,350.0,7981000
2001-01-10,345.0,390.0,335.0,335.0,335.0,12885500
2001-01-11,345.0,425.0,345.0,420.0,420.0,6535000
2001-01-12,425.0,535.0,425.0,520.0,520.0,2247000
2001-01-15,550.0,575.0,375.0,400.0,400.0,20550500
2001-01-16,400.0,415.0,280.0,410.0,410.0,24816500
2001-01-17,410.0,490.0,295.0,300.0,300.0,12628500
2001-01-18,295.0,315.0,215.0,220.0,220.0,37906500
2001-01-19,215.0,215.0,165.0,170.0,170.0,55035500
2001-01-22,170.0,175.0,165.0,170.0,170.0,540000
2001-01-23,170.0,180.0,120.0,125.0,125.0,19238000
2001-01-24,125.0,130.0,120.0,125.0,125.0,39898500
2001-01-25,130.0,130.0,125.0,130.0,130.0,27100500
2001-01-26,130.0,130.0,120.0,125.0,125.0,45711000
2001-01-29,125.0,125.0,120.0,120.0,120.0,40373000
2001-01-30,125.0,125.0,120.0,120.0,120.0,57152500
2001-01-31,120.0,120.0,115.0,115.0,115.0,89891500
2001-02-01,115.0,125.0,115.0,125.0,125.0,61019000
2001-02-02,120.0,120.0,110.0,115.0,115.0,65035500
2001-02-05,115.0,120.0,110.0,115.0,115.0,44915000
2001-02-06,110.0,115.0,105.0,110.0,110.0,60413000
2001-02-07,110.0,110.0,100.0,100.0,100.0,673000
2001-02-08,100.0,110.0,95.0,95.0,95.0,100265000
2001-02-09,100.0,115.0,85.0,90.0,90.0,79955500
2001-02-12,90.0,95.0,75.0,80.0,80.0,49534000
2001-02-13,80.0,80.0,75.0,75.0,75.0,5357000
2001-02-14,80.0,80.0,75.0,75.0,75.0,545000
2001-02-15,75.0,80.0,65.0,70.0,70.0,66719000
