Date,Open,High,Low,Close,Adj Close,Volume
2012-10-08,470.0,540.0,455.0,470.0,362.042755,53824500
2012-10-09,465.0,475.0,455.0,465.0,358.191223,12088500
2012-10-10,465.0,465.0,450.0,465.0,358.191223,5206500
2012-10-11,470.0,470.0,455.0,470.0,362.042755,9225500
2012-10-12,470.0,470.0,460.0,470.0,362.042755,4935500
2012-10-15,470.0,470.0,460.0,470.0,362.042755,5417500
2012-10-16,470.0,470.0,465.0,470.0,362.042755,5220000
2012-10-17,465.0,465.0,460.0,465.0,358.191223,4374000
2012-10-18,465.0,465.0,460.0,465.0,358.191223,855500
2012-10-19,465.0,465.0,460.0,465.0,358.191223,1981500
2012-10-22,465.0,465.0,460.0,465.0,358.191223,3275500
2012-10-23,465.0,465.0,455.0,465.0,358.191223,3405000
2012-10-24,465.0,465.0,460.0,465.0,358.191223,233500
2012-10-25,465.0,465.0,455.0,465.0,358.191223,400500
2012-10-29,465.0,465.0,460.0,465.0,358.191223,1359000
2012-10-30,465.0,465.0,460.0,465.0,358.191223,270000
2012-10-31,465.0,465.0,460.0,465.0,358.191223,1892000
2012-11-01,465.0,465.0,455.0,465.0,358.191223,2375000
2012-11-02,465.0,465.0,460.0,465.0,358.191223,3049000
2012-11-05,465.0,465.0,460.0,465.0,358.191223,192500
2012-11-06,465.0,465.0,460.0,465.0,358.191223,476000
2012-11-07,465.0,465.0,460.0,465.0,358.191223,20738500
2012-11-08,465.0,465.0,460.0,465.0,358.191223,272500
2012-11-09,465.0,465.0,460.0,465.0,358.191223,37500
2012-11-12,465.0,480.0,460.0,465.0,358.191223,7924000
2012-11-13,470.0,470.0,460.0,470.0,362.042755,470000
2012-11-14,470.0,470.0,465.0,470.0,362.042755,662000
2012-11-19,470.0,470.0,460.0,470.0,362.042755,384500
2012-11-20,455.0,465.0,455.0,455.0,350.48819,435000
2012-11-21,465.0,465.0,460.0,465.0,358.191223,1164000
2012-11-22,465.0,465.0,460.0,465.0,358.191223,265500
2012-11-23,465.0,465.0,460.0,465.0,358.191223,332500
2012-11-26,465.0,465.0,460.0,465.0,358.191223,118000
2012-11-27,465.0,465.0,460.0,465.0,358.191223,534000
2012-11-28,460.0,465.0,460.0,460.0,354.339722,119000
2012-11-29,465.0,465.0,460.0,465.0,358.191223,393000
2012-11-30,465.0,465.0,460.0,465.0,358.191223,950000
2012-12-03,465.0,465.0,460.0,465.0,358.191223,163000
2012-12-04,465.0,465.0,460.0,465.0,358.191223,399500
2012-12-05,465.0,465.0,460.0,465.0,358.191223,274500
2012-12-06,465.0,465.0,455.0,465.0,358.191223,18500
2012-12-07,460.0,460.0,460.0,460.0,354.339722,51000
2012-12-10,465.0,465.0,460.0,465.0,358.191223,633500
2012-12-11,465.0,465.0,460.0,465.0,358.191223,3000
2012-12-12,465.0,465.0,460.0,465.0,358.191223,520000
2012-12-13,460.0,460.0,460.0,460.0,354.339722,860000
2012-12-14,460.0,460.0,460.0,460.0,354.339722,0
2012-12-17,460.0,460.0,460.0,460.0,354.339722,860000
2012-12-18,460.0,460.0,450.0,460.0,354.339722,671500
2012-12-19,460.0,460.0,450.0,460.0,354.339722,21500
2012-12-20,460.0,460.0,460.0,460.0,354.339722,21500
2012-12-21,445.0,450.0,445.0,445.0,342.78515600000003,84500
2012-12-26,460.0,465.0,450.0,460.0,354.339722,3
2012-12-27,460.0,460.0,460.0,460.0,354.339722,1000
2012-12-28,470.0,470.0,460.0,470.0,362.042755,1034000
2013-01-02,465.0,465.0,455.0,465.0,358.191223,2500
2013-01-03,465.0,465.0,460.0,465.0,358.191223,2000
2013-01-04,460.0,460.0,460.0,460.0,354.339722,995000
2013-01-07,455.0,455.0,440.0,455.0,350.48819,73500
2013-01-08,460.0,460.0,455.0,460.0,354.339722,92500
2013-01-09,460.0,460.0,460.0,460.0,354.339722,703500
2013-01-10,450.0,460.0,450.0,450.0,346.636658,3000
2013-01-11,460.0,460.0,460.0,460.0,354.339722,501000
2013-01-14,460.0,465.0,460.0,460.0,354.339722,375000
2013-01-15,460.0,460.0,460.0,460.0,354.339722,151500
2013-01-16,455.0,460.0,455.0,455.0,350.48819,518000
2013-01-17,460.0,460.0,460.0,460.0,354.339722,735500
2013-01-18,465.0,465.0,460.0,465.0,358.191223,130500
2013-01-21,465.0,465.0,465.0,465.0,358.191223,2000
2013-01-22,465.0,465.0,465.0,465.0,358.191223,0
2013-01-23,460.0,465.0,460.0,460.0,354.339722,11000
2013-01-25,460.0,460.0,460.0,460.0,354.339722,125500
2013-01-28,460.0,460.0,460.0,460.0,354.339722,125500
2013-01-29,460.0,460.0,460.0,460.0,354.339722,333000
2013-01-30,460.0,460.0,460.0,460.0,354.339722,125500
2013-01-31,460.0,460.0,460.0,460.0,354.339722,100000
2013-02-01,460.0,460.0,460.0,460.0,354.339722,75000
2013-02-04,460.0,460.0,460.0,460.0,354.339722,75000
2013-02-05,460.0,460.0,460.0,460.0,354.339722,5000
2013-02-06,460.0,460.0,460.0,460.0,354.339722,75000
2013-02-07,455.0,455.0,455.0,455.0,350.48819,109000
2013-02-08,455.0,460.0,455.0,455.0,350.48819,25500
2013-02-11,455.0,455.0,450.0,455.0,350.48819,101000
2013-02-12,460.0,460.0,450.0,460.0,354.339722,150000
2013-02-13,460.0,460.0,455.0,460.0,354.339722,51000
2013-02-14,460.0,460.0,460.0,460.0,354.339722,51000
2013-02-15,455.0,460.0,455.0,455.0,350.48819,37500
2013-02-18,460.0,460.0,450.0,460.0,354.339722,251000
2013-02-19,455.0,455.0,450.0,455.0,350.48819,1034000
2013-02-20,460.0,460.0,450.0,460.0,354.339722,1580500
2013-02-21,455.0,455.0,450.0,455.0,350.48819,1108000
2013-02-22,460.0,460.0,450.0,460.0,354.339722,348000
2013-02-25,455.0,455.0,450.0,455.0,350.48819,1612500
2013-02-26,455.0,460.0,450.0,455.0,350.48819,1121500
2013-02-27,455.0,455.0,455.0,455.0,350.48819,2214500
2013-02-28,455.0,455.0,450.0,455.0,350.48819,2062000
2013-03-01,455.0,455.0,455.0,455.0,350.48819,1492500
2013-03-04,460.0,460.0,450.0,460.0,354.339722,241500
2013-03-05,455.0,460.0,455.0,455.0,350.48819,84000
2013-03-06,460.0,460.0,455.0,460.0,354.339722,3500
2013-03-07,460.0,460.0,450.0,460.0,354.339722,1000
2013-03-08,460.0,460.0,455.0,460.0,354.339722,17500
2013-03-11,460.0,460.0,455.0,460.0,354.339722,659000
2013-03-13,460.0,460.0,450.0,460.0,354.339722,25500
2013-03-14,460.0,460.0,455.0,460.0,354.339722,2000
2013-03-15,460.0,460.0,455.0,460.0,354.339722,258500
2013-03-18,455.0,455.0,450.0,455.0,350.48819,307000
2013-03-19,460.0,460.0,455.0,460.0,354.339722,105500
2013-03-20,460.0,460.0,455.0,460.0,354.339722,2000000
2013-03-21,455.0,455.0,455.0,455.0,350.48819,108000
2013-03-22,460.0,460.0,460.0,460.0,354.339722,500
2013-03-25,460.0,460.0,455.0,460.0,354.339722,37500
2013-03-26,460.0,460.0,455.0,460.0,354.339722,502500
2013-03-27,455.0,455.0,450.0,455.0,350.48819,12000
2013-03-28,460.0,460.0,455.0,460.0,354.339722,390500
2013-04-01,460.0,460.0,450.0,460.0,354.339722,23000
2013-04-02,460.0,460.0,460.0,460.0,354.339722,23000
2013-04-03,460.0,460.0,460.0,460.0,354.339722,23000
2013-04-04,460.0,460.0,460.0,460.0,354.339722,23000
2013-04-05,460.0,460.0,450.0,460.0,354.339722,25500
