Date,Open,High,Low,Close,Adj Close,Volume
2017-12-13,850.0,895.0,830.0,880.0,844.6354980000001,15287600
2017-12-14,880.0,900.0,855.0,855.0,820.640137,1529800
2017-12-15,855.0,860.0,850.0,850.0,815.841125,535700
2017-12-18,850.0,855.0,845.0,845.0,811.042053,1496100
2017-12-19,850.0,855.0,845.0,855.0,820.640137,506900
2017-12-20,855.0,860.0,850.0,860.0,825.439209,779700
2017-12-21,860.0,870.0,860.0,865.0,830.2382809999999,666800
2017-12-22,860.0,865.0,860.0,865.0,830.2382809999999,156400
2017-12-25,865.0,865.0,865.0,865.0,830.2382809999999,0
2017-12-26,865.0,865.0,865.0,865.0,830.2382809999999,0
2017-12-27,860.0,865.0,855.0,865.0,830.2382809999999,420500
2017-12-28,865.0,865.0,850.0,865.0,830.2382809999999,611200
2017-12-29,865.0,875.0,860.0,875.0,839.836426,1221100
2018-01-01,875.0,875.0,875.0,875.0,839.836426,0
2018-01-02,880.0,900.0,875.0,895.0,859.032715,288300
2018-01-03,895.0,900.0,890.0,900.0,863.831726,475100
2018-01-04,900.0,930.0,900.0,920.0,883.028015,190700
2018-01-05,910.0,950.0,905.0,950.0,911.822388,732000
2018-01-08,940.0,990.0,920.0,955.0,916.62146,382700
2018-01-09,940.0,945.0,910.0,945.0,907.023315,499800
2018-01-10,920.0,935.0,915.0,930.0,892.6261599999999,223200
2018-01-11,925.0,930.0,910.0,930.0,892.6261599999999,251900
2018-01-12,920.0,920.0,910.0,910.0,873.429871,139600
2018-01-15,915.0,950.0,885.0,915.0,878.228943,1040900
2018-01-16,910.0,930.0,900.0,930.0,892.6261599999999,334100
2018-01-17,930.0,945.0,925.0,935.0,897.425232,514700
2018-01-18,940.0,945.0,925.0,935.0,897.425232,556900
2018-01-19,930.0,935.0,925.0,935.0,897.425232,639000
2018-01-22,935.0,950.0,925.0,950.0,911.822388,1246600
2018-01-23,945.0,945.0,935.0,945.0,907.023315,866400
2018-01-24,945.0,945.0,935.0,940.0,902.224304,878900
2018-01-25,940.0,950.0,935.0,950.0,911.822388,762200
2018-01-26,950.0,950.0,935.0,935.0,897.425232,449000
2018-01-29,935.0,940.0,935.0,935.0,897.425232,90600
2018-01-30,935.0,940.0,935.0,935.0,897.425232,15100
2018-01-31,940.0,940.0,935.0,935.0,897.425232,558400
2018-02-01,935.0,935.0,930.0,930.0,892.6261599999999,254300
2018-02-02,935.0,935.0,925.0,935.0,897.425232,604100
2018-02-05,935.0,935.0,925.0,935.0,897.425232,366800
2018-02-06,935.0,935.0,910.0,920.0,883.028015,921300
2018-02-07,925.0,925.0,915.0,925.0,887.8270869999999,225600
2018-02-08,925.0,925.0,895.0,895.0,859.032715,1084400
2018-02-09,890.0,900.0,885.0,895.0,859.032715,382600
2018-02-12,890.0,905.0,890.0,900.0,863.831726,58200
2018-02-13,915.0,915.0,895.0,910.0,873.429871,2400
2018-02-14,905.0,905.0,895.0,900.0,863.831726,185600
2018-02-15,900.0,900.0,895.0,900.0,863.831726,5500
2018-02-16,900.0,900.0,900.0,900.0,863.831726,0
2018-02-19,900.0,905.0,895.0,900.0,863.831726,129100
2018-02-20,895.0,895.0,885.0,890.0,854.2336429999999,601800
2018-02-21,890.0,900.0,890.0,895.0,859.032715,17100
2018-02-22,900.0,900.0,885.0,890.0,854.2336429999999,129700
2018-02-23,900.0,900.0,885.0,895.0,859.032715,26000
2018-02-26,900.0,900.0,890.0,900.0,863.831726,13400
2018-02-27,895.0,900.0,895.0,900.0,863.831726,500
2018-02-28,895.0,895.0,890.0,890.0,854.2336429999999,172500
2018-03-01,900.0,900.0,900.0,900.0,863.831726,1100
2018-03-02,890.0,900.0,890.0,900.0,863.831726,219300
2018-03-05,900.0,900.0,895.0,900.0,863.831726,21200
2018-03-06,895.0,905.0,895.0,905.0,868.630798,166000
2018-03-07,900.0,900.0,895.0,900.0,863.831726,138200
2018-03-08,895.0,900.0,895.0,900.0,863.831726,1300
2018-03-09,900.0,900.0,890.0,895.0,859.032715,204300
2018-03-12,890.0,900.0,890.0,900.0,863.831726,47100
2018-03-13,900.0,900.0,895.0,900.0,863.831726,2500
2018-03-14,905.0,905.0,895.0,900.0,863.831726,64400
2018-03-15,900.0,905.0,900.0,905.0,868.630798,1100
2018-03-16,905.0,910.0,905.0,910.0,873.429871,164900
2018-03-19,915.0,915.0,900.0,900.0,863.831726,201300
2018-03-20,895.0,900.0,895.0,900.0,863.831726,124100
2018-03-21,915.0,915.0,890.0,905.0,868.630798,627600
2018-03-22,905.0,905.0,900.0,900.0,863.831726,201300
2018-03-23,905.0,905.0,895.0,895.0,859.032715,75900
2018-03-26,935.0,935.0,895.0,895.0,859.032715,303700
2018-03-27,910.0,910.0,900.0,905.0,868.630798,6800
2018-03-28,905.0,910.0,895.0,910.0,873.429871,128100
2018-03-29,910.0,910.0,900.0,900.0,863.831726,124700
2018-03-30,900.0,900.0,900.0,900.0,863.831726,0
2018-04-02,900.0,905.0,895.0,895.0,859.032715,311800
2018-04-03,905.0,910.0,880.0,900.0,863.831726,821600
2018-04-04,890.0,900.0,880.0,895.0,859.032715,574300
2018-04-05,895.0,905.0,895.0,905.0,868.630798,1500
2018-04-06,900.0,900.0,885.0,900.0,863.831726,3200
2018-04-09,880.0,900.0,880.0,900.0,863.831726,34100
2018-04-10,900.0,905.0,885.0,905.0,868.630798,16200
2018-04-11,900.0,905.0,885.0,895.0,859.032715,53100
2018-04-12,895.0,905.0,890.0,900.0,863.831726,371100
2018-04-13,900.0,910.0,895.0,910.0,873.429871,231900
2018-04-16,910.0,910.0,910.0,910.0,873.429871,0
2018-04-17,910.0,910.0,910.0,910.0,873.429871,0
2018-04-18,895.0,895.0,895.0,895.0,859.032715,1100
2018-04-19,895.0,895.0,895.0,895.0,859.032715,0
2018-04-20,895.0,895.0,895.0,895.0,859.032715,0
2018-04-23,905.0,905.0,895.0,905.0,868.630798,103100
2018-04-24,910.0,910.0,895.0,895.0,859.032715,153900
2018-04-25,895.0,895.0,895.0,895.0,859.032715,0
2018-04-26,895.0,895.0,895.0,895.0,859.032715,0
2018-04-27,895.0,895.0,895.0,895.0,859.032715,0
2018-04-30,900.0,915.0,900.0,915.0,878.228943,161100
2018-05-01,915.0,915.0,915.0,915.0,878.228943,0
2018-05-02,920.0,930.0,905.0,910.0,873.429871,295100
2018-05-03,925.0,925.0,905.0,925.0,887.8270869999999,80900
2018-05-04,925.0,945.0,925.0,935.0,897.425232,198200
2018-05-07,945.0,945.0,925.0,930.0,892.6261599999999,276500
2018-05-08,930.0,945.0,920.0,940.0,902.224304,147700
2018-05-09,945.0,955.0,930.0,955.0,916.62146,90000
2018-05-10,955.0,955.0,955.0,955.0,916.62146,0
2018-05-11,960.0,960.0,945.0,955.0,916.62146,83600
2018-05-14,960.0,965.0,950.0,960.0,921.420532,122600
2018-05-15,965.0,970.0,960.0,970.0,931.0186769999999,83400
2018-05-16,965.0,970.0,950.0,955.0,916.62146,124500
2018-05-17,950.0,990.0,935.0,990.0,950.214905,1395700
2018-05-18,990.0,995.0,970.0,995.0,955.013977,177000
2018-05-21,995.0,995.0,975.0,975.0,935.817749,258800
2018-05-22,975.0,990.0,950.0,965.0,926.2196039999999,173800
2018-05-23,980.0,980.0,960.0,970.0,931.0186769999999,55100
2018-05-24,975.0,975.0,955.0,970.0,931.0186769999999,257900
2018-05-25,975.0,975.0,955.0,975.0,935.817749,210400
2018-05-28,975.0,975.0,960.0,960.0,921.420532,116200
2018-05-29,960.0,960.0,960.0,960.0,921.420532,0
2018-05-30,960.0,975.0,955.0,970.0,931.0186769999999,154500
2018-05-31,970.0,975.0,960.0,975.0,935.817749,9500
2018-06-01,975.0,975.0,975.0,975.0,935.817749,0
2018-06-04,970.0,975.0,965.0,965.0,926.2196039999999,156300
2018-06-05,965.0,990.0,960.0,990.0,950.214905,301400
2018-06-06,995.0,1055.0,995.0,1045.0,1003.0046390000001,1832300
2018-06-07,1055.0,1110.0,1030.0,1105.0,1060.593384,1963800
2018-06-08,1115.0,1140.0,1115.0,1125.0,1079.789673,1523900
2018-06-11,1125.0,1125.0,1125.0,1125.0,1079.789673,0
2018-06-12,1125.0,1125.0,1125.0,1125.0,1079.789673,0
2018-06-13,1125.0,1125.0,1125.0,1125.0,1079.789673,0
2018-06-14,1125.0,1125.0,1125.0,1125.0,1079.789673,0
2018-06-15,1125.0,1125.0,1125.0,1125.0,1079.789673,0
2018-06-18,1125.0,1125.0,1125.0,1125.0,1079.789673,0
2018-06-19,1125.0,1125.0,1125.0,1125.0,1079.789673,0
2018-06-20,1140.0,1140.0,1115.0,1125.0,1079.789673,370700
2018-06-21,1125.0,1125.0,1090.0,1110.0,1065.392456,426800
2018-06-22,1110.0,1110.0,1080.0,1080.0,1036.598145,247100
2018-06-25,1080.0,1095.0,1050.0,1080.0,1036.598145,836500
2018-06-26,1080.0,1080.0,1050.0,1070.0,1027.0,303200
2018-06-27,1050.0,1070.0,1040.0,1070.0,1070.0,267000
2018-06-28,1050.0,1070.0,1040.0,1070.0,1070.0,299900
2018-06-29,1045.0,1065.0,1040.0,1065.0,1065.0,62600
2018-07-02,1065.0,1065.0,1035.0,1040.0,1040.0,298000
2018-07-03,1025.0,1040.0,1020.0,1020.0,1020.0,296400
2018-07-04,1015.0,1020.0,990.0,1020.0,1020.0,1275800
2018-07-05,1055.0,1055.0,1010.0,1050.0,1050.0,32700
2018-07-06,1055.0,1080.0,1030.0,1075.0,1075.0,1005800
2018-07-09,1075.0,1090.0,1065.0,1090.0,1090.0,301100
2018-07-10,1090.0,1090.0,1070.0,1090.0,1090.0,249000
2018-07-11,1090.0,1090.0,1070.0,1090.0,1090.0,73300
2018-07-12,1080.0,1090.0,1070.0,1090.0,1090.0,252000
2018-07-13,1070.0,1090.0,1070.0,1085.0,1085.0,676000
2018-07-16,1085.0,1095.0,1070.0,1090.0,1090.0,428000
2018-07-17,1090.0,1100.0,1070.0,1070.0,1070.0,435400
2018-07-18,1075.0,1095.0,1075.0,1095.0,1095.0,204900
2018-07-19,1090.0,1100.0,1085.0,1095.0,1095.0,115000
2018-07-20,1095.0,1100.0,1085.0,1095.0,1095.0,56600
2018-07-23,1095.0,1100.0,1090.0,1100.0,1100.0,68400
2018-07-24,1100.0,1105.0,1095.0,1100.0,1100.0,138800
2018-07-25,1100.0,1100.0,1090.0,1100.0,1100.0,5600
2018-07-26,1100.0,1100.0,1090.0,1100.0,1100.0,175900
2018-07-27,1105.0,1135.0,1105.0,1135.0,1135.0,465600
2018-07-30,1135.0,1155.0,1135.0,1155.0,1155.0,401500
2018-07-31,1155.0,1160.0,1150.0,1160.0,1160.0,279000
2018-08-01,1160.0,1160.0,1155.0,1160.0,1160.0,207400
2018-08-02,1160.0,1160.0,1155.0,1160.0,1160.0,76900
2018-08-03,1165.0,1170.0,1150.0,1170.0,1170.0,450700
2018-08-06,1170.0,1170.0,1135.0,1160.0,1160.0,801700
2018-08-07,1150.0,1175.0,1150.0,1175.0,1175.0,295600
2018-08-08,1175.0,1175.0,1155.0,1175.0,1175.0,40900
2018-08-09,1175.0,1175.0,1145.0,1170.0,1170.0,239500
2018-08-10,1170.0,1180.0,1150.0,1175.0,1175.0,240800
2018-08-13,1170.0,1175.0,1145.0,1160.0,1160.0,553900
2018-08-14,1140.0,1175.0,1140.0,1165.0,1165.0,374900
2018-08-15,1165.0,1175.0,1150.0,1170.0,1170.0,51000
2018-08-16,1160.0,1170.0,1155.0,1170.0,1170.0,54800
2018-08-17,1170.0,1170.0,1170.0,1170.0,1170.0,0
2018-08-20,1170.0,1170.0,1160.0,1170.0,1170.0,81700
2018-08-21,1170.0,1180.0,1165.0,1180.0,1180.0,199200
2018-08-22,1180.0,1180.0,1180.0,1180.0,1180.0,0
2018-08-23,1185.0,1185.0,1170.0,1180.0,1180.0,36300
2018-08-24,1180.0,1190.0,1175.0,1190.0,1190.0,68700
2018-08-27,1190.0,1190.0,1150.0,1150.0,1150.0,1035700
2018-08-28,1150.0,1175.0,1150.0,1150.0,1150.0,392200
2018-08-29,1160.0,1160.0,1145.0,1145.0,1145.0,789800
2018-08-30,1150.0,1160.0,1145.0,1145.0,1145.0,186400
2018-08-31,1145.0,1160.0,1145.0,1150.0,1150.0,189600
2018-09-03,1170.0,1170.0,1145.0,1155.0,1155.0,477600
2018-09-04,1155.0,1155.0,1145.0,1145.0,1145.0,1361700
2018-09-05,1135.0,1140.0,1120.0,1120.0,1120.0,1200300
2018-09-06,1120.0,1125.0,1105.0,1110.0,1110.0,927500
2018-09-07,1105.0,1130.0,1105.0,1130.0,1130.0,428100
2018-09-10,1115.0,1115.0,1095.0,1110.0,1110.0,1425800
2018-09-11,1110.0,1110.0,1110.0,1110.0,1110.0,0
2018-09-12,1110.0,1115.0,1100.0,1110.0,1110.0,164000
2018-09-13,1110.0,1120.0,1100.0,1100.0,1100.0,285200
2018-09-14,1110.0,1120.0,1105.0,1110.0,1110.0,20900
2018-09-17,1125.0,1125.0,1100.0,1105.0,1105.0,111400
2018-09-18,1105.0,1110.0,1100.0,1105.0,1105.0,107400
2018-09-19,1100.0,1115.0,1095.0,1100.0,1100.0,51800
2018-09-20,1100.0,1105.0,1090.0,1100.0,1100.0,34700
2018-09-21,1105.0,1130.0,1100.0,1130.0,1130.0,246500
2018-09-24,1130.0,1130.0,1100.0,1100.0,1100.0,68100
2018-09-25,1100.0,1115.0,1095.0,1115.0,1115.0,31300
2018-09-26,1115.0,1115.0,1095.0,1095.0,1095.0,78200
2018-09-27,1095.0,1105.0,1080.0,1090.0,1090.0,707600
2018-09-28,1095.0,1100.0,1095.0,1100.0,1100.0,221200
2018-10-01,1100.0,1110.0,1090.0,1100.0,1100.0,308200
2018-10-02,1100.0,1115.0,1090.0,1115.0,1115.0,357100
2018-10-03,1120.0,1120.0,1035.0,1055.0,1055.0,4266300
2018-10-04,1040.0,1070.0,1040.0,1065.0,1065.0,277900
2018-10-05,1065.0,1075.0,1065.0,1075.0,1075.0,307100
2018-10-08,1080.0,1080.0,1065.0,1075.0,1075.0,403500
2018-10-09,1050.0,1065.0,1050.0,1065.0,1065.0,54800
2018-10-10,1075.0,1075.0,1070.0,1070.0,1070.0,700
2018-10-11,1065.0,1070.0,1050.0,1070.0,1070.0,61000
2018-10-12,1070.0,1075.0,1045.0,1075.0,1075.0,79800
2018-10-15,1055.0,1080.0,1055.0,1060.0,1060.0,43500
2018-10-16,1065.0,1080.0,1050.0,1080.0,1080.0,37800
2018-10-17,1080.0,1085.0,1070.0,1070.0,1070.0,12100
2018-10-18,1085.0,1085.0,1075.0,1075.0,1075.0,2300
2018-10-19,1075.0,1100.0,1070.0,1075.0,1075.0,264300
2018-10-22,1080.0,1090.0,1060.0,1090.0,1090.0,37100
2018-10-23,1090.0,1100.0,1060.0,1100.0,1100.0,196100
2018-10-24,1100.0,1100.0,1055.0,1055.0,1055.0,737900
2018-10-25,1045.0,1070.0,1045.0,1055.0,1055.0,1015600
2018-10-26,1055.0,1075.0,1050.0,1075.0,1075.0,29800
2018-10-29,1085.0,1085.0,1050.0,1080.0,1080.0,5400
2018-10-30,1080.0,1080.0,1055.0,1080.0,1080.0,35800
2018-10-31,1085.0,1090.0,1060.0,1085.0,1085.0,1222800
2018-11-01,1090.0,1090.0,1075.0,1085.0,1085.0,152900
2018-11-02,1095.0,1100.0,1085.0,1100.0,1100.0,133100
2018-11-05,1100.0,1100.0,1090.0,1100.0,1100.0,141400
2018-11-06,1100.0,1105.0,1095.0,1095.0,1095.0,168800
2018-11-07,1110.0,1110.0,1095.0,1105.0,1105.0,291900
2018-11-08,1105.0,1105.0,1085.0,1100.0,1100.0,375300
2018-11-09,1100.0,1105.0,1090.0,1090.0,1090.0,172400
2018-11-12,1100.0,1100.0,1090.0,1095.0,1095.0,128200
2018-11-13,1100.0,1105.0,1090.0,1095.0,1095.0,228400
2018-11-14,1095.0,1100.0,1090.0,1100.0,1100.0,69300
2018-11-15,1100.0,1100.0,1095.0,1095.0,1095.0,145900
2018-11-16,1100.0,1105.0,1095.0,1100.0,1100.0,154900
2018-11-19,1105.0,1105.0,1100.0,1100.0,1100.0,305400
2018-11-20,1100.0,1100.0,1100.0,1100.0,1100.0,0
2018-11-21,1095.0,1105.0,1095.0,1105.0,1105.0,682400
2018-11-22,1110.0,1115.0,1100.0,1100.0,1100.0,610400
2018-11-23,1105.0,1105.0,1095.0,1095.0,1095.0,425200
2018-11-26,1100.0,1105.0,1095.0,1100.0,1100.0,303100
2018-11-27,1100.0,1100.0,1095.0,1100.0,1100.0,237800
2018-11-28,1100.0,1100.0,1095.0,1100.0,1100.0,1600
2018-11-29,1110.0,1110.0,1095.0,1100.0,1100.0,53600
2018-11-30,1105.0,1105.0,1095.0,1100.0,1100.0,125900
2018-12-03,1100.0,1105.0,1090.0,1095.0,1095.0,92500
2018-12-04,1095.0,1110.0,1095.0,1095.0,1095.0,180700
2018-12-05,1100.0,1105.0,1090.0,1095.0,1095.0,130300
2018-12-06,1095.0,1100.0,1090.0,1090.0,1090.0,60600
2018-12-07,1095.0,1100.0,1075.0,1100.0,1100.0,60600
2018-12-10,1100.0,1100.0,1090.0,1090.0,1090.0,67200
2018-12-11,1090.0,1100.0,1075.0,1100.0,1100.0,32200
2018-12-12,1090.0,1100.0,1075.0,1100.0,1100.0,14300
2018-12-13,1100.0,1100.0,1080.0,1100.0,1100.0,23800
2018-12-14,1100.0,1105.0,1075.0,1100.0,1100.0,866300
2018-12-17,1100.0,1105.0,1085.0,1095.0,1095.0,299200
2018-12-18,1095.0,1100.0,1075.0,1090.0,1090.0,218700
2018-12-19,1095.0,1100.0,1075.0,1090.0,1090.0,208700
2018-12-20,1090.0,1100.0,1085.0,1095.0,1095.0,159700
2018-12-21,1100.0,1120.0,1075.0,1120.0,1120.0,510900
2018-12-24,1120.0,1120.0,1120.0,1120.0,1120.0,0
2018-12-25,1120.0,1120.0,1120.0,1120.0,1120.0,0
2018-12-26,1120.0,1160.0,1120.0,1120.0,1120.0,563600
2018-12-27,1150.0,1150.0,1090.0,1130.0,1130.0,169100
2018-12-28,1130.0,1160.0,1120.0,1150.0,1150.0,1529500
2018-12-31,1150.0,1150.0,1150.0,1150.0,1150.0,0
2019-01-01,1150.0,1150.0,1150.0,1150.0,1150.0,0
