Date,Open,High,Low,Close,Adj Close,Volume
2018-07-19,960.0,960.0,960.0,960.0,960.0,0
2018-07-20,960.0,960.0,960.0,960.0,960.0,0
2018-07-23,960.0,960.0,960.0,960.0,960.0,0
2018-07-24,960.0,960.0,960.0,960.0,960.0,0
2018-07-25,960.0,960.0,960.0,960.0,960.0,0
2018-07-26,960.0,960.0,960.0,960.0,960.0,0
2018-07-27,960.0,960.0,960.0,960.0,960.0,0
2018-07-30,960.0,960.0,960.0,960.0,960.0,0
2018-07-31,960.0,960.0,960.0,960.0,960.0,0
2018-08-01,960.0,960.0,960.0,960.0,960.0,0
2018-08-02,960.0,960.0,960.0,960.0,960.0,0
2018-08-03,960.0,960.0,960.0,960.0,960.0,0
2018-08-06,960.0,960.0,960.0,960.0,960.0,0
2018-08-07,960.0,960.0,960.0,960.0,960.0,0
2018-08-08,960.0,960.0,960.0,960.0,960.0,0
2018-08-09,960.0,960.0,960.0,960.0,960.0,0
2018-08-10,960.0,960.0,960.0,960.0,960.0,0
2018-08-13,960.0,960.0,960.0,960.0,960.0,0
2018-08-14,960.0,960.0,960.0,960.0,960.0,0
2018-08-15,960.0,960.0,960.0,960.0,960.0,0
2018-08-16,1000.0,1040.0,960.0,960.0,960.0,1800
2018-08-17,960.0,960.0,960.0,960.0,960.0,0
2018-08-20,960.0,960.0,960.0,960.0,960.0,0
2018-08-21,960.0,960.0,960.0,960.0,960.0,0
2018-08-22,960.0,960.0,960.0,960.0,960.0,0
2018-08-23,960.0,960.0,960.0,960.0,960.0,0
2018-08-24,960.0,960.0,960.0,960.0,960.0,0
2018-08-27,1120.0,1195.0,1120.0,1195.0,1195.0,2300
2018-08-28,905.0,960.0,905.0,960.0,960.0,200
2018-08-29,960.0,960.0,960.0,960.0,960.0,300
2018-08-30,960.0,960.0,960.0,960.0,960.0,0
2018-08-31,960.0,960.0,960.0,960.0,960.0,2300
2018-09-03,960.0,960.0,960.0,960.0,960.0,0
2018-09-04,960.0,960.0,960.0,960.0,960.0,0
2018-09-05,960.0,960.0,960.0,960.0,960.0,0
2018-09-06,765.0,765.0,765.0,765.0,765.0,100
2018-09-07,765.0,765.0,765.0,765.0,765.0,0
2018-09-10,765.0,765.0,765.0,765.0,765.0,0
2018-09-11,765.0,765.0,765.0,765.0,765.0,0
2018-09-12,765.0,765.0,765.0,765.0,765.0,400
2018-09-13,765.0,765.0,765.0,765.0,765.0,0
2018-09-14,765.0,765.0,765.0,765.0,765.0,0
2018-09-17,765.0,765.0,765.0,765.0,765.0,0
2018-09-18,765.0,765.0,765.0,765.0,765.0,0
2018-09-19,665.0,665.0,665.0,665.0,665.0,100
2018-09-20,665.0,665.0,665.0,665.0,665.0,0
2018-09-21,665.0,665.0,665.0,665.0,665.0,0
2018-09-24,665.0,665.0,665.0,665.0,665.0,0
2018-09-25,765.0,770.0,765.0,770.0,770.0,12000
2018-09-26,770.0,770.0,770.0,770.0,770.0,0
