Date,Open,High,Low,Close,Adj Close,Volume
2003-04-24,125.0,125.0,100.0,100.0,100.0,32500
2003-04-25,80.0,80.0,70.0,70.0,70.0,10000
2003-04-28,85.0,85.0,85.0,85.0,85.0,0
2003-04-29,65.0,85.0,65.0,85.0,85.0,8500
2003-04-30,80.0,85.0,80.0,80.0,80.0,50500
2003-05-01,115.0,115.0,115.0,115.0,115.0,0
2003-05-02,80.0,80.0,80.0,80.0,80.0,27000
2003-05-05,100.0,100.0,55.0,55.0,55.0,0
2003-05-06,100.0,100.0,100.0,100.0,100.0,0
2003-05-07,100.0,100.0,80.0,80.0,80.0,0
2003-05-08,95.0,95.0,85.0,85.0,85.0,2500
2003-05-09,90.0,90.0,90.0,90.0,90.0,13500
2003-05-12,110.0,110.0,45.0,45.0,45.0,0
2003-05-13,45.0,45.0,45.0,45.0,45.0,0
2003-05-14,45.0,45.0,45.0,45.0,45.0,0
2003-05-19,45.0,45.0,45.0,45.0,45.0,0
2003-05-20,45.0,45.0,45.0,45.0,45.0,0
2003-05-21,45.0,45.0,45.0,45.0,45.0,0
2003-05-22,45.0,45.0,45.0,45.0,45.0,0
2003-05-23,45.0,45.0,45.0,45.0,45.0,0
2003-05-26,65.0,65.0,65.0,65.0,65.0,0
2003-05-27,65.0,65.0,65.0,65.0,65.0,500
2003-05-28,65.0,65.0,65.0,65.0,65.0,0
2003-05-29,55.0,55.0,55.0,55.0,55.0,0
2003-06-02,55.0,55.0,55.0,55.0,55.0,0
2003-06-03,65.0,65.0,65.0,65.0,65.0,0
2003-06-04,50.0,50.0,50.0,50.0,50.0,21500
2003-06-05,50.0,50.0,50.0,50.0,50.0,5000
2003-06-06,50.0,50.0,50.0,50.0,50.0,0
2003-06-09,50.0,50.0,50.0,50.0,50.0,6000
2003-06-10,50.0,50.0,50.0,50.0,50.0,0
2003-06-11,50.0,50.0,50.0,50.0,50.0,0
2003-06-12,50.0,50.0,50.0,50.0,50.0,21500
2003-06-13,50.0,50.0,50.0,50.0,50.0,50000
2003-06-16,50.0,50.0,50.0,50.0,50.0,0
2003-06-17,50.0,50.0,50.0,50.0,50.0,1500
2003-06-18,50.0,50.0,50.0,50.0,50.0,72000
2003-06-19,50.0,50.0,50.0,50.0,50.0,0
2003-06-20,55.0,55.0,55.0,55.0,55.0,1000
2003-06-23,55.0,55.0,55.0,55.0,55.0,0
2003-06-24,50.0,50.0,50.0,50.0,50.0,0
2003-06-25,55.0,55.0,55.0,55.0,55.0,0
2003-06-26,45.0,45.0,45.0,45.0,45.0,0
2003-06-27,55.0,55.0,55.0,55.0,55.0,1000
2003-06-30,55.0,55.0,55.0,55.0,55.0,0
2003-07-01,55.0,55.0,55.0,55.0,55.0,0
2003-07-02,55.0,55.0,55.0,55.0,55.0,0
2003-07-03,55.0,55.0,55.0,55.0,55.0,0
2003-07-04,55.0,55.0,55.0,55.0,55.0,0
2003-07-07,90.0,90.0,60.0,60.0,60.0,0
2003-07-08,100.0,100.0,75.0,75.0,75.0,0
2003-07-09,80.0,80.0,80.0,80.0,80.0,0
2003-07-10,80.0,80.0,80.0,80.0,80.0,0
2003-07-11,80.0,80.0,80.0,80.0,80.0,24000
2003-07-14,80.0,80.0,80.0,80.0,80.0,0
2003-07-15,80.0,80.0,80.0,80.0,80.0,0
2003-07-16,90.0,90.0,90.0,90.0,90.0,0
2003-07-17,75.0,75.0,75.0,75.0,75.0,0
2003-07-18,80.0,80.0,80.0,80.0,80.0,0
2003-07-21,80.0,80.0,80.0,80.0,80.0,0
2003-07-22,80.0,80.0,80.0,80.0,80.0,0
2003-07-23,100.0,100.0,100.0,100.0,100.0,0
2003-07-24,75.0,75.0,75.0,75.0,75.0,0
2003-07-25,75.0,75.0,75.0,75.0,75.0,0
2003-07-28,75.0,75.0,75.0,75.0,75.0,0
2003-07-29,75.0,75.0,75.0,75.0,75.0,0
2003-07-30,100.0,100.0,55.0,55.0,55.0,0
2003-07-31,100.0,100.0,45.0,45.0,45.0,0
2003-08-01,100.0,100.0,55.0,55.0,55.0,0
2003-08-04,100.0,100.0,75.0,75.0,75.0,0
2003-08-05,100.0,100.0,65.0,65.0,65.0,0
2003-08-06,100.0,100.0,65.0,65.0,65.0,0
2003-08-07,100.0,100.0,65.0,65.0,65.0,0
2003-08-08,100.0,100.0,65.0,65.0,65.0,0
2003-08-11,100.0,115.0,100.0,115.0,115.0,50500
2003-08-12,115.0,115.0,95.0,95.0,95.0,0
2003-08-13,115.0,115.0,90.0,90.0,90.0,0
2003-08-14,120.0,120.0,100.0,100.0,100.0,0
2003-08-15,120.0,120.0,120.0,120.0,120.0,0
2003-08-19,125.0,125.0,75.0,75.0,75.0,0
2003-08-20,90.0,90.0,90.0,90.0,90.0,10000
2003-08-21,100.0,100.0,100.0,100.0,100.0,15000
2003-08-22,100.0,100.0,50.0,50.0,50.0,0
2003-08-25,115.0,115.0,80.0,80.0,80.0,0
2003-08-26,115.0,115.0,85.0,85.0,85.0,0
2003-08-27,115.0,115.0,65.0,65.0,65.0,0
2003-08-28,110.0,125.0,100.0,100.0,100.0,48000
2003-08-29,105.0,105.0,105.0,105.0,105.0,5000
2003-09-01,110.0,110.0,100.0,100.0,100.0,0
2003-09-02,110.0,110.0,100.0,100.0,100.0,0
2003-09-03,100.0,105.0,100.0,105.0,105.0,15000
2003-09-04,110.0,110.0,110.0,110.0,110.0,2500
2003-09-05,120.0,120.0,90.0,90.0,90.0,0
2003-09-08,120.0,120.0,105.0,105.0,105.0,0
2003-09-09,120.0,120.0,80.0,80.0,80.0,0
2003-09-10,125.0,125.0,85.0,85.0,85.0,0
2003-09-11,120.0,120.0,75.0,75.0,75.0,0
2003-09-12,100.0,100.0,100.0,100.0,100.0,0
2003-09-15,120.0,120.0,90.0,90.0,90.0,0
2003-09-16,110.0,110.0,110.0,110.0,110.0,5000
2003-09-17,115.0,120.0,115.0,120.0,120.0,9500
2003-09-18,130.0,130.0,95.0,95.0,95.0,0
2003-09-19,125.0,125.0,125.0,125.0,125.0,0
2003-09-23,130.0,130.0,100.0,100.0,100.0,0
2003-09-24,95.0,95.0,95.0,95.0,95.0,0
2003-09-25,135.0,135.0,100.0,100.0,100.0,0
2003-09-26,125.0,125.0,100.0,100.0,100.0,0
2003-09-29,135.0,135.0,90.0,90.0,90.0,0
2003-09-30,125.0,125.0,125.0,125.0,125.0,23000
2003-10-01,125.0,125.0,125.0,125.0,125.0,2000
2003-10-02,140.0,140.0,115.0,115.0,115.0,0
2003-10-03,115.0,115.0,115.0,115.0,115.0,5000
2003-10-06,115.0,115.0,115.0,115.0,115.0,5000
2003-10-07,120.0,120.0,120.0,120.0,120.0,500
2003-10-08,140.0,140.0,115.0,115.0,115.0,0
2003-10-09,120.0,120.0,85.0,85.0,85.0,0
2003-10-10,120.0,120.0,90.0,90.0,90.0,0
2003-10-13,120.0,160.0,120.0,160.0,160.0,47000
2003-10-14,160.0,160.0,160.0,160.0,160.0,5000
