Date,Open,High,Low,Close,Adj Close,Volume
2001-04-27,1050.0,1050.0,900.0,900.0,827.148376,0
2001-04-30,975.0,975.0,925.0,925.0,850.124756,0
2001-05-01,1000.0,1000.0,925.0,925.0,850.124756,0
2001-05-02,1000.0,1000.0,925.0,925.0,850.124756,0
2001-05-04,1050.0,1050.0,975.0,975.0,896.0774539999999,0
2001-05-08,1050.0,1050.0,950.0,950.0,873.1010130000001,0
2001-05-09,1100.0,1100.0,950.0,950.0,873.1010130000001,0
2001-05-10,1100.0,1100.0,950.0,950.0,873.1010130000001,0
2001-05-11,1050.0,1050.0,950.0,950.0,873.1010130000001,0
2001-05-14,925.0,925.0,925.0,925.0,850.124756,1500
2001-05-15,1025.0,1025.0,900.0,900.0,827.148376,0
2001-05-16,1050.0,1050.0,900.0,900.0,827.148376,0
2001-05-17,1000.0,1000.0,900.0,900.0,827.148376,0
2001-05-21,1200.0,1200.0,900.0,900.0,827.148376,0
2001-05-22,1025.0,1025.0,900.0,900.0,827.148376,0
2001-05-23,1000.0,1000.0,900.0,900.0,827.148376,0
2001-05-25,1025.0,1025.0,900.0,900.0,827.148376,0
2001-05-28,1025.0,1025.0,900.0,900.0,827.148376,0
2001-05-29,1100.0,1100.0,900.0,900.0,827.148376,0
2001-05-30,1050.0,1050.0,900.0,900.0,827.148376,0
2001-05-31,1050.0,1050.0,900.0,900.0,827.148376,0
2001-06-01,1025.0,1025.0,900.0,900.0,827.148376,0
2001-06-05,1000.0,1000.0,900.0,900.0,827.148376,0
2001-06-06,1025.0,1025.0,900.0,900.0,827.148376,0
2001-06-07,1100.0,1100.0,950.0,950.0,873.1010130000001,0
2001-06-08,1150.0,1150.0,925.0,925.0,850.124756,0
2001-06-11,1025.0,1025.0,975.0,975.0,896.0774539999999,0
2001-06-12,1050.0,1050.0,1000.0,1000.0,919.0537720000001,0
2001-06-13,1000.0,1000.0,950.0,1000.0,919.0537720000001,225000
2001-06-14,1025.0,1025.0,950.0,950.0,873.1010130000001,0
2001-06-15,1100.0,1100.0,950.0,950.0,873.1010130000001,0
2001-06-18,1100.0,1100.0,950.0,950.0,873.1010130000001,0
2001-06-19,1000.0,1000.0,1000.0,1000.0,919.0537720000001,1000
2001-06-20,950.0,950.0,950.0,950.0,873.1010130000001,25000
2001-06-21,950.0,950.0,950.0,950.0,873.1010130000001,75000
2001-06-22,1050.0,1050.0,950.0,950.0,873.1010130000001,0
2001-06-27,950.0,950.0,950.0,950.0,873.1010130000001,100000
2001-06-28,950.0,950.0,950.0,950.0,873.1010130000001,101000
2001-06-29,1200.0,1200.0,950.0,950.0,873.1010130000001,0
2001-07-02,1025.0,1025.0,950.0,950.0,873.1010130000001,0
2001-07-03,1100.0,1100.0,950.0,950.0,873.1010130000001,0
2001-07-04,975.0,975.0,975.0,975.0,896.0774539999999,2500
2001-07-05,1000.0,1000.0,950.0,950.0,873.1010130000001,0
2001-07-06,950.0,950.0,950.0,950.0,873.1010130000001,150000
2001-07-09,950.0,950.0,950.0,950.0,873.1010130000001,120000
2001-07-10,950.0,950.0,925.0,925.0,850.124756,100000
2001-07-12,925.0,925.0,900.0,900.0,827.148376,112500
2001-07-13,1200.0,1200.0,950.0,950.0,873.1010130000001,0
2001-07-16,1200.0,1200.0,950.0,950.0,873.1010130000001,0
2001-07-17,1000.0,1100.0,1000.0,1100.0,1010.959167,1500
2001-07-18,1250.0,1250.0,1100.0,1100.0,1027.302612,0
