Date,Open,High,Low,Close,Adj Close,Volume
2001-04-27,65.0,65.0,65.0,65.0,65.0,10000
2001-04-30,65.0,65.0,65.0,65.0,65.0,1000
2001-05-01,55.0,65.0,55.0,65.0,65.0,32500
2001-05-02,70.0,70.0,60.0,60.0,60.0,0
2001-05-03,65.0,65.0,65.0,65.0,65.0,7500
2001-05-04,65.0,65.0,65.0,65.0,65.0,1000
2001-05-08,70.0,70.0,70.0,70.0,70.0,8000
2001-05-09,90.0,90.0,65.0,65.0,65.0,0
2001-05-10,85.0,85.0,65.0,65.0,65.0,0
2001-05-11,90.0,90.0,70.0,70.0,70.0,0
2001-05-14,85.0,85.0,65.0,65.0,65.0,0
2001-05-15,75.0,85.0,75.0,80.0,80.0,69000
2001-05-16,85.0,85.0,75.0,75.0,75.0,0
2001-05-17,85.0,85.0,75.0,75.0,75.0,0
2001-05-18,80.0,80.0,75.0,75.0,75.0,1500
2001-05-21,75.0,75.0,75.0,75.0,75.0,5000
2001-05-22,80.0,80.0,70.0,70.0,70.0,0
2001-05-23,75.0,75.0,70.0,70.0,70.0,17500
2001-05-25,70.0,75.0,70.0,70.0,70.0,50000
2001-05-28,80.0,80.0,65.0,65.0,65.0,0
2001-05-29,80.0,80.0,70.0,70.0,70.0,0
2001-05-30,85.0,85.0,60.0,60.0,60.0,0
2001-05-31,80.0,80.0,80.0,80.0,80.0,2500
2001-06-01,80.0,80.0,80.0,80.0,80.0,3000
2001-06-05,80.0,85.0,80.0,85.0,85.0,110000
2001-06-06,100.0,100.0,80.0,80.0,80.0,0
2001-06-07,80.0,80.0,80.0,80.0,80.0,50500
2001-06-08,80.0,85.0,80.0,80.0,80.0,253000
2001-06-11,80.0,80.0,80.0,80.0,80.0,65500
2001-06-12,80.0,80.0,80.0,80.0,80.0,22500
2001-06-13,80.0,95.0,80.0,95.0,95.0,41000
2001-06-14,90.0,90.0,85.0,85.0,85.0,0
2001-06-15,100.0,100.0,100.0,100.0,100.0,500
2001-06-18,90.0,125.0,90.0,110.0,110.0,217500
2001-06-19,125.0,125.0,105.0,105.0,105.0,16000
2001-06-20,120.0,120.0,120.0,120.0,120.0,5000
2001-06-21,135.0,155.0,135.0,150.0,150.0,165500
2001-06-22,150.0,190.0,150.0,165.0,165.0,309500
2001-06-25,185.0,185.0,175.0,180.0,180.0,53500
2001-06-26,185.0,210.0,185.0,195.0,195.0,207000
2001-06-27,205.0,205.0,170.0,170.0,170.0,63500
2001-06-28,170.0,170.0,150.0,150.0,150.0,237000
2001-06-29,150.0,155.0,150.0,155.0,155.0,4500
2001-07-02,160.0,160.0,155.0,155.0,155.0,10000
2001-07-03,155.0,155.0,130.0,130.0,130.0,64000
2001-07-04,130.0,130.0,120.0,125.0,125.0,36000
2001-07-05,125.0,150.0,125.0,150.0,150.0,34500
2001-07-06,160.0,160.0,140.0,140.0,140.0,0
2001-07-09,160.0,170.0,140.0,170.0,170.0,41000
2001-07-10,175.0,180.0,160.0,160.0,160.0,35000
2001-07-11,170.0,170.0,160.0,160.0,160.0,42500
2001-07-12,160.0,160.0,160.0,160.0,160.0,25500
2001-07-13,150.0,150.0,150.0,150.0,150.0,5000
2001-07-16,155.0,155.0,150.0,150.0,150.0,10000
2001-07-17,160.0,160.0,145.0,145.0,145.0,0
2001-07-18,160.0,160.0,145.0,145.0,145.0,0
2001-07-19,160.0,160.0,160.0,160.0,160.0,15000
2001-07-20,145.0,145.0,145.0,145.0,145.0,2500
2001-07-23,150.0,150.0,150.0,150.0,150.0,10000
2001-07-24,150.0,150.0,145.0,145.0,145.0,0
2001-07-25,160.0,160.0,145.0,145.0,145.0,0
2001-07-26,160.0,160.0,130.0,130.0,130.0,0
2001-07-27,160.0,160.0,150.0,150.0,150.0,0
2001-07-30,165.0,165.0,145.0,145.0,145.0,0
2001-07-31,155.0,155.0,145.0,145.0,145.0,0
2001-08-01,145.0,145.0,140.0,140.0,140.0,20500
2001-08-02,135.0,135.0,125.0,125.0,125.0,15000
2001-08-03,160.0,160.0,120.0,120.0,120.0,0
2001-08-06,140.0,140.0,140.0,140.0,140.0,5500
2001-08-07,170.0,170.0,130.0,130.0,130.0,0
2001-08-08,145.0,145.0,130.0,130.0,130.0,0
2001-08-09,165.0,165.0,125.0,125.0,125.0,0
2001-08-10,150.0,150.0,125.0,125.0,125.0,0
2001-08-13,160.0,160.0,125.0,125.0,125.0,0
2001-08-14,165.0,165.0,140.0,140.0,140.0,0
2001-08-15,165.0,165.0,140.0,140.0,140.0,0
