Date,Open,High,Low,Close,Adj Close,Volume
2011-07-13,138.0,143.0,114.0,138.0,138.0,263738500
2011-07-14,130.0,147.0,129.0,130.0,130.0,213581500
2011-07-15,128.0,133.0,128.0,128.0,128.0,44171500
2011-07-18,128.0,131.0,126.0,128.0,128.0,40312500
2011-07-19,136.0,136.0,126.0,136.0,136.0,60163500
2011-07-20,141.0,141.0,136.0,141.0,141.0,37278000
2011-07-21,142.0,147.0,141.0,142.0,142.0,40717500
2011-07-22,142.0,144.0,141.0,142.0,142.0,5325000
2011-07-25,150.0,152.0,132.0,150.0,150.0,146318500
2011-07-26,150.0,155.0,150.0,150.0,150.0,17846500
2011-07-27,156.0,158.0,149.0,156.0,156.0,32764500
2011-07-28,155.0,156.0,154.0,155.0,155.0,2949000
2011-07-29,156.0,160.0,155.0,156.0,156.0,11025000
2011-08-01,157.0,158.0,156.0,157.0,157.0,6150500
2011-08-02,179.0,180.0,156.0,179.0,179.0,107665000
2011-08-03,184.0,187.0,176.0,184.0,184.0,80122000
2011-08-04,188.0,192.0,183.0,188.0,188.0,74176500
2011-08-05,187.0,197.0,182.0,187.0,187.0,70283500
2011-08-08,199.0,200.0,182.0,199.0,199.0,79764500
2011-08-09,194.0,195.0,192.0,194.0,194.0,23155500
2011-08-10,225.0,235.0,195.0,225.0,225.0,115309000
2011-08-11,230.0,245.0,215.0,230.0,230.0,95948000
2011-08-12,250.0,255.0,230.0,250.0,250.0,87635500
2011-08-15,250.0,255.0,235.0,250.0,250.0,66722500
2011-08-16,240.0,255.0,230.0,240.0,240.0,59578000
2011-08-18,260.0,265.0,240.0,260.0,260.0,47522000
2011-08-19,255.0,265.0,250.0,255.0,255.0,35144000
2011-08-22,285.0,285.0,255.0,285.0,285.0,46591500
2011-08-23,300.0,300.0,280.0,300.0,300.0,79726000
2011-08-24,295.0,305.0,290.0,295.0,295.0,40714500
2011-08-25,290.0,300.0,285.0,290.0,290.0,38996000
2011-08-26,280.0,295.0,280.0,280.0,280.0,31594000
2011-09-05,300.0,305.0,280.0,300.0,300.0,42029500
2011-09-06,310.0,310.0,295.0,310.0,310.0,61813000
2011-09-07,310.0,325.0,305.0,310.0,310.0,69576000
2011-09-08,300.0,320.0,300.0,300.0,300.0,43179500
2011-09-09,300.0,310.0,300.0,300.0,300.0,36942500
2011-09-12,300.0,310.0,285.0,300.0,300.0,92291000
2011-09-13,310.0,330.0,300.0,310.0,310.0,133827500
2011-09-14,310.0,320.0,305.0,310.0,310.0,45854500
2011-09-15,295.0,315.0,290.0,295.0,295.0,65547500
2011-09-16,280.0,310.0,275.0,280.0,280.0,58163000
