Date,Open,High,Low,Close,Adj Close,Volume
2014-01-17,400.0,473.0,400.0,411.0,395.257629,16451600
2014-01-20,413.0,419.0,400.0,405.0,389.487427,1641000
2014-01-21,405.0,409.0,405.0,405.0,389.487427,683100
2014-01-22,405.0,407.0,405.0,405.0,389.487427,672600
2014-01-23,405.0,405.0,405.0,405.0,389.487427,540000
2014-01-24,410.0,410.0,405.0,410.0,394.295929,293100
2014-01-27,406.0,406.0,400.0,405.0,389.487427,1115800
2014-01-28,405.0,408.0,401.0,404.0,388.52572599999996,501300
2014-01-29,405.0,406.0,405.0,405.0,389.487427,60000
2014-01-30,405.0,407.0,405.0,405.0,389.487427,400500
2014-02-03,401.0,401.0,400.0,400.0,384.678955,170500
2014-02-04,403.0,404.0,385.0,403.0,387.564056,1761500
2014-02-05,396.0,403.0,395.0,403.0,387.564056,100200
2014-02-06,400.0,400.0,400.0,400.0,384.678955,200
2014-02-07,405.0,405.0,395.0,405.0,389.487427,50200
2014-02-10,400.0,405.0,400.0,405.0,389.487427,100000
2014-02-11,402.0,402.0,400.0,400.0,384.678955,54200
2014-02-12,400.0,401.0,400.0,401.0,385.640656,67800
2014-02-13,400.0,400.0,400.0,400.0,384.678955,8200
2014-02-14,400.0,405.0,400.0,405.0,389.487427,11100
2014-02-17,401.0,401.0,400.0,400.0,384.678955,132200
2014-02-18,400.0,400.0,396.0,396.0,380.832184,307700
2014-02-19,396.0,400.0,396.0,400.0,384.678955,99100
2014-02-20,400.0,400.0,400.0,400.0,384.678955,100000
2014-02-21,396.0,400.0,396.0,400.0,384.678955,126500
2014-02-24,405.0,405.0,400.0,400.0,384.678955,102400
2014-02-25,400.0,400.0,395.0,395.0,379.870453,166400
2014-02-26,395.0,395.0,395.0,395.0,379.870453,74500
2014-02-27,395.0,395.0,395.0,395.0,379.870453,53700
2014-02-28,400.0,400.0,400.0,400.0,384.678955,100000
2014-03-03,400.0,400.0,400.0,400.0,384.678955,102000
2014-03-04,400.0,400.0,400.0,400.0,384.678955,20000
2014-03-05,400.0,400.0,396.0,396.0,380.832184,100100
2014-03-06,396.0,396.0,396.0,396.0,380.832184,0
2014-03-07,400.0,405.0,398.0,405.0,389.487427,480000
2014-03-10,400.0,410.0,400.0,405.0,389.487427,19000
2014-03-11,400.0,400.0,396.0,396.0,380.832184,100400
2014-03-12,400.0,405.0,400.0,405.0,389.487427,122500
2014-03-13,400.0,400.0,400.0,400.0,384.678955,125500
2014-03-14,400.0,400.0,400.0,400.0,384.678955,190500
2014-03-17,400.0,400.0,400.0,400.0,384.678955,200
2014-03-18,400.0,400.0,400.0,400.0,384.678955,35400
2014-03-19,401.0,410.0,401.0,410.0,394.295929,43300
2014-03-20,410.0,410.0,405.0,405.0,389.487427,7000
2014-03-21,405.0,415.0,405.0,415.0,399.104462,4700
2014-03-24,405.0,405.0,405.0,405.0,389.487427,2400
2014-03-25,405.0,405.0,405.0,405.0,389.487427,0
2014-03-26,405.0,405.0,405.0,405.0,389.487427,0
2014-03-27,405.0,420.0,405.0,420.0,403.912933,5000
2014-03-28,405.0,405.0,405.0,405.0,389.487427,21500
2014-04-01,415.0,415.0,401.0,405.0,389.487427,329100
2014-04-02,410.0,410.0,405.0,405.0,389.487427,87500
2014-04-03,410.0,410.0,410.0,410.0,394.295929,5000
2014-04-04,401.0,401.0,401.0,401.0,385.640656,1100
2014-04-07,401.0,415.0,401.0,415.0,399.104462,154400
2014-04-08,401.0,415.0,401.0,415.0,399.104462,5100
2014-04-09,415.0,415.0,415.0,415.0,399.104462,0
2014-04-10,410.0,440.0,410.0,440.0,423.14685099999997,6900
2014-04-11,410.0,420.0,410.0,411.0,395.257629,106100
2014-04-14,415.0,428.0,415.0,428.0,411.606506,25100
2014-04-15,428.0,428.0,428.0,428.0,411.606506,0
2014-04-16,422.0,425.0,422.0,425.0,408.721436,30000
2014-04-17,428.0,428.0,428.0,428.0,411.606506,7600
2014-04-21,410.0,410.0,410.0,410.0,394.295929,506000
2014-04-22,425.0,425.0,425.0,425.0,408.721436,10000
2014-04-23,425.0,425.0,425.0,425.0,408.721436,0
2014-04-24,410.0,425.0,410.0,425.0,408.721436,100000
2014-04-25,428.0,430.0,428.0,430.0,413.529907,25000
2014-04-28,410.0,410.0,401.0,410.0,394.295929,56900
2014-04-29,410.0,410.0,410.0,410.0,394.295929,1500
2014-04-30,420.0,440.0,420.0,440.0,423.14685099999997,145800
2014-05-02,440.0,450.0,440.0,450.0,432.763794,198300
2014-05-05,450.0,450.0,450.0,450.0,432.763794,223000
2014-05-06,440.0,470.0,440.0,455.0,437.572296,332000
2014-05-07,460.0,475.0,450.0,470.0,451.99780300000003,187800
2014-05-08,465.0,465.0,455.0,459.0,441.419098,205900
2014-05-09,450.0,465.0,450.0,465.0,447.189301,185500
2014-05-12,465.0,465.0,460.0,460.0,442.380798,40100
2014-05-13,460.0,485.0,460.0,475.0,456.80627400000003,315100
2014-05-14,470.0,489.0,470.0,487.0,468.346649,452000
2014-05-16,480.0,480.0,480.0,480.0,461.61474599999997,218500
2014-05-19,485.0,487.0,480.0,485.0,466.42324800000006,498800
2014-05-20,480.0,480.0,480.0,480.0,461.61474599999997,110100
2014-05-21,475.0,475.0,475.0,475.0,456.80627400000003,48100
2014-05-22,470.0,470.0,470.0,470.0,451.99780300000003,50000
2014-05-23,490.0,490.0,480.0,490.0,471.23175,170000
2014-05-26,500.0,500.0,490.0,500.0,480.848724,262900
2014-05-28,510.0,510.0,495.0,510.0,490.46569800000003,370000
2014-05-30,495.0,500.0,495.0,495.0,476.04022199999997,55000
2014-06-02,510.0,510.0,500.0,510.0,492.955353,239000
2014-06-03,500.0,500.0,500.0,500.0,483.28955099999996,53400
2014-06-04,500.0,500.0,500.0,500.0,483.28955099999996,61500
2014-06-05,500.0,500.0,500.0,500.0,483.28955099999996,106000
2014-06-06,495.0,500.0,495.0,495.0,478.45666500000004,110000
2014-06-09,490.0,495.0,490.0,490.0,473.623779,20600
2014-06-10,500.0,500.0,490.0,500.0,483.28955099999996,58400
2014-06-11,500.0,500.0,495.0,500.0,483.28955099999996,35700
2014-06-12,500.0,500.0,500.0,500.0,483.28955099999996,60400
2014-06-13,495.0,495.0,495.0,495.0,478.45666500000004,49500
2014-06-16,490.0,495.0,490.0,490.0,473.623779,223000
2014-06-17,495.0,495.0,490.0,495.0,478.45666500000004,290300
2014-06-18,495.0,495.0,495.0,495.0,478.45666500000004,15000
2014-06-19,495.0,495.0,495.0,495.0,478.45666500000004,140000
2014-06-20,495.0,500.0,495.0,495.0,478.45666500000004,20900
2014-06-23,495.0,495.0,495.0,495.0,478.45666500000004,34500
2014-06-24,490.0,490.0,490.0,490.0,473.623779,50000
2014-06-25,490.0,490.0,490.0,490.0,473.623779,50000
2014-06-26,500.0,500.0,490.0,500.0,483.28955099999996,268100
2014-06-27,500.0,500.0,495.0,500.0,483.28955099999996,177100
2014-06-30,495.0,500.0,495.0,495.0,478.45666500000004,35000
2014-07-01,499.0,499.0,495.0,499.0,482.32296799999995,110900
2014-07-02,499.0,499.0,498.0,499.0,482.32296799999995,45000
2014-07-03,495.0,499.0,495.0,495.0,478.45666500000004,72700
2014-07-04,499.0,499.0,490.0,499.0,482.32296799999995,101600
2014-07-07,499.0,499.0,490.0,499.0,482.32296799999995,302000
2014-07-08,490.0,495.0,490.0,490.0,473.623779,12600
2014-07-09,490.0,490.0,490.0,490.0,473.623779,0
2014-07-10,499.0,499.0,494.0,499.0,482.32296799999995,68800
2014-07-11,499.0,499.0,495.0,499.0,482.32296799999995,88400
2014-07-14,495.0,495.0,495.0,495.0,478.45666500000004,57000
2014-07-15,520.0,520.0,495.0,520.0,502.621094,593300
2014-07-16,530.0,530.0,520.0,530.0,512.286926,25600
2014-07-17,530.0,530.0,525.0,530.0,512.286926,59000
2014-07-18,530.0,530.0,520.0,530.0,512.286926,432400
2014-07-21,530.0,530.0,530.0,530.0,512.286926,363000
2014-07-22,520.0,530.0,510.0,520.0,502.621094,47400
2014-07-23,530.0,530.0,530.0,530.0,512.286926,57900
2014-07-24,530.0,530.0,520.0,530.0,512.286926,20300
2014-07-25,530.0,530.0,530.0,530.0,512.286926,0
2014-08-04,530.0,530.0,530.0,530.0,512.286926,17000
2014-08-05,520.0,520.0,500.0,520.0,502.621094,111200
2014-08-06,520.0,520.0,470.0,520.0,502.621094,133200
2014-08-07,530.0,530.0,520.0,530.0,512.286926,22000
2014-08-08,520.0,520.0,520.0,520.0,502.621094,25000
2014-08-11,530.0,540.0,520.0,530.0,512.286926,175000
2014-08-12,520.0,530.0,520.0,520.0,502.621094,190000
2014-08-13,530.0,530.0,520.0,530.0,512.286926,93000
2014-08-14,540.0,540.0,530.0,540.0,521.952698,155000
2014-08-15,550.0,550.0,540.0,550.0,531.61853,151000
2014-08-18,550.0,550.0,550.0,550.0,531.61853,65000
2014-08-19,560.0,560.0,560.0,560.0,541.2843019999999,222100
2014-08-20,560.0,560.0,555.0,560.0,541.2843019999999,77000
2014-08-21,560.0,560.0,555.0,560.0,541.2843019999999,50500
2014-08-22,560.0,560.0,555.0,560.0,541.2843019999999,40300
2014-08-25,555.0,560.0,555.0,555.0,536.451416,90500
2014-08-26,550.0,560.0,550.0,550.0,531.61853,254000
2014-08-27,560.0,560.0,560.0,560.0,541.2843019999999,65000
2014-08-28,560.0,560.0,550.0,560.0,541.2843019999999,128500
2014-08-29,560.0,560.0,560.0,560.0,541.2843019999999,47000
2014-09-01,560.0,560.0,555.0,560.0,541.2843019999999,57500
2014-09-02,560.0,560.0,555.0,560.0,541.2843019999999,217600
2014-09-03,560.0,560.0,560.0,560.0,541.2843019999999,137500
2014-09-04,560.0,560.0,550.0,560.0,541.2843019999999,145100
2014-09-05,560.0,560.0,560.0,560.0,541.2843019999999,46900
2014-09-08,565.0,565.0,560.0,565.0,546.1171879999999,121300
2014-09-09,560.0,565.0,560.0,560.0,541.2843019999999,47500
2014-09-10,550.0,560.0,550.0,550.0,531.61853,58400
2014-09-11,560.0,560.0,560.0,560.0,541.2843019999999,92500
2014-09-12,560.0,560.0,560.0,560.0,541.2843019999999,57000
2014-09-15,560.0,560.0,560.0,560.0,541.2843019999999,65000
2014-09-16,560.0,560.0,560.0,560.0,541.2843019999999,75000
2014-09-17,560.0,560.0,560.0,560.0,541.2843019999999,71800
2014-09-18,560.0,560.0,560.0,560.0,541.2843019999999,20000
