Date,Open,High,Low,Close,Adj Close,Volume
2013-02-20,345.0,345.0,300.0,345.0,310.43060299999996,12339500
2013-02-21,365.0,430.0,345.0,365.0,328.426575,17710000
2013-02-22,330.0,370.0,330.0,330.0,296.93359399999997,3348000
2013-02-25,320.0,350.0,300.0,320.0,287.935608,1418500
2013-02-26,340.0,385.0,325.0,340.0,305.93161000000003,12576500
2013-02-27,330.0,345.0,330.0,330.0,296.93359399999997,570500
2013-02-28,335.0,340.0,330.0,335.0,301.432587,1516000
2013-03-01,345.0,345.0,335.0,345.0,310.43060299999996,1024500
2013-03-04,345.0,400.0,345.0,345.0,310.43060299999996,16461000
2013-03-05,350.0,365.0,345.0,350.0,314.929596,2927000
2013-03-06,355.0,360.0,350.0,355.0,319.428558,1439000
2013-03-07,350.0,370.0,350.0,350.0,314.929596,4384500
2013-03-08,350.0,355.0,350.0,350.0,314.929596,1159000
2013-03-11,355.0,355.0,350.0,355.0,319.428558,740000
2013-03-13,355.0,380.0,350.0,355.0,319.428558,6657000
2013-03-14,345.0,355.0,345.0,345.0,310.43060299999996,386000
2013-03-15,355.0,355.0,345.0,355.0,319.428558,489000
2013-03-18,355.0,370.0,350.0,355.0,319.428558,9153000
2013-03-19,350.0,355.0,345.0,350.0,314.929596,1608500
2013-03-20,345.0,355.0,340.0,345.0,310.43060299999996,769500
2013-03-21,345.0,350.0,340.0,345.0,310.43060299999996,1098000
2013-03-22,335.0,345.0,335.0,335.0,301.432587,636500
2013-03-25,340.0,340.0,335.0,340.0,305.93161000000003,225000
2013-03-26,335.0,345.0,335.0,335.0,301.432587,39000
2013-03-27,345.0,350.0,335.0,345.0,310.43060299999996,884000
2013-03-28,340.0,345.0,340.0,340.0,305.93161000000003,82000
2013-04-01,340.0,355.0,340.0,340.0,305.93161000000003,1390000
2013-04-02,345.0,350.0,340.0,345.0,310.43060299999996,116500
2013-04-03,355.0,355.0,340.0,355.0,319.428558,3
2013-04-04,365.0,365.0,355.0,365.0,328.426575,1399500
2013-04-05,350.0,365.0,350.0,350.0,314.929596,157000
2013-04-08,365.0,370.0,345.0,365.0,328.426575,2362000
2013-04-09,360.0,370.0,360.0,360.0,323.927582,967000
2013-04-10,360.0,375.0,360.0,360.0,323.927582,2094500
2013-04-11,365.0,375.0,360.0,365.0,328.426575,1748000
2013-04-12,360.0,370.0,355.0,360.0,323.927582,315000
2013-04-15,355.0,370.0,355.0,355.0,319.428558,137500
2013-04-16,355.0,355.0,355.0,355.0,319.428558,137500
2013-04-17,365.0,370.0,360.0,365.0,328.426575,1713000
2013-04-18,360.0,360.0,355.0,360.0,323.927582,152500
2013-04-19,355.0,355.0,355.0,355.0,319.428558,135500
2013-04-22,355.0,360.0,355.0,360.0,323.927582,3
2013-04-23,350.0,355.0,350.0,350.0,314.929596,510500
2013-04-24,350.0,355.0,350.0,355.0,319.428558,463500
2013-04-25,350.0,365.0,350.0,360.0,323.927582,600000
2013-04-26,355.0,375.0,355.0,375.0,337.424561,3
2013-04-29,375.0,375.0,355.0,355.0,319.428558,3
2013-04-30,360.0,375.0,350.0,360.0,323.927582,2099500
2013-05-01,360.0,370.0,355.0,360.0,323.927582,655000
2013-05-02,360.0,360.0,360.0,360.0,323.927582,654000
2013-05-03,350.0,355.0,350.0,355.0,319.428558,56000
2013-05-06,350.0,355.0,350.0,355.0,319.428558,22000
2013-05-07,355.0,355.0,350.0,350.0,314.929596,286500
2013-05-08,345.0,365.0,345.0,365.0,328.426575,3
2013-05-10,355.0,355.0,355.0,355.0,319.428558,73000
2013-05-13,350.0,350.0,350.0,350.0,314.929596,500
2013-05-14,350.0,350.0,350.0,350.0,314.929596,274500
2013-05-15,345.0,350.0,345.0,350.0,314.929596,13000
2013-05-16,355.0,365.0,355.0,365.0,328.426575,239000
2013-05-17,365.0,365.0,350.0,350.0,314.929596,592500
2013-05-20,355.0,355.0,345.0,345.0,310.43060299999996,226000
2013-05-21,350.0,355.0,350.0,355.0,319.428558,2500
2013-05-22,345.0,350.0,345.0,350.0,314.929596,51500
2013-05-23,350.0,350.0,345.0,345.0,310.43060299999996,108500
2013-05-24,345.0,350.0,345.0,350.0,314.929596,22500
2013-05-27,345.0,355.0,345.0,355.0,319.428558,54000
2013-05-28,350.0,360.0,345.0,360.0,323.927582,482000
2013-05-29,360.0,360.0,360.0,360.0,323.927582,482000
2013-05-30,345.0,370.0,345.0,345.0,310.43060299999996,2572000
2013-05-31,350.0,355.0,345.0,345.0,310.43060299999996,88500
2013-06-03,340.0,340.0,340.0,340.0,305.93161000000003,729000
2013-06-04,355.0,355.0,345.0,345.0,310.43060299999996,17000
2013-06-05,350.0,355.0,340.0,355.0,319.428558,31500
2013-06-07,355.0,355.0,355.0,355.0,319.428558,500
2013-06-10,355.0,360.0,340.0,345.0,310.43060299999996,2081500
2013-06-11,335.0,340.0,310.0,340.0,305.93161000000003,1371000
2013-06-12,300.0,330.0,300.0,330.0,296.93359399999997,3
2013-06-13,295.0,295.0,295.0,295.0,265.440643,9500
2013-06-14,290.0,290.0,290.0,290.0,260.941681,36000
2013-06-17,290.0,295.0,290.0,295.0,265.440643,342500
2013-06-18,295.0,300.0,295.0,300.0,269.939636,6500
2013-06-19,290.0,305.0,290.0,305.0,274.43866,41000
2013-06-20,310.0,320.0,310.0,320.0,287.935608,5500
2013-06-21,320.0,320.0,320.0,320.0,287.935608,5500
