Date,Open,High,Low,Close,Adj Close,Volume
2018-07-02,2000.0,2000.0,2000.0,2000.0,2000.0,0
2018-07-03,2000.0,2000.0,2000.0,2000.0,2000.0,0
2018-07-04,2000.0,2000.0,2000.0,2000.0,2000.0,0
2018-07-05,2000.0,2000.0,2000.0,2000.0,2000.0,0
2018-07-06,2000.0,2000.0,2000.0,2000.0,2000.0,0
2018-07-09,2000.0,2000.0,2000.0,2000.0,2000.0,0
2018-07-10,2000.0,2000.0,2000.0,2000.0,2000.0,0
2018-07-11,2000.0,2000.0,2000.0,2000.0,2000.0,0
2018-07-12,2000.0,2000.0,2000.0,2000.0,2000.0,0
2018-07-13,2000.0,2000.0,2000.0,2000.0,2000.0,0
2018-07-16,2000.0,2000.0,2000.0,2000.0,2000.0,0
2018-07-17,2000.0,2000.0,2000.0,2000.0,2000.0,0
2018-07-18,1600.0,1600.0,1420.0,1420.0,1420.0,16700
2018-07-19,1420.0,1420.0,1065.0,1065.0,1065.0,23600
2018-07-20,850.0,860.0,800.0,800.0,800.0,20100
2018-07-23,800.0,800.0,600.0,605.0,605.0,42000
2018-07-24,600.0,665.0,590.0,635.0,635.0,27700
2018-07-25,635.0,750.0,635.0,655.0,655.0,47600
2018-07-26,660.0,705.0,605.0,680.0,680.0,74400
2018-07-27,680.0,775.0,660.0,685.0,685.0,5200
2018-07-30,725.0,745.0,630.0,635.0,635.0,43800
2018-07-31,630.0,635.0,595.0,595.0,595.0,1500
2018-08-01,595.0,655.0,595.0,620.0,620.0,5700
2018-08-02,575.0,610.0,575.0,575.0,575.0,30300
2018-08-03,575.0,580.0,575.0,580.0,580.0,5800
2018-08-06,580.0,580.0,525.0,550.0,550.0,3700
2018-08-07,550.0,550.0,505.0,505.0,505.0,14500
2018-08-08,505.0,590.0,442.0,590.0,590.0,10000
2018-08-09,565.0,565.0,480.0,484.0,484.0,14500
2018-08-10,486.0,490.0,462.0,462.0,462.0,12700
2018-08-13,464.0,464.0,430.0,450.0,450.0,5500
2018-08-14,446.0,446.0,432.0,432.0,432.0,26300
2018-08-15,448.0,448.0,432.0,432.0,432.0,200
2018-08-16,450.0,450.0,394.0,402.0,402.0,9800
2018-08-17,402.0,402.0,402.0,402.0,402.0,0
2018-08-20,412.0,448.0,368.0,372.0,372.0,24700
2018-08-21,372.0,400.0,370.0,370.0,370.0,11300
2018-08-22,370.0,370.0,370.0,370.0,370.0,0
2018-08-23,372.0,372.0,372.0,372.0,372.0,3500
2018-08-24,370.0,370.0,280.0,316.0,316.0,9700
2018-08-27,316.0,316.0,242.0,256.0,256.0,428500
2018-08-28,256.0,264.0,250.0,250.0,250.0,23500
2018-08-29,250.0,250.0,234.0,248.0,248.0,8400
2018-08-30,248.0,250.0,234.0,236.0,236.0,10700
2018-08-31,234.0,236.0,214.0,222.0,222.0,4600
2018-09-03,222.0,224.0,216.0,224.0,224.0,3000
2018-09-04,224.0,246.0,220.0,222.0,222.0,700
2018-09-05,222.0,222.0,199.0,200.0,200.0,5700
2018-09-06,200.0,260.0,182.0,248.0,248.0,13500
2018-09-07,248.0,258.0,206.0,222.0,222.0,14300
2018-09-10,214.0,236.0,214.0,220.0,220.0,8900
2018-09-11,220.0,220.0,220.0,220.0,220.0,0
2018-09-12,220.0,236.0,204.0,214.0,214.0,4100
2018-09-13,181.0,214.0,181.0,210.0,210.0,18300
2018-09-14,220.0,262.0,185.0,212.0,212.0,13800
2018-09-17,212.0,230.0,204.0,206.0,206.0,29100
2018-09-18,220.0,220.0,200.0,200.0,200.0,5300
2018-09-19,200.0,200.0,183.0,187.0,187.0,2400
2018-09-20,190.0,190.0,190.0,190.0,190.0,2100
2018-09-21,190.0,190.0,190.0,190.0,190.0,0
2018-09-24,190.0,190.0,190.0,190.0,190.0,900
2018-09-25,190.0,190.0,190.0,190.0,190.0,1000
2018-09-26,190.0,238.0,190.0,238.0,238.0,600
2018-09-27,212.0,228.0,202.0,222.0,222.0,4300
2018-09-28,210.0,222.0,204.0,214.0,214.0,16500
2018-10-01,246.0,246.0,220.0,222.0,222.0,1000
2018-10-02,222.0,222.0,222.0,222.0,222.0,0
2018-10-03,222.0,222.0,222.0,222.0,222.0,100
2018-10-04,222.0,222.0,186.0,186.0,186.0,1600
2018-10-05,186.0,186.0,186.0,186.0,186.0,0
2018-10-08,212.0,212.0,210.0,210.0,210.0,6500
2018-10-09,210.0,210.0,210.0,210.0,210.0,200
2018-10-10,208.0,248.0,204.0,204.0,204.0,15600
2018-10-11,210.0,210.0,198.0,204.0,204.0,14100
2018-10-12,202.0,202.0,202.0,202.0,202.0,1700
