Date,Open,High,Low,Close,Adj Close,Volume
2000-10-10,100.0,105.0,95.0,105.0,65.883438,2853500
2000-10-11,100.0,100.0,95.0,100.0,62.746124,5462000
2000-10-12,95.0,95.0,95.0,95.0,59.60880699999999,3740500
2000-10-13,90.0,95.0,90.0,95.0,59.60880699999999,1601000
2000-10-16,95.0,95.0,95.0,95.0,59.60880699999999,0
2000-10-17,100.0,105.0,95.0,100.0,62.746124,6389500
2000-10-18,95.0,100.0,95.0,100.0,62.746124,3771000
2000-10-19,95.0,95.0,90.0,95.0,59.60880699999999,2139000
2000-10-20,95.0,95.0,90.0,95.0,59.60880699999999,2478000
2000-10-23,90.0,95.0,90.0,95.0,59.60880699999999,2477500
2000-10-24,90.0,95.0,90.0,95.0,59.60880699999999,446000
2000-10-25,95.0,95.0,95.0,95.0,59.60880699999999,0
2000-10-26,90.0,90.0,90.0,90.0,56.471512,1286500
2000-10-27,90.0,90.0,90.0,90.0,56.471512,0
2000-10-30,85.0,90.0,85.0,90.0,56.471512,80000
2000-10-31,85.0,90.0,85.0,90.0,56.471512,2959500
2000-11-01,85.0,90.0,85.0,90.0,56.471512,484500
2000-11-02,85.0,90.0,80.0,90.0,56.471512,495500
2000-11-03,85.0,90.0,85.0,90.0,56.471512,90000
2000-11-06,85.0,90.0,85.0,90.0,56.471512,285000
2000-11-07,85.0,85.0,80.0,85.0,53.334202000000005,688500
2000-11-08,85.0,90.0,85.0,90.0,56.471512,280500
2000-11-09,85.0,90.0,85.0,90.0,56.471512,182000
2000-11-10,85.0,95.0,85.0,95.0,59.60880699999999,3791500
2000-11-13,90.0,90.0,85.0,90.0,56.471512,217000
2000-11-14,85.0,90.0,85.0,90.0,56.471512,822500
2000-11-15,85.0,90.0,85.0,90.0,56.471512,895000
2000-11-16,85.0,90.0,80.0,90.0,56.471512,1969500
2000-11-17,85.0,90.0,85.0,90.0,56.471512,26500
2000-11-20,85.0,90.0,85.0,90.0,56.471512,453000
2000-11-21,85.0,100.0,85.0,95.0,59.60880699999999,5818500
2000-11-22,95.0,95.0,95.0,95.0,59.60880699999999,1338000
2000-11-23,95.0,95.0,90.0,95.0,59.60880699999999,575500
2000-11-24,90.0,95.0,90.0,95.0,59.60880699999999,270000
2000-11-27,90.0,95.0,90.0,95.0,59.60880699999999,562500
2000-11-28,90.0,95.0,90.0,95.0,59.60880699999999,564000
2000-11-29,90.0,95.0,90.0,95.0,59.60880699999999,160500
2000-11-30,90.0,90.0,85.0,90.0,56.471512,3707000
2000-12-01,85.0,90.0,85.0,90.0,56.471512,65500
2000-12-04,85.0,90.0,85.0,90.0,56.471512,2608500
2000-12-05,90.0,90.0,90.0,90.0,56.471512,9000
2000-12-06,90.0,90.0,85.0,90.0,56.471512,75500
2000-12-07,85.0,90.0,85.0,90.0,56.471512,521000
2000-12-08,85.0,90.0,85.0,90.0,56.471512,1372000
2000-12-11,85.0,90.0,85.0,90.0,56.471512,302000
2000-12-12,85.0,90.0,85.0,90.0,56.471512,403000
2000-12-13,85.0,90.0,85.0,90.0,56.471512,616000
2000-12-14,85.0,85.0,85.0,85.0,53.334202000000005,254500
2000-12-15,85.0,85.0,80.0,85.0,53.334202000000005,48000
2000-12-18,80.0,85.0,80.0,85.0,53.334202000000005,33000
2000-12-19,80.0,85.0,80.0,85.0,53.334202000000005,278000
2000-12-20,85.0,85.0,85.0,85.0,53.334202000000005,1000
2000-12-21,60.0,85.0,60.0,85.0,53.334202000000005,557500
2000-12-22,75.0,85.0,75.0,85.0,53.334202000000005,451000
2001-01-02,75.0,80.0,75.0,80.0,50.196896,531500
2001-01-03,75.0,80.0,75.0,80.0,50.196896,880000
2001-01-04,75.0,75.0,75.0,75.0,47.059589,456000
2001-01-05,75.0,80.0,75.0,80.0,50.196896,531000
2001-01-08,75.0,80.0,75.0,80.0,50.196896,597000
2001-01-09,75.0,80.0,75.0,80.0,50.196896,11000
2001-01-10,75.0,80.0,75.0,80.0,50.196896,324500
2001-01-11,75.0,80.0,75.0,80.0,50.196896,696000
2001-01-12,75.0,80.0,75.0,80.0,50.196896,193500
2001-01-15,75.0,80.0,75.0,80.0,50.196896,60500
2001-01-16,75.0,80.0,75.0,80.0,50.196896,289000
2001-01-17,75.0,80.0,70.0,80.0,50.196896,296000
2001-01-18,80.0,80.0,75.0,80.0,50.196896,2093500
2001-01-19,75.0,80.0,75.0,80.0,50.196896,669500
2001-01-22,80.0,85.0,75.0,85.0,53.334202000000005,1015500
2001-01-23,80.0,85.0,80.0,85.0,53.334202000000005,153500
2001-01-24,80.0,85.0,80.0,85.0,53.334202000000005,7000
2001-01-25,80.0,80.0,80.0,80.0,50.196896,5500
2001-01-26,80.0,80.0,80.0,80.0,50.196896,41500
2001-01-29,75.0,80.0,75.0,80.0,50.196896,264000
2001-01-30,75.0,80.0,75.0,80.0,50.196896,760500
2001-01-31,80.0,80.0,75.0,80.0,50.196896,245000
2001-02-01,75.0,80.0,75.0,80.0,50.196896,167500
