Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,62.5,62.5,62.5,62.5,52.045162,0
2005-09-30,62.5,62.5,62.5,62.5,52.045162,0
2005-10-03,62.5,62.5,62.5,62.5,52.045162,20000
2005-10-04,63.75,63.75,63.75,63.75,53.086063,100000
2005-10-05,63.75,63.75,63.75,63.75,53.086063,0
2005-10-06,67.5,67.5,67.5,67.5,56.208771,100000
2005-10-07,67.5,67.5,67.5,67.5,56.208771,0
2005-10-10,67.5,67.5,67.5,67.5,56.208771,0
2005-10-11,67.5,67.5,67.5,67.5,56.208771,0
2005-10-12,67.5,67.5,67.5,67.5,56.208771,0
2005-10-13,67.5,67.5,67.5,67.5,56.208771,0
2005-10-14,67.5,67.5,67.5,67.5,56.208771,0
2005-10-18,67.5,67.5,67.5,67.5,56.208771,0
2005-10-19,67.5,67.5,67.5,67.5,56.208771,0
2005-10-21,63.75,63.75,62.5,63.75,53.086063,112000
2005-10-24,63.75,63.75,63.75,63.75,53.086063,0
2005-10-26,63.75,63.75,63.75,63.75,53.086063,0
2005-10-27,63.75,63.75,63.75,63.75,53.086063,0
2005-10-28,63.75,63.75,63.75,63.75,53.086063,0
2005-10-31,63.75,63.75,63.75,63.75,53.086063,0
2005-11-01,63.75,63.75,63.75,63.75,53.086063,0
2005-11-10,63.75,63.75,63.75,63.75,53.086063,600000
2005-11-11,63.75,63.75,63.75,63.75,53.086063,400000
2005-11-14,63.75,63.75,63.75,63.75,53.086063,0
2005-11-15,63.75,63.75,63.75,63.75,53.086063,0
2005-11-16,63.75,63.75,63.75,63.75,53.086063,0
2005-11-17,63.75,63.75,63.75,63.75,53.086063,100000
2005-11-18,63.75,63.75,63.75,63.75,53.086063,200000
2005-11-21,63.75,63.75,63.75,63.75,53.086063,0
2005-11-22,63.75,63.75,63.75,63.75,53.086063,0
2005-11-23,63.75,63.75,63.75,63.75,53.086063,0
2005-11-24,63.75,63.75,63.75,63.75,53.086063,0
2005-11-25,62.5,62.5,62.5,62.5,52.045162,300000
2005-11-28,62.5,62.5,62.5,62.5,52.045162,180000
2005-11-29,62.5,62.5,62.5,62.5,52.045162,0
2005-11-30,62.5,62.5,62.5,62.5,52.045162,0
2005-12-01,62.5,62.5,62.5,62.5,52.045162,0
2005-12-02,62.5,62.5,62.5,62.5,52.045162,0
2005-12-05,60.0,65.0,60.0,60.0,49.963356,256000
2005-12-06,62.5,63.75,62.5,62.5,52.045162,788000
2005-12-07,63.75,66.25,62.5,63.75,53.086063,682000
2005-12-08,66.25,68.75,62.5,66.25,55.16786999999999,184000
2005-12-09,66.25,66.25,66.25,66.25,55.16786999999999,0
2005-12-12,66.25,66.25,66.25,66.25,55.16786999999999,0
2005-12-13,62.5,62.5,62.5,62.5,52.045162,10000
2005-12-14,62.5,62.5,62.5,62.5,52.045162,460000
2005-12-15,62.5,62.5,62.5,62.5,52.045162,300000
2005-12-16,62.5,62.5,62.5,62.5,52.045162,0
2005-12-19,62.5,62.5,62.5,62.5,52.045162,0
2005-12-20,61.25,61.25,61.25,61.25,51.004253000000006,50000
2005-12-21,65.0,65.0,62.5,65.0,54.126968000000005,380000
2005-12-22,65.0,65.0,65.0,65.0,54.126968000000005,0
2005-12-23,65.0,65.0,65.0,65.0,54.126968000000005,0
2005-12-27,62.5,62.5,62.5,62.5,52.045162,620000
2005-12-28,68.75,70.0,65.0,68.75,57.249672,6144000
2005-12-29,77.5,77.5,70.0,77.5,64.53600300000001,14046000
2006-01-02,76.25,77.5,76.25,76.25,63.495093999999995,2458000
2006-01-03,75.0,76.25,75.0,75.0,62.454193000000004,1120000
2006-01-04,72.5,75.0,72.5,72.5,60.372386999999996,330000
2006-01-05,72.5,72.5,72.5,72.5,60.372386999999996,300000
2006-01-06,67.5,67.5,67.5,67.5,56.208771,20000
2006-01-09,71.25,71.25,65.0,71.25,59.331481999999994,82000
2006-01-11,71.25,71.25,71.25,71.25,59.331481999999994,0
2006-01-12,71.25,71.25,71.25,71.25,59.331481999999994,0
2006-01-13,72.5,72.5,72.5,72.5,60.372386999999996,200000
2006-01-16,67.5,67.5,67.5,67.5,56.208771,40000
2006-01-17,67.5,67.5,67.5,67.5,56.208771,0
2006-01-18,65.0,68.75,62.5,65.0,54.126968000000005,230000
2006-01-19,66.25,68.75,65.0,66.25,55.16786999999999,130000
2006-01-20,66.25,66.25,66.25,66.25,55.16786999999999,0
2006-01-23,65.0,65.0,63.75,65.0,54.126968000000005,60000
2006-01-24,67.5,67.5,67.5,67.5,56.208771,20000
2006-01-25,63.75,63.75,63.75,63.75,53.086063,20000
2006-01-26,66.25,70.0,62.5,66.25,55.16786999999999,910000
2006-01-27,67.5,67.5,67.5,67.5,56.208771,160000
2006-01-30,67.5,67.5,66.25,67.5,56.208771,112000
2006-02-01,66.25,66.25,66.25,66.25,55.16786999999999,20000
2006-02-02,67.5,67.5,67.5,67.5,56.208771,200000
2006-02-03,66.25,66.25,66.25,66.25,55.16786999999999,220000
2006-02-06,68.75,70.0,68.75,68.75,57.249672,700000
2006-02-07,68.75,68.75,68.75,68.75,57.249672,0
2006-02-08,67.5,67.5,66.25,67.5,56.208771,540000
2006-02-09,67.5,67.5,67.5,67.5,56.208771,0
2006-02-10,65.0,66.25,65.0,65.0,54.126968000000005,100000
2006-02-13,66.25,66.25,66.25,66.25,55.16786999999999,50000
2006-02-14,66.25,66.25,66.25,66.25,55.16786999999999,0
2006-02-15,65.0,65.0,62.5,65.0,54.126968000000005,52000
2006-02-16,65.0,65.0,62.5,65.0,54.126968000000005,422000
2006-02-17,65.0,65.0,65.0,65.0,54.126968000000005,0
2006-02-20,65.0,65.0,65.0,65.0,54.126968000000005,30000
2006-02-21,65.0,65.0,65.0,65.0,54.126968000000005,0
2006-02-22,65.0,65.0,65.0,65.0,54.126968000000005,30000
2006-02-23,65.0,65.0,65.0,65.0,54.126968000000005,0
2006-02-24,63.75,63.75,62.5,63.75,53.086063,268000
2006-02-27,63.75,63.75,63.75,63.75,53.086063,0
2006-02-28,63.75,63.75,63.75,63.75,53.086063,0
2006-03-01,63.75,63.75,63.75,63.75,53.086063,0
2006-03-02,63.75,63.75,63.75,63.75,53.086063,20000
2006-03-03,65.0,65.0,63.75,65.0,54.126968000000005,492000
2006-03-06,63.75,63.75,63.75,63.75,53.086063,0
2006-03-07,65.0,65.0,65.0,65.0,54.126968000000005,100000
2006-03-08,62.5,62.5,62.5,62.5,52.045162,200000
2006-03-09,62.5,65.0,62.5,62.5,52.045162,210000
2006-03-10,63.75,63.75,63.75,63.75,53.086063,10000
2006-03-13,63.75,63.75,63.75,63.75,53.086063,38000
2006-03-14,63.75,65.0,63.75,63.75,53.086063,42000
2006-03-15,63.75,65.0,65.0,65.0,54.126968000000005,20000
