Date,Open,High,Low,Close,Adj Close,Volume
2017-10-16,47.599998,47.599998,47.599998,47.599998,47.599998,2000
2017-10-17,59.200001,59.200001,59.200001,59.200001,59.200001,500500
2017-10-18,74.0,74.0,74.0,74.0,74.0,317500
2017-10-19,92.400002,92.400002,92.400002,92.400002,92.400002,1777500
2017-10-20,115.0,115.0,115.0,115.0,115.0,26540000
2017-10-23,143.0,143.0,143.0,143.0,143.0,33366000
2017-10-24,157.0,178.0,157.0,178.0,178.0,22057000
2017-10-25,200.0,222.0,200.0,222.0,222.0,28584000
2017-10-26,222.0,222.0,222.0,222.0,222.0,0
2017-10-27,223.0,277.0,167.0,277.0,277.0,90640500
2017-10-30,280.0,346.0,280.0,346.0,346.0,106349000
2017-10-31,346.0,346.0,346.0,346.0,346.0,0
2017-11-01,346.0,346.0,346.0,346.0,346.0,0
2017-11-02,346.0,346.0,346.0,346.0,346.0,0
2017-11-03,346.0,346.0,346.0,346.0,346.0,0
2017-11-06,346.0,346.0,346.0,346.0,346.0,0
2017-11-07,335.0,351.0,334.0,334.0,334.0,71078000
2017-11-08,335.0,335.0,251.0,277.0,277.0,29817500
2017-11-09,268.0,283.0,251.0,266.0,266.0,4504000
2017-11-10,266.0,269.0,255.0,262.0,262.0,3654500
2017-11-13,262.0,297.0,262.0,296.0,296.0,65140000
2017-11-14,296.0,308.0,282.0,305.0,305.0,64168500
2017-11-15,305.0,308.0,298.0,298.0,298.0,22985000
2017-11-16,297.0,303.0,297.0,297.0,297.0,20250000
2017-11-17,299.0,302.0,298.0,298.0,298.0,12618000
2017-11-20,297.0,298.0,266.0,270.0,270.0,19866500
2017-11-21,270.0,270.0,252.0,253.0,253.0,25088500
2017-11-22,253.0,261.0,252.0,255.0,255.0,28483000
2017-11-23,255.0,256.0,237.0,237.0,237.0,41025000
2017-11-24,237.0,238.0,209.0,213.0,213.0,16397000
2017-11-27,213.0,215.0,204.0,204.0,204.0,50028000
2017-11-28,204.0,225.0,199.0,223.0,223.0,159753000
2017-11-29,224.0,248.0,223.0,246.0,246.0,169090500
2017-11-30,246.0,254.0,240.0,252.0,252.0,221242000
2017-12-01,252.0,252.0,252.0,252.0,252.0,0
2017-12-04,252.0,257.0,246.0,253.0,253.0,238332500
2017-12-05,253.0,254.0,250.0,251.0,251.0,37063500
2017-12-06,251.0,260.0,250.0,258.0,258.0,166234000
2017-12-07,258.0,259.0,252.0,256.0,256.0,140246500
2017-12-08,255.0,260.0,250.0,254.0,254.0,126804500
2017-12-11,254.0,271.0,253.0,263.0,263.0,362106500
2017-12-12,264.0,268.0,261.0,263.0,263.0,179374500
2017-12-13,264.0,266.0,261.0,263.0,263.0,106396000
2017-12-14,263.0,268.0,262.0,263.0,263.0,112180000
2017-12-15,263.0,270.0,263.0,268.0,268.0,75526000
2017-12-18,268.0,271.0,265.0,270.0,270.0,130309500
2017-12-19,270.0,282.0,270.0,281.0,281.0,185619500
2017-12-20,282.0,286.0,281.0,284.0,284.0,88430000
2017-12-21,285.0,286.0,283.0,285.0,285.0,133386000
2017-12-22,286.0,289.0,285.0,288.0,288.0,156844500
2017-12-25,288.0,288.0,288.0,288.0,288.0,0
2017-12-26,288.0,288.0,288.0,288.0,288.0,0
2017-12-27,289.0,295.0,288.0,295.0,295.0,108132000
2017-12-28,295.0,298.0,293.0,297.0,297.0,124053500
2017-12-29,297.0,299.0,297.0,298.0,298.0,82862000
2018-01-01,298.0,298.0,298.0,298.0,298.0,0
2018-01-02,298.0,299.0,297.0,297.0,297.0,58259500
2018-01-03,296.0,297.0,293.0,293.0,293.0,77125000
2018-01-04,292.0,303.0,292.0,303.0,303.0,270004000
2018-01-05,303.0,312.0,302.0,312.0,312.0,155613500
2018-01-08,312.0,315.0,311.0,313.0,313.0,73589000
2018-01-09,313.0,315.0,309.0,311.0,311.0,100540000
2018-01-10,311.0,312.0,297.0,300.0,300.0,133795500
2018-01-11,300.0,311.0,299.0,311.0,311.0,146754000
2018-01-12,311.0,320.0,311.0,320.0,320.0,264186000
2018-01-15,320.0,320.0,318.0,318.0,318.0,80671000
2018-01-16,318.0,340.0,317.0,339.0,339.0,361952000
2018-01-17,340.0,340.0,328.0,340.0,340.0,361878000
2018-01-18,340.0,341.0,336.0,340.0,340.0,147578500
2018-01-19,340.0,342.0,338.0,340.0,340.0,142312000
2018-01-22,341.0,342.0,337.0,339.0,339.0,105490500
2018-01-23,339.0,347.0,338.0,343.0,343.0,231088000
2018-01-24,344.0,346.0,341.0,343.0,343.0,131166500
2018-01-25,343.0,351.0,342.0,350.0,350.0,278667500
2018-01-26,350.0,354.0,350.0,353.0,353.0,154163000
2018-01-29,354.0,358.0,354.0,357.0,357.0,89173500
2018-01-30,357.0,357.0,354.0,356.0,356.0,36015500
2018-01-31,354.0,354.0,348.0,352.0,352.0,83342000
2018-02-01,352.0,354.0,350.0,352.0,352.0,59027500
2018-02-02,352.0,353.0,351.0,352.0,352.0,30191000
2018-02-05,351.0,352.0,350.0,351.0,351.0,49417500
2018-02-06,350.0,352.0,348.0,351.0,351.0,51966000
2018-02-07,351.0,355.0,350.0,353.0,353.0,66332000
2018-02-08,353.0,354.0,350.0,352.0,352.0,44299000
2018-02-09,352.0,352.0,348.0,350.0,350.0,56777500
2018-02-12,350.0,354.0,350.0,354.0,354.0,51404500
2018-02-13,354.0,357.0,354.0,355.0,355.0,49666000
2018-02-14,354.0,356.0,352.0,355.0,355.0,65567000
2018-02-15,353.0,357.0,349.0,354.0,354.0,88862500
2018-02-16,354.0,354.0,354.0,354.0,354.0,0
