Date,Open,High,Low,Close,Adj Close,Volume
2015-08-12,145.0,170.0,124.0,129.0,129.0,56893200
2015-08-13,129.0,129.0,115.0,125.0,125.0,21559100
2015-08-14,124.0,125.0,118.0,125.0,125.0,10316600
2015-08-18,124.0,124.0,122.0,124.0,124.0,2182700
2015-08-19,124.0,125.0,122.0,125.0,125.0,8080800
2015-08-20,124.0,124.0,123.0,124.0,124.0,1360200
2015-08-21,124.0,125.0,122.0,125.0,125.0,1329400
2015-08-24,124.0,124.0,117.0,120.0,120.0,4365400
2015-08-25,120.0,120.0,116.0,116.0,116.0,561700
2015-08-26,115.0,116.0,115.0,115.0,115.0,381000
2015-08-27,116.0,127.0,115.0,118.0,118.0,678400
2015-08-28,118.0,118.0,118.0,118.0,118.0,40100
2015-08-31,118.0,118.0,117.0,117.0,117.0,217800
2015-09-01,117.0,117.0,117.0,117.0,117.0,1600
2015-09-02,116.0,117.0,113.0,115.0,115.0,1262200
2015-09-03,115.0,115.0,114.0,114.0,114.0,98600
2015-09-04,114.0,117.0,114.0,117.0,117.0,647200
2015-09-07,116.0,116.0,115.0,115.0,115.0,239600
2015-09-08,115.0,116.0,114.0,116.0,116.0,257900
2015-09-09,117.0,118.0,116.0,118.0,118.0,287300
2015-09-10,117.0,119.0,117.0,119.0,119.0,420700
2015-09-11,118.0,120.0,117.0,120.0,120.0,601600
2015-09-14,119.0,121.0,119.0,121.0,121.0,396500
2015-09-15,121.0,121.0,118.0,121.0,121.0,668900
2015-09-16,121.0,122.0,121.0,122.0,122.0,1200
2015-09-17,121.0,121.0,121.0,121.0,121.0,109800
2015-09-18,120.0,120.0,119.0,120.0,120.0,1174800
2015-09-21,120.0,120.0,120.0,120.0,120.0,0
2015-09-22,118.0,118.0,118.0,118.0,118.0,23400
2015-09-23,118.0,118.0,118.0,118.0,118.0,90900
2015-09-25,118.0,118.0,117.0,117.0,117.0,104700
2015-09-28,117.0,117.0,117.0,117.0,117.0,115800
2015-09-29,117.0,120.0,116.0,116.0,116.0,423500
2015-09-30,116.0,117.0,115.0,115.0,115.0,677600
2015-10-01,114.0,117.0,114.0,114.0,114.0,458400
2015-10-02,114.0,116.0,114.0,116.0,116.0,271100
2015-10-05,115.0,117.0,115.0,115.0,115.0,555400
2015-10-06,116.0,118.0,116.0,117.0,117.0,434800
2015-10-07,116.0,118.0,116.0,117.0,117.0,442700
2015-10-08,117.0,118.0,117.0,118.0,118.0,628500
2015-10-09,118.0,120.0,118.0,118.0,118.0,644500
2015-10-12,118.0,119.0,116.0,116.0,116.0,695700
2015-10-13,117.0,118.0,116.0,116.0,116.0,522100
2015-10-15,116.0,116.0,116.0,116.0,116.0,100
2015-10-16,116.0,116.0,116.0,116.0,116.0,100
2015-10-19,115.0,115.0,110.0,110.0,110.0,60200
2015-10-20,116.0,116.0,106.0,108.0,108.0,11500
2015-10-21,108.0,118.0,98.0,99.0,99.0,194500
2015-10-22,99.0,100.0,90.0,90.0,90.0,403600
2015-10-23,93.0,95.0,81.0,81.0,81.0,296500
2015-10-26,87.0,100.0,74.0,100.0,100.0,1029000
2015-10-27,96.0,100.0,92.0,92.0,92.0,605100
2015-10-28,100.0,104.0,100.0,100.0,100.0,527100
2015-10-29,100.0,103.0,99.0,102.0,102.0,639100
2015-10-30,100.0,102.0,100.0,102.0,102.0,505700
2015-11-02,101.0,105.0,100.0,104.0,104.0,526800
2015-11-03,102.0,103.0,101.0,101.0,101.0,478500
