Date,Open,High,Low,Close,Adj Close,Volume
2013-01-09,230.0,280.0,200.0,230.0,230.0,82460500
2013-01-10,210.0,225.0,205.0,210.0,210.0,9988500
2013-01-11,199.0,205.0,197.0,199.0,199.0,11892000
2013-01-14,195.0,200.0,191.0,195.0,195.0,5896500
2013-01-15,191.0,194.0,190.0,191.0,191.0,2386000
2013-01-16,189.0,191.0,183.0,189.0,189.0,5638500
2013-01-17,186.0,188.0,184.0,186.0,186.0,1974500
2013-01-18,190.0,192.0,184.0,190.0,190.0,1548000
2013-01-21,200.0,205.0,190.0,200.0,200.0,4036500
2013-01-22,199.0,205.0,199.0,199.0,199.0,865500
2013-01-23,199.0,200.0,198.0,199.0,199.0,572500
2013-01-25,199.0,200.0,198.0,199.0,199.0,495000
2013-01-28,200.0,205.0,198.0,200.0,200.0,1032500
2013-01-29,205.0,205.0,197.0,205.0,205.0,782000
2013-01-30,200.0,200.0,199.0,200.0,200.0,826000
2013-01-31,200.0,205.0,199.0,200.0,200.0,1693000
2013-02-01,200.0,200.0,199.0,200.0,200.0,271000
2013-02-04,200.0,200.0,198.0,200.0,200.0,606500
2013-02-05,200.0,200.0,198.0,200.0,200.0,111000
2013-02-06,200.0,200.0,198.0,200.0,200.0,744000
2013-02-07,200.0,200.0,198.0,200.0,200.0,1363000
2013-02-08,199.0,200.0,199.0,199.0,199.0,435500
2013-02-11,199.0,199.0,198.0,199.0,199.0,712500
2013-02-12,200.0,200.0,198.0,200.0,200.0,1664500
2013-02-13,200.0,200.0,199.0,200.0,200.0,520000
2013-02-14,200.0,205.0,200.0,200.0,200.0,776500
2013-02-15,200.0,205.0,200.0,200.0,200.0,62500
2013-02-18,205.0,210.0,199.0,205.0,205.0,1269500
2013-02-19,200.0,205.0,200.0,200.0,200.0,700000
2013-02-20,200.0,200.0,197.0,200.0,200.0,548000
2013-02-21,205.0,205.0,199.0,205.0,205.0,1271000
2013-02-22,200.0,210.0,200.0,200.0,200.0,30500
2013-02-25,205.0,205.0,199.0,205.0,205.0,1076000
2013-02-26,200.0,205.0,200.0,200.0,200.0,125500
2013-02-27,198.0,200.0,198.0,198.0,198.0,157500
2013-02-28,200.0,200.0,198.0,200.0,200.0,290000
2013-03-01,200.0,200.0,198.0,200.0,200.0,472500
2013-03-04,200.0,200.0,200.0,200.0,200.0,0
2013-03-05,200.0,200.0,198.0,200.0,200.0,337500
2013-03-06,200.0,200.0,198.0,200.0,200.0,308500
2013-03-07,199.0,199.0,197.0,199.0,199.0,473500
2013-03-08,198.0,198.0,197.0,198.0,198.0,2741000
2013-03-11,200.0,200.0,195.0,200.0,200.0,1424000
2013-03-13,197.0,198.0,197.0,197.0,197.0,8500
2013-03-14,197.0,197.0,195.0,197.0,197.0,354500
2013-03-15,197.0,205.0,197.0,197.0,197.0,681500
2013-03-18,197.0,197.0,197.0,197.0,197.0,2500
2013-03-19,196.0,200.0,195.0,196.0,196.0,104500
2013-03-20,195.0,195.0,194.0,195.0,195.0,246500
2013-03-21,195.0,196.0,195.0,195.0,195.0,737000
2013-03-22,200.0,225.0,195.0,200.0,200.0,3051500
2013-03-25,205.0,210.0,199.0,205.0,205.0,1207000
2013-03-26,199.0,205.0,196.0,199.0,199.0,556500
2013-03-27,196.0,199.0,194.0,196.0,196.0,916000
2013-03-28,196.0,196.0,194.0,196.0,196.0,1014000
2013-04-01,197.0,197.0,194.0,197.0,197.0,691500
2013-04-02,195.0,195.0,194.0,195.0,195.0,551000
2013-04-03,191.0,195.0,190.0,191.0,191.0,3
2013-04-04,196.0,196.0,188.0,196.0,196.0,383000
2013-04-05,194.0,196.0,194.0,194.0,194.0,626000
2013-04-08,196.0,197.0,193.0,196.0,196.0,53000
2013-04-09,195.0,196.0,193.0,195.0,195.0,118000
2013-04-10,193.0,194.0,193.0,193.0,193.0,61000
2013-04-11,194.0,196.0,193.0,194.0,194.0,104000
2013-04-12,195.0,195.0,193.0,195.0,195.0,13000
2013-04-15,194.0,194.0,194.0,194.0,194.0,89500
2013-04-16,194.0,195.0,193.0,194.0,194.0,442000
2013-04-17,193.0,193.0,193.0,193.0,193.0,469500
2013-04-18,193.0,193.0,192.0,193.0,193.0,306500
2013-04-19,192.0,193.0,191.0,192.0,192.0,474000
2013-04-22,191.0,191.0,190.0,190.0,190.0,1491500
2013-04-23,190.0,196.0,189.0,190.0,190.0,772500
2013-04-24,190.0,190.0,189.0,189.0,189.0,250000
2013-04-25,190.0,190.0,188.0,189.0,189.0,218000
2013-04-26,189.0,189.0,185.0,189.0,189.0,1207000
2013-04-29,187.0,189.0,186.0,187.0,187.0,1887500
2013-04-30,184.0,189.0,184.0,189.0,189.0,160500
2013-05-01,195.0,195.0,190.0,190.0,190.0,83500
2013-05-02,189.0,189.0,186.0,189.0,189.0,281000
2013-05-03,189.0,189.0,184.0,184.0,184.0,6000
2013-05-06,184.0,190.0,184.0,190.0,190.0,70500
2013-05-07,192.0,192.0,190.0,191.0,191.0,91500
2013-05-08,195.0,195.0,188.0,190.0,190.0,257500
2013-05-10,195.0,195.0,190.0,190.0,190.0,60500
2013-05-13,188.0,192.0,188.0,192.0,192.0,487500
2013-05-14,193.0,195.0,193.0,195.0,195.0,1294500
2013-05-15,195.0,195.0,195.0,195.0,195.0,1294500
2013-05-16,192.0,192.0,192.0,192.0,192.0,315000
2013-05-17,190.0,191.0,190.0,191.0,191.0,41500
2013-05-20,191.0,191.0,191.0,191.0,191.0,218500
2013-05-21,191.0,191.0,191.0,191.0,191.0,50000
2013-05-22,191.0,191.0,191.0,191.0,191.0,150000
2013-05-23,191.0,191.0,188.0,188.0,188.0,102000
2013-05-24,189.0,190.0,189.0,189.0,189.0,3000
2013-05-27,191.0,191.0,190.0,190.0,190.0,1000
2013-05-28,188.0,190.0,188.0,190.0,190.0,207000
2013-05-29,190.0,190.0,188.0,188.0,188.0,92500
2013-05-30,189.0,189.0,188.0,189.0,189.0,609500
2013-05-31,188.0,189.0,188.0,189.0,189.0,120500
2013-06-03,186.0,189.0,185.0,189.0,189.0,410500
2013-06-04,189.0,189.0,189.0,189.0,189.0,335000
2013-06-05,188.0,189.0,186.0,189.0,189.0,234500
2013-06-07,187.0,187.0,187.0,187.0,187.0,1000
2013-06-10,186.0,188.0,185.0,186.0,186.0,294000
2013-06-11,178.0,184.0,178.0,184.0,184.0,162000
2013-06-12,184.0,184.0,182.0,182.0,182.0,735000
2013-06-13,176.0,176.0,173.0,173.0,173.0,60000
2013-06-14,166.0,181.0,166.0,181.0,181.0,3
2013-06-17,175.0,182.0,175.0,182.0,182.0,49500
2013-06-18,182.0,182.0,182.0,182.0,182.0,2000
2013-06-19,182.0,182.0,182.0,182.0,182.0,2000
2013-06-20,179.0,179.0,179.0,179.0,179.0,400000
2013-06-21,179.0,183.0,179.0,183.0,183.0,50500
2013-06-24,182.0,182.0,178.0,178.0,178.0,155500
2013-06-25,177.0,180.0,174.0,180.0,180.0,474500
2013-06-26,180.0,180.0,180.0,180.0,180.0,474500
2013-06-27,180.0,180.0,180.0,180.0,180.0,474500
2013-06-28,180.0,180.0,180.0,180.0,180.0,474500
2013-07-01,180.0,180.0,180.0,180.0,180.0,474500
2013-07-02,180.0,180.0,180.0,180.0,180.0,474500
2013-07-03,170.0,170.0,160.0,170.0,170.0,13500
2013-07-04,175.0,175.0,175.0,175.0,175.0,2500
2013-07-05,175.0,175.0,175.0,175.0,175.0,2500
2013-07-08,175.0,175.0,175.0,175.0,175.0,50000
2013-07-09,160.0,174.0,120.0,174.0,174.0,142500
2013-07-10,175.0,175.0,175.0,175.0,175.0,25000
2013-07-11,175.0,176.0,166.0,166.0,166.0,27000
2013-07-12,156.0,175.0,121.0,175.0,175.0,153500
2013-07-15,175.0,175.0,175.0,175.0,175.0,153500
2013-07-16,175.0,175.0,175.0,175.0,175.0,153500
2013-07-17,175.0,175.0,175.0,175.0,175.0,153500
2013-07-18,170.0,170.0,169.0,170.0,170.0,27000
2013-07-19,170.0,170.0,170.0,170.0,170.0,27000
2013-07-22,165.0,175.0,165.0,175.0,175.0,38000
2013-07-23,175.0,175.0,175.0,175.0,175.0,38000
2013-07-24,170.0,170.0,170.0,170.0,170.0,3000
2013-07-25,170.0,170.0,170.0,170.0,170.0,3000
2013-07-26,170.0,170.0,170.0,170.0,170.0,3000
