Date,Open,High,Low,Close,Adj Close,Volume
2013-07-11,350.0,350.0,305.0,325.0,310.99893199999997,21663500
2013-07-12,320.0,325.0,315.0,325.0,310.99893199999997,2782000
2013-07-15,320.0,320.0,310.0,310.0,296.64514199999996,102500
2013-07-16,320.0,325.0,315.0,325.0,310.99893199999997,1855500
2013-07-17,325.0,325.0,320.0,325.0,310.99893199999997,1047000
2013-07-18,300.0,325.0,300.0,325.0,310.99893199999997,245500
2013-07-19,325.0,325.0,320.0,325.0,310.99893199999997,1396000
2013-07-22,320.0,325.0,320.0,325.0,310.99893199999997,771000
2013-07-23,320.0,325.0,320.0,325.0,310.99893199999997,352000
2013-07-24,320.0,325.0,320.0,325.0,310.99893199999997,250000
2013-07-25,320.0,325.0,320.0,325.0,310.99893199999997,1702500
2013-07-26,320.0,320.0,315.0,320.0,306.21435499999995,129000
2013-07-29,315.0,320.0,315.0,320.0,306.21435499999995,158500
2013-07-30,315.0,320.0,315.0,320.0,306.21435499999995,207000
2013-07-31,315.0,320.0,315.0,320.0,306.21435499999995,300000
2013-08-01,315.0,320.0,315.0,320.0,306.21435499999995,950500
2013-08-02,315.0,320.0,315.0,320.0,306.21435499999995,107000
2013-08-12,310.0,320.0,310.0,320.0,306.21435499999995,89500
2013-08-13,320.0,320.0,320.0,320.0,306.21435499999995,25000
2013-08-14,320.0,320.0,320.0,320.0,306.21435499999995,625000
2013-08-15,310.0,320.0,310.0,320.0,306.21435499999995,179500
2013-08-16,260.0,320.0,240.0,320.0,306.21435499999995,117500
2013-08-19,320.0,320.0,320.0,320.0,306.21435499999995,117500
2013-08-20,300.0,315.0,250.0,310.0,296.64514199999996,10500
2013-08-21,275.0,320.0,275.0,320.0,306.21435499999995,95500
2013-08-22,320.0,320.0,320.0,320.0,306.21435499999995,95500
2013-08-23,290.0,315.0,290.0,315.0,301.429749,12500
2013-08-26,315.0,315.0,315.0,315.0,301.429749,12500
2013-08-27,290.0,315.0,255.0,315.0,301.429749,79000
2013-08-28,315.0,315.0,315.0,315.0,301.429749,55000
2013-08-29,290.0,315.0,280.0,315.0,301.429749,3000
2013-08-30,310.0,315.0,310.0,315.0,301.429749,11500
2013-09-02,290.0,310.0,290.0,310.0,296.64514199999996,11000
2013-09-03,280.0,280.0,280.0,280.0,267.93756099999996,500
2013-09-04,315.0,315.0,275.0,310.0,296.64514199999996,207000
2013-09-05,285.0,310.0,285.0,310.0,296.64514199999996,12500
2013-09-06,290.0,305.0,290.0,290.0,277.50674399999997,6000
2013-09-09,290.0,320.0,290.0,320.0,306.21435499999995,35500
2013-09-10,290.0,315.0,290.0,315.0,301.429749,143000
2013-09-11,315.0,315.0,315.0,315.0,301.429749,143000
2013-09-12,285.0,285.0,285.0,285.0,272.722168,2000
2013-09-13,285.0,285.0,285.0,285.0,272.722168,500
2013-09-16,285.0,315.0,285.0,315.0,301.429749,369500
2013-09-17,315.0,315.0,315.0,315.0,301.429749,369500
2013-09-18,315.0,315.0,315.0,315.0,301.429749,369500
2013-09-19,285.0,300.0,285.0,290.0,277.50674399999997,94500
2013-09-20,290.0,295.0,280.0,280.0,267.93756099999996,48000
2013-09-23,280.0,280.0,280.0,280.0,267.93756099999996,48000
2013-09-24,295.0,295.0,280.0,295.0,282.29135099999996,2500
2013-09-25,280.0,305.0,280.0,305.0,291.860535,5000
2013-09-26,280.0,280.0,280.0,280.0,267.93756099999996,500
2013-09-27,280.0,280.0,280.0,280.0,267.93756099999996,500
2013-09-30,320.0,320.0,320.0,320.0,306.21435499999995,50000
2013-10-01,320.0,320.0,320.0,320.0,306.21435499999995,50000
2013-10-02,280.0,310.0,280.0,295.0,282.29135099999996,7000
2013-10-03,295.0,295.0,295.0,295.0,282.29135099999996,7000
2013-10-04,280.0,310.0,280.0,310.0,296.64514199999996,4500
2013-10-07,280.0,280.0,280.0,280.0,267.93756099999996,2500
2013-10-08,280.0,280.0,280.0,280.0,267.93756099999996,2500
2013-10-09,265.0,320.0,265.0,315.0,301.429749,65500
2013-10-10,280.0,320.0,280.0,320.0,306.21435499999995,60500
2013-10-11,285.0,325.0,285.0,320.0,306.21435499999995,150500
2013-10-16,280.0,305.0,280.0,305.0,291.860535,1500
2013-10-17,305.0,305.0,305.0,305.0,291.860535,1500
2013-10-18,315.0,315.0,280.0,305.0,291.860535,1500
2013-10-21,290.0,290.0,290.0,290.0,277.50674399999997,1000
2013-10-22,290.0,290.0,290.0,290.0,277.50674399999997,1000
2013-10-23,290.0,290.0,290.0,290.0,277.50674399999997,1000
2013-10-24,290.0,290.0,290.0,290.0,277.50674399999997,1000
2013-10-25,290.0,290.0,290.0,290.0,277.50674399999997,1000
2013-10-28,275.0,310.0,275.0,310.0,296.64514199999996,2500
2013-10-29,310.0,310.0,310.0,310.0,296.64514199999996,2500
2013-10-30,310.0,310.0,310.0,310.0,296.64514199999996,2500
2013-10-31,315.0,320.0,315.0,320.0,306.21435499999995,15500
2013-11-01,320.0,320.0,320.0,320.0,306.21435499999995,15500
2013-11-04,280.0,305.0,280.0,285.0,272.722168,16500
2013-11-06,285.0,320.0,285.0,320.0,306.21435499999995,51500
2013-11-07,320.0,320.0,320.0,320.0,306.21435499999995,51500
2013-11-08,285.0,300.0,285.0,300.0,287.075928,1500
2013-11-11,300.0,300.0,300.0,300.0,287.075928,1500
2013-11-12,280.0,285.0,280.0,285.0,272.722168,35000
2013-11-13,285.0,315.0,285.0,315.0,301.429749,8000
2013-11-14,310.0,320.0,310.0,320.0,306.21435499999995,37500
2013-11-15,300.0,320.0,300.0,320.0,306.21435499999995,55000
2013-11-18,320.0,320.0,320.0,320.0,306.21435499999995,55000
2013-11-19,320.0,320.0,320.0,320.0,306.21435499999995,55000
2013-11-20,320.0,320.0,320.0,320.0,306.21435499999995,55000
2013-11-21,320.0,320.0,320.0,320.0,306.21435499999995,55000
2013-11-22,285.0,285.0,285.0,285.0,272.722168,2500
2013-11-25,290.0,320.0,290.0,320.0,306.21435499999995,264000
2013-11-26,285.0,325.0,285.0,315.0,301.429749,2002500
2013-11-27,300.0,315.0,295.0,310.0,296.64514199999996,685500
2013-11-28,290.0,290.0,290.0,290.0,277.50674399999997,500
2013-11-29,305.0,320.0,285.0,315.0,301.429749,697000
2013-12-02,285.0,285.0,285.0,285.0,272.722168,1500
2013-12-03,295.0,295.0,295.0,295.0,282.29135099999996,1000
2013-12-04,300.0,320.0,300.0,310.0,296.64514199999996,402500
2013-12-05,305.0,315.0,305.0,315.0,301.429749,12500
2013-12-06,310.0,320.0,310.0,310.0,296.64514199999996,245500
2013-12-09,315.0,320.0,310.0,310.0,296.64514199999996,139000
2013-12-10,315.0,320.0,310.0,310.0,296.64514199999996,159000
2013-12-11,310.0,310.0,310.0,310.0,296.64514199999996,165000
2013-12-12,310.0,315.0,310.0,315.0,301.429749,280000
2013-12-13,315.0,315.0,315.0,315.0,301.429749,280000
2013-12-16,315.0,315.0,315.0,315.0,301.429749,280000
2013-12-17,315.0,315.0,315.0,315.0,301.429749,280000
2013-12-18,310.0,310.0,310.0,310.0,296.64514199999996,12500
2013-12-19,310.0,310.0,310.0,310.0,296.64514199999996,12500
2013-12-20,310.0,310.0,305.0,305.0,291.860535,33500
2013-12-23,310.0,310.0,300.0,300.0,287.075928,185500
2013-12-24,295.0,295.0,285.0,285.0,272.722168,1000
2013-12-27,285.0,285.0,285.0,285.0,272.722168,1000
2013-12-30,285.0,285.0,285.0,285.0,272.722168,1000
2014-01-02,285.0,285.0,285.0,285.0,272.722168,1000
2014-01-03,285.0,285.0,285.0,285.0,272.722168,1000
2014-01-06,285.0,285.0,285.0,285.0,272.722168,1000
2014-01-07,285.0,285.0,285.0,285.0,272.722168,4900
2014-01-08,285.0,285.0,285.0,285.0,272.722168,4900
2014-01-09,285.0,285.0,280.0,280.0,267.93756099999996,5000
2014-01-10,280.0,280.0,280.0,280.0,267.93756099999996,5000
2014-01-13,280.0,280.0,280.0,280.0,267.93756099999996,5000
2014-01-15,280.0,280.0,280.0,280.0,267.93756099999996,5000
2014-01-16,280.0,280.0,280.0,280.0,267.93756099999996,5000
2014-01-17,280.0,280.0,280.0,280.0,267.93756099999996,5000
2014-01-20,280.0,280.0,280.0,280.0,267.93756099999996,0
2014-01-21,280.0,280.0,280.0,280.0,267.93756099999996,0
2014-01-22,280.0,280.0,280.0,280.0,267.93756099999996,0
2014-01-23,280.0,280.0,280.0,280.0,267.93756099999996,0
2014-01-24,280.0,280.0,280.0,280.0,267.93756099999996,0
2014-01-27,300.0,300.0,300.0,300.0,287.075928,100
2014-01-28,275.0,275.0,260.0,260.0,248.79916400000002,200
2014-01-29,305.0,305.0,266.0,266.0,254.540665,300
2014-01-30,286.0,309.0,283.0,283.0,270.808319,2600
2014-02-03,286.0,305.0,286.0,290.0,277.50674399999997,2600
2014-02-04,305.0,305.0,305.0,305.0,291.860535,100
2014-02-05,305.0,305.0,305.0,305.0,291.860535,0
2014-02-06,284.0,305.0,284.0,305.0,291.860535,1300
2014-02-07,305.0,305.0,305.0,305.0,291.860535,5000
2014-02-10,300.0,305.0,300.0,305.0,291.860535,300
2014-02-11,305.0,305.0,305.0,305.0,291.860535,0
2014-02-12,305.0,305.0,305.0,305.0,291.860535,0
2014-02-13,275.0,275.0,275.0,275.0,263.152954,14500
2014-02-14,303.0,303.0,303.0,303.0,289.94671600000004,100
2014-02-17,300.0,305.0,300.0,305.0,291.860535,8600
2014-02-18,271.0,309.0,265.0,309.0,295.68823199999997,162800
2014-02-19,276.0,308.0,276.0,308.0,294.731293,12000
2014-02-20,310.0,310.0,310.0,310.0,296.64514199999996,100
2014-02-21,314.0,320.0,314.0,320.0,306.21435499999995,8300
2014-02-24,320.0,320.0,320.0,320.0,306.21435499999995,0
2014-02-25,320.0,320.0,320.0,320.0,306.21435499999995,0
2014-02-26,320.0,320.0,320.0,320.0,306.21435499999995,0
2014-02-27,310.0,318.0,310.0,318.0,304.300507,245700
2014-02-28,310.0,325.0,310.0,315.0,301.429749,2699700
2014-03-03,310.0,327.0,310.0,315.0,301.429749,11816800
2014-03-04,315.0,315.0,315.0,315.0,301.429749,0
2014-03-05,315.0,315.0,315.0,315.0,301.429749,0
2014-03-06,315.0,315.0,315.0,315.0,301.429749,0
2014-03-07,315.0,315.0,315.0,315.0,301.429749,0
2014-03-10,289.0,289.0,280.0,280.0,267.93756099999996,16000
2014-03-11,310.0,310.0,306.0,310.0,296.64514199999996,1100
2014-03-12,310.0,315.0,310.0,315.0,301.429749,122900
2014-03-13,315.0,315.0,315.0,315.0,301.429749,0
2014-03-14,280.0,310.0,280.0,310.0,296.64514199999996,500
2014-03-17,290.0,315.0,290.0,315.0,301.429749,89600
2014-03-18,280.0,310.0,280.0,310.0,296.64514199999996,600
2014-03-19,310.0,310.0,310.0,310.0,296.64514199999996,0
2014-03-20,281.0,310.0,281.0,310.0,296.64514199999996,600
2014-03-21,310.0,310.0,310.0,310.0,296.64514199999996,0
2014-03-24,310.0,310.0,310.0,310.0,296.64514199999996,0
2014-03-25,310.0,320.0,310.0,320.0,306.21435499999995,633100
2014-03-26,280.0,280.0,280.0,280.0,267.93756099999996,100
2014-03-27,310.0,320.0,310.0,320.0,306.21435499999995,624100
2014-03-28,310.0,320.0,310.0,320.0,306.21435499999995,512800
2014-04-01,320.0,320.0,320.0,320.0,306.21435499999995,0
2014-04-02,320.0,320.0,320.0,320.0,306.21435499999995,0
2014-04-03,320.0,320.0,320.0,320.0,306.21435499999995,0
