Date,Open,High,Low,Close,Adj Close,Volume
2018-05-09,600.0,630.0,520.0,545.0,545.0,275187300
2018-05-11,550.0,660.0,550.0,620.0,620.0,285278000
2018-05-14,620.0,650.0,600.0,600.0,600.0,124691400
2018-05-15,600.0,600.0,600.0,600.0,600.0,0
2018-05-16,600.0,600.0,600.0,600.0,600.0,0
2018-05-17,595.0,600.0,580.0,585.0,585.0,26683900
2018-05-18,590.0,590.0,565.0,570.0,570.0,10352200
2018-05-21,580.0,580.0,550.0,555.0,555.0,21014600
2018-05-22,555.0,575.0,555.0,560.0,560.0,25543200
2018-05-23,565.0,570.0,555.0,560.0,560.0,12809900
2018-05-24,565.0,610.0,555.0,610.0,610.0,57698100
2018-05-25,610.0,615.0,585.0,585.0,585.0,27723500
2018-05-28,585.0,655.0,585.0,635.0,635.0,124729700
2018-05-29,635.0,635.0,635.0,635.0,635.0,0
2018-05-30,640.0,650.0,615.0,635.0,635.0,51079100
2018-05-31,640.0,645.0,620.0,625.0,625.0,15279100
2018-06-01,625.0,625.0,625.0,625.0,625.0,0
2018-06-04,625.0,635.0,605.0,610.0,610.0,19430400
2018-06-05,610.0,620.0,605.0,605.0,605.0,7919500
2018-06-06,610.0,630.0,605.0,625.0,625.0,24427900
2018-06-07,625.0,630.0,615.0,615.0,615.0,6796800
2018-06-08,620.0,620.0,605.0,610.0,610.0,4444900
2018-06-11,610.0,610.0,610.0,610.0,610.0,0
2018-06-12,610.0,610.0,610.0,610.0,610.0,0
2018-06-13,610.0,610.0,610.0,610.0,610.0,0
2018-06-14,610.0,610.0,610.0,610.0,610.0,0
2018-06-15,610.0,610.0,610.0,610.0,610.0,0
2018-06-18,610.0,610.0,610.0,610.0,610.0,0
2018-06-19,610.0,610.0,610.0,610.0,610.0,0
2018-06-20,610.0,610.0,590.0,595.0,595.0,7244900
2018-06-21,605.0,605.0,575.0,585.0,585.0,6415800
2018-06-22,585.0,590.0,575.0,585.0,585.0,3595000
2018-06-25,585.0,585.0,550.0,555.0,555.0,16082600
2018-06-26,555.0,575.0,555.0,570.0,570.0,17860900
2018-06-27,580.0,615.0,580.0,595.0,595.0,24338700
2018-06-28,600.0,610.0,575.0,595.0,595.0,10743000
2018-06-29,595.0,605.0,575.0,595.0,595.0,6849500
2018-07-02,595.0,600.0,575.0,580.0,580.0,3648700
2018-07-03,580.0,585.0,560.0,565.0,565.0,8212400
2018-07-04,565.0,585.0,555.0,585.0,585.0,5412700
2018-07-05,580.0,580.0,565.0,575.0,575.0,2460800
2018-07-06,575.0,575.0,560.0,565.0,565.0,3800800
2018-07-09,565.0,575.0,560.0,570.0,570.0,6003600
2018-07-10,570.0,575.0,560.0,565.0,565.0,6586100
2018-07-11,565.0,565.0,555.0,560.0,560.0,2993600
2018-07-12,565.0,610.0,555.0,590.0,590.0,65306300
2018-07-13,590.0,620.0,585.0,595.0,595.0,32849500
2018-07-16,600.0,600.0,570.0,575.0,575.0,10303200
2018-07-17,575.0,580.0,565.0,570.0,570.0,4649100
2018-07-18,570.0,580.0,565.0,565.0,565.0,8578200
2018-07-19,570.0,575.0,560.0,560.0,560.0,12071100
2018-07-20,565.0,570.0,560.0,560.0,560.0,3763500
2018-07-23,560.0,570.0,560.0,565.0,565.0,4678100
2018-07-24,570.0,570.0,560.0,560.0,560.0,5363600
2018-07-25,560.0,565.0,560.0,560.0,560.0,3205700
2018-07-26,565.0,585.0,560.0,570.0,570.0,22287400
2018-07-27,570.0,575.0,560.0,565.0,565.0,9816400
2018-07-30,565.0,570.0,560.0,560.0,560.0,8786700
2018-07-31,560.0,565.0,555.0,555.0,555.0,5541100
2018-08-01,560.0,565.0,555.0,560.0,560.0,6317000
2018-08-02,565.0,565.0,555.0,555.0,555.0,4528800
2018-08-03,560.0,565.0,555.0,555.0,555.0,6220000
2018-08-06,555.0,575.0,540.0,565.0,565.0,28568100
2018-08-07,565.0,615.0,565.0,610.0,610.0,117627500
2018-08-08,615.0,635.0,610.0,625.0,625.0,53788800
2018-08-09,625.0,630.0,605.0,615.0,615.0,9639800
2018-08-10,615.0,650.0,615.0,625.0,625.0,48398200
2018-08-13,625.0,635.0,590.0,610.0,610.0,39464600
2018-08-14,610.0,630.0,605.0,610.0,610.0,11945200
2018-08-15,610.0,625.0,610.0,620.0,620.0,23989800
2018-08-16,620.0,620.0,600.0,605.0,605.0,5174700
2018-08-17,605.0,605.0,605.0,605.0,605.0,0
2018-08-20,605.0,615.0,605.0,610.0,610.0,4978600
2018-08-21,615.0,620.0,605.0,610.0,610.0,5720100
2018-08-22,610.0,610.0,610.0,610.0,610.0,0
2018-08-23,615.0,680.0,610.0,660.0,660.0,71776900
2018-08-24,660.0,670.0,645.0,650.0,650.0,27078000
2018-08-27,655.0,665.0,635.0,650.0,650.0,22309600
2018-08-28,650.0,660.0,635.0,635.0,635.0,12999600
2018-08-29,635.0,640.0,630.0,640.0,640.0,7256000
2018-08-30,640.0,665.0,635.0,645.0,645.0,23126000
2018-08-31,635.0,645.0,630.0,640.0,640.0,6458900
2018-09-03,640.0,650.0,630.0,630.0,630.0,5272100
2018-09-04,635.0,635.0,605.0,615.0,615.0,16463300
2018-09-05,615.0,615.0,570.0,585.0,585.0,22523600
