Date,Open,High,Low,Close,Adj Close,Volume
2011-12-05,395.0,425.0,390.0,395.0,357.99057,17494000
2011-12-06,355.0,395.0,355.0,355.0,321.738373,2767500
2011-12-07,340.0,365.0,340.0,340.0,308.143799,895000
2011-12-08,320.0,340.0,315.0,320.0,290.01763900000003,2510000
2011-12-09,400.0,400.0,305.0,400.0,362.522125,10848500
2011-12-12,440.0,500.0,415.0,440.0,398.774323,27325500
2011-12-13,450.0,475.0,420.0,450.0,407.837372,43184000
2011-12-14,415.0,460.0,410.0,415.0,376.116669,26555000
2011-12-15,430.0,430.0,400.0,430.0,389.711212,7220500
2011-12-16,410.0,440.0,405.0,410.0,371.585175,11798500
2011-12-19,410.0,410.0,410.0,410.0,371.585175,0
2011-12-20,395.0,400.0,385.0,395.0,357.99057,665000
2011-12-21,395.0,400.0,390.0,395.0,357.99057,969000
2011-12-22,385.0,390.0,385.0,385.0,348.92749,454500
2011-12-23,400.0,400.0,385.0,400.0,362.522125,553500
2011-12-27,390.0,410.0,390.0,390.0,353.459045,386000
2011-12-28,395.0,415.0,390.0,395.0,357.99057,557000
2011-12-29,400.0,405.0,395.0,400.0,362.522125,467500
2011-12-30,405.0,405.0,395.0,405.0,367.05365,250500
2012-01-02,390.0,400.0,390.0,390.0,353.459045,48500
2012-01-03,405.0,415.0,390.0,405.0,367.05365,607500
2012-01-04,400.0,415.0,400.0,400.0,362.522125,199000
2012-01-05,400.0,410.0,400.0,400.0,362.522125,1067500
2012-01-06,400.0,410.0,400.0,400.0,362.522125,182000
2012-01-09,400.0,405.0,395.0,400.0,362.522125,157500
2012-01-10,395.0,400.0,390.0,395.0,357.99057,26000
2012-01-11,390.0,400.0,390.0,390.0,353.459045,59000
2012-01-12,400.0,405.0,400.0,400.0,362.522125,116500
2012-01-13,400.0,405.0,395.0,400.0,362.522125,0
2012-01-16,400.0,400.0,395.0,400.0,362.522125,112500
2012-01-17,405.0,405.0,395.0,405.0,367.05365,727500
2012-01-18,410.0,410.0,395.0,410.0,371.585175,576000
2012-01-19,410.0,415.0,405.0,410.0,371.585175,43500
2012-01-20,400.0,405.0,400.0,400.0,362.522125,177500
2012-01-24,405.0,410.0,400.0,405.0,367.05365,34000
2012-01-25,395.0,400.0,395.0,395.0,357.99057,325000
2012-01-26,405.0,405.0,380.0,405.0,367.05365,91500
2012-01-27,405.0,405.0,405.0,405.0,367.05365,91500
2012-01-30,400.0,400.0,390.0,400.0,362.522125,74500
2012-01-31,400.0,400.0,390.0,400.0,362.522125,122500
2012-02-01,390.0,400.0,390.0,390.0,353.459045,22500
2012-02-02,390.0,390.0,390.0,390.0,353.459045,22500
2012-02-03,390.0,395.0,390.0,390.0,353.459045,18500
