Date,Open,High,Low,Close,Adj Close,Volume
2001-12-03,410.0,410.0,370.0,400.0,228.482681,2299000
2001-12-04,390.0,390.0,380.0,390.0,222.77059900000003,765000
2001-12-05,390.0,390.0,370.0,370.0,211.34646600000002,4473500
2001-12-06,370.0,375.0,360.0,360.0,205.634399,1560500
2001-12-07,360.0,360.0,360.0,360.0,205.634399,708500
2001-12-10,360.0,360.0,355.0,360.0,205.634399,722500
2001-12-11,355.0,355.0,350.0,350.0,199.922333,322000
2001-12-12,350.0,350.0,350.0,350.0,199.922333,420000
2001-12-13,350.0,350.0,350.0,350.0,199.922333,170500
2001-12-19,350.0,355.0,350.0,355.0,202.778366,200000
2001-12-20,350.0,350.0,350.0,350.0,199.922333,200000
2001-12-21,350.0,350.0,350.0,350.0,199.922333,40000
2001-12-26,355.0,355.0,355.0,355.0,202.778366,25000
2001-12-27,355.0,355.0,355.0,355.0,202.778366,26500
2001-12-28,355.0,355.0,350.0,350.0,199.922333,205500
2002-01-02,350.0,350.0,345.0,345.0,197.066284,380000
2002-01-04,345.0,355.0,345.0,355.0,202.778366,1219000
2002-01-07,355.0,370.0,355.0,370.0,211.34646600000002,2234000
2002-01-08,370.0,380.0,370.0,380.0,217.058548,1442000
2002-01-09,385.0,405.0,385.0,405.0,231.33871499999998,2468500
2002-01-10,405.0,405.0,400.0,405.0,231.33871499999998,1620000
2002-01-11,405.0,420.0,405.0,420.0,239.90679900000003,1871000
2002-01-14,420.0,425.0,410.0,420.0,239.90679900000003,2903500
2002-01-15,420.0,425.0,415.0,415.0,237.050781,1247500
2002-01-16,420.0,420.0,405.0,405.0,231.33871499999998,1003500
2002-01-17,405.0,410.0,400.0,410.0,234.194809,1265000
2002-01-18,415.0,415.0,410.0,410.0,234.194809,255000
2002-01-21,415.0,430.0,415.0,425.0,242.762848,2392000
2002-01-22,425.0,430.0,425.0,430.0,245.61886600000003,1208000
2002-01-23,430.0,430.0,425.0,425.0,242.762848,312500
2002-01-24,430.0,430.0,425.0,425.0,242.762848,417500
2002-01-25,425.0,425.0,425.0,425.0,242.762848,167500
2002-01-28,425.0,425.0,425.0,425.0,242.762848,100000
2002-01-29,425.0,430.0,425.0,430.0,245.61886600000003,745000
2002-01-30,430.0,430.0,430.0,430.0,245.61886600000003,8500
2002-02-01,445.0,450.0,445.0,450.0,257.042938,1963500
2002-02-04,455.0,455.0,455.0,455.0,259.899048,459500
2002-02-05,460.0,460.0,455.0,455.0,259.899048,555000
2002-02-06,460.0,460.0,460.0,460.0,262.755066,242500
2002-02-07,460.0,460.0,455.0,455.0,259.899048,538000
2002-02-08,460.0,460.0,460.0,460.0,262.755066,325000
2002-02-11,460.0,460.0,455.0,455.0,259.899048,265500
2002-02-13,460.0,465.0,460.0,465.0,265.611084,1207500
2002-02-14,465.0,470.0,465.0,465.0,265.611084,1532000
2002-02-15,470.0,485.0,470.0,485.0,277.035248,3864500
2002-02-18,490.0,510.0,490.0,510.0,291.315399,4435000
2002-02-19,525.0,525.0,475.0,500.0,285.603333,2612000
2002-02-20,475.0,500.0,475.0,500.0,285.603333,442500
2002-02-21,500.0,500.0,475.0,500.0,285.603333,648000
2002-02-25,475.0,475.0,450.0,475.0,271.32318100000003,1234500
2002-02-26,465.0,470.0,465.0,465.0,265.611084,1445500
2002-02-27,465.0,470.0,465.0,465.0,265.611084,335500
2002-02-28,470.0,470.0,470.0,470.0,268.46716299999997,317500
2002-03-01,465.0,465.0,465.0,465.0,265.611084,583000
2002-03-04,470.0,485.0,470.0,475.0,271.32318100000003,2213500
