Date,Open,High,Low,Close,Adj Close,Volume
2002-04-18,300.0,300.0,237.5,237.5,-20.722429,0
2002-04-19,312.5,312.5,250.0,250.0,-21.813084,0
2002-04-22,300.0,300.0,250.0,250.0,-21.813084,0
2002-04-23,300.0,300.0,250.0,250.0,-21.813084,0
2002-04-24,300.0,300.0,300.0,300.0,-26.175701,30000
2002-04-25,300.0,312.5,275.0,300.0,-26.175701,240000
2002-04-26,297.5,297.5,275.0,275.0,-23.994392,0
2002-04-29,325.0,325.0,275.0,275.0,-23.994392,0
2002-04-30,325.0,325.0,262.5,262.5,-22.903738,0
2002-05-01,350.0,350.0,275.0,275.0,-23.994392,0
2002-05-02,302.5,302.5,265.0,265.0,-23.121868,0
2002-05-03,360.0,360.0,270.0,270.0,-23.55813,0
2002-05-06,325.0,325.0,262.5,262.5,-22.903738,0
2002-05-07,302.5,302.5,265.0,265.0,-23.121868,0
2002-05-08,302.5,302.5,275.0,275.0,-23.994392,0
2002-05-10,360.0,360.0,262.5,262.5,-22.903738,0
2002-05-13,302.5,302.5,302.5,302.5,-26.393828999999997,30000
2002-05-14,302.5,302.5,302.5,302.5,-26.393828999999997,20000
2002-05-15,302.5,312.5,302.5,310.0,-27.048225,80000
2002-05-16,315.0,325.0,315.0,325.0,-28.35701,60000
2002-05-17,330.0,330.0,312.5,312.5,-27.266356,0
2002-05-20,337.5,337.5,312.5,312.5,-27.266356,0
2002-05-21,312.5,350.0,312.5,350.0,-30.538317,50000
2002-05-22,337.5,337.5,305.0,305.0,-26.611963,0
2002-05-23,335.0,335.0,305.0,305.0,-26.611963,0
2002-05-24,307.5,307.5,307.5,307.5,-26.830095,20000
2002-05-27,317.5,317.5,317.5,317.5,-27.702618,30000
2002-05-28,330.0,330.0,305.0,305.0,-26.611963,0
2002-05-29,330.0,330.0,305.0,305.0,-26.611963,0
2002-05-30,335.0,335.0,300.0,300.0,-26.175701,0
2002-05-31,335.0,335.0,302.5,302.5,-26.393828999999997,0
2002-06-03,325.0,325.0,302.5,302.5,-26.393828999999997,0
2002-06-04,325.0,325.0,300.0,300.0,-26.175701,0
2002-06-05,322.5,322.5,302.5,302.5,-26.393828999999997,0
2002-06-06,317.5,317.5,302.5,302.5,-26.393828999999997,0
2002-06-07,302.5,302.5,302.5,302.5,-26.393828999999997,20000
2002-06-10,317.5,317.5,317.5,317.5,-27.702618,10000
2002-06-11,322.5,322.5,300.0,300.0,-26.175701,0
2002-06-12,322.5,322.5,302.5,302.5,-26.393828999999997,0
2002-06-13,315.0,315.0,302.5,302.5,-26.393828999999997,0
