Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,280.0,280.0,192.0,250.0,250.0,32358300
2018-11-13,240.0,284.0,230.0,282.0,282.0,62729100
2018-11-19,370.0,384.0,358.0,358.0,358.0,41487200
2018-11-20,358.0,358.0,358.0,358.0,358.0,0
2018-11-21,358.0,370.0,340.0,352.0,352.0,62890100
2018-11-22,352.0,416.0,346.0,406.0,406.0,138329100
2018-11-23,406.0,410.0,384.0,386.0,386.0,23680100
2018-11-26,386.0,420.0,376.0,414.0,414.0,81876700
2018-11-27,410.0,482.0,404.0,472.0,472.0,143472400
2018-11-28,474.0,490.0,454.0,462.0,462.0,65706900
2018-11-29,462.0,575.0,458.0,575.0,575.0,200650000
2018-11-30,570.0,590.0,486.0,505.0,505.0,145426900
2018-12-03,505.0,570.0,486.0,505.0,505.0,73079700
2018-12-04,505.0,515.0,488.0,492.0,492.0,13268900
2018-12-05,494.0,580.0,488.0,540.0,540.0,134023800
2018-12-06,535.0,555.0,515.0,515.0,515.0,29695600
2018-12-07,520.0,540.0,500.0,525.0,525.0,10766500
2018-12-10,515.0,515.0,394.0,394.0,394.0,19734100
2018-12-11,394.0,492.0,300.0,492.0,492.0,195786500
2018-12-12,486.0,520.0,462.0,462.0,462.0,79575800
2018-12-13,464.0,535.0,462.0,500.0,500.0,85449100
2018-12-14,500.0,540.0,500.0,520.0,520.0,33436000
2018-12-17,520.0,535.0,505.0,525.0,525.0,13427500
2018-12-18,525.0,535.0,500.0,500.0,500.0,6400400
2018-12-19,500.0,520.0,496.0,498.0,498.0,9257500
2018-12-20,500.0,520.0,494.0,500.0,500.0,6313900
2018-12-21,500.0,510.0,480.0,496.0,496.0,18051900
2018-12-24,496.0,496.0,496.0,496.0,496.0,0
2018-12-25,496.0,496.0,496.0,496.0,496.0,0
2018-12-26,496.0,498.0,480.0,488.0,488.0,5067600
2018-12-27,488.0,520.0,488.0,505.0,505.0,14601900
2018-12-28,510.0,550.0,492.0,530.0,530.0,30162600
2018-12-31,530.0,530.0,530.0,530.0,530.0,0
2019-01-01,530.0,530.0,530.0,530.0,530.0,0
2019-01-02,525.0,540.0,510.0,535.0,535.0,20568700
2019-01-03,535.0,590.0,530.0,570.0,570.0,49615600
2019-01-04,570.0,615.0,565.0,605.0,605.0,48254600
2019-01-07,605.0,640.0,605.0,635.0,635.0,40468800
2019-01-08,635.0,670.0,620.0,635.0,635.0,72168600
2019-01-09,635.0,680.0,630.0,670.0,670.0,44526900
2019-01-10,670.0,700.0,640.0,655.0,655.0,48960300
2019-01-11,655.0,695.0,630.0,675.0,675.0,66254500
2019-01-14,675.0,690.0,655.0,660.0,660.0,30505800
2019-01-15,660.0,685.0,640.0,665.0,665.0,59983600
2019-01-16,665.0,745.0,665.0,725.0,725.0,114238400
2019-01-17,730.0,780.0,710.0,730.0,730.0,107341300
2019-01-18,730.0,770.0,725.0,750.0,750.0,68788900
2019-01-21,755.0,775.0,740.0,745.0,745.0,53177900
2019-01-22,745.0,760.0,725.0,735.0,735.0,60410600
2019-01-23,735.0,760.0,710.0,710.0,710.0,40624900
2019-01-24,710.0,800.0,690.0,755.0,755.0,116945200
2019-01-25,755.0,790.0,745.0,765.0,765.0,38694500
2019-01-28,765.0,800.0,760.0,795.0,795.0,42019000
2019-01-29,795.0,825.0,750.0,765.0,765.0,39516600
2019-01-30,765.0,785.0,725.0,735.0,735.0,45448100
2019-01-31,735.0,755.0,715.0,730.0,730.0,27679000
2019-02-01,730.0,735.0,700.0,700.0,700.0,34550700
2019-02-04,700.0,705.0,675.0,700.0,700.0,18820800
2019-02-05,700.0,700.0,700.0,700.0,700.0,0
2019-02-06,700.0,705.0,685.0,700.0,700.0,28794700
