Date,Open,High,Low,Close,Adj Close,Volume
2002-05-30,225.0,225.0,212.0,212.0,0.43741199999999997,0
2002-05-31,225.0,225.0,212.0,212.0,0.43741199999999997,0
2002-06-03,225.0,225.0,212.0,212.0,0.43741199999999997,0
2002-06-04,213.0,213.0,213.0,213.0,0.439475,50000
2002-06-05,225.0,225.0,212.0,212.0,0.43741199999999997,0
2002-06-06,212.0,212.0,212.0,212.0,0.43741199999999997,1250000
2002-06-07,230.0,230.0,204.0,204.0,0.42090600000000006,0
2002-06-11,212.0,212.0,190.0,190.0,0.39202,0
2002-06-12,200.0,200.0,200.0,200.0,0.412653,200000
2002-06-13,200.0,200.0,200.0,200.0,0.412653,125000
2002-06-14,220.0,220.0,190.0,190.0,0.39202,0
2002-06-18,230.0,230.0,190.0,190.0,0.39202,0
2002-06-19,226.0,226.0,180.0,180.0,0.371388,0
2002-06-20,226.0,226.0,180.0,180.0,0.371388,0
2002-06-25,226.0,226.0,190.0,190.0,0.39202,0
2002-06-26,226.0,226.0,190.0,190.0,0.39202,0
2002-06-27,226.0,226.0,170.0,170.0,0.35075500000000004,0
2002-06-28,190.0,190.0,190.0,190.0,0.39202,400000
2002-07-02,200.0,200.0,171.0,171.0,0.35281799999999996,0
2002-07-03,200.0,200.0,173.0,173.0,0.35694499999999996,0
2002-07-04,200.0,200.0,180.0,180.0,0.371388,0
2002-07-05,214.0,214.0,180.0,180.0,0.371388,0
2002-07-08,192.0,192.0,192.0,192.0,-0.32411999999999996,25000
2002-07-09,210.0,210.0,180.0,180.0,-0.303863,0
2002-07-10,204.0,204.0,172.0,172.0,-0.290358,0
2002-07-11,202.0,202.0,171.0,171.0,-0.288669,0
2002-07-12,200.0,200.0,171.0,171.0,-0.288669,0
2002-07-15,196.0,196.0,171.0,171.0,-0.288669,0
2002-07-16,196.0,196.0,171.0,171.0,-0.288669,0
2002-07-17,194.0,194.0,171.0,171.0,-0.288669,0
2002-07-18,194.0,194.0,175.0,175.0,-0.29542199999999996,0
2002-07-19,194.0,194.0,172.0,172.0,-0.290358,0
2002-07-22,192.0,192.0,172.0,172.0,-0.290358,0
2002-07-23,190.0,190.0,171.0,171.0,-0.288669,0
2002-07-24,192.0,192.0,171.0,171.0,-0.288669,0
2002-07-25,190.0,190.0,171.0,171.0,-0.288669,0
2002-07-26,190.0,190.0,172.0,172.0,-0.290358,0
2002-07-29,188.0,188.0,176.0,176.0,-0.29711,0
2002-07-30,188.0,188.0,174.0,174.0,-0.293734,0
2002-07-31,186.0,186.0,172.0,172.0,-0.290358,0
2002-08-05,186.0,186.0,171.0,171.0,-0.288669,0
2002-08-06,186.0,186.0,172.0,172.0,-0.290358,0
2002-08-07,184.0,184.0,180.0,180.0,-0.303863,0
2002-08-08,184.0,184.0,171.0,171.0,-0.288669,0
2002-08-09,182.0,182.0,182.0,182.0,-0.307239,50000
2002-08-12,184.0,184.0,171.0,171.0,-0.288669,0
2002-08-13,184.0,184.0,171.0,171.0,-0.288669,0
2002-08-14,184.0,184.0,171.0,171.0,-0.288669,0
2002-08-15,184.0,184.0,172.0,172.0,-0.290358,0
2002-08-16,184.0,184.0,171.0,171.0,-0.288669,0
2002-08-19,184.0,184.0,171.0,171.0,-0.288669,0
2002-08-20,184.0,184.0,171.0,171.0,-0.288669,0
2002-08-21,184.0,184.0,171.0,171.0,-0.288669,0
2002-08-22,184.0,184.0,171.0,171.0,-0.288669,0
2002-08-26,184.0,184.0,171.0,171.0,-0.288669,0
2002-08-27,184.0,184.0,171.0,171.0,-0.288669,0
2002-08-28,183.0,183.0,171.0,171.0,-0.288669,0
2002-08-29,184.0,184.0,171.0,171.0,-0.288669,0
2002-08-30,183.0,183.0,172.0,172.0,-0.290358,0
2002-09-02,183.0,183.0,171.0,171.0,-0.288669,0
2002-09-03,183.0,183.0,172.0,172.0,-0.290358,0
2002-09-04,171.0,172.0,171.0,172.0,-0.290358,150000
2002-09-05,181.0,181.0,172.0,172.0,-0.290358,0
2002-09-06,181.0,181.0,172.0,172.0,-0.290358,0
2002-09-09,184.0,184.0,172.0,172.0,-0.290358,0
2002-09-10,180.0,180.0,180.0,180.0,-0.303863,50000
2002-09-11,180.0,180.0,171.0,171.0,-0.288669,0
2002-09-12,180.0,180.0,171.0,171.0,-0.288669,0
2002-09-13,178.0,178.0,171.0,171.0,-0.288669,0
2002-09-16,178.0,178.0,171.0,171.0,-0.288669,0
2002-09-17,171.0,171.0,171.0,171.0,-0.288669,100000
2002-09-18,180.0,180.0,172.0,172.0,-0.290358,0
2002-09-19,179.0,179.0,172.0,172.0,-0.290358,0
2002-09-20,172.0,172.0,172.0,172.0,-0.290358,75000
2002-09-23,172.0,172.0,172.0,172.0,-0.290358,75000
2002-09-24,174.0,174.0,171.0,171.0,-0.288669,0
2002-09-25,171.0,171.0,171.0,171.0,-0.288669,125000
2002-09-26,173.0,173.0,160.0,160.0,-0.2701,0
2002-09-27,173.0,173.0,158.0,158.0,-0.26672399999999996,0
2002-09-30,172.0,172.0,172.0,172.0,-0.290358,0
2002-10-01,176.0,176.0,176.0,176.0,-0.29711,0
2002-10-02,166.0,166.0,166.0,166.0,-0.280229,0
2002-10-03,160.0,160.0,160.0,160.0,-0.2701,25000
2002-10-07,172.0,172.0,172.0,172.0,-0.290358,0
2002-10-08,172.0,172.0,172.0,172.0,-0.290358,0
2002-10-09,172.0,172.0,172.0,172.0,-0.290358,0
2002-10-11,172.0,172.0,172.0,172.0,-0.290358,0
2002-10-15,164.0,164.0,164.0,164.0,-0.276853,0
2002-10-16,160.0,160.0,160.0,160.0,-0.2701,0
2002-10-24,130.0,130.0,130.0,130.0,-0.21945599999999998,0
2002-10-28,130.0,130.0,130.0,130.0,-0.21945599999999998,0
2002-10-30,160.0,160.0,150.0,150.0,-0.253219,0
2002-10-31,180.0,180.0,144.0,144.0,-0.24309,0
2002-11-01,172.0,172.0,172.0,172.0,-0.290358,0
2002-11-04,130.0,130.0,130.0,130.0,-0.21945599999999998,0
2002-11-06,160.0,160.0,150.0,150.0,-0.253219,0
2002-11-07,160.0,160.0,140.0,140.0,-0.23633800000000002,0
2002-11-11,160.0,160.0,144.0,144.0,-0.24309,0
2002-11-12,140.0,140.0,140.0,140.0,-0.23633800000000002,0
2002-11-13,160.0,160.0,144.0,144.0,-0.24309,0
2002-11-14,160.0,160.0,160.0,160.0,-0.2701,0
2002-11-15,160.0,160.0,144.0,144.0,-0.24309,0
2002-12-11,164.0,164.0,160.0,160.0,-0.2701,0
2002-12-18,168.0,168.0,160.0,160.0,-0.2701,0
2002-12-19,168.0,168.0,168.0,168.0,-0.283605,125000
2002-12-20,168.0,168.0,168.0,168.0,-0.283605,50000
2002-12-23,164.0,164.0,164.0,164.0,-0.276853,25000
2002-12-27,170.0,170.0,164.0,164.0,-0.276853,0
2003-01-02,164.0,164.0,164.0,164.0,-0.276853,25000
2003-01-06,160.0,160.0,160.0,160.0,-0.2701,0
2003-01-07,180.0,180.0,180.0,180.0,-0.303863,0
2003-01-08,180.0,180.0,160.0,160.0,-0.2701,0
2003-01-09,166.0,166.0,164.0,164.0,-0.276853,0
2003-01-10,166.0,166.0,160.0,160.0,-0.2701,0
2003-01-13,166.0,166.0,166.0,166.0,-0.280229,25000
2003-01-14,170.0,170.0,170.0,170.0,-0.286981,50000
2003-01-15,176.0,176.0,164.0,164.0,-0.276853,0
2003-01-16,176.0,176.0,170.0,170.0,-0.286981,0
2003-01-17,176.0,176.0,170.0,170.0,-0.286981,0
2003-01-20,174.0,174.0,170.0,170.0,-0.286981,0
2003-01-21,172.0,172.0,170.0,170.0,-0.286981,0
2003-01-22,170.0,170.0,170.0,170.0,-0.286981,50000
2003-01-23,180.0,180.0,170.0,170.0,-0.286981,0
2003-01-24,180.0,180.0,170.0,170.0,-0.286981,0
2003-01-27,180.0,180.0,180.0,180.0,-0.303863,0
2003-01-28,180.0,180.0,170.0,170.0,-0.286981,0
2003-01-29,180.0,180.0,180.0,180.0,-0.303863,0
2003-01-30,180.0,180.0,170.0,170.0,-0.286981,0
2003-01-31,180.0,180.0,180.0,180.0,-0.303863,0
2003-02-10,180.0,180.0,180.0,180.0,-0.303863,0
2003-02-11,170.0,170.0,170.0,170.0,-0.286981,25000
2003-02-13,180.0,180.0,170.0,170.0,-0.286981,0
2003-02-14,180.0,180.0,170.0,170.0,-0.286981,0
2003-02-17,180.0,180.0,180.0,180.0,-0.303863,50000
2003-02-18,188.0,188.0,180.0,180.0,-0.303863,0
2003-02-20,190.0,190.0,170.0,170.0,-0.286981,0
2003-02-21,170.0,170.0,170.0,170.0,-0.286981,0
2003-02-24,188.0,188.0,180.0,180.0,-0.303863,0
2003-02-25,190.0,190.0,180.0,180.0,-0.303863,0
2003-02-26,190.0,190.0,180.0,180.0,-0.303863,0
2003-02-27,190.0,190.0,150.0,150.0,-0.253219,0
2003-02-28,190.0,190.0,190.0,190.0,-0.32074400000000003,0
2003-03-04,190.0,190.0,176.0,176.0,-0.29711,0
2003-03-05,190.0,190.0,176.0,176.0,-0.29711,0
2003-03-06,190.0,190.0,190.0,190.0,-0.32074400000000003,0
2003-03-07,190.0,190.0,190.0,190.0,-0.32074400000000003,0
2003-03-10,190.0,190.0,190.0,190.0,-0.32074400000000003,0
2003-03-12,200.0,200.0,200.0,200.0,-0.337625,0
2003-03-13,190.0,190.0,190.0,190.0,-0.32074400000000003,0
2003-03-14,190.0,190.0,180.0,180.0,-0.303863,0
2003-03-17,190.0,190.0,180.0,180.0,-0.303863,0
2003-03-18,180.0,180.0,180.0,180.0,-0.303863,75000
2003-03-19,190.0,190.0,190.0,190.0,-0.32074400000000003,0
2003-03-20,190.0,190.0,190.0,190.0,-0.32074400000000003,0
2003-03-21,190.0,190.0,190.0,190.0,-0.32074400000000003,0
2003-03-25,190.0,190.0,190.0,190.0,-0.32074400000000003,0
2003-03-26,186.0,186.0,180.0,180.0,-0.303863,0
2003-03-27,190.0,190.0,180.0,180.0,-0.303863,0
2003-03-28,180.0,180.0,180.0,180.0,-0.303863,0
2003-03-31,180.0,180.0,180.0,180.0,-0.303863,50000
2003-04-01,180.0,180.0,180.0,180.0,-0.303863,25000
2003-04-04,180.0,180.0,180.0,180.0,-0.303863,0
2003-04-07,190.0,190.0,190.0,190.0,-0.32074400000000003,50000
2003-04-08,200.0,200.0,180.0,180.0,-0.303863,0
2003-04-09,190.0,190.0,190.0,190.0,-0.32074400000000003,50000
2003-04-10,210.0,210.0,190.0,190.0,-0.32074400000000003,0
2003-04-11,210.0,210.0,200.0,200.0,-0.337625,0
2003-04-14,200.0,200.0,200.0,200.0,-0.337625,925000
2003-04-15,196.0,196.0,196.0,196.0,-0.33087300000000003,225000
2003-04-16,196.0,196.0,196.0,196.0,-0.33087300000000003,475000
2003-04-17,200.0,200.0,180.0,180.0,-0.303863,0
2003-04-21,200.0,200.0,190.0,190.0,-0.32074400000000003,0
2003-04-22,194.0,194.0,194.0,194.0,-0.327496,475000
2003-04-23,194.0,194.0,190.0,190.0,-0.32074400000000003,275000
2003-04-24,194.0,194.0,186.0,186.0,-0.31399099999999996,0
2003-04-25,190.0,190.0,180.0,180.0,-0.303863,0
2003-04-28,190.0,190.0,190.0,190.0,-0.32074400000000003,0
2003-04-29,194.0,194.0,170.0,170.0,-0.286981,0
2003-04-30,194.0,194.0,165.0,165.0,-0.278541,0
2003-05-01,180.0,180.0,180.0,180.0,-0.303863,50000
2003-05-02,170.0,170.0,170.0,170.0,-0.286981,125000
2003-05-05,170.0,170.0,170.0,170.0,-0.286981,25000
2003-05-06,190.0,190.0,170.0,170.0,-0.286981,0
2003-05-07,175.0,175.0,170.0,170.0,-0.286981,575000
2003-05-08,178.0,178.0,170.0,170.0,-0.286981,0
2003-05-09,174.0,174.0,174.0,174.0,-0.293734,25000
2003-05-12,178.0,178.0,170.0,170.0,-0.286981,0
2003-05-13,176.0,176.0,170.0,170.0,-0.286981,0
2003-05-14,176.0,176.0,170.0,170.0,-0.286981,0
2003-05-19,170.0,170.0,170.0,170.0,-0.286981,25000
2003-05-20,176.0,176.0,166.0,166.0,-0.280229,0
2003-05-21,180.0,180.0,167.0,167.0,-0.28191700000000003,0
2003-05-22,200.0,200.0,170.0,170.0,-0.286981,0
2003-05-23,180.0,180.0,166.0,166.0,-0.280229,0
2003-05-26,180.0,180.0,170.0,170.0,-0.286981,0
2003-05-27,170.0,170.0,170.0,170.0,-0.286981,50000
2003-05-28,179.0,179.0,167.0,167.0,-0.28191700000000003,0
2003-05-29,180.0,180.0,170.0,170.0,-0.286981,0
2003-06-02,180.0,180.0,180.0,180.0,-0.303863,550000
2003-06-03,180.0,180.0,180.0,180.0,-0.303863,1000000
2003-06-04,180.0,180.0,170.0,170.0,-0.286981,0
2003-06-05,180.0,180.0,180.0,180.0,-0.303863,500000
2003-06-06,189.0,189.0,166.0,166.0,-0.280229,0
2003-06-09,180.0,180.0,180.0,180.0,-0.303863,125000
2003-06-10,180.0,192.0,180.0,192.0,-0.32411999999999996,1500000
2003-06-11,200.0,200.0,166.0,166.0,-0.280229,0
2003-06-12,200.0,200.0,166.0,166.0,-0.280229,0
2003-06-13,200.0,200.0,166.0,166.0,-0.280229,0
2003-06-16,200.0,200.0,166.0,166.0,-0.280229,0
2003-06-17,190.0,190.0,166.0,166.0,-0.280229,0
2003-06-18,190.0,190.0,166.0,166.0,-0.280229,0
2003-06-19,190.0,190.0,166.0,166.0,-0.280229,0
2003-06-20,190.0,190.0,168.0,168.0,-0.283605,0
