Date,Open,High,Low,Close,Adj Close,Volume
2017-12-13,254.0,254.0,240.0,254.0,254.0,14814900
2017-12-14,316.0,316.0,316.0,316.0,316.0,6724800
2017-12-15,346.0,394.0,238.0,394.0,394.0,54183500
2017-12-18,400.0,492.0,380.0,492.0,492.0,25664000
2017-12-19,550.0,615.0,370.0,370.0,370.0,88539400
2017-12-20,368.0,462.0,282.0,462.0,462.0,57943400
2017-12-21,484.0,575.0,482.0,575.0,575.0,20541800
2017-12-22,590.0,715.0,550.0,635.0,635.0,31550300
2017-12-25,635.0,635.0,635.0,635.0,635.0,0
2017-12-26,635.0,635.0,635.0,635.0,635.0,0
2017-12-27,635.0,740.0,630.0,650.0,650.0,9519800
2017-12-28,625.0,680.0,610.0,625.0,625.0,4446700
2017-12-29,625.0,635.0,570.0,605.0,605.0,3657200
2018-01-01,605.0,605.0,605.0,605.0,605.0,0
2018-01-02,605.0,630.0,595.0,610.0,610.0,1057900
2018-01-03,610.0,640.0,600.0,620.0,620.0,1985100
2018-01-04,620.0,620.0,575.0,575.0,575.0,1017800
2018-01-05,575.0,650.0,575.0,605.0,605.0,3093000
2018-01-08,620.0,620.0,585.0,590.0,590.0,1472600
2018-01-09,590.0,605.0,580.0,600.0,600.0,2286700
2018-01-10,605.0,650.0,590.0,605.0,605.0,3691900
2018-01-11,600.0,615.0,585.0,600.0,600.0,343800
2018-01-12,585.0,600.0,580.0,600.0,600.0,1037700
2018-01-15,600.0,600.0,575.0,600.0,600.0,1181300
2018-01-16,585.0,605.0,580.0,600.0,600.0,1206400
2018-01-17,585.0,595.0,580.0,590.0,590.0,1031200
2018-01-18,580.0,585.0,540.0,540.0,540.0,610800
2018-01-19,540.0,560.0,488.0,498.0,498.0,1110200
2018-01-22,498.0,505.0,488.0,496.0,496.0,293900
2018-01-23,488.0,500.0,452.0,462.0,462.0,699000
2018-01-24,466.0,575.0,466.0,575.0,575.0,1947900
2018-01-25,595.0,690.0,510.0,560.0,560.0,6026500
2018-01-26,560.0,565.0,525.0,535.0,535.0,368500
2018-01-29,535.0,600.0,440.0,450.0,450.0,8378200
2018-01-30,454.0,458.0,398.0,400.0,400.0,11750600
2018-01-31,400.0,418.0,380.0,400.0,400.0,2441000
2018-02-01,404.0,408.0,386.0,398.0,398.0,1906500
2018-02-02,398.0,408.0,394.0,396.0,396.0,655000
2018-02-05,410.0,410.0,396.0,400.0,400.0,1059000
2018-02-06,400.0,404.0,364.0,370.0,370.0,1514700
2018-02-07,380.0,380.0,368.0,372.0,372.0,652000
2018-02-08,372.0,394.0,348.0,352.0,352.0,2825400
2018-02-09,350.0,350.0,330.0,336.0,336.0,989600
2018-02-12,350.0,350.0,322.0,326.0,326.0,2092300
2018-02-13,330.0,334.0,320.0,320.0,320.0,1501700
2018-02-14,320.0,326.0,296.0,300.0,300.0,3223600
2018-02-15,320.0,324.0,298.0,300.0,300.0,8561200
2018-02-16,300.0,300.0,300.0,300.0,300.0,0
2018-02-19,304.0,308.0,298.0,300.0,300.0,1921900
2018-02-20,300.0,302.0,296.0,296.0,296.0,620200
2018-02-21,296.0,308.0,296.0,298.0,298.0,2937000
2018-02-22,302.0,338.0,296.0,300.0,300.0,11156000
2018-02-23,304.0,310.0,290.0,292.0,292.0,5907400
2018-02-26,296.0,298.0,286.0,286.0,286.0,1598400
2018-02-27,286.0,290.0,274.0,276.0,276.0,2126600
2018-02-28,276.0,284.0,262.0,266.0,266.0,2151200
2018-03-01,266.0,274.0,262.0,266.0,266.0,837200
2018-03-02,264.0,268.0,252.0,258.0,258.0,767000
2018-03-05,260.0,264.0,252.0,252.0,252.0,618100
