Date,Open,High,Low,Close,Adj Close,Volume
2010-01-12,730.0,740.0,700.0,730.0,610.45813,37127000
2010-01-13,720.0,730.0,700.0,720.0,602.095642,855000
2010-01-14,700.0,720.0,700.0,700.0,585.37085,575500
2010-01-15,630.0,710.0,630.0,630.0,526.833801,331500
2010-01-19,640.0,640.0,570.0,640.0,535.196045,580500
2010-01-20,610.0,640.0,590.0,610.0,510.10888700000004,69000
2010-01-21,570.0,610.0,570.0,570.0,476.659149,232000
2010-01-22,550.0,600.0,500.0,550.0,459.93408200000005,98000
2010-01-25,570.0,570.0,550.0,570.0,476.659149,26500
2010-01-27,570.0,570.0,520.0,570.0,476.659149,42000
2010-01-28,600.0,600.0,560.0,600.0,501.74636799999996,21500
2010-01-29,580.0,580.0,520.0,580.0,485.021545,105500
2010-02-01,580.0,580.0,580.0,580.0,485.021545,105500
2010-02-02,600.0,600.0,570.0,600.0,501.74636799999996,115000
2010-02-03,590.0,590.0,540.0,590.0,493.38397199999997,17500
2010-02-04,540.0,560.0,540.0,540.0,451.57177699999994,61000
2010-02-05,560.0,560.0,520.0,560.0,468.2966,68000
2010-02-08,520.0,560.0,520.0,520.0,434.846924,3000
2010-02-09,510.0,550.0,500.0,510.0,426.484375,56000
2010-02-10,520.0,540.0,520.0,520.0,434.846924,27000
2010-02-11,520.0,540.0,510.0,520.0,434.846924,272500
2010-02-12,540.0,540.0,520.0,540.0,451.57177699999994,244000
2010-02-15,540.0,540.0,540.0,540.0,451.57177699999994,25000
2010-02-16,520.0,520.0,520.0,520.0,434.846924,12500
2010-02-17,530.0,530.0,530.0,530.0,443.20932,37000
2010-02-18,530.0,540.0,530.0,530.0,443.20932,42000
2010-02-19,530.0,530.0,530.0,530.0,443.20932,42000
2010-02-22,530.0,530.0,530.0,530.0,443.20932,42000
2010-02-23,530.0,530.0,510.0,530.0,443.20932,156000
2010-02-24,500.0,510.0,500.0,500.0,418.121979,36500
2010-02-25,500.0,510.0,500.0,500.0,418.121979,30500
2010-03-01,500.0,500.0,500.0,500.0,418.121979,50500
