Date,Open,High,Low,Close,Adj Close,Volume
2002-01-17,220.0,220.0,220.0,220.0,151.29350300000002,191500
2002-01-18,295.0,295.0,295.0,295.0,202.87081899999998,152000
2002-01-21,395.0,395.0,395.0,395.0,271.640594,152000
2002-01-22,525.0,530.0,500.0,530.0,364.479736,6789000
2002-01-23,525.0,600.0,500.0,525.0,361.04126,13066500
2002-01-24,525.0,550.0,475.0,475.0,326.65640299999995,8628500
2002-01-25,480.0,520.0,450.0,460.0,316.340912,54788000
2002-01-28,460.0,460.0,400.0,400.0,275.07901,2230500
2002-01-29,405.0,405.0,360.0,365.0,251.009628,1007000
2002-01-30,360.0,360.0,345.0,355.0,244.13264500000002,2283000
2002-02-01,380.0,430.0,380.0,425.0,292.271484,5672500
2002-02-04,425.0,450.0,420.0,445.0,306.025421,2715500
2002-02-05,445.0,450.0,435.0,440.0,302.58700600000003,1757500
2002-02-06,445.0,455.0,440.0,440.0,302.58700600000003,2522500
2002-02-07,445.0,445.0,435.0,440.0,302.58700600000003,2060500
2002-02-08,440.0,450.0,435.0,445.0,306.025421,897500
2002-02-11,445.0,455.0,445.0,445.0,306.025421,1143000
2002-02-13,445.0,450.0,440.0,445.0,306.025421,1062500
2002-02-14,440.0,450.0,440.0,450.0,309.46392799999995,246000
2002-02-15,445.0,450.0,440.0,445.0,306.025421,1464000
2002-02-18,445.0,470.0,445.0,470.0,323.217926,2846500
2002-02-19,470.0,485.0,465.0,485.0,333.533325,2461500
2002-02-20,480.0,500.0,480.0,500.0,343.848785,3621500
2002-02-21,500.0,525.0,475.0,500.0,343.848785,2894000
2002-02-25,525.0,525.0,475.0,500.0,343.848785,121000
2002-02-26,500.0,500.0,475.0,500.0,343.848785,243500
2002-02-27,500.0,500.0,475.0,475.0,326.65640299999995,115000
2002-02-28,485.0,485.0,480.0,480.0,330.094849,1547500
2002-03-01,480.0,500.0,480.0,495.0,340.410309,3825500
2002-03-04,500.0,500.0,475.0,490.0,336.971863,417500
2002-03-05,480.0,490.0,475.0,490.0,336.971863,594500
2002-03-06,480.0,485.0,460.0,475.0,326.65640299999995,1365500
2002-03-07,475.0,475.0,450.0,450.0,309.46392799999995,908000
2002-03-08,445.0,460.0,445.0,450.0,309.46392799999995,355000
2002-03-11,440.0,440.0,440.0,440.0,302.58700600000003,11000
2002-03-12,435.0,450.0,435.0,450.0,309.46392799999995,121000
2002-03-13,435.0,440.0,435.0,440.0,302.58700600000003,35000
2002-03-14,425.0,425.0,425.0,425.0,292.271484,20000
2002-03-18,420.0,420.0,420.0,420.0,288.833008,47500
2002-03-19,425.0,430.0,425.0,425.0,292.271484,30000
2002-03-20,425.0,425.0,420.0,420.0,288.833008,27000
2002-03-21,420.0,440.0,420.0,440.0,302.58700600000003,18500
2002-03-22,425.0,425.0,420.0,420.0,288.833008,28000
2002-03-25,420.0,425.0,420.0,420.0,288.833008,70000
2002-03-26,420.0,460.0,420.0,460.0,316.340912,1026000
2002-03-27,460.0,480.0,440.0,440.0,302.58700600000003,3162000
2002-03-28,445.0,445.0,435.0,435.0,299.148499,211000
2002-04-01,435.0,435.0,435.0,435.0,299.148499,75000
2002-04-02,435.0,435.0,435.0,435.0,299.148499,12500
2002-04-03,430.0,435.0,430.0,435.0,299.148499,7500
2002-04-04,435.0,435.0,430.0,430.0,295.709991,135000
2002-04-05,470.0,470.0,435.0,435.0,299.148499,0
2002-04-08,470.0,470.0,435.0,435.0,299.148499,0
2002-04-09,440.0,440.0,440.0,440.0,302.58700600000003,10000
2002-04-10,435.0,435.0,435.0,435.0,299.148499,19000
2002-04-11,450.0,460.0,440.0,440.0,302.58700600000003,440000
2002-04-12,430.0,430.0,425.0,430.0,295.709991,68000
2002-04-15,440.0,480.0,440.0,460.0,316.340912,2135000
2002-04-16,465.0,510.0,465.0,510.0,350.725769,4051000
2002-04-17,525.0,625.0,525.0,625.0,429.81100499999997,3228500
2002-04-18,625.0,675.0,625.0,675.0,464.19595300000003,2295500
2002-04-19,675.0,700.0,650.0,700.0,481.38830599999994,621500
2002-04-22,700.0,775.0,700.0,775.0,532.9656980000001,2556500
2002-04-23,800.0,850.0,775.0,850.0,584.5429690000001,1302000
2002-04-24,850.0,900.0,825.0,850.0,584.5429690000001,415500
2002-04-25,850.0,1025.0,775.0,1025.0,704.890076,2265500
2002-04-26,1025.0,1050.0,1000.0,1025.0,704.890076,336500
2002-04-29,1025.0,1025.0,1000.0,1025.0,704.890076,173500
2002-04-30,1000.0,1025.0,1000.0,1025.0,704.890076,90000
2002-05-01,1025.0,1200.0,1000.0,1150.0,790.852295,1481500
2002-05-02,1150.0,1200.0,1125.0,1175.0,808.044617,37000
2002-05-03,950.0,950.0,925.0,925.0,636.1203,5000
2002-05-06,800.0,1200.0,775.0,1200.0,825.237183,321000
2002-05-07,1200.0,1200.0,1150.0,1150.0,790.852295,15000
2002-05-08,1200.0,1275.0,1200.0,1200.0,825.237183,71500
2002-05-10,1225.0,1225.0,1150.0,1225.0,842.429504,80000
2002-05-13,1250.0,1250.0,1000.0,1000.0,687.697571,0
2002-05-14,1250.0,1250.0,1000.0,1000.0,687.697571,0
2002-05-15,1000.0,1225.0,1000.0,1225.0,842.429504,77000
2002-05-16,1200.0,1200.0,1175.0,1200.0,825.237183,145000
2002-05-17,1175.0,1175.0,1000.0,1000.0,687.697571,0
2002-05-20,1200.0,1200.0,1200.0,1200.0,825.237183,21000
2002-05-21,1225.0,1225.0,1000.0,1000.0,687.697571,0
2002-05-22,1000.0,1000.0,1000.0,1000.0,687.697571,5500
2002-05-23,1000.0,1150.0,1000.0,1150.0,790.852295,16500
2002-05-24,1250.0,1250.0,1050.0,1050.0,722.08252,0
2002-05-27,1000.0,1200.0,1000.0,1200.0,825.237183,118000
2002-05-28,1200.0,1200.0,1100.0,1100.0,756.4674679999999,0
2002-05-29,1075.0,1225.0,1075.0,1225.0,842.429504,187000
2002-05-30,1225.0,1225.0,1150.0,1225.0,842.429504,212000
2002-05-31,1250.0,1250.0,1150.0,1150.0,790.852295,0
2002-06-03,1300.0,1300.0,1000.0,1000.0,687.697571,0
2002-06-04,1225.0,1225.0,1000.0,1000.0,687.697571,0
2002-06-05,1250.0,1250.0,1050.0,1050.0,722.08252,0
2002-06-07,1200.0,1200.0,1000.0,1000.0,687.697571,0
2002-06-10,1200.0,1200.0,1000.0,1000.0,687.697571,0
2002-06-12,1200.0,1200.0,900.0,900.0,618.9278559999999,0
2002-06-13,1200.0,1200.0,900.0,900.0,618.9278559999999,0
2002-06-14,1000.0,1150.0,1000.0,1150.0,790.852295,19000
2002-06-17,1125.0,1125.0,1000.0,1000.0,687.697571,0
2002-06-18,1000.0,1125.0,1000.0,1125.0,773.659912,1000
2002-06-19,1025.0,1150.0,1025.0,1150.0,790.852295,12500
2002-06-20,1125.0,1125.0,1025.0,1025.0,704.890076,0
2002-06-21,1150.0,1150.0,950.0,950.0,653.312805,0
2002-06-24,1150.0,1150.0,950.0,950.0,653.312805,0
2002-06-25,1200.0,1200.0,950.0,950.0,653.312805,0
2002-06-26,1150.0,1150.0,1000.0,1000.0,687.697571,0
2002-06-27,1100.0,1100.0,1000.0,1000.0,687.697571,0
2002-06-28,1100.0,1100.0,1000.0,1000.0,687.697571,0
2002-07-01,950.0,950.0,950.0,950.0,653.312805,2500
2002-07-02,1050.0,1050.0,1050.0,1050.0,722.08252,1500
2002-07-03,1050.0,1050.0,750.0,750.0,515.773254,0
2002-07-04,1050.0,1050.0,1050.0,1050.0,722.08252,1000
2002-07-08,800.0,1050.0,800.0,1050.0,722.08252,19000
2002-07-09,1025.0,1025.0,850.0,850.0,584.5429690000001,0
2002-07-10,1000.0,1000.0,875.0,875.0,601.735413,0
2002-07-11,875.0,975.0,875.0,950.0,653.312805,7000
2002-07-12,1000.0,1025.0,875.0,1000.0,687.697571,15000
2002-07-15,975.0,975.0,875.0,875.0,601.735413,0
2002-07-16,875.0,975.0,850.0,975.0,670.5051269999999,9500
2002-07-17,950.0,950.0,850.0,850.0,584.5429690000001,0
2002-07-18,850.0,950.0,850.0,950.0,653.312805,8500
2002-07-19,950.0,950.0,850.0,850.0,584.5429690000001,0
2002-07-22,950.0,950.0,825.0,825.0,567.350586,0
2002-07-23,850.0,925.0,850.0,925.0,636.1203,1000
2002-07-24,825.0,825.0,825.0,825.0,567.350586,500
2002-07-25,900.0,900.0,800.0,800.0,550.15802,0
2002-07-26,925.0,925.0,925.0,925.0,636.1203,500
2002-07-29,925.0,925.0,800.0,800.0,550.15802,0
2002-07-30,800.0,850.0,800.0,850.0,584.5429690000001,76500
2002-07-31,775.0,800.0,750.0,800.0,550.15802,15000
2002-08-01,675.0,800.0,650.0,800.0,550.15802,9500
2002-08-02,850.0,850.0,650.0,650.0,447.00344800000005,64000
2002-08-05,800.0,800.0,800.0,800.0,550.15802,500
2002-08-06,575.0,775.0,575.0,775.0,532.9656980000001,1000
2002-08-07,700.0,700.0,700.0,700.0,481.38830599999994,500
2002-08-08,800.0,800.0,500.0,500.0,343.848785,0
2002-08-09,800.0,800.0,550.0,550.0,378.23373399999997,0
2002-08-12,825.0,825.0,825.0,825.0,567.350586,500
2002-08-13,600.0,775.0,600.0,775.0,532.9656980000001,3000
2002-08-14,775.0,775.0,575.0,575.0,395.426147,0
2002-08-15,575.0,700.0,550.0,700.0,481.38830599999994,5500
2002-08-16,750.0,750.0,500.0,500.0,343.848785,0
2002-08-19,750.0,750.0,750.0,750.0,515.773254,500
2002-08-20,550.0,750.0,525.0,750.0,515.773254,39000
2002-08-21,550.0,650.0,550.0,650.0,447.00344800000005,20500
