Date,Open,High,Low,Close,Adj Close,Volume
2012-07-05,460.0,480.0,420.0,460.0,453.52111799999994,105901504
2012-07-06,455.0,465.0,435.0,455.0,448.59155300000003,50042500
2012-07-09,470.0,470.0,445.0,470.0,463.38027999999997,22980500
2012-07-10,465.0,470.0,455.0,465.0,458.45071399999995,7526000
2012-07-11,455.0,455.0,450.0,455.0,448.59155300000003,3917500
2012-07-12,445.0,455.0,440.0,445.0,438.732391,5098000
2012-07-13,450.0,450.0,430.0,450.0,443.66195700000003,3632000
2012-07-16,455.0,455.0,440.0,455.0,448.59155300000003,1717500
2012-07-17,445.0,455.0,445.0,445.0,438.732391,2628000
2012-07-18,465.0,465.0,445.0,465.0,458.45071399999995,15468000
2012-07-19,470.0,475.0,455.0,470.0,463.38027999999997,19968000
2012-07-20,465.0,475.0,465.0,465.0,458.45071399999995,2059500
2012-07-23,465.0,465.0,450.0,465.0,458.45071399999995,4402500
2012-07-24,500.0,500.0,460.0,500.0,492.957733,31609500
2012-07-25,530.0,530.0,495.0,530.0,522.535217,21433500
2012-07-26,530.0,540.0,520.0,530.0,522.535217,4845500
2012-07-27,540.0,550.0,510.0,540.0,532.394348,6557500
2012-07-30,530.0,550.0,520.0,530.0,522.535217,4204000
2012-07-31,520.0,530.0,510.0,520.0,512.676025,2750500
2012-08-01,520.0,520.0,490.0,520.0,512.676025,2228000
2012-08-02,510.0,520.0,500.0,510.0,502.81689500000005,1459500
2012-08-03,510.0,530.0,500.0,510.0,502.81689500000005,12014000
2012-08-06,510.0,520.0,510.0,510.0,502.81689500000005,6376000
2012-08-07,530.0,530.0,510.0,530.0,522.535217,8953500
2012-08-08,530.0,530.0,510.0,530.0,522.535217,4160500
2012-08-09,540.0,550.0,520.0,540.0,532.394348,15916500
2012-08-10,560.0,560.0,530.0,560.0,552.112671,26362500
2012-08-13,570.0,570.0,550.0,570.0,561.9718019999999,15811000
2012-08-14,600.0,600.0,570.0,600.0,591.549316,32878000
2012-08-15,580.0,600.0,570.0,580.0,571.830994,4829000
2012-08-16,570.0,590.0,570.0,570.0,561.9718019999999,3903000
2012-08-23,580.0,580.0,570.0,580.0,571.830994,363000
2012-08-24,560.0,570.0,550.0,560.0,552.112671,1509500
2012-08-27,570.0,580.0,560.0,570.0,561.9718019999999,525500
2012-08-28,570.0,580.0,560.0,570.0,561.9718019999999,24708000
2012-08-29,560.0,570.0,550.0,560.0,552.112671,23561500
2012-08-30,570.0,570.0,550.0,570.0,561.9718019999999,3011000
2012-08-31,570.0,570.0,560.0,570.0,561.9718019999999,1505500
2012-09-03,580.0,580.0,550.0,580.0,571.830994,16521000
2012-09-04,600.0,610.0,580.0,600.0,591.549316,45315000
2012-09-05,620.0,620.0,600.0,620.0,611.2675780000001,14916000
2012-09-06,630.0,630.0,620.0,630.0,621.12677,17647500
2012-09-07,670.0,670.0,630.0,670.0,660.563354,34928000
2012-09-10,660.0,680.0,660.0,660.0,650.7042240000001,18641000
2012-09-11,660.0,670.0,650.0,660.0,650.7042240000001,7187000
2012-09-12,680.0,680.0,660.0,680.0,670.422546,9534000
2012-09-13,690.0,700.0,670.0,690.0,680.281677,16481500
2012-09-14,710.0,710.0,690.0,710.0,700.0,14565500
2012-09-17,690.0,710.0,680.0,690.0,680.281677,14822500
2012-09-18,680.0,700.0,670.0,680.0,670.422546,19872000
2012-09-19,690.0,700.0,670.0,690.0,680.281677,13556000
2012-09-20,680.0,700.0,670.0,680.0,670.422546,5956500
2012-09-21,690.0,690.0,670.0,690.0,680.281677,8177500
2012-09-24,680.0,690.0,670.0,680.0,670.422546,2686500
2012-09-25,680.0,690.0,670.0,680.0,670.422546,1764500
2012-09-26,680.0,690.0,670.0,680.0,670.422546,6800500
2012-09-27,700.0,710.0,670.0,700.0,690.140808,21206000
2012-09-28,730.0,740.0,700.0,730.0,719.718323,31783000
2012-10-01,720.0,730.0,700.0,720.0,709.8591309999999,10820500
2012-10-02,710.0,720.0,700.0,710.0,700.0,6225500
2012-10-03,700.0,710.0,680.0,700.0,690.140808,6850000
2012-10-04,690.0,700.0,680.0,690.0,680.281677,1920000
2012-10-05,700.0,710.0,680.0,700.0,690.140808,22782000
2012-10-08,690.0,700.0,670.0,690.0,680.281677,4313500
2012-10-09,680.0,690.0,670.0,680.0,670.422546,7942500
2012-10-10,670.0,680.0,640.0,670.0,660.563354,14701500
2012-10-11,660.0,670.0,650.0,660.0,650.7042240000001,4264500
2012-10-12,660.0,670.0,650.0,660.0,650.7042240000001,7392000
2012-10-15,660.0,660.0,640.0,660.0,650.7042240000001,10885500
2012-10-16,650.0,650.0,630.0,650.0,640.845093,6887500
2012-10-17,650.0,650.0,640.0,650.0,640.845093,1699000
2012-10-18,670.0,670.0,630.0,670.0,660.563354,13290000
2012-10-19,690.0,710.0,670.0,690.0,680.281677,29951000
2012-10-22,680.0,690.0,670.0,680.0,670.422546,3252000
2012-10-23,670.0,690.0,660.0,670.0,660.563354,11423500
2012-10-24,650.0,680.0,650.0,650.0,640.845093,14303500
2012-10-25,660.0,670.0,640.0,660.0,650.7042240000001,12633500
2012-10-29,650.0,660.0,640.0,650.0,640.845093,10675500
2012-10-30,650.0,650.0,630.0,650.0,640.845093,8435500
2012-10-31,650.0,650.0,630.0,650.0,640.845093,5262000
2012-11-01,650.0,650.0,630.0,650.0,640.845093,1913000
2012-11-02,660.0,660.0,640.0,660.0,650.7042240000001,8180000
2012-11-05,650.0,660.0,630.0,650.0,640.845093,5104000
2012-11-06,640.0,650.0,630.0,640.0,630.985901,4279000
2012-11-07,640.0,640.0,630.0,640.0,630.985901,3497500
2012-11-08,620.0,640.0,600.0,620.0,611.2675780000001,10207000
2012-11-09,620.0,620.0,590.0,620.0,611.2675780000001,14103500
2012-11-12,640.0,650.0,620.0,640.0,630.985901,30489500
2012-11-13,650.0,650.0,630.0,650.0,640.845093,11055500
2012-11-14,620.0,650.0,600.0,620.0,611.2675780000001,11542000
2012-11-19,600.0,610.0,590.0,600.0,591.549316,5617500
2012-11-20,610.0,610.0,590.0,610.0,601.408447,896500
2012-11-21,600.0,600.0,590.0,600.0,591.549316,794000
2012-11-22,600.0,610.0,590.0,600.0,591.549316,10323000
2012-11-23,600.0,610.0,580.0,600.0,591.549316,7759000
2012-11-26,620.0,620.0,600.0,620.0,611.2675780000001,25171500
2012-11-27,620.0,630.0,610.0,620.0,611.2675780000001,15342500
2012-11-28,600.0,620.0,590.0,600.0,591.549316,13449500
2012-11-29,600.0,610.0,590.0,600.0,591.549316,833500
2012-11-30,600.0,610.0,590.0,600.0,591.549316,3239000
2012-12-03,600.0,600.0,580.0,600.0,591.549316,633000
2012-12-04,600.0,600.0,560.0,600.0,591.549316,5503500
2012-12-05,600.0,610.0,590.0,600.0,591.549316,12992000
2012-12-06,600.0,600.0,580.0,600.0,591.549316,9628000
2012-12-07,600.0,600.0,580.0,600.0,591.549316,4057000
2012-12-10,600.0,600.0,580.0,600.0,591.549316,7606500
2012-12-11,590.0,600.0,580.0,590.0,581.690125,514500
2012-12-12,590.0,590.0,580.0,590.0,581.690125,3524000
2012-12-13,580.0,590.0,560.0,580.0,571.830994,3818000
2012-12-14,570.0,580.0,560.0,570.0,561.9718019999999,329000
2012-12-17,570.0,570.0,560.0,570.0,561.9718019999999,1267000
2012-12-18,590.0,590.0,560.0,590.0,581.690125,5501000
2012-12-19,600.0,610.0,590.0,600.0,591.549316,25717000
2012-12-20,590.0,600.0,580.0,590.0,581.690125,539500
2012-12-21,590.0,590.0,580.0,590.0,581.690125,242500
2012-12-26,590.0,590.0,570.0,590.0,581.690125,220000
2012-12-27,600.0,600.0,570.0,600.0,591.549316,617000
2012-12-28,600.0,600.0,580.0,600.0,591.549316,727000
2013-01-02,600.0,600.0,580.0,600.0,591.549316,730000
2013-01-03,590.0,610.0,590.0,590.0,581.690125,597500
2013-01-04,550.0,590.0,530.0,550.0,542.25354,5126000
2013-01-07,520.0,550.0,510.0,520.0,512.676025,4830500
2013-01-08,490.0,530.0,485.0,490.0,483.098572,6057000
2013-01-09,490.0,510.0,480.0,490.0,483.098572,3540000
2013-01-10,470.0,495.0,465.0,470.0,463.38027999999997,2959500
2013-01-11,460.0,475.0,460.0,460.0,453.52111799999994,1888500
2013-01-14,465.0,475.0,460.0,465.0,458.45071399999995,1013500
2013-01-15,465.0,475.0,460.0,465.0,458.45071399999995,873000
2013-01-16,455.0,465.0,450.0,455.0,448.59155300000003,2346500
2013-01-17,455.0,455.0,445.0,455.0,448.59155300000003,427500
2013-01-18,455.0,465.0,455.0,455.0,448.59155300000003,658500
2013-01-21,460.0,465.0,455.0,460.0,453.52111799999994,163500
