Date,Open,High,Low,Close,Adj Close,Volume
2002-06-28,10.34,10.34,6.815,6.815,0.882983,924819079
2002-07-01,6.815,7.285,6.345,6.58,0.852535,388212163
2002-07-02,6.58,6.58,6.345,6.58,0.852535,68626737
2002-07-03,6.345,6.815,6.11,6.815,0.882983,146126668
2002-07-04,6.815,6.815,6.58,6.815,0.882983,39276604
2002-07-05,6.345,6.58,6.345,6.58,0.852535,84264357
2002-07-08,6.58,6.58,6.345,6.58,0.852535,35253794
2002-07-09,6.345,6.58,6.345,6.58,0.852535,25030814
2002-07-10,6.345,6.345,5.17,5.405,0.700296,261827797
2002-07-11,5.405,5.405,4.935,4.935,0.639401,5467746
2002-07-12,4.7,4.935,4.465,4.935,0.639401,35041369
2002-07-15,4.7,4.935,4.7,4.935,0.639401,21680685
2002-07-16,4.935,4.935,4.7,4.935,0.639401,8680683
2002-07-17,4.7,4.7,4.7,4.7,0.608953,4414469
2002-07-18,4.7,4.7,4.7,4.7,0.608953,27838814
2002-07-19,4.7,4.7,4.7,4.7,0.608953,15318982
2002-07-22,4.7,4.7,4.7,4.7,0.608953,14520173
2002-07-23,4.7,4.7,4.7,4.7,0.608953,16350131
2002-07-24,4.7,4.7,4.23,4.465,0.5785060000000001,19574132
2002-07-25,4.465,4.465,4.23,4.465,0.5785060000000001,16285961
2002-07-26,4.23,4.23,3.995,4.23,0.548058,19020940
2002-07-29,4.23,4.465,3.995,4.23,0.548058,9636598
2002-07-30,4.23,4.465,4.23,4.23,0.548058,34286815
2002-07-31,4.23,4.465,4.23,4.465,0.5785060000000001,23616856
2002-08-01,4.23,4.465,4.23,4.465,0.5785060000000001,16755067
2002-08-02,4.23,4.465,4.23,4.465,0.5785060000000001,9625534
2002-08-05,4.23,4.23,4.23,4.23,0.548058,6806469
2002-08-06,4.23,4.23,3.995,3.995,0.51761,8722725
2002-08-07,4.23,4.23,4.23,4.23,0.548058,3668767
2002-08-08,4.23,4.23,3.995,4.23,0.548058,6051916
2002-08-09,4.23,4.23,4.23,4.23,0.548058,1360851
2002-08-12,4.23,4.23,4.23,4.23,0.548058,796596
2002-08-13,4.23,4.23,4.23,4.23,0.548058,5115916
2002-08-14,3.995,4.23,3.995,4.23,0.548058,159319
2002-08-15,4.23,4.23,3.995,4.23,0.548058,5934639
2002-08-16,3.995,4.7,3.995,4.465,0.5785060000000001,147744200
