Date,Open,High,Low,Close,Adj Close,Volume
2018-08-23,585.0,585.0,585.0,585.0,585.0,207300
2018-08-24,585.0,585.0,585.0,585.0,585.0,0
2018-08-27,910.0,910.0,900.0,910.0,910.0,45051100
2018-08-28,980.0,995.0,825.0,890.0,890.0,33981900
2018-08-29,900.0,925.0,855.0,925.0,925.0,32203700
2018-08-30,930.0,1155.0,930.0,1155.0,1155.0,26665100
2018-08-31,1170.0,1435.0,1120.0,1315.0,1315.0,39588900
2018-09-03,1350.0,1420.0,1250.0,1285.0,1285.0,9879300
2018-09-04,1285.0,1340.0,1250.0,1300.0,1300.0,14780300
2018-09-05,1290.0,1300.0,1020.0,1240.0,1240.0,15416400
2018-09-06,1240.0,1295.0,1160.0,1240.0,1240.0,9609900
2018-09-07,1220.0,1260.0,1210.0,1215.0,1215.0,4549000
2018-09-10,1215.0,1285.0,1180.0,1210.0,1210.0,20793300
2018-09-11,1210.0,1210.0,1210.0,1210.0,1210.0,0
2018-09-12,1210.0,1240.0,1165.0,1170.0,1170.0,4237900
2018-09-13,1170.0,1190.0,1110.0,1140.0,1140.0,5190900
2018-09-14,1140.0,1160.0,1100.0,1140.0,1140.0,4886700
2018-09-17,1140.0,1140.0,1080.0,1120.0,1120.0,1360800
2018-09-18,1120.0,1220.0,1115.0,1170.0,1170.0,6242000
2018-09-19,1175.0,1205.0,1140.0,1165.0,1165.0,4910400
2018-09-20,1165.0,1195.0,1155.0,1155.0,1155.0,3115300
2018-09-21,1150.0,1440.0,1130.0,1440.0,1440.0,59700800
2018-09-24,1465.0,1485.0,1250.0,1270.0,1270.0,38009500
2018-09-25,1270.0,1330.0,1270.0,1275.0,1275.0,5730900
2018-09-26,1275.0,1300.0,1200.0,1215.0,1215.0,3153100
2018-09-27,1260.0,1310.0,1215.0,1270.0,1270.0,8857500
2018-09-28,1270.0,1315.0,1220.0,1220.0,1220.0,5489700
2018-10-01,1220.0,1295.0,1220.0,1235.0,1235.0,15240500
2018-10-02,1235.0,1275.0,1230.0,1235.0,1235.0,4039000
2018-10-03,1245.0,1260.0,1240.0,1255.0,1255.0,3115900
2018-10-04,1260.0,1280.0,1230.0,1240.0,1240.0,1014000
2018-10-05,1230.0,1240.0,1190.0,1200.0,1200.0,684000
2018-10-08,1200.0,1245.0,1115.0,1120.0,1120.0,7391800
2018-10-09,1120.0,1165.0,1120.0,1135.0,1135.0,557800
2018-10-10,1130.0,1185.0,1100.0,1120.0,1120.0,777800
2018-10-11,1100.0,1100.0,1000.0,1050.0,1050.0,1481600
2018-10-12,1050.0,1080.0,1035.0,1060.0,1060.0,297700
2018-10-15,1060.0,1100.0,1000.0,1050.0,1050.0,998900
2018-10-16,1050.0,1215.0,1030.0,1185.0,1185.0,1829600
2018-10-17,1185.0,1250.0,1155.0,1225.0,1225.0,1496500
2018-10-18,1235.0,1305.0,1220.0,1230.0,1230.0,1262300
