Date,Open,High,Low,Close,Adj Close,Volume
2002-04-22,65.0,65.0,65.0,65.0,2.140892,5000
2002-04-23,65.0,65.0,65.0,65.0,2.140892,0
2002-04-24,65.0,65.0,65.0,65.0,2.140892,0
2002-04-25,75.0,75.0,75.0,75.0,2.470259,10000
2002-04-26,90.0,90.0,90.0,90.0,2.964312,5000
2002-04-29,90.0,90.0,72.5,72.5,2.387918,0
2002-04-30,115.0,115.0,80.0,112.5,3.70539,35000
2002-05-01,142.5,142.5,142.5,142.5,4.693493,5000
2002-05-02,142.5,142.5,142.5,142.5,4.693493,0
2002-05-03,142.5,142.5,142.5,142.5,4.693493,0
2002-05-06,142.5,142.5,142.5,142.5,4.693493,0
2002-05-07,142.5,142.5,142.5,142.5,4.693493,0
2002-05-08,142.5,142.5,142.5,142.5,4.693493,0
2002-05-09,142.5,142.5,142.5,142.5,4.693493,0
2002-05-10,142.5,142.5,142.5,142.5,4.693493,0
2002-05-13,182.5,182.5,182.5,182.5,6.0109639999999995,5000
2002-05-14,222.5,222.5,222.5,222.5,7.328438,5000
2002-05-15,222.5,222.5,222.5,222.5,7.328438,0
2002-05-16,222.5,222.5,222.5,222.5,7.328438,0
2002-05-17,222.5,222.5,222.5,222.5,7.328438,0
2002-05-20,222.5,222.5,222.5,222.5,7.328438,0
2002-05-21,222.5,222.5,222.5,222.5,7.328438,0
2002-05-22,222.5,222.5,222.5,222.5,7.328438,0
2002-05-23,222.5,222.5,222.5,222.5,7.328438,0
2002-05-24,222.5,222.5,222.5,222.5,7.328438,0
2002-05-27,222.5,222.5,222.5,222.5,7.328438,0
2002-05-28,222.5,222.5,222.5,222.5,7.328438,0
2002-05-29,180.0,180.0,180.0,180.0,5.928624,0
2002-05-30,180.0,180.0,180.0,180.0,5.928624,0
2002-05-31,180.0,180.0,180.0,180.0,5.928624,0
2002-06-03,180.0,180.0,180.0,180.0,5.928624,0
2002-06-04,247.5,247.5,247.5,247.5,8.151857000000001,5000
2002-06-05,247.5,247.5,247.5,247.5,8.151857000000001,0
2002-06-06,247.5,247.5,247.5,247.5,8.151857000000001,0
2002-06-07,247.5,247.5,247.5,247.5,8.151857000000001,0
2002-06-10,247.5,247.5,247.5,247.5,8.151857000000001,0
2002-06-11,247.5,247.5,247.5,247.5,8.151857000000001,0
2002-06-12,247.5,247.5,247.5,247.5,8.151857000000001,0
2002-06-13,175.0,175.0,175.0,175.0,5.763938,5000
2002-06-14,200.0,200.0,200.0,200.0,6.587358999999999,5000
2002-06-17,140.0,140.0,140.0,140.0,4.611151,5000
2002-06-18,140.0,140.0,140.0,140.0,4.611151,0
2002-06-19,140.0,140.0,140.0,140.0,4.611151,0
2002-06-20,140.0,140.0,140.0,140.0,4.611151,0
2002-06-21,140.0,140.0,140.0,140.0,4.611151,0
2002-06-24,140.0,140.0,140.0,140.0,4.611151,0
2002-06-25,140.0,140.0,140.0,140.0,4.611151,0
2002-06-26,140.0,140.0,140.0,140.0,4.611151,0
2002-06-27,140.0,140.0,140.0,140.0,4.611151,0
2002-06-28,140.0,140.0,140.0,140.0,4.611151,0
2002-07-01,140.0,140.0,140.0,140.0,4.611151,0
2002-07-02,140.0,140.0,140.0,140.0,4.611151,0
2002-07-03,140.0,140.0,140.0,140.0,4.611151,0
2002-07-04,140.0,140.0,140.0,140.0,4.611151,0
2002-07-05,140.0,140.0,140.0,140.0,4.611151,0
2002-07-08,135.0,135.0,100.0,100.0,3.293679,0
2002-07-09,100.0,100.0,100.0,100.0,3.293679,35000
2002-07-10,70.0,70.0,70.0,70.0,2.305576,30000
2002-07-11,90.0,90.0,70.0,70.0,2.305576,0
2002-07-12,90.0,90.0,70.0,70.0,2.305576,0
2002-07-15,87.5,87.5,70.0,70.0,2.305576,0
2002-07-16,87.5,87.5,70.0,70.0,2.305576,0
2002-07-17,90.0,90.0,70.0,70.0,2.305576,0
2002-07-18,90.0,90.0,70.0,70.0,2.305576,0
2002-07-19,90.0,90.0,72.5,72.5,2.387918,0
2002-07-22,75.0,75.0,70.0,70.0,2.305576,0
2002-07-23,90.0,90.0,70.0,70.0,2.305576,0
2002-07-24,90.0,90.0,70.0,70.0,2.305576,0
2002-07-25,80.0,80.0,72.5,72.5,2.387918,0
2002-07-26,80.0,80.0,70.0,70.0,2.305576,0
2002-07-29,80.0,80.0,70.0,70.0,2.305576,0
2002-07-30,70.0,70.0,70.0,70.0,2.305576,150000
2002-07-31,70.0,70.0,70.0,70.0,2.305576,0
2002-08-01,80.0,80.0,55.0,55.0,1.8115240000000001,0
2002-08-02,80.0,80.0,52.5,52.5,1.729182,0
2002-08-05,52.5,52.5,52.5,52.5,1.729182,0
2002-08-06,80.0,80.0,50.0,50.0,1.64684,0
2002-08-07,50.0,50.0,50.0,50.0,1.64684,0
2002-08-08,50.0,50.0,50.0,50.0,1.64684,0
2002-08-09,50.0,50.0,50.0,50.0,1.64684,0
2002-08-12,50.0,50.0,50.0,50.0,1.64684,0
2002-08-13,80.0,80.0,80.0,80.0,2.634943,0
2002-08-14,80.0,80.0,80.0,80.0,2.634943,0
2002-08-15,80.0,80.0,80.0,80.0,2.634943,0
2002-08-16,80.0,80.0,80.0,80.0,2.634943,0
2002-08-19,80.0,80.0,80.0,80.0,2.634943,0
2002-08-20,80.0,80.0,60.0,60.0,1.976207,0
2002-08-21,60.0,60.0,50.0,50.0,1.64684,1325000
2002-08-22,60.0,60.0,60.0,60.0,1.976207,30000
2002-08-23,60.0,60.0,60.0,60.0,1.976207,0
2002-08-26,70.0,70.0,52.5,52.5,1.729182,0
2002-08-27,70.0,70.0,52.5,52.5,1.729182,0
2002-08-28,60.0,60.0,55.0,55.0,1.8115240000000001,0
2002-08-29,50.0,50.0,50.0,50.0,1.64684,5000
2002-08-30,65.0,65.0,52.5,52.5,1.729182,0
2002-09-02,55.0,55.0,55.0,55.0,1.8115240000000001,15000
2002-09-03,60.0,60.0,52.5,52.5,1.729182,0
2002-09-04,55.0,55.0,50.0,50.0,1.64684,0
2002-09-05,60.0,60.0,50.0,50.0,1.64684,0
2002-09-06,60.0,60.0,52.5,52.5,1.729182,0
2002-09-09,55.0,55.0,50.0,50.0,1.64684,0
2002-09-10,55.0,55.0,50.0,50.0,1.64684,0
2002-09-11,50.0,50.0,50.0,50.0,1.64684,0
2002-09-12,60.0,60.0,50.0,50.0,1.64684,0
2002-09-13,50.0,50.0,50.0,50.0,1.64684,0
2002-09-16,60.0,60.0,45.0,45.0,1.482156,0
2002-09-17,60.0,60.0,40.0,40.0,1.317472,0
2002-09-18,60.0,60.0,42.5,42.5,1.399814,0
2002-09-19,40.0,40.0,40.0,40.0,1.317472,0
2002-09-20,40.0,40.0,40.0,40.0,1.317472,0
2002-09-23,60.0,60.0,40.0,40.0,1.317472,0
2002-09-24,60.0,60.0,40.0,40.0,1.317472,0
2002-09-25,40.0,40.0,40.0,40.0,1.317472,0
2002-09-26,60.0,60.0,47.5,47.5,1.564498,0
2002-09-27,40.0,40.0,40.0,40.0,1.317472,300000
2002-09-30,40.0,40.0,40.0,40.0,1.317472,0
2002-10-01,40.5,40.5,40.5,40.5,1.33394,0
