Date,Open,High,Low,Close,Adj Close,Volume
2017-10-11,120.0,170.0,120.0,170.0,170.0,72841600
2017-10-12,186.0,228.0,184.0,228.0,228.0,19929600
2017-10-13,248.0,284.0,248.0,284.0,284.0,4915200
2017-10-16,320.0,354.0,318.0,354.0,354.0,1382700
2017-10-17,442.0,442.0,442.0,442.0,442.0,756300
2017-10-18,550.0,550.0,550.0,550.0,550.0,2397300
2017-10-19,685.0,685.0,685.0,685.0,685.0,3332900
2017-10-20,685.0,685.0,685.0,685.0,685.0,0
2017-10-23,855.0,855.0,515.0,515.0,515.0,6569300
2017-10-24,388.0,400.0,388.0,388.0,388.0,1195600
2017-10-25,340.0,340.0,292.0,292.0,292.0,800700
2017-10-26,352.0,352.0,220.0,220.0,220.0,1638200
2017-10-27,165.0,274.0,165.0,274.0,274.0,24252300
2017-10-30,302.0,342.0,302.0,342.0,342.0,1722900
2017-10-31,390.0,426.0,300.0,386.0,386.0,51306300
2017-11-01,392.0,418.0,354.0,358.0,358.0,12966800
2017-11-02,360.0,370.0,334.0,342.0,342.0,7355200
2017-11-03,346.0,350.0,258.0,270.0,270.0,13463900
2017-11-06,272.0,280.0,212.0,238.0,238.0,5691900
2017-11-07,238.0,296.0,220.0,296.0,296.0,14785900
2017-11-08,310.0,364.0,308.0,326.0,326.0,18072600
2017-11-09,326.0,346.0,294.0,296.0,296.0,4077400
2017-11-10,294.0,332.0,290.0,310.0,310.0,5207000
2017-11-13,310.0,324.0,292.0,308.0,308.0,2695000
2017-11-14,310.0,318.0,298.0,300.0,300.0,1474500
2017-11-15,300.0,304.0,270.0,286.0,286.0,5040100
2017-11-16,288.0,310.0,232.0,280.0,280.0,29808300
2017-11-17,260.0,306.0,260.0,288.0,288.0,6795100
2017-11-20,288.0,298.0,278.0,282.0,282.0,854600
2017-11-21,280.0,288.0,270.0,272.0,272.0,442200
2017-11-22,272.0,274.0,256.0,256.0,256.0,2115800
2017-11-23,260.0,264.0,244.0,246.0,246.0,1852100
2017-11-24,250.0,290.0,242.0,256.0,256.0,12450200
2017-11-27,260.0,264.0,246.0,250.0,250.0,3169200
2017-11-28,250.0,254.0,230.0,238.0,238.0,4032700
2017-11-29,240.0,250.0,226.0,240.0,240.0,3673000
2017-11-30,240.0,258.0,230.0,234.0,234.0,3433900
2017-12-01,234.0,234.0,234.0,234.0,234.0,0
2017-12-04,232.0,238.0,222.0,226.0,226.0,1662000
2017-12-05,234.0,234.0,199.0,200.0,200.0,3637100
2017-12-06,206.0,206.0,166.0,170.0,170.0,10057400
2017-12-07,160.0,175.0,159.0,160.0,160.0,3063700
2017-12-08,165.0,169.0,146.0,160.0,160.0,5196800
2017-12-11,161.0,170.0,155.0,157.0,157.0,2412600
2017-12-12,153.0,164.0,146.0,147.0,147.0,988300
2017-12-13,138.0,166.0,138.0,155.0,155.0,2144600
2017-12-14,146.0,163.0,145.0,149.0,149.0,3365900
2017-12-15,139.0,151.0,138.0,141.0,141.0,2763700
2017-12-18,132.0,147.0,132.0,138.0,138.0,289300
2017-12-19,138.0,141.0,131.0,132.0,132.0,1249600
2017-12-20,132.0,132.0,116.0,118.0,118.0,3696500
2017-12-21,117.0,159.0,117.0,159.0,159.0,15001900
2017-12-22,170.0,204.0,163.0,174.0,174.0,33099600
2017-12-25,174.0,174.0,174.0,174.0,174.0,0
2017-12-26,174.0,174.0,174.0,174.0,174.0,0
2017-12-27,174.0,193.0,174.0,187.0,187.0,11090200
2017-12-28,187.0,197.0,184.0,185.0,185.0,7066200
2017-12-29,187.0,187.0,171.0,173.0,173.0,2511300
2018-01-01,173.0,173.0,173.0,173.0,173.0,0
2018-01-02,173.0,177.0,158.0,163.0,163.0,1879000
2018-01-03,154.0,165.0,154.0,159.0,159.0,1360600
2018-01-04,160.0,191.0,156.0,181.0,181.0,11996700
2018-01-05,172.0,185.0,170.0,173.0,173.0,3317200
2018-01-08,165.0,175.0,161.0,166.0,166.0,1363100
2018-01-09,158.0,170.0,158.0,161.0,161.0,1468300
2018-01-10,155.0,197.0,155.0,174.0,174.0,19823200
2018-01-11,176.0,180.0,165.0,168.0,168.0,3652200
2018-01-12,163.0,173.0,163.0,167.0,167.0,937600
2018-01-15,167.0,170.0,165.0,165.0,165.0,719300
2018-01-16,165.0,168.0,164.0,165.0,165.0,645700
2018-01-17,165.0,178.0,164.0,166.0,166.0,1804700
2018-01-18,166.0,169.0,163.0,163.0,163.0,719600
2018-01-19,166.0,166.0,163.0,165.0,165.0,241200
2018-01-22,166.0,169.0,164.0,166.0,166.0,476700
2018-01-23,169.0,190.0,168.0,180.0,180.0,14667100
2018-01-24,181.0,183.0,170.0,170.0,170.0,2259400
2018-01-25,170.0,173.0,168.0,171.0,171.0,929600
2018-01-26,172.0,172.0,168.0,171.0,171.0,616700
2018-01-29,170.0,175.0,165.0,168.0,168.0,1192000
2018-01-30,168.0,170.0,160.0,161.0,161.0,1318500
2018-01-31,161.0,168.0,160.0,163.0,163.0,1025700
2018-02-01,163.0,166.0,160.0,161.0,161.0,832300
2018-02-02,163.0,168.0,161.0,165.0,165.0,2033500
2018-02-05,163.0,168.0,161.0,165.0,165.0,578000
2018-02-06,164.0,165.0,151.0,162.0,162.0,1276700
2018-02-07,163.0,167.0,160.0,162.0,162.0,676100
2018-02-08,162.0,167.0,162.0,162.0,162.0,958200
2018-02-09,159.0,185.0,159.0,175.0,175.0,16804700
2018-02-12,175.0,196.0,175.0,180.0,180.0,38968900
2018-02-13,181.0,187.0,177.0,182.0,182.0,3656900
2018-02-14,185.0,185.0,176.0,180.0,180.0,2345300
2018-02-15,180.0,181.0,167.0,172.0,172.0,5689600
2018-02-16,172.0,172.0,172.0,172.0,172.0,0
2018-02-19,172.0,180.0,170.0,173.0,173.0,3203000
2018-02-20,176.0,181.0,170.0,172.0,172.0,2506600
2018-02-21,172.0,174.0,160.0,163.0,163.0,4401400
2018-02-22,165.0,168.0,161.0,163.0,163.0,1591200
2018-02-23,164.0,166.0,156.0,159.0,159.0,2738900
2018-02-26,160.0,170.0,158.0,160.0,160.0,2655800
2018-02-27,161.0,163.0,159.0,160.0,160.0,1491600
2018-02-28,161.0,161.0,155.0,157.0,157.0,1822300
2018-03-01,157.0,161.0,156.0,159.0,159.0,737200
2018-03-02,159.0,159.0,155.0,157.0,157.0,1210500
2018-03-05,157.0,159.0,154.0,154.0,154.0,624800
2018-03-06,156.0,158.0,150.0,153.0,153.0,1047000
2018-03-07,153.0,153.0,140.0,142.0,142.0,1428800
2018-03-08,143.0,143.0,136.0,137.0,137.0,598500
2018-03-09,137.0,156.0,136.0,143.0,143.0,1698500
2018-03-12,140.0,149.0,138.0,142.0,142.0,250100
2018-03-13,142.0,144.0,139.0,142.0,142.0,544100
2018-03-14,142.0,142.0,137.0,139.0,139.0,764600
2018-03-15,139.0,168.0,137.0,149.0,149.0,19334400
2018-03-16,152.0,163.0,142.0,144.0,144.0,3938700
2018-03-19,145.0,145.0,137.0,143.0,143.0,1441000
2018-03-20,143.0,143.0,138.0,139.0,139.0,679900
2018-03-21,142.0,155.0,140.0,147.0,147.0,2875100
2018-03-22,148.0,149.0,139.0,141.0,141.0,1300900
2018-03-23,139.0,143.0,137.0,141.0,141.0,1145000
2018-03-26,141.0,162.0,139.0,143.0,143.0,6210000
2018-03-27,144.0,160.0,142.0,143.0,143.0,12053800
2018-03-28,145.0,148.0,141.0,143.0,143.0,1587900
2018-03-29,147.0,147.0,141.0,143.0,143.0,1180500
2018-03-30,143.0,143.0,143.0,143.0,143.0,0
2018-04-02,141.0,148.0,141.0,144.0,144.0,605800
2018-04-03,139.0,145.0,139.0,142.0,142.0,911400
2018-04-04,139.0,146.0,139.0,141.0,141.0,856100
2018-04-05,144.0,148.0,139.0,140.0,140.0,488600
2018-04-06,141.0,143.0,139.0,141.0,141.0,413300
2018-04-09,141.0,143.0,137.0,139.0,139.0,1163700
2018-04-10,139.0,140.0,137.0,139.0,139.0,613500
2018-04-11,139.0,140.0,137.0,139.0,139.0,640400
2018-04-12,132.0,141.0,132.0,138.0,138.0,486000
2018-04-13,139.0,139.0,135.0,137.0,137.0,280800
2018-04-16,137.0,137.0,137.0,137.0,137.0,0
2018-04-17,137.0,137.0,137.0,137.0,137.0,0
2018-04-18,135.0,136.0,132.0,133.0,133.0,317700
2018-04-19,133.0,133.0,133.0,133.0,133.0,0
2018-04-20,133.0,133.0,133.0,133.0,133.0,0
2018-04-23,131.0,131.0,120.0,129.0,129.0,340700
2018-04-24,131.0,131.0,123.0,123.0,123.0,508200
2018-04-25,123.0,123.0,123.0,123.0,123.0,0
2018-04-26,123.0,123.0,123.0,123.0,123.0,0
2018-04-27,123.0,123.0,123.0,123.0,123.0,0
2018-04-30,119.0,125.0,117.0,118.0,118.0,457000
2018-05-01,118.0,118.0,118.0,118.0,118.0,0
2018-05-02,119.0,124.0,117.0,119.0,119.0,208100
2018-05-03,120.0,120.0,116.0,118.0,118.0,42500
2018-05-04,117.0,118.0,113.0,117.0,117.0,107600
2018-05-07,119.0,119.0,110.0,110.0,110.0,152600
2018-05-08,110.0,115.0,101.0,106.0,106.0,416400
2018-05-09,108.0,108.0,101.0,104.0,104.0,210500
2018-05-10,104.0,104.0,104.0,104.0,104.0,0
2018-05-11,105.0,119.0,103.0,108.0,108.0,2050300
2018-05-14,109.0,115.0,107.0,108.0,108.0,1677600
2018-05-15,111.0,113.0,107.0,109.0,109.0,762900
2018-05-16,107.0,112.0,107.0,108.0,108.0,102700
2018-05-17,103.0,111.0,103.0,107.0,107.0,232000
2018-05-18,109.0,144.0,106.0,127.0,127.0,25572600
2018-05-21,129.0,134.0,120.0,120.0,120.0,7440600
2018-05-22,115.0,127.0,115.0,117.0,117.0,2496100
2018-05-23,117.0,124.0,113.0,114.0,114.0,3992200
2018-05-24,114.0,118.0,111.0,114.0,114.0,1196700
2018-05-25,118.0,122.0,113.0,116.0,116.0,3172700
2018-05-28,119.0,124.0,112.0,113.0,113.0,1741700
2018-05-29,113.0,113.0,113.0,113.0,113.0,0
2018-05-30,111.0,119.0,111.0,115.0,115.0,994700
2018-05-31,111.0,118.0,111.0,113.0,113.0,1415600
2018-06-01,113.0,113.0,113.0,113.0,113.0,0
2018-06-04,114.0,116.0,111.0,111.0,111.0,366100
2018-06-05,111.0,113.0,109.0,109.0,109.0,496000
2018-06-06,109.0,110.0,108.0,110.0,110.0,173400
2018-06-07,110.0,116.0,109.0,112.0,112.0,183200
2018-06-08,113.0,113.0,109.0,110.0,110.0,42300
2018-06-11,110.0,110.0,110.0,110.0,110.0,0
2018-06-12,110.0,110.0,110.0,110.0,110.0,0
2018-06-13,110.0,110.0,110.0,110.0,110.0,0
2018-06-14,110.0,110.0,110.0,110.0,110.0,0
2018-06-15,110.0,110.0,110.0,110.0,110.0,0
2018-06-18,110.0,110.0,110.0,110.0,110.0,0
2018-06-19,110.0,110.0,110.0,110.0,110.0,0
2018-06-20,108.0,109.0,106.0,107.0,107.0,228200
2018-06-21,108.0,108.0,104.0,105.0,105.0,426400
2018-06-22,105.0,106.0,101.0,102.0,102.0,1349900
2018-06-25,100.0,103.0,99.0,102.0,102.0,224600
2018-06-26,99.0,100.0,99.0,100.0,100.0,212000
2018-06-27,94.0,104.0,94.0,100.0,100.0,91900
2018-06-28,93.0,104.0,93.0,100.0,100.0,329600
2018-06-29,100.0,100.0,95.0,97.0,97.0,591600
2018-07-02,90.0,104.0,90.0,96.0,96.0,505000
2018-07-03,88.0,98.0,82.0,83.0,83.0,1265800
2018-07-04,78.0,84.0,75.0,80.0,80.0,292500
2018-07-05,74.0,82.0,74.0,79.0,79.0,146000
2018-07-06,73.0,84.0,73.0,77.0,77.0,70800
2018-07-09,81.0,103.0,79.0,103.0,103.0,10341300
2018-07-10,112.0,113.0,89.0,92.0,92.0,8741200
2018-07-11,92.0,117.0,89.0,98.0,98.0,12053600
2018-07-12,102.0,104.0,94.0,99.0,99.0,2400600
2018-07-13,104.0,104.0,95.0,98.0,98.0,478400
2018-07-16,98.0,100.0,95.0,95.0,95.0,359600
2018-07-17,95.0,98.0,94.0,94.0,94.0,83700
2018-07-18,94.0,101.0,94.0,95.0,95.0,530900
2018-07-19,96.0,108.0,96.0,102.0,102.0,2952800
2018-07-20,105.0,135.0,102.0,111.0,111.0,6972100
2018-07-23,113.0,130.0,106.0,113.0,113.0,5387000
2018-07-24,117.0,117.0,110.0,112.0,112.0,502600
2018-07-25,116.0,116.0,104.0,109.0,109.0,643700
2018-07-26,113.0,144.0,111.0,128.0,128.0,10075400
2018-07-27,131.0,131.0,118.0,120.0,120.0,1299700
2018-07-30,124.0,124.0,117.0,121.0,121.0,264200
2018-07-31,125.0,125.0,115.0,115.0,115.0,291500
2018-08-01,120.0,130.0,115.0,121.0,121.0,2122300
2018-08-02,127.0,132.0,120.0,120.0,120.0,779200
2018-08-03,125.0,126.0,120.0,120.0,120.0,311500
2018-08-06,125.0,126.0,121.0,123.0,123.0,417300
2018-08-07,127.0,129.0,121.0,123.0,123.0,245400
2018-08-08,128.0,128.0,120.0,121.0,121.0,300800
2018-08-09,126.0,126.0,119.0,120.0,120.0,211200
2018-08-10,124.0,124.0,118.0,120.0,120.0,36300
2018-08-13,123.0,124.0,111.0,112.0,112.0,214300
2018-08-14,118.0,118.0,109.0,113.0,113.0,64100
