Date,Open,High,Low,Close,Adj Close,Volume
2013-06-27,1000.0,1270.0,1000.0,1270.0,990.50177,3
2013-06-28,1340.0,1350.0,1270.0,1280.0,998.300964,49960500
2013-07-01,1280.0,1300.0,1250.0,1250.0,974.9033810000001,10556500
2013-07-02,1250.0,1250.0,1200.0,1210.0,943.7064210000001,6081500
2013-07-03,1210.0,1210.0,1140.0,1140.0,889.111816,7174500
2013-07-04,1140.0,1180.0,1100.0,1130.0,881.312622,8952500
2013-07-05,1140.0,1150.0,1110.0,1110.0,865.7141720000001,2887500
2013-07-08,1110.0,1110.0,1030.0,1050.0,818.918762,7202000
2013-07-09,1050.0,1080.0,960.0,990.0,772.123413,2533000
2013-07-10,990.0,1040.0,980.0,1000.0,779.9226679999999,5368000
2013-07-11,1020.0,1030.0,1000.0,1010.0,787.7219240000001,1050000
2013-07-12,1010.0,1070.0,1000.0,1000.0,779.9226679999999,4823500
2013-07-15,1020.0,1020.0,990.0,1010.0,787.7219240000001,1446000
2013-07-16,1010.0,1060.0,1010.0,1040.0,811.119507,6677500
2013-07-17,1040.0,1110.0,1040.0,1060.0,826.7180179999999,5419500
2013-07-18,1060.0,1080.0,1060.0,1070.0,834.517212,3851500
2013-07-19,1090.0,1090.0,1030.0,1040.0,811.119507,3238000
2013-07-22,1040.0,1060.0,1030.0,1030.0,803.3203129999999,1078000
2013-07-23,1030.0,1050.0,1030.0,1040.0,811.119507,911000
2013-07-24,1040.0,1040.0,1000.0,1010.0,787.7219240000001,1570000
2013-07-25,1010.0,1040.0,1010.0,1010.0,787.7219240000001,2692500
2013-07-26,1010.0,1030.0,990.0,1000.0,779.9226679999999,1776000
2013-07-29,990.0,990.0,960.0,960.0,748.725769,894500
2013-07-30,970.0,990.0,960.0,980.0,764.3242190000001,1682500
2013-07-31,980.0,1020.0,960.0,1000.0,779.9226679999999,2695500
2013-08-01,1010.0,1020.0,970.0,1020.0,795.521118,2120000
2013-08-02,1020.0,1040.0,990.0,990.0,772.123413,3854500
2013-08-12,1000.0,1000.0,970.0,990.0,772.123413,1423500
2013-08-13,990.0,990.0,970.0,980.0,764.3242190000001,1824000
2013-08-14,980.0,1050.0,980.0,1010.0,787.7219240000001,6562000
2013-08-15,1030.0,1030.0,1000.0,1000.0,779.9226679999999,1567000
2013-08-16,1000.0,1000.0,990.0,1000.0,779.9226679999999,979000
2013-08-19,1000.0,1000.0,930.0,930.0,725.3280639999999,1678500
2013-08-20,930.0,930.0,830.0,900.0,701.93042,1502500
2013-08-21,900.0,950.0,890.0,910.0,709.729614,2831000
2013-08-22,900.0,900.0,880.0,890.0,694.131165,607500
2013-08-23,900.0,910.0,870.0,880.0,686.331909,229500
2013-08-26,920.0,920.0,860.0,860.0,670.733459,180500
2013-08-27,860.0,860.0,750.0,750.0,584.941956,2377000
2013-08-28,700.0,830.0,700.0,830.0,647.335815,531500
2013-08-29,830.0,830.0,770.0,790.0,616.138916,1026000
2013-08-30,790.0,810.0,750.0,790.0,616.138916,1552000
2013-09-02,770.0,800.0,750.0,750.0,584.941956,85500
2013-09-03,760.0,780.0,750.0,770.0,600.540466,83000
2013-09-04,760.0,760.0,760.0,760.0,592.741211,1000
2013-09-05,750.0,800.0,750.0,780.0,608.3397219999999,335000
2013-09-06,770.0,770.0,740.0,740.0,577.142822,8000
2013-09-09,740.0,770.0,740.0,760.0,592.741211,25000
2013-09-10,780.0,830.0,780.0,820.0,639.536621,447000
2013-09-11,830.0,830.0,800.0,820.0,639.536621,916500
2013-09-12,820.0,830.0,800.0,830.0,647.335815,214000
2013-09-13,790.0,830.0,790.0,830.0,647.335815,593500
2013-09-16,830.0,830.0,810.0,810.0,631.7373660000001,176500
2013-09-17,800.0,830.0,800.0,800.0,623.9381099999999,74000
2013-09-18,810.0,830.0,800.0,830.0,647.335815,270500
2013-09-19,870.0,950.0,800.0,880.0,686.331909,683500
2013-09-20,850.0,880.0,820.0,830.0,647.335815,119000
2013-09-23,830.0,830.0,820.0,830.0,647.335815,32000
2013-09-24,830.0,830.0,790.0,790.0,616.138916,198000
2013-09-25,770.0,770.0,770.0,770.0,600.540466,50000
2013-09-26,800.0,800.0,790.0,790.0,616.138916,12000
2013-09-27,830.0,840.0,830.0,830.0,647.335815,550000
2013-09-30,830.0,830.0,780.0,790.0,616.138916,130500
2013-10-01,800.0,800.0,790.0,790.0,616.138916,43000
2013-10-02,780.0,800.0,750.0,800.0,623.9381099999999,85000
2013-10-03,800.0,820.0,780.0,820.0,639.536621,121500
2013-10-04,800.0,820.0,790.0,820.0,639.536621,42000
2013-10-07,810.0,810.0,780.0,800.0,623.9381099999999,96500
2013-10-08,780.0,780.0,780.0,780.0,608.3397219999999,6500
2013-10-09,780.0,780.0,780.0,780.0,608.3397219999999,19500
2013-10-10,770.0,770.0,770.0,770.0,600.540466,21000
2013-10-11,790.0,790.0,770.0,770.0,600.540466,21500
2013-10-16,720.0,790.0,720.0,790.0,616.138916,661500
2013-10-17,760.0,790.0,760.0,790.0,616.138916,148500
2013-10-18,760.0,790.0,760.0,790.0,616.138916,291500
2013-10-21,780.0,790.0,770.0,790.0,616.138916,122000
2013-10-22,790.0,790.0,770.0,790.0,616.138916,15500
2013-10-23,790.0,790.0,770.0,790.0,616.138916,175000
2013-10-24,780.0,790.0,770.0,790.0,616.138916,208000
2013-10-25,790.0,810.0,790.0,790.0,616.138916,280500
2013-10-28,790.0,860.0,770.0,830.0,647.335815,1728500
2013-10-29,830.0,890.0,830.0,860.0,670.733459,2640500
2013-10-30,860.0,870.0,830.0,870.0,678.532715,2467500
2013-10-31,870.0,930.0,860.0,910.0,709.729614,4422500
2013-11-01,910.0,910.0,850.0,890.0,694.131165,2113000
2013-11-04,900.0,900.0,880.0,880.0,686.331909,789500
2013-11-06,880.0,880.0,860.0,870.0,678.532715,1307500
2013-11-07,870.0,900.0,860.0,900.0,701.93042,2225000
2013-11-08,900.0,900.0,890.0,890.0,694.131165,1080000
2013-11-11,890.0,900.0,850.0,870.0,678.532715,1714500
2013-11-12,870.0,870.0,840.0,870.0,678.532715,3913500
2013-11-13,860.0,860.0,810.0,860.0,670.733459,745000
2013-11-14,860.0,860.0,830.0,850.0,662.934265,938500
2013-11-15,860.0,880.0,840.0,840.0,655.135071,864500
2013-11-18,840.0,850.0,810.0,830.0,647.335815,1516000
2013-11-19,830.0,840.0,820.0,840.0,655.135071,716500
2013-11-20,840.0,840.0,810.0,810.0,631.7373660000001,808500
2013-11-21,810.0,830.0,810.0,830.0,647.335815,893500
2013-11-22,830.0,850.0,800.0,800.0,623.9381099999999,2377500
2013-11-25,800.0,810.0,800.0,810.0,631.7373660000001,819500
2013-11-26,810.0,820.0,810.0,810.0,631.7373660000001,1036000
2013-11-27,810.0,810.0,790.0,800.0,623.9381099999999,836500
2013-11-28,800.0,800.0,780.0,780.0,608.3397219999999,154500
2013-11-29,790.0,800.0,780.0,800.0,623.9381099999999,293500
2013-12-02,800.0,840.0,800.0,810.0,631.7373660000001,1358000
2013-12-03,810.0,820.0,790.0,800.0,623.9381099999999,422000
2013-12-04,800.0,800.0,790.0,800.0,623.9381099999999,233000
2013-12-05,800.0,800.0,790.0,800.0,623.9381099999999,279500
2013-12-06,800.0,800.0,780.0,790.0,616.138916,144000
2013-12-09,790.0,800.0,790.0,790.0,616.138916,257500
2013-12-10,790.0,790.0,780.0,780.0,608.3397219999999,123000
2013-12-11,780.0,780.0,780.0,780.0,608.3397219999999,83500
2013-12-12,780.0,780.0,770.0,770.0,600.540466,138000
2013-12-13,770.0,770.0,750.0,760.0,592.741211,189000
2013-12-16,760.0,760.0,750.0,750.0,584.941956,169500
2013-12-17,760.0,760.0,750.0,750.0,584.941956,213500
2013-12-18,760.0,760.0,720.0,720.0,561.544312,377500
2013-12-19,720.0,720.0,700.0,700.0,545.945801,298500
2013-12-20,700.0,710.0,700.0,700.0,545.945801,75500
2013-12-23,700.0,700.0,690.0,690.0,538.1466059999999,154500
2013-12-24,690.0,690.0,680.0,690.0,538.1466059999999,90500
2013-12-27,690.0,700.0,670.0,690.0,538.1466059999999,229500
2013-12-30,690.0,700.0,670.0,670.0,522.5481570000001,604500
2014-01-02,680.0,700.0,680.0,690.0,538.1466059999999,198000
2014-01-03,680.0,700.0,680.0,690.0,538.1466059999999,188000
2014-01-06,690.0,690.0,680.0,690.0,538.1466059999999,203100
2014-01-07,690.0,690.0,670.0,680.0,530.347412,286700
2014-01-08,680.0,685.0,670.0,685.0,534.24707,186000
2014-01-09,680.0,685.0,680.0,680.0,530.347412,128900
2014-01-10,680.0,680.0,675.0,680.0,530.347412,61900
2014-01-13,690.0,700.0,680.0,695.0,542.046204,1006000
2014-01-15,695.0,705.0,695.0,695.0,542.046204,981300
2014-01-16,695.0,695.0,685.0,685.0,534.24707,491800
2014-01-17,685.0,685.0,665.0,670.0,522.5481570000001,796400
2014-01-20,660.0,680.0,660.0,675.0,526.447815,1474200
2014-01-21,675.0,745.0,675.0,725.0,565.443909,2742400
2014-01-22,725.0,735.0,705.0,715.0,557.644714,901800
2014-01-23,715.0,720.0,705.0,710.0,553.7451169999999,674500
2014-01-24,715.0,715.0,705.0,715.0,557.644714,476100
2014-01-27,700.0,700.0,680.0,690.0,538.1466059999999,196300
2014-01-28,690.0,705.0,685.0,695.0,542.046204,2013800
2014-01-29,700.0,715.0,700.0,705.0,549.845459,1602100
2014-01-30,700.0,710.0,670.0,680.0,530.347412,1275800
2014-02-03,680.0,680.0,655.0,675.0,526.447815,1129700
2014-02-04,655.0,675.0,645.0,655.0,510.84933499999994,1715300
2014-02-05,655.0,665.0,655.0,665.0,518.64856,450700
2014-02-06,665.0,685.0,665.0,685.0,534.24707,1046400
2014-02-07,695.0,700.0,680.0,690.0,538.1466059999999,1310000
2014-02-10,695.0,710.0,685.0,685.0,534.24707,1543500
2014-02-11,690.0,700.0,690.0,695.0,542.046204,218100
2014-02-12,695.0,735.0,695.0,715.0,557.644714,2079800
2014-02-13,715.0,755.0,715.0,740.0,577.142822,3966000
2014-02-14,745.0,760.0,735.0,750.0,584.941956,2460700
2014-02-17,750.0,795.0,750.0,780.0,608.3397219999999,7383900
2014-02-18,780.0,790.0,760.0,775.0,604.440125,2318100
2014-02-19,770.0,770.0,750.0,760.0,592.741211,1869900
2014-02-20,760.0,760.0,730.0,750.0,584.941956,1783600
2014-02-21,755.0,765.0,750.0,760.0,592.741211,1143900
2014-02-24,760.0,790.0,760.0,765.0,596.6408690000001,3177300
2014-02-25,765.0,780.0,750.0,750.0,584.941956,3105000
2014-02-26,750.0,755.0,735.0,740.0,577.142822,1338800
2014-02-27,740.0,760.0,735.0,750.0,584.941956,2060800
2014-02-28,750.0,760.0,750.0,755.0,588.841553,1433200
2014-03-03,750.0,765.0,750.0,755.0,588.841553,1624400
2014-03-04,755.0,780.0,755.0,770.0,600.540466,2449500
2014-03-05,770.0,770.0,755.0,770.0,600.540466,946300
2014-03-06,770.0,775.0,760.0,770.0,600.540466,1265500
2014-03-07,770.0,820.0,765.0,805.0,627.8377690000001,6041500
2014-03-10,805.0,810.0,795.0,800.0,623.9381099999999,1700500
2014-03-11,800.0,885.0,800.0,870.0,678.532715,8548000
2014-03-12,860.0,880.0,860.0,870.0,678.532715,5620500
2014-03-13,870.0,915.0,870.0,885.0,690.231567,12676600
2014-03-14,880.0,910.0,870.0,905.0,705.8299559999999,15277400
2014-03-17,910.0,935.0,910.0,920.0,717.528809,13356200
2014-03-18,925.0,980.0,925.0,955.0,744.826233,25733700
2014-03-19,960.0,980.0,955.0,960.0,748.725769,7953200
2014-03-20,955.0,970.0,950.0,960.0,748.725769,6974500
