Date,Open,High,Low,Close,Adj Close,Volume
2018-09-18,183.0,183.0,183.0,183.0,183.0,1119600
2018-09-19,183.0,183.0,183.0,183.0,183.0,0
2018-09-20,306.0,306.0,306.0,306.0,306.0,9300
2018-09-21,382.0,382.0,382.0,382.0,382.0,13200
2018-09-24,476.0,476.0,476.0,476.0,476.0,15904200
2018-09-25,570.0,595.0,482.0,595.0,595.0,41544300
2018-09-26,625.0,650.0,490.0,500.0,500.0,21584900
2018-09-27,505.0,580.0,450.0,530.0,530.0,18592300
2018-09-28,535.0,585.0,500.0,575.0,575.0,12247800
2018-10-01,580.0,595.0,490.0,490.0,490.0,11544500
2018-10-02,492.0,510.0,426.0,488.0,488.0,8535700
2018-10-03,488.0,488.0,426.0,426.0,426.0,3042100
2018-10-04,426.0,446.0,322.0,340.0,340.0,4556800
2018-10-05,340.0,340.0,256.0,256.0,256.0,8349900
2018-10-08,256.0,256.0,192.0,192.0,192.0,36749400
2018-10-09,193.0,258.0,130.0,226.0,226.0,137054500
2018-10-10,226.0,274.0,199.0,258.0,258.0,57220400
2018-10-11,260.0,294.0,234.0,260.0,260.0,26335200
2018-10-12,260.0,276.0,240.0,248.0,248.0,17860200
2018-10-15,248.0,248.0,198.0,210.0,210.0,14243100
2018-10-16,210.0,236.0,198.0,214.0,214.0,15587200
2018-10-17,218.0,218.0,204.0,208.0,208.0,4802000
2018-10-18,210.0,212.0,202.0,202.0,202.0,2520400
2018-10-19,202.0,208.0,202.0,204.0,204.0,1634400
2018-10-22,206.0,210.0,202.0,204.0,204.0,2012200
2018-10-23,204.0,210.0,195.0,196.0,196.0,4272600
2018-10-24,198.0,226.0,195.0,199.0,199.0,20465500
2018-10-25,199.0,214.0,198.0,202.0,202.0,4730200
2018-10-26,204.0,210.0,200.0,200.0,200.0,2244700
2018-10-29,200.0,204.0,200.0,200.0,200.0,1917700
2018-10-30,204.0,206.0,198.0,200.0,200.0,2335600
2018-10-31,200.0,200.0,196.0,200.0,200.0,2744300
2018-11-01,200.0,200.0,197.0,198.0,198.0,1095500
2018-11-02,195.0,200.0,195.0,196.0,196.0,1071300
2018-11-05,200.0,202.0,194.0,197.0,197.0,1173200
2018-11-06,198.0,200.0,195.0,197.0,197.0,479800
2018-11-07,197.0,228.0,196.0,202.0,202.0,11879100
2018-11-08,202.0,210.0,202.0,204.0,204.0,2048700
2018-11-09,204.0,208.0,200.0,200.0,200.0,1300400
2018-11-12,202.0,202.0,199.0,200.0,200.0,801200
2018-11-13,200.0,216.0,199.0,200.0,200.0,2854900
2018-11-14,200.0,204.0,199.0,200.0,200.0,1918400
2018-11-15,202.0,202.0,199.0,199.0,199.0,1281100
2018-11-16,200.0,204.0,198.0,198.0,198.0,917900
2018-11-19,198.0,210.0,198.0,199.0,199.0,1765300
2018-11-20,199.0,199.0,199.0,199.0,199.0,0
2018-11-21,200.0,208.0,199.0,202.0,202.0,1544200
2018-11-22,204.0,214.0,199.0,200.0,200.0,3276400
2018-11-23,200.0,202.0,196.0,196.0,196.0,1383400
2018-11-26,197.0,199.0,196.0,196.0,196.0,539700
2018-11-27,197.0,199.0,192.0,193.0,193.0,923700
2018-11-28,193.0,202.0,161.0,198.0,198.0,2730300
2018-11-29,198.0,200.0,181.0,192.0,192.0,709700
2018-11-30,192.0,193.0,178.0,179.0,179.0,517200
2018-12-03,179.0,184.0,171.0,172.0,172.0,271200
2018-12-04,172.0,180.0,170.0,174.0,174.0,487300
2018-12-05,174.0,184.0,173.0,178.0,178.0,536800
2018-12-06,182.0,184.0,171.0,182.0,182.0,765800
2018-12-07,182.0,190.0,173.0,176.0,176.0,373500
2018-12-10,183.0,185.0,174.0,177.0,177.0,91300
2018-12-11,177.0,180.0,163.0,170.0,170.0,398100
2018-12-12,180.0,190.0,164.0,176.0,176.0,347400
2018-12-13,170.0,180.0,170.0,170.0,170.0,390400
2018-12-14,170.0,179.0,170.0,171.0,171.0,619700
2018-12-17,171.0,184.0,168.0,180.0,180.0,1249700
2018-12-18,181.0,188.0,172.0,176.0,176.0,323700
2018-12-19,176.0,182.0,171.0,171.0,171.0,436400
2018-12-20,171.0,180.0,165.0,172.0,172.0,557500
2018-12-21,177.0,180.0,171.0,172.0,172.0,424300
2018-12-24,172.0,172.0,172.0,172.0,172.0,0
2018-12-25,172.0,172.0,172.0,172.0,172.0,0
2018-12-26,172.0,178.0,171.0,171.0,171.0,905900
2018-12-27,171.0,183.0,171.0,177.0,177.0,1143100
2018-12-28,173.0,181.0,172.0,177.0,177.0,728500
2018-12-31,177.0,177.0,177.0,177.0,177.0,0
2019-01-01,177.0,177.0,177.0,177.0,177.0,0
2019-01-02,177.0,184.0,174.0,176.0,176.0,607200
2019-01-03,173.0,181.0,171.0,175.0,175.0,149700
2019-01-04,177.0,180.0,170.0,170.0,170.0,227400
2019-01-07,172.0,179.0,165.0,168.0,168.0,570600
2019-01-08,166.0,173.0,164.0,168.0,168.0,347500
2019-01-09,165.0,173.0,161.0,166.0,166.0,451100
2019-01-10,167.0,172.0,165.0,167.0,167.0,125600
2019-01-11,167.0,168.0,162.0,165.0,165.0,314600
2019-01-14,164.0,168.0,162.0,164.0,164.0,1532700
2019-01-15,167.0,168.0,162.0,165.0,165.0,137700
2019-01-16,160.0,180.0,160.0,169.0,169.0,563800
2019-01-17,169.0,183.0,166.0,169.0,169.0,447500
2019-01-18,174.0,180.0,168.0,175.0,175.0,131500
2019-01-21,176.0,181.0,168.0,172.0,172.0,374300
2019-01-22,172.0,178.0,168.0,170.0,170.0,164600
2019-01-23,168.0,172.0,165.0,172.0,172.0,119700
2019-01-24,169.0,174.0,168.0,169.0,169.0,82900
2019-01-25,167.0,169.0,165.0,167.0,167.0,93100
2019-01-28,167.0,167.0,164.0,165.0,165.0,101000
2019-01-29,165.0,168.0,163.0,164.0,164.0,271900
2019-01-30,169.0,169.0,162.0,164.0,164.0,154000
2019-01-31,169.0,169.0,159.0,163.0,163.0,599200
2019-02-01,161.0,163.0,158.0,161.0,161.0,285700
2019-02-04,161.0,161.0,156.0,161.0,161.0,110400
2019-02-05,161.0,161.0,161.0,161.0,161.0,0
2019-02-06,160.0,160.0,158.0,160.0,160.0,247500
2019-02-07,160.0,160.0,158.0,159.0,159.0,76300
2019-02-08,159.0,160.0,150.0,150.0,150.0,627100
2019-02-11,150.0,158.0,147.0,149.0,149.0,949600
2019-02-12,150.0,157.0,145.0,149.0,149.0,868800
2019-02-13,148.0,154.0,144.0,148.0,148.0,200400
2019-02-14,148.0,152.0,143.0,144.0,144.0,91100
2019-02-15,150.0,150.0,133.0,135.0,135.0,130100
2019-02-18,150.0,150.0,102.0,109.0,109.0,5174800
2019-02-19,115.0,122.0,107.0,111.0,111.0,4409000
2019-02-20,105.0,117.0,103.0,108.0,108.0,2624200
2019-02-21,102.0,110.0,99.0,101.0,101.0,4212200
2019-02-22,95.0,103.0,94.0,100.0,100.0,4508600
2019-02-25,100.0,124.0,100.0,113.0,113.0,12183700
2019-02-26,114.0,116.0,106.0,109.0,109.0,2194700
2019-02-27,111.0,111.0,106.0,109.0,109.0,362300
