Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,570.0,570.0,570.0,570.0,474.766357,0
2005-09-30,570.0,570.0,570.0,570.0,474.766357,0
2005-10-03,570.0,570.0,570.0,570.0,474.766357,0
2005-10-04,570.0,570.0,570.0,570.0,474.766357,0
2005-10-05,570.0,570.0,570.0,570.0,474.766357,0
2005-10-06,570.0,570.0,570.0,570.0,474.766357,0
2005-10-07,570.0,570.0,570.0,570.0,474.766357,0
2005-10-10,570.0,570.0,570.0,570.0,474.766357,0
2005-10-11,570.0,570.0,570.0,570.0,474.766357,0
2005-10-12,570.0,570.0,570.0,570.0,474.766357,0
2005-10-13,570.0,570.0,570.0,570.0,474.766357,0
2005-10-14,570.0,570.0,570.0,570.0,474.766357,0
2005-10-18,570.0,570.0,570.0,570.0,474.766357,0
2005-10-19,570.0,570.0,570.0,570.0,474.766357,0
2005-10-21,570.0,570.0,570.0,570.0,474.766357,0
2005-10-24,570.0,570.0,570.0,570.0,474.766357,0
2005-10-26,570.0,570.0,570.0,570.0,474.766357,0
2005-10-27,570.0,570.0,570.0,570.0,474.766357,0
2005-10-28,570.0,570.0,570.0,570.0,474.766357,0
2005-10-31,570.0,570.0,570.0,570.0,474.766357,0
2005-11-01,570.0,570.0,570.0,570.0,474.766357,0
2005-11-10,570.0,570.0,570.0,570.0,474.766357,0
2005-11-11,570.0,570.0,570.0,570.0,474.766357,0
2005-11-14,570.0,570.0,570.0,570.0,474.766357,0
2005-11-15,570.0,570.0,570.0,570.0,474.766357,0
2005-11-16,570.0,570.0,570.0,570.0,474.766357,0
2005-11-17,570.0,570.0,570.0,570.0,474.766357,0
2005-11-18,570.0,570.0,570.0,570.0,474.766357,0
2005-11-21,570.0,570.0,570.0,570.0,474.766357,0
2005-11-22,570.0,570.0,570.0,570.0,474.766357,0
2005-11-23,570.0,570.0,570.0,570.0,474.766357,0
2005-11-24,570.0,570.0,570.0,570.0,474.766357,0
2005-11-25,570.0,570.0,570.0,570.0,474.766357,0
2005-11-28,570.0,570.0,570.0,570.0,474.766357,0
2005-11-29,570.0,570.0,570.0,570.0,474.766357,0
2005-11-30,570.0,570.0,570.0,570.0,474.766357,0
2005-12-01,570.0,570.0,570.0,570.0,474.766357,0
2005-12-02,570.0,570.0,570.0,570.0,474.766357,0
2005-12-05,570.0,570.0,570.0,570.0,474.766357,0
2005-12-06,460.0,460.0,460.0,460.0,383.144775,5000
2005-12-07,460.0,460.0,460.0,460.0,383.144775,0
2005-12-08,460.0,460.0,460.0,460.0,383.144775,0
2005-12-09,460.0,460.0,460.0,460.0,383.144775,0
2005-12-12,460.0,460.0,460.0,460.0,383.144775,0
2005-12-13,460.0,460.0,460.0,460.0,383.144775,0
2005-12-14,460.0,460.0,460.0,460.0,383.144775,0
2005-12-15,460.0,460.0,460.0,460.0,383.144775,0
2005-12-16,460.0,460.0,460.0,460.0,383.144775,0
2005-12-19,460.0,460.0,460.0,460.0,383.144775,0
2005-12-20,460.0,460.0,460.0,460.0,383.144775,0
2005-12-21,570.0,570.0,500.0,570.0,474.766357,55000
2005-12-22,570.0,570.0,570.0,570.0,474.766357,0
2005-12-23,570.0,570.0,570.0,570.0,474.766357,0
2005-12-27,570.0,570.0,570.0,570.0,474.766357,0
2005-12-28,570.0,570.0,570.0,570.0,474.766357,0
2005-12-29,570.0,570.0,570.0,570.0,474.766357,0
2006-01-02,570.0,570.0,570.0,570.0,474.766357,0
2006-01-03,570.0,570.0,570.0,570.0,474.766357,0
2006-01-04,570.0,570.0,570.0,570.0,474.766357,0
2006-01-05,570.0,570.0,570.0,570.0,474.766357,0
2006-01-06,570.0,570.0,570.0,570.0,474.766357,0
2006-01-09,570.0,570.0,570.0,570.0,474.766357,0
2006-01-11,570.0,570.0,570.0,570.0,474.766357,0
2006-01-12,570.0,570.0,570.0,570.0,474.766357,0
2006-01-13,570.0,570.0,570.0,570.0,474.766357,0
2006-01-16,570.0,570.0,570.0,570.0,474.766357,0
2006-01-17,570.0,570.0,570.0,570.0,474.766357,0
2006-01-18,570.0,570.0,570.0,570.0,474.766357,0
2006-01-19,570.0,570.0,570.0,570.0,474.766357,0
2006-01-20,570.0,570.0,570.0,570.0,474.766357,0
2006-01-23,570.0,570.0,570.0,570.0,474.766357,0
2006-01-24,570.0,570.0,570.0,570.0,474.766357,0
2006-01-25,570.0,570.0,570.0,570.0,474.766357,0
2006-01-26,570.0,570.0,570.0,570.0,474.766357,0
2006-01-27,570.0,570.0,570.0,570.0,474.766357,0
2006-01-30,570.0,570.0,570.0,570.0,474.766357,0
2006-02-01,570.0,570.0,570.0,570.0,474.766357,0
2006-02-02,570.0,570.0,570.0,570.0,474.766357,0
2006-02-03,570.0,570.0,570.0,570.0,474.766357,0
2006-02-06,570.0,570.0,570.0,570.0,474.766357,0
2006-02-07,570.0,570.0,570.0,570.0,474.766357,0
2006-02-08,570.0,570.0,570.0,570.0,474.766357,0
2006-02-09,570.0,570.0,570.0,570.0,474.766357,0
2006-02-10,570.0,570.0,570.0,570.0,474.766357,0
2006-02-13,570.0,570.0,570.0,570.0,474.766357,0
2006-02-14,570.0,570.0,570.0,570.0,474.766357,0
2006-02-15,570.0,570.0,570.0,570.0,474.766357,0
2006-02-16,570.0,570.0,570.0,570.0,474.766357,0
2006-02-17,570.0,570.0,570.0,570.0,474.766357,0
2006-02-20,570.0,570.0,570.0,570.0,474.766357,0
2006-02-21,570.0,570.0,570.0,570.0,474.766357,0
2006-02-22,570.0,570.0,570.0,570.0,474.766357,0
2006-02-23,570.0,570.0,570.0,570.0,474.766357,0
2006-02-24,570.0,570.0,570.0,570.0,474.766357,0
2006-02-27,570.0,570.0,570.0,570.0,474.766357,0
2006-02-28,570.0,570.0,570.0,570.0,474.766357,0
2006-03-01,570.0,570.0,570.0,570.0,474.766357,0
2006-03-02,570.0,570.0,570.0,570.0,474.766357,0
2006-03-03,570.0,570.0,570.0,570.0,474.766357,0
2006-03-06,570.0,570.0,570.0,570.0,474.766357,0
2006-03-07,570.0,570.0,570.0,570.0,474.766357,0
2006-03-08,570.0,570.0,570.0,570.0,474.766357,0
2006-03-09,570.0,570.0,570.0,570.0,474.766357,0
2006-03-10,570.0,570.0,570.0,570.0,474.766357,0
2006-03-13,570.0,570.0,570.0,570.0,474.766357,0
2006-03-14,570.0,570.0,570.0,570.0,474.766357,0
2006-03-15,570.0,570.0,570.0,570.0,474.766357,0
2006-03-16,570.0,570.0,570.0,570.0,474.766357,0
2006-03-17,570.0,570.0,570.0,570.0,474.766357,0
2006-03-20,570.0,570.0,570.0,570.0,474.766357,0
2006-03-21,570.0,570.0,570.0,570.0,474.766357,0
2006-03-22,570.0,570.0,570.0,570.0,474.766357,0
2006-03-23,570.0,570.0,570.0,570.0,474.766357,0
2006-03-24,570.0,570.0,570.0,570.0,474.766357,0
2006-03-27,570.0,570.0,570.0,570.0,474.766357,0
2006-03-28,570.0,570.0,570.0,570.0,474.766357,0
2006-03-29,570.0,570.0,570.0,570.0,474.766357,0
2006-04-03,570.0,570.0,570.0,570.0,474.766357,0
2006-04-04,570.0,570.0,570.0,570.0,474.766357,0
2006-04-05,570.0,570.0,570.0,570.0,474.766357,0
2006-04-06,570.0,570.0,570.0,570.0,474.766357,0
2006-04-07,570.0,570.0,570.0,570.0,474.766357,0
2006-04-11,570.0,570.0,570.0,570.0,474.766357,0
2006-04-12,570.0,570.0,570.0,570.0,474.766357,0
2006-04-13,570.0,570.0,570.0,570.0,474.766357,0
2006-04-17,570.0,570.0,570.0,570.0,474.766357,0
2006-04-18,570.0,570.0,570.0,570.0,474.766357,0
2006-04-19,570.0,570.0,570.0,570.0,474.766357,0
2006-04-20,590.0,590.0,560.0,590.0,491.424896,765000
2006-04-21,590.0,590.0,590.0,590.0,491.424896,0
2006-04-24,590.0,590.0,590.0,590.0,491.424896,100000
2006-04-25,590.0,590.0,590.0,590.0,491.424896,0
2006-04-26,590.0,590.0,590.0,590.0,491.424896,0
2006-04-27,590.0,590.0,590.0,590.0,491.424896,0
2006-04-28,590.0,590.0,590.0,590.0,491.424896,0
2006-05-01,590.0,590.0,590.0,590.0,491.424896,0
2006-05-02,590.0,590.0,590.0,590.0,491.424896,0
2006-05-03,590.0,590.0,590.0,590.0,491.424896,0
2006-05-04,590.0,590.0,590.0,590.0,491.424896,0
2006-05-08,590.0,590.0,590.0,590.0,491.424896,0
2006-05-09,590.0,590.0,590.0,590.0,491.424896,0
2006-05-10,590.0,590.0,590.0,590.0,491.424896,0
2006-05-11,590.0,590.0,590.0,590.0,491.424896,0
2006-05-12,590.0,590.0,590.0,590.0,491.424896,0
2006-05-15,590.0,590.0,590.0,590.0,491.424896,0
2006-05-16,590.0,590.0,590.0,590.0,491.424896,0
2006-05-17,590.0,590.0,590.0,590.0,491.424896,0
2006-05-22,590.0,590.0,590.0,590.0,491.424896,0
2006-05-23,590.0,590.0,590.0,590.0,491.424896,0
2006-05-24,590.0,590.0,590.0,590.0,491.424896,0
2006-05-30,590.0,590.0,590.0,590.0,491.424896,0
2006-05-31,590.0,590.0,590.0,590.0,491.424896,0
2006-06-01,590.0,590.0,590.0,590.0,491.424896,0
2006-06-02,590.0,590.0,590.0,590.0,491.424896,0
2006-06-05,590.0,590.0,590.0,590.0,491.424896,0
2006-06-06,590.0,590.0,590.0,590.0,491.424896,0
2006-06-07,590.0,590.0,590.0,590.0,491.424896,0
2006-06-08,590.0,590.0,590.0,590.0,491.424896,0
2006-06-09,590.0,590.0,590.0,590.0,491.424896,0
2006-06-12,590.0,590.0,590.0,590.0,491.424896,0
2006-06-13,590.0,590.0,590.0,590.0,491.424896,0
2006-06-14,590.0,590.0,590.0,590.0,491.424896,0
2006-06-15,590.0,590.0,590.0,590.0,491.424896,0
2006-06-16,590.0,590.0,590.0,590.0,491.424896,0
2006-06-19,590.0,590.0,590.0,590.0,491.424896,0
2006-06-20,590.0,590.0,590.0,590.0,491.424896,0
2006-06-21,590.0,590.0,590.0,590.0,491.424896,0
2006-06-22,590.0,590.0,590.0,590.0,491.424896,0
2006-06-23,590.0,590.0,590.0,590.0,491.424896,0
2006-06-26,590.0,590.0,590.0,590.0,491.424896,0
2006-06-27,590.0,590.0,590.0,590.0,491.424896,0
2006-06-28,590.0,590.0,590.0,590.0,491.424896,0
2006-06-29,590.0,590.0,590.0,590.0,491.424896,0
2006-06-30,590.0,590.0,590.0,590.0,491.424896,0
2006-07-03,590.0,590.0,590.0,590.0,491.424896,0
2006-07-04,590.0,590.0,590.0,590.0,491.424896,0
2006-07-05,590.0,590.0,590.0,590.0,491.424896,0
2006-07-06,590.0,590.0,590.0,590.0,491.424896,0
2006-07-07,590.0,590.0,590.0,590.0,491.424896,0
2006-07-10,590.0,590.0,590.0,590.0,491.424896,0
2006-07-11,590.0,590.0,590.0,590.0,491.424896,0
2006-07-12,590.0,590.0,590.0,590.0,491.424896,0
2006-07-13,590.0,590.0,590.0,590.0,491.424896,0
2006-07-14,590.0,590.0,590.0,590.0,491.424896,0
2006-07-17,590.0,590.0,590.0,590.0,491.424896,0
2006-07-18,590.0,590.0,590.0,590.0,491.424896,0
2006-07-20,590.0,590.0,590.0,590.0,491.424896,0
2006-07-21,590.0,590.0,590.0,590.0,491.424896,0
2006-07-24,590.0,590.0,590.0,590.0,491.424896,0
2006-07-25,590.0,590.0,590.0,590.0,491.424896,0
2006-07-28,590.0,590.0,590.0,590.0,491.424896,0
2006-07-31,590.0,590.0,590.0,590.0,491.424896,0
2006-08-01,590.0,590.0,590.0,590.0,491.424896,0
2006-08-02,590.0,590.0,590.0,590.0,491.424896,0
2006-08-03,590.0,590.0,590.0,590.0,491.424896,0
2006-08-04,590.0,590.0,590.0,590.0,491.424896,0
2006-08-07,590.0,590.0,590.0,590.0,491.424896,0
2006-08-08,615.0,615.0,550.0,615.0,512.247925,505000
2006-08-09,615.0,615.0,615.0,615.0,512.247925,0
2006-08-10,615.0,615.0,615.0,615.0,522.875488,0
2006-08-11,615.0,615.0,615.0,615.0,522.875488,0
2006-08-14,615.0,615.0,615.0,615.0,522.875488,0
2006-08-15,615.0,615.0,615.0,615.0,522.875488,0
2006-08-16,615.0,615.0,615.0,615.0,522.875488,0
2006-08-22,615.0,615.0,615.0,615.0,522.875488,0
2006-08-23,620.0,620.0,615.0,620.0,527.126526,320000
2006-08-24,620.0,620.0,620.0,620.0,527.126526,0
2006-08-25,620.0,620.0,620.0,620.0,527.126526,0
2006-08-28,620.0,620.0,620.0,620.0,527.126526,0
2006-08-29,620.0,620.0,620.0,620.0,527.126526,100000
2006-08-30,630.0,630.0,625.0,630.0,535.62854,65000
2006-08-31,640.0,640.0,600.0,640.0,544.130615,100000
2006-09-01,645.0,650.0,645.0,645.0,548.381592,20000
2006-09-04,660.0,660.0,655.0,660.0,561.1346440000001,100000
2006-09-05,660.0,660.0,660.0,660.0,561.1346440000001,0
2006-09-06,675.0,675.0,650.0,675.0,573.887695,130000
2006-09-07,685.0,685.0,680.0,685.0,582.389771,50000
2006-09-08,685.0,685.0,685.0,685.0,582.389771,0
2006-09-11,685.0,685.0,685.0,685.0,582.389771,0
2006-09-12,700.0,700.0,700.0,700.0,595.142822,20000
2006-09-13,700.0,700.0,700.0,700.0,595.142822,0
2006-09-14,700.0,700.0,700.0,700.0,595.142822,0
2006-09-15,700.0,700.0,700.0,700.0,595.142822,0
2006-09-19,700.0,700.0,700.0,700.0,595.142822,0
2006-09-20,700.0,700.0,700.0,700.0,595.142822,0
2006-09-21,700.0,700.0,700.0,700.0,595.142822,0
2006-09-22,700.0,700.0,700.0,700.0,595.142822,0
2006-09-25,700.0,700.0,700.0,700.0,595.142822,0
2006-09-26,700.0,700.0,700.0,700.0,595.142822,0
2006-09-27,700.0,700.0,700.0,700.0,595.142822,0
2006-09-28,700.0,700.0,700.0,700.0,595.142822,0
2006-09-29,700.0,700.0,700.0,700.0,595.142822,0
2006-10-02,700.0,700.0,700.0,700.0,595.142822,0
2006-10-03,700.0,700.0,700.0,700.0,595.142822,0
2006-10-04,720.0,720.0,710.0,720.0,612.146912,50000
2006-10-05,750.0,750.0,730.0,750.0,637.652954,70000
2006-10-06,750.0,750.0,750.0,750.0,637.652954,0
2006-10-09,750.0,750.0,750.0,750.0,637.652954,0
2006-10-10,770.0,770.0,760.0,770.0,654.657104,50000
2006-10-11,800.0,800.0,790.0,800.0,680.163208,40000
2006-10-12,830.0,830.0,800.0,830.0,705.66925,65000
2006-10-13,850.0,850.0,850.0,850.0,722.673401,10000
2006-10-16,850.0,850.0,850.0,850.0,722.673401,15000
2006-10-17,850.0,850.0,850.0,850.0,722.673401,0
2006-10-18,850.0,850.0,850.0,850.0,722.673401,0
2006-10-19,850.0,850.0,850.0,850.0,722.673401,0
2006-10-20,910.0,910.0,900.0,910.0,773.6855469999999,60000
2006-10-30,910.0,910.0,910.0,910.0,773.6855469999999,0
2006-10-31,1000.0,1000.0,950.0,1000.0,850.2039789999999,15000
2006-11-01,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-11-02,1000.0,1000.0,1000.0,1000.0,850.2039789999999,5000
2006-11-03,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-11-06,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-11-07,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-11-08,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-11-09,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-11-10,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-11-13,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-11-14,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-11-15,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-11-16,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-11-17,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-11-21,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-11-22,1000.0,1000.0,1000.0,1000.0,850.2039789999999,80000
2006-11-23,1050.0,1050.0,1000.0,1050.0,892.714233,430000
2006-11-24,1050.0,1050.0,1050.0,1050.0,892.714233,0
2006-11-27,1050.0,1050.0,1050.0,1050.0,892.714233,90000
2006-11-28,1050.0,1050.0,1050.0,1050.0,892.714233,0
2006-11-29,1050.0,1050.0,1050.0,1050.0,892.714233,0
2006-11-30,1050.0,1050.0,1050.0,1050.0,892.714233,0
2006-12-01,1050.0,1050.0,1050.0,1050.0,892.714233,0
2006-12-04,1050.0,1050.0,1050.0,1050.0,892.714233,0
2006-12-05,1050.0,1050.0,1050.0,1050.0,892.714233,0
2006-12-06,1080.0,1080.0,1070.0,1080.0,918.220337,65000
2006-12-07,1080.0,1080.0,1080.0,1080.0,918.220337,0
2006-12-08,1110.0,1110.0,1110.0,1110.0,943.726501,50000
2006-12-11,1110.0,1110.0,1110.0,1110.0,943.726501,0
2006-12-12,1000.0,1000.0,1000.0,1000.0,850.2039789999999,2500
2006-12-13,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2006-12-14,1060.0,1060.0,1060.0,1060.0,901.2161869999999,2500
2006-12-18,1040.0,1040.0,1040.0,1040.0,884.2122800000001,17500
2006-12-19,1040.0,1040.0,1040.0,1040.0,884.2122800000001,12500
2006-12-20,1040.0,1040.0,1040.0,1040.0,884.2122800000001,0
2006-12-21,1040.0,1040.0,1040.0,1040.0,884.2122800000001,0
2006-12-22,1040.0,1040.0,1040.0,1040.0,884.2122800000001,12500
2006-12-26,1040.0,1040.0,1040.0,1040.0,884.2122800000001,0
2006-12-28,1040.0,1040.0,1040.0,1040.0,884.2122800000001,0
2006-12-29,1100.0,1100.0,1090.0,1100.0,935.224426,11000
2007-01-02,1100.0,1100.0,1100.0,1100.0,935.224426,0
2007-01-03,1100.0,1100.0,1100.0,1100.0,935.224426,0
2007-01-04,1110.0,1150.0,1060.0,1110.0,943.726501,52500
2007-01-05,1110.0,1110.0,1090.0,1110.0,943.726501,28000
2007-01-08,1020.0,1020.0,1020.0,1020.0,867.2080689999999,1000
2007-01-09,1000.0,1000.0,1000.0,1000.0,850.2039789999999,5500
2007-01-10,1000.0,880.0,860.0,1000.0,850.2039789999999,0
2007-01-11,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2007-01-12,1000.0,1000.0,1000.0,1000.0,850.2039789999999,0
2007-01-15,1090.0,1090.0,1090.0,1090.0,926.72229,20000
2007-01-16,1090.0,1090.0,1090.0,1090.0,926.72229,0
2007-01-17,1090.0,1090.0,1090.0,1090.0,926.72229,0
2007-01-18,1090.0,1090.0,1090.0,1090.0,926.72229,0
2007-01-19,1090.0,1090.0,1090.0,1090.0,926.72229,0
2007-01-22,1090.0,1090.0,1090.0,1090.0,926.72229,0
2007-01-23,1090.0,1090.0,1090.0,1090.0,926.72229,0
2007-01-24,1090.0,1090.0,1090.0,1090.0,926.72229,0
2007-01-25,1090.0,1090.0,1090.0,1090.0,926.72229,0
2007-01-26,1090.0,1090.0,1090.0,1090.0,926.72229,0
2007-01-29,1090.0,1090.0,1090.0,1090.0,926.72229,0
2007-01-30,1110.0,1110.0,1100.0,1110.0,943.726501,50000
2007-01-31,1110.0,1110.0,1110.0,1110.0,943.726501,0
2007-02-01,1100.0,1100.0,1030.0,1100.0,935.224426,24000
2007-02-02,1100.0,1100.0,1100.0,1100.0,935.224426,0
2007-02-05,1040.0,1080.0,1040.0,1040.0,884.2122800000001,10000
2007-02-06,1040.0,1040.0,1040.0,1040.0,884.2122800000001,7500
2007-02-07,1080.0,1080.0,1050.0,1080.0,918.220337,25500
2007-02-08,1020.0,1080.0,1020.0,1020.0,867.2080689999999,22500
2007-02-12,1060.0,1060.0,1000.0,1060.0,901.2161869999999,1000
2007-02-13,1030.0,1030.0,1030.0,1030.0,875.710083,2500
2007-02-14,1030.0,1030.0,1010.0,1030.0,875.710083,6500
