Date,Open,High,Low,Close,Adj Close,Volume
2000-11-21,350.0,365.0,350.0,355.0,291.22711200000003,125000
2000-11-22,355.0,355.0,355.0,355.0,291.22711200000003,84000
2000-11-23,360.0,365.0,360.0,365.0,299.430725,65000
2000-11-24,365.0,370.0,365.0,370.0,313.850891,110000
2000-11-27,365.0,365.0,360.0,360.0,305.368439,35000
2000-11-28,360.0,360.0,360.0,360.0,305.368439,260000
2000-11-29,360.0,360.0,360.0,360.0,305.368439,615000
2000-11-30,360.0,370.0,360.0,370.0,313.850891,886000
2000-12-01,365.0,365.0,365.0,365.0,309.60965,65000
2000-12-04,360.0,360.0,350.0,350.0,296.885956,0
2000-12-05,360.0,370.0,360.0,365.0,309.60965,647000
2000-12-06,365.0,365.0,365.0,365.0,309.60965,175000
2000-12-07,365.0,365.0,355.0,355.0,301.127197,377500
2000-12-08,350.0,350.0,350.0,350.0,296.885956,100000
2000-12-11,345.0,345.0,335.0,335.0,284.162292,95000
2000-12-12,335.0,335.0,330.0,330.0,279.92108199999996,187500
2000-12-13,330.0,330.0,315.0,315.0,267.197418,0
2000-12-14,345.0,345.0,320.0,320.0,271.438629,0
2000-12-15,345.0,345.0,315.0,315.0,267.197418,0
2000-12-18,345.0,345.0,305.0,305.0,258.714905,0
2000-12-19,345.0,345.0,325.0,325.0,275.67984,0
2000-12-20,345.0,345.0,305.0,305.0,258.714905,0
2000-12-21,340.0,340.0,300.0,300.0,254.473679,0
2000-12-22,340.0,340.0,320.0,340.0,288.403503,230000
2001-01-02,345.0,345.0,310.0,310.0,262.956146,0
2001-01-03,330.0,330.0,300.0,300.0,254.473679,0
2001-01-04,325.0,325.0,320.0,320.0,271.438629,25000
2001-01-05,325.0,325.0,325.0,325.0,275.67984,22500
2001-01-08,320.0,325.0,320.0,325.0,275.67984,30000
2001-01-09,325.0,325.0,300.0,300.0,254.473679,62500
2001-01-10,315.0,320.0,315.0,320.0,271.438629,40000
2001-01-11,310.0,310.0,300.0,300.0,254.473679,25000
2001-01-12,310.0,310.0,300.0,300.0,254.473679,0
2001-01-15,300.0,310.0,300.0,300.0,254.473679,44000
2001-01-16,300.0,300.0,300.0,300.0,254.473679,10000
2001-01-17,300.0,300.0,290.0,290.0,245.991241,0
2001-01-18,300.0,300.0,285.0,285.0,241.750031,0
2001-01-19,275.0,275.0,275.0,275.0,233.267578,50000
2001-01-22,255.0,255.0,255.0,255.0,216.302612,2500
2001-01-23,260.0,275.0,260.0,270.0,229.026352,212500
2001-01-24,280.0,280.0,270.0,270.0,229.026352,0
2001-01-25,295.0,295.0,270.0,270.0,229.026352,0
2001-01-26,275.0,275.0,275.0,275.0,233.267578,5000
2001-01-29,275.0,275.0,275.0,275.0,233.267578,10000
2001-01-30,290.0,290.0,270.0,270.0,229.026352,0
2001-01-31,290.0,290.0,275.0,275.0,233.267578,0
2001-02-01,260.0,270.0,260.0,265.0,224.785095,116000
2001-02-02,265.0,270.0,265.0,270.0,229.026352,135000
2001-02-05,270.0,275.0,270.0,275.0,233.267578,32500
2001-02-06,280.0,285.0,280.0,285.0,241.750031,25000
2001-02-07,280.0,280.0,270.0,270.0,229.026352,35000
2001-02-08,275.0,275.0,265.0,265.0,224.785095,0
2001-02-09,270.0,280.0,265.0,265.0,224.785095,125000
2001-02-12,275.0,275.0,260.0,260.0,220.543869,75000
2001-02-13,275.0,275.0,255.0,255.0,216.302612,0
2001-02-14,270.0,270.0,260.0,260.0,220.543869,0
2001-02-15,275.0,275.0,260.0,260.0,220.543869,0
2001-02-16,285.0,285.0,260.0,260.0,220.543869,0
2001-02-19,280.0,280.0,260.0,260.0,220.543869,0
2001-02-20,280.0,280.0,265.0,265.0,224.785095,0
2001-02-21,260.0,260.0,260.0,260.0,220.543869,15000
2001-02-22,280.0,280.0,260.0,260.0,220.543869,0
2001-02-23,260.0,260.0,260.0,260.0,220.543869,25000
2001-02-26,260.0,260.0,260.0,260.0,220.543869,12500
2001-02-27,255.0,255.0,250.0,250.0,212.061417,45000
2001-02-28,260.0,260.0,260.0,260.0,220.543869,40000
