Date,Open,High,Low,Close,Adj Close,Volume
2018-10-03,374.0,374.0,374.0,374.0,374.0,21400
2018-10-04,466.0,466.0,466.0,466.0,466.0,15000
2018-10-05,580.0,580.0,580.0,580.0,580.0,875700
2018-10-08,725.0,725.0,725.0,725.0,725.0,1175000
2018-10-09,725.0,845.0,640.0,655.0,655.0,7220700
2018-10-10,655.0,700.0,610.0,635.0,635.0,2728700
2018-10-11,630.0,630.0,510.0,535.0,535.0,1278200
2018-10-12,535.0,665.0,500.0,665.0,665.0,2514900
2018-10-15,680.0,750.0,595.0,620.0,620.0,1567000
2018-10-16,610.0,680.0,600.0,675.0,675.0,613200
2018-10-17,675.0,700.0,635.0,635.0,635.0,243100
2018-10-18,635.0,680.0,635.0,655.0,655.0,142800
2018-10-19,660.0,675.0,655.0,665.0,665.0,250800
2018-10-22,700.0,700.0,650.0,665.0,665.0,89700
2018-10-23,700.0,700.0,665.0,665.0,665.0,162800
2018-10-24,695.0,695.0,640.0,665.0,665.0,198700
2018-10-25,650.0,665.0,650.0,665.0,665.0,56900
2018-10-26,650.0,685.0,640.0,640.0,640.0,206800
2018-10-29,675.0,675.0,625.0,625.0,625.0,172700
2018-10-30,625.0,680.0,625.0,650.0,650.0,222400
2018-10-31,670.0,680.0,620.0,675.0,675.0,119900
2018-11-01,630.0,675.0,630.0,675.0,675.0,98500
2018-11-02,675.0,700.0,675.0,695.0,695.0,226900
2018-11-05,700.0,700.0,630.0,690.0,690.0,34500
2018-11-06,645.0,660.0,645.0,650.0,650.0,29200
2018-11-07,690.0,690.0,650.0,665.0,665.0,38100
2018-11-08,610.0,660.0,610.0,655.0,655.0,15900
2018-11-09,670.0,670.0,645.0,660.0,660.0,54400
2018-11-12,660.0,660.0,635.0,640.0,640.0,14200
2018-11-13,640.0,640.0,635.0,640.0,640.0,7000
2018-11-14,640.0,650.0,635.0,650.0,650.0,75800
2018-11-15,620.0,665.0,620.0,665.0,665.0,6800
2018-11-16,640.0,670.0,640.0,670.0,670.0,3700
2018-11-19,670.0,680.0,645.0,680.0,680.0,12500
2018-11-20,680.0,680.0,680.0,680.0,680.0,0
2018-11-21,680.0,685.0,630.0,675.0,675.0,75900
2018-11-22,650.0,675.0,650.0,675.0,675.0,11900
2018-11-23,675.0,675.0,675.0,675.0,675.0,0
2018-11-26,665.0,665.0,640.0,650.0,650.0,101500
2018-11-27,680.0,810.0,680.0,700.0,700.0,291800
2018-11-28,700.0,700.0,650.0,650.0,650.0,68200
2018-11-29,690.0,810.0,690.0,785.0,785.0,162400
2018-11-30,800.0,810.0,675.0,795.0,795.0,1600
2018-12-03,795.0,795.0,795.0,795.0,795.0,0
2018-12-04,785.0,785.0,670.0,710.0,710.0,800
2018-12-05,810.0,840.0,720.0,800.0,800.0,120700
2018-12-06,715.0,740.0,650.0,655.0,655.0,114000
2018-12-07,655.0,800.0,492.0,700.0,700.0,653700
2018-12-10,700.0,700.0,700.0,700.0,700.0,0
2018-12-11,700.0,700.0,700.0,700.0,700.0,0
2018-12-12,700.0,700.0,700.0,700.0,700.0,0
2018-12-13,700.0,700.0,700.0,700.0,700.0,0
2018-12-14,700.0,700.0,700.0,700.0,700.0,0
2018-12-17,800.0,800.0,660.0,750.0,750.0,2200
2018-12-18,750.0,750.0,750.0,750.0,750.0,0
2018-12-19,750.0,750.0,750.0,750.0,750.0,0
2018-12-20,750.0,750.0,750.0,750.0,750.0,0
2018-12-21,740.0,800.0,740.0,800.0,800.0,30600
2018-12-24,800.0,800.0,800.0,800.0,800.0,0
2018-12-25,800.0,800.0,800.0,800.0,800.0,0
2018-12-26,800.0,800.0,680.0,680.0,680.0,30900
2018-12-27,680.0,790.0,680.0,685.0,685.0,109600
2018-12-28,680.0,700.0,630.0,675.0,675.0,290400
2018-12-31,675.0,675.0,675.0,675.0,675.0,0
2019-01-01,675.0,675.0,675.0,675.0,675.0,0
2019-01-02,670.0,670.0,635.0,635.0,635.0,9900
2019-01-03,635.0,720.0,620.0,720.0,720.0,114900
2019-01-04,720.0,720.0,720.0,720.0,720.0,0
2019-01-07,720.0,720.0,720.0,720.0,720.0,100
2019-01-08,720.0,745.0,720.0,745.0,745.0,800
2019-01-09,740.0,740.0,710.0,715.0,715.0,700
2019-01-10,640.0,675.0,545.0,625.0,625.0,96100
2019-01-11,615.0,650.0,600.0,645.0,645.0,130600
2019-01-14,645.0,645.0,640.0,640.0,640.0,13300
2019-01-15,590.0,630.0,590.0,590.0,590.0,3200
2019-01-16,590.0,590.0,590.0,590.0,590.0,0
2019-01-17,590.0,590.0,590.0,590.0,590.0,0
2019-01-18,680.0,680.0,680.0,680.0,680.0,100
2019-01-21,680.0,680.0,680.0,680.0,680.0,0
2019-01-22,610.0,675.0,610.0,675.0,675.0,11300
2019-01-23,600.0,670.0,565.0,670.0,670.0,40300
2019-01-24,540.0,650.0,540.0,630.0,630.0,6000
2019-01-25,630.0,630.0,630.0,630.0,630.0,0
2019-01-28,630.0,630.0,625.0,625.0,625.0,6100
2019-01-29,600.0,600.0,600.0,600.0,600.0,1500
2019-01-30,600.0,650.0,600.0,600.0,600.0,700
2019-01-31,620.0,650.0,620.0,650.0,650.0,300
2019-02-01,650.0,650.0,650.0,650.0,650.0,26500
2019-02-04,665.0,665.0,665.0,665.0,665.0,200
2019-02-05,665.0,665.0,665.0,665.0,665.0,0
2019-02-06,665.0,665.0,665.0,665.0,665.0,0
2019-02-07,665.0,665.0,665.0,665.0,665.0,0
2019-02-08,665.0,665.0,665.0,665.0,665.0,0
2019-02-11,765.0,765.0,765.0,765.0,765.0,100
2019-02-12,760.0,765.0,580.0,755.0,755.0,20300
2019-02-13,665.0,715.0,600.0,710.0,710.0,16900
2019-02-14,710.0,710.0,660.0,690.0,690.0,11300
2019-02-15,560.0,715.0,560.0,715.0,715.0,400
2019-02-18,715.0,720.0,670.0,720.0,720.0,14200
2019-02-19,720.0,720.0,720.0,720.0,720.0,0
2019-02-20,720.0,720.0,720.0,720.0,720.0,0
2019-02-21,720.0,720.0,720.0,720.0,720.0,0
2019-02-22,720.0,720.0,720.0,720.0,720.0,0
2019-02-25,690.0,730.0,600.0,690.0,690.0,20300
2019-02-26,690.0,725.0,690.0,725.0,725.0,200
2019-02-27,725.0,725.0,670.0,715.0,715.0,3400
2019-02-28,715.0,715.0,715.0,715.0,715.0,0
2019-03-01,740.0,740.0,740.0,740.0,740.0,100
2019-03-04,740.0,740.0,740.0,740.0,740.0,0
2019-03-05,740.0,740.0,740.0,740.0,740.0,0
2019-03-06,740.0,740.0,740.0,740.0,740.0,0
2019-03-07,740.0,740.0,740.0,740.0,740.0,0
2019-03-08,740.0,740.0,740.0,740.0,740.0,200
2019-03-11,610.0,610.0,600.0,600.0,600.0,400
2019-03-12,600.0,600.0,600.0,600.0,600.0,0
2019-03-13,600.0,600.0,600.0,600.0,600.0,0
2019-03-14,600.0,600.0,600.0,600.0,600.0,0
2019-03-15,600.0,600.0,600.0,600.0,600.0,0
2019-03-18,600.0,600.0,600.0,600.0,600.0,0
2019-03-19,620.0,690.0,600.0,690.0,690.0,6500
2019-03-20,725.0,725.0,600.0,630.0,630.0,47000
2019-03-21,700.0,700.0,640.0,640.0,640.0,10300
2019-03-22,640.0,640.0,640.0,640.0,640.0,0
2019-03-25,700.0,700.0,700.0,700.0,700.0,100
2019-03-26,700.0,700.0,700.0,700.0,700.0,0
2019-03-27,700.0,700.0,700.0,700.0,700.0,0
2019-03-28,700.0,700.0,700.0,700.0,700.0,0
2019-03-29,620.0,620.0,620.0,620.0,620.0,100
2019-04-01,620.0,620.0,620.0,620.0,620.0,0
2019-04-02,620.0,620.0,620.0,620.0,620.0,0
2019-04-03,620.0,620.0,620.0,620.0,620.0,0
2019-04-04,620.0,620.0,620.0,620.0,620.0,0
2019-04-05,620.0,620.0,620.0,620.0,620.0,0
