Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,198.0,198.0,198.0,198.0,198.0,3400
2018-11-06,266.0,266.0,252.0,266.0,266.0,44253700
2018-11-07,286.0,316.0,200.0,200.0,200.0,129287800
2018-11-08,200.0,200.0,143.0,160.0,160.0,148112100
2018-11-09,160.0,161.0,120.0,124.0,124.0,100179300
2018-11-12,120.0,148.0,114.0,137.0,137.0,89590400
2018-11-13,137.0,137.0,123.0,125.0,125.0,40566800
2018-11-14,126.0,130.0,122.0,123.0,123.0,18093300
2018-11-15,123.0,133.0,123.0,127.0,127.0,38335300
2018-11-16,127.0,130.0,125.0,125.0,125.0,13876500
2018-11-19,127.0,127.0,122.0,122.0,122.0,10239900
2018-11-20,122.0,122.0,122.0,122.0,122.0,0
2018-11-21,122.0,125.0,119.0,121.0,121.0,15706100
2018-11-22,122.0,123.0,119.0,121.0,121.0,9737400
2018-11-23,121.0,122.0,119.0,120.0,120.0,5619400
2018-11-26,120.0,121.0,118.0,118.0,118.0,11239200
2018-11-27,118.0,119.0,109.0,112.0,112.0,11866200
2018-11-28,112.0,119.0,110.0,113.0,113.0,10915600
2018-11-29,115.0,119.0,113.0,116.0,116.0,8341300
2018-11-30,116.0,119.0,115.0,119.0,119.0,6715000
2018-12-03,119.0,134.0,115.0,121.0,121.0,32236500
2018-12-04,121.0,123.0,117.0,118.0,118.0,6191900
2018-12-05,118.0,119.0,111.0,113.0,113.0,9104800
2018-12-06,114.0,115.0,111.0,113.0,113.0,5500900
2018-12-07,113.0,119.0,113.0,113.0,113.0,8815300
2018-12-10,114.0,116.0,113.0,114.0,114.0,4018900
2018-12-11,114.0,117.0,113.0,115.0,115.0,5741400
2018-12-12,116.0,124.0,114.0,117.0,117.0,13715200
2018-12-13,119.0,120.0,116.0,119.0,119.0,3091300
2018-12-14,120.0,122.0,118.0,118.0,118.0,2449500
2018-12-17,119.0,119.0,117.0,117.0,117.0,3384000
2018-12-18,117.0,120.0,117.0,119.0,119.0,1957300
2018-12-19,120.0,121.0,118.0,118.0,118.0,3612900
2018-12-20,119.0,121.0,118.0,121.0,121.0,3904300
2018-12-21,122.0,124.0,120.0,121.0,121.0,2436900
2018-12-24,121.0,121.0,121.0,121.0,121.0,0
2018-12-25,121.0,121.0,121.0,121.0,121.0,0
2018-12-26,121.0,126.0,121.0,126.0,126.0,8046100
2018-12-27,127.0,133.0,127.0,130.0,130.0,12163800
2018-12-28,130.0,147.0,128.0,140.0,140.0,59224700
2018-12-31,140.0,140.0,140.0,140.0,140.0,0
2019-01-01,140.0,140.0,140.0,140.0,140.0,0
2019-01-02,131.0,144.0,124.0,124.0,124.0,9840900
2019-01-03,125.0,127.0,116.0,116.0,116.0,5498100
2019-01-04,117.0,119.0,116.0,116.0,116.0,1808000
2019-01-07,117.0,118.0,115.0,116.0,116.0,2964000
2019-01-08,116.0,118.0,115.0,116.0,116.0,1745600
2019-01-09,115.0,117.0,115.0,116.0,116.0,1714800
2019-01-10,116.0,119.0,115.0,117.0,117.0,1301800
2019-01-11,116.0,118.0,115.0,116.0,116.0,1461600
2019-01-14,117.0,118.0,115.0,117.0,117.0,2007700
2019-01-15,116.0,122.0,116.0,121.0,121.0,2907800
2019-01-16,122.0,128.0,122.0,127.0,127.0,2887300
2019-01-17,127.0,131.0,118.0,122.0,122.0,8635800
2019-01-18,122.0,127.0,120.0,124.0,124.0,876000
2019-01-21,124.0,127.0,120.0,120.0,120.0,572400
2019-01-22,125.0,125.0,117.0,120.0,120.0,683900
2019-01-23,120.0,122.0,118.0,119.0,119.0,886600
2019-01-24,119.0,121.0,117.0,121.0,121.0,993500
2019-01-25,122.0,122.0,118.0,118.0,118.0,2076700
2019-01-28,118.0,120.0,117.0,118.0,118.0,1605700
2019-01-29,118.0,120.0,117.0,119.0,119.0,915200
2019-01-30,119.0,120.0,118.0,119.0,119.0,2319500
2019-01-31,119.0,120.0,117.0,118.0,118.0,2924300
2019-02-01,120.0,120.0,117.0,118.0,118.0,666600
2019-02-04,118.0,127.0,117.0,120.0,120.0,1977300
2019-02-05,120.0,120.0,120.0,120.0,120.0,0
2019-02-06,120.0,123.0,117.0,117.0,117.0,1445500
2019-02-07,119.0,121.0,117.0,120.0,120.0,1799900
2019-02-08,122.0,122.0,118.0,119.0,119.0,491500
2019-02-11,120.0,120.0,117.0,119.0,119.0,1581100
2019-02-12,119.0,120.0,118.0,118.0,118.0,1709800
2019-02-13,118.0,120.0,118.0,120.0,120.0,402100
2019-02-14,120.0,120.0,117.0,118.0,118.0,2554900
2019-02-15,119.0,120.0,117.0,118.0,118.0,3401900
2019-02-18,121.0,122.0,115.0,118.0,118.0,980300
2019-02-19,118.0,118.0,116.0,118.0,118.0,275700
2019-02-20,118.0,118.0,116.0,117.0,117.0,355900
2019-02-21,118.0,118.0,116.0,117.0,117.0,606400
2019-02-22,117.0,119.0,117.0,118.0,118.0,585800
2019-02-25,118.0,127.0,118.0,122.0,122.0,5061800
2019-02-26,124.0,124.0,120.0,123.0,123.0,910600
2019-02-27,123.0,125.0,121.0,122.0,122.0,969300
2019-02-28,123.0,124.0,121.0,123.0,123.0,377600
2019-03-01,123.0,125.0,122.0,122.0,122.0,790200
2019-03-04,122.0,125.0,122.0,124.0,124.0,1062300
2019-03-05,124.0,124.0,121.0,123.0,123.0,1049100
2019-03-06,123.0,123.0,120.0,122.0,122.0,1456600
2019-03-07,122.0,122.0,122.0,122.0,122.0,0
2019-03-08,122.0,122.0,121.0,121.0,121.0,285800
2019-03-11,121.0,122.0,121.0,121.0,121.0,735700
2019-03-12,120.0,121.0,119.0,121.0,121.0,728800
2019-03-13,124.0,124.0,120.0,121.0,121.0,339300
2019-03-14,120.0,125.0,120.0,122.0,122.0,98000
2019-03-15,121.0,124.0,120.0,120.0,120.0,1969000
2019-03-18,120.0,123.0,120.0,122.0,122.0,394600
2019-03-19,122.0,122.0,121.0,121.0,121.0,116100
2019-03-20,120.0,122.0,120.0,121.0,121.0,365400
2019-03-21,120.0,122.0,119.0,120.0,120.0,633000
2019-03-22,120.0,122.0,119.0,120.0,120.0,115600
2019-03-25,121.0,121.0,119.0,121.0,121.0,566800
2019-03-26,121.0,122.0,120.0,120.0,120.0,531500
2019-03-27,120.0,122.0,119.0,121.0,121.0,1041000
2019-03-28,121.0,125.0,121.0,123.0,123.0,363400
2019-03-29,120.0,125.0,120.0,121.0,121.0,496600
2019-04-01,121.0,123.0,120.0,120.0,120.0,975800
2019-04-02,122.0,122.0,120.0,122.0,122.0,441300
2019-04-03,122.0,122.0,122.0,122.0,122.0,0
2019-04-04,124.0,124.0,120.0,120.0,120.0,220400
2019-04-05,120.0,122.0,119.0,119.0,119.0,853000
2019-04-08,120.0,122.0,120.0,120.0,120.0,1017200
