Date,Open,High,Low,Close,Adj Close,Volume
2002-04-09,350.0,400.0,350.0,400.0,395.555542,170000
2002-04-10,395.0,400.0,390.0,400.0,395.555542,47500
2002-04-11,410.0,425.0,410.0,425.0,420.277771,23500
2002-04-12,375.0,425.0,375.0,425.0,420.277771,13000
2002-04-15,400.0,400.0,370.0,395.0,390.611115,31500
2002-04-16,400.0,425.0,390.0,425.0,420.277771,69500
2002-04-17,390.0,415.0,390.0,415.0,410.388885,8500
2002-04-18,425.0,425.0,385.0,420.0,415.333313,48500
2002-04-19,390.0,410.0,370.0,410.0,405.444427,84500
2002-04-22,410.0,410.0,405.0,410.0,405.444427,27500
2002-04-23,400.0,400.0,400.0,400.0,395.555542,500
2002-04-24,385.0,385.0,380.0,380.0,375.777771,27500
2002-04-25,395.0,400.0,395.0,400.0,395.555542,14500
2002-04-26,400.0,400.0,380.0,380.0,375.777771,0
2002-04-29,395.0,395.0,375.0,375.0,370.833313,0
2002-04-30,390.0,390.0,375.0,375.0,370.833313,0
2002-05-01,390.0,400.0,390.0,395.0,390.611115,13000
2002-05-02,400.0,400.0,375.0,375.0,370.833313,0
2002-05-03,395.0,395.0,380.0,380.0,375.777771,0
2002-05-06,390.0,390.0,375.0,375.0,370.833313,0
2002-05-07,385.0,400.0,370.0,400.0,395.555542,79500
2002-05-08,390.0,390.0,390.0,390.0,385.666656,500
2002-05-10,390.0,390.0,375.0,375.0,370.833313,0
2002-05-13,390.0,390.0,375.0,375.0,370.833313,0
2002-05-14,370.0,380.0,365.0,380.0,375.777771,53000
2002-05-15,360.0,360.0,355.0,360.0,356.0,48000
2002-05-16,350.0,350.0,330.0,330.0,326.333313,0
2002-05-17,355.0,355.0,335.0,335.0,331.277771,0
2002-05-20,350.0,350.0,340.0,340.0,336.222198,0
2002-05-21,355.0,355.0,325.0,325.0,321.388885,0
2002-05-22,350.0,350.0,300.0,300.0,296.666656,0
2002-05-23,350.0,350.0,325.0,325.0,321.388885,0
2002-05-24,350.0,350.0,325.0,325.0,321.388885,0
2002-05-27,350.0,350.0,330.0,330.0,326.333313,0
2002-05-28,325.0,350.0,325.0,350.0,346.111115,14000
2002-05-29,345.0,345.0,330.0,330.0,326.333313,0
