Date,Open,High,Low,Close,Adj Close,Volume
2017-06-16,88.800003,92.800003,80.0,92.800003,92.800003,23050500
2017-06-19,116.0,116.0,116.0,116.0,116.0,21180000
2017-06-20,140.0,145.0,135.0,145.0,145.0,408812500
2017-06-21,152.0,156.0,113.0,131.0,131.0,124801500
2017-06-22,135.0,135.0,119.0,124.0,124.0,42079000
2017-06-23,124.0,124.0,124.0,124.0,124.0,0
2017-06-26,124.0,124.0,124.0,124.0,124.0,0
2017-06-27,124.0,124.0,124.0,124.0,124.0,0
2017-06-28,124.0,124.0,124.0,124.0,124.0,0
2017-06-29,124.0,124.0,124.0,124.0,124.0,0
2017-06-30,124.0,124.0,124.0,124.0,124.0,0
2017-07-03,124.0,124.0,109.0,110.0,110.0,41347500
2017-07-04,111.0,113.0,103.0,106.0,106.0,50957500
2017-07-05,102.0,132.0,102.0,132.0,132.0,58976500
2017-07-06,133.0,165.0,122.0,165.0,165.0,131387000
2017-07-07,166.0,189.0,163.0,165.0,165.0,130446000
2017-07-10,165.0,170.0,155.0,155.0,155.0,9150500
2017-07-11,156.0,158.0,148.0,151.0,151.0,15613500
2017-07-12,154.0,172.0,154.0,158.0,158.0,15407500
2017-07-13,159.0,165.0,153.0,164.0,164.0,16525000
2017-07-14,165.0,170.0,157.0,163.0,163.0,28006500
2017-07-17,162.0,199.0,160.0,185.0,185.0,81953500
2017-07-18,185.0,231.0,185.0,231.0,231.0,65566000
2017-07-19,232.0,270.0,226.0,227.0,227.0,84609500
2017-07-20,227.0,234.0,221.0,233.0,233.0,40501500
2017-07-21,235.0,259.0,231.0,232.0,232.0,53605500
2017-07-24,232.0,233.0,223.0,223.0,223.0,9497000
2017-07-25,223.0,224.0,220.0,223.0,223.0,6113500
2017-07-26,222.0,224.0,218.0,218.0,218.0,6577000
2017-07-27,218.0,257.0,216.0,239.0,239.0,63308500
2017-07-28,239.0,240.0,236.0,239.0,239.0,6103500
2017-07-31,239.0,265.0,239.0,256.0,256.0,45812500
2017-08-01,257.0,283.0,257.0,280.0,280.0,50038500
2017-08-02,273.0,310.0,271.0,273.0,273.0,38090500
2017-08-03,273.0,284.0,273.0,280.0,280.0,48842000
2017-08-04,280.0,284.0,272.0,275.0,275.0,57642500
2017-08-07,275.0,284.0,275.0,281.0,281.0,39351000
2017-08-08,282.0,292.0,281.0,283.0,283.0,43697500
2017-08-09,285.0,310.0,285.0,298.0,298.0,49285500
2017-08-10,298.0,304.0,293.0,300.0,300.0,39936000
2017-08-11,301.0,328.0,297.0,328.0,328.0,108813500
2017-08-14,328.0,340.0,328.0,337.0,337.0,53365500
2017-08-15,337.0,337.0,322.0,334.0,334.0,35344500
2017-08-16,335.0,357.0,335.0,352.0,352.0,61682500
2017-08-17,352.0,352.0,352.0,352.0,352.0,0
2017-08-18,352.0,364.0,351.0,361.0,361.0,61655500
2017-08-21,362.0,362.0,358.0,358.0,358.0,34694000
2017-08-22,359.0,367.0,354.0,365.0,365.0,71330500
2017-08-23,366.0,372.0,363.0,369.0,369.0,44150500
2017-08-24,369.0,382.0,368.0,379.0,379.0,52025000
2017-08-25,389.0,404.0,333.0,385.0,385.0,114767500
2017-08-28,386.0,389.0,362.0,385.0,385.0,42877500
2017-08-29,385.0,426.0,378.0,410.0,410.0,111393500
2017-08-30,410.0,428.0,399.0,400.0,400.0,59527500
2017-08-31,400.0,414.0,400.0,402.0,402.0,32730000
2017-09-01,402.0,402.0,402.0,402.0,402.0,0
2017-09-04,404.0,404.0,395.0,400.0,400.0,31022500
2017-09-05,400.0,422.0,399.0,412.0,412.0,57332000
2017-09-06,412.0,422.0,410.0,410.0,410.0,46781000
2017-09-07,410.0,420.0,408.0,412.0,412.0,47741500
2017-09-08,412.0,418.0,410.0,414.0,414.0,31104500
2017-09-11,416.0,418.0,414.0,416.0,416.0,29072500
2017-09-12,418.0,426.0,414.0,420.0,420.0,43934000
2017-09-13,422.0,430.0,418.0,422.0,422.0,38826500
2017-09-14,422.0,424.0,418.0,420.0,420.0,33689000
2017-09-15,420.0,422.0,414.0,420.0,420.0,29088500
2017-09-18,420.0,450.0,420.0,442.0,442.0,52298500
2017-09-19,442.0,488.0,436.0,476.0,476.0,88888500
2017-09-20,478.0,480.0,468.0,468.0,468.0,23216500
2017-09-21,468.0,468.0,468.0,468.0,468.0,0
2017-09-22,468.0,472.0,456.0,456.0,456.0,24859000
2017-09-25,456.0,460.0,454.0,458.0,458.0,29046000
2017-09-26,450.0,458.0,432.0,444.0,444.0,29106500
2017-09-27,444.0,458.0,436.0,442.0,442.0,56170000
2017-09-28,444.0,452.0,440.0,450.0,450.0,55480000
2017-09-29,450.0,498.0,450.0,496.0,496.0,87125500
2017-10-02,496.0,502.0,488.0,488.0,488.0,50758000
2017-10-03,488.0,490.0,470.0,480.0,480.0,44090500
2017-10-04,482.0,482.0,480.0,480.0,480.0,36497500
2017-10-05,480.0,490.0,478.0,480.0,480.0,55385500
2017-10-06,484.0,494.0,480.0,480.0,480.0,47801500
2017-10-09,480.0,494.0,480.0,482.0,482.0,58907000
2017-10-10,482.0,522.0,482.0,506.0,506.0,151221000
2017-10-11,508.0,510.0,492.0,492.0,492.0,52716000
2017-10-12,492.0,506.0,484.0,490.0,490.0,66853000
2017-10-13,490.0,498.0,490.0,492.0,492.0,40002500
2017-10-16,494.0,496.0,490.0,490.0,490.0,49638500
2017-10-17,490.0,494.0,488.0,490.0,490.0,50034500
2017-10-18,490.0,490.0,480.0,482.0,482.0,45656000
2017-10-19,484.0,492.0,480.0,480.0,480.0,58690000
2017-10-20,480.0,484.0,474.0,474.0,474.0,48351000
2017-10-23,476.0,478.0,460.0,478.0,478.0,73332000
2017-10-24,478.0,490.0,478.0,488.0,488.0,61290500
2017-10-25,490.0,504.0,488.0,504.0,504.0,87986000
2017-10-26,504.0,524.0,504.0,518.0,518.0,90216000
2017-10-27,520.0,520.0,498.0,512.0,512.0,61731000
2017-10-30,512.0,514.0,510.0,512.0,512.0,56825000
2017-10-31,514.0,546.0,514.0,546.0,546.0,127428500
